# Detected language: en (p=1.00)

[0.00s -> 8.88s]  Thanks everyone for coming.
[2005.52s -> 2010.52s]  He's using his mind to control this robotic sound which grabs him a drink.
[2021.52s -> 2022.52s]  Cheers.
[2023.52s -> 2025.52s]  All right.
[2025.52s -> 2026.52s]  Yay.
[2029.52s -> 2031.52s]  Did you finish that thing off?
[2031.52s -> 2032.52s]  That's good.
[2038.52s -> 2040.52s]  And that's that science experiment.
[2046.52s -> 2047.52s]  All right.
[2048.52s -> 2049.52s]  Yay.
[2049.52s -> 2050.52s]  Well done.
[2050.52s -> 2051.52s]  Yay.
[2052.52s -> 2053.52s]  All right.
[2053.52s -> 2059.52s]  So and also you can do things like restore walking abilities.
[2060.52s -> 2066.52s]  I think as someone just mentioned right now, just now is that maybe there's like
[2066.52s -> 2070.52s]  we can try to restore different modalities of communication.
[2070.52s -> 2075.52s]  For example, just now we're just using the movements and by restoring movements
[2075.52s -> 2076.52s]  we can control computer.
[2076.52s -> 2081.52s]  But like how about we directly restore the abilities to do handwriting, right?
[2081.52s -> 2086.52s]  Because handwriting is very natural ways to communicate.
[2086.52s -> 2093.52s]  So Frank Witt, research scientist from our lab in 2021 published a paper
[2093.52s -> 2097.52s]  to show that we can actually do this kind of handwriting BCI.
[2097.52s -> 2102.52s]  And he showed that it's actually really, really fast compared to the previous one.
[2102.52s -> 2107.52s]  Okay, so now we have seen that there's different ways to restore communication.
[2110.52s -> 2114.52s]  Here's just like a measurement of different ways of communicating, right?
[2114.52s -> 2121.52s]  You can see on the very left is say sip and puff interface is very slow.
[2121.52s -> 2125.52s]  Basically that means it's for someone who can not really move
[2125.52s -> 2128.52s]  but can still do some like breathing.
[2128.52s -> 2132.52s]  They can do the sip and puff to say yes and no to communicate.
[2132.52s -> 2136.52s]  That's really slow, maybe around five words per minute.
[2136.52s -> 2141.52s]  For a normal person, I'm really surprised that on average a normal person can write
[2141.52s -> 2145.52s]  maybe like 13 or 14 words per minute.
[2145.52s -> 2148.52s]  That's really slow but maybe that's just the average speed.
[2148.52s -> 2151.52s]  And on the very far right side is the natural communication
[2151.52s -> 2156.52s]  which can reach up to 150 or 160 words per minute.
[2157.52s -> 2159.52s]  Just put everything into context here.
[2159.52s -> 2162.52s]  So the 2D cursor I just showed you guys right now
[2162.52s -> 2166.52s]  can do eight words per minute.
[2166.52s -> 2170.52s]  And the handwriting can do around 18 words per minute.
[2170.52s -> 2177.52s]  So compared to the say letter board or like this kind of eye tracking,
[2177.52s -> 2183.52s]  we are really make a lot of like advancement here.
[2183.52s -> 2188.52s]  But still it's far, way far from like the natural conversation speed.
[2188.52s -> 2192.52s]  So the next question basically is, okay, how can we get there?
[2192.52s -> 2198.52s]  Can we actually restore speech with brain computer interface?
[2203.52s -> 2209.52s]  Together I think there's a huge barrier here.
[2209.52s -> 2212.52s]  First is that the language processing in the brain
[2212.52s -> 2214.52s]  is a really complicated process.
[2214.52s -> 2218.52s]  So for example, here is showing all the brain areas
[2218.52s -> 2220.52s]  that's involved in the language.
[2220.52s -> 2222.52s]  And we still don't know exactly how this happens
[2222.52s -> 2227.52s]  but this is just our best guess at how language is processed in the brain.
[2227.52s -> 2231.52s]  On the very right you see that there's a lot of brain regions
[2231.52s -> 2234.52s]  that's involved with knowledge and reasoning.
[2234.52s -> 2241.52s]  In the center is maybe areas that's involved with semantics and syntax.
[2241.52s -> 2245.52s]  And on the very left is about the perception of speech
[2245.52s -> 2248.52s]  and then the production of speech.
[2248.52s -> 2250.52s]  Language is really complex.
[2250.52s -> 2256.52s]  So maybe the hope here is that we can start with motor cortex,
[2256.52s -> 2258.52s]  with motor planning of language.
[2258.52s -> 2260.52s]  Because I've just shown you guys that we already know
[2260.52s -> 2263.52s]  how the motor cortex can encode movements.
[2263.52s -> 2267.52s]  And we can also know that in order to produce language
[2267.52s -> 2270.52s]  we need to speak and then maybe we can put some electrodes
[2270.52s -> 2272.52s]  into this part of the motor cortex
[2272.52s -> 2275.52s]  that actually controls our orofacial muscles
[2275.52s -> 2277.52s]  and then try to decode some information there
[2277.52s -> 2279.52s]  and see if we can actually restore speech.
[2285.52s -> 2287.52s]  Actually being able to restore speech
[2287.52s -> 2289.52s]  is I think it's more complicated
[2289.52s -> 2292.52s]  compared to the restoring movements.
[2292.52s -> 2294.52s]  So what I'm trying to say here is that
[2294.52s -> 2296.52s]  the production of speech is really
[2296.52s -> 2299.52s]  a lot of complicated movements and it's really rapid.
[2299.52s -> 2301.52s]  It's just more than just moving your hands
[2301.52s -> 2304.52s]  to certain directions.
[2304.52s -> 2306.52s]  So restoring speech is much harder
[2306.52s -> 2313.52s]  than just decoding out movements of each articulator.
[2313.52s -> 2316.52s]  So instead of trying to decode the movements
[2316.52s -> 2318.52s]  of each articulator, because it's very hard, right?
[2318.52s -> 2325.52s]  So also for people who have lost speech,
[2325.52s -> 2329.52s]  basically it's very hard to actually measure
[2329.52s -> 2333.52s]  their speech articulator movements.
[2333.52s -> 2336.52s]  Instead maybe we can try to decode out
[2336.52s -> 2338.52s]  this kind of discrete phonemes
[2338.52s -> 2340.52s]  instead of this kind of continuous speech
[2340.52s -> 2342.52s]  articulator movements because we know that
[2342.52s -> 2345.52s]  all the languages can be decomposed
[2345.52s -> 2348.52s]  into this kind of basic phonetic units.
[2348.52s -> 2350.52s]  For example, for English we know that
[2350.52s -> 2352.52s]  there's different vowels and different consonants.
[2353.52s -> 2355.52s]  They are correlated with how you place
[2355.52s -> 2357.52s]  your talents in your mouth and how you
[2357.52s -> 2359.52s]  place your different speech articulators.
[2359.52s -> 2362.52s]  So here we are trying to, instead of decoding
[2362.52s -> 2364.52s]  the actual articulator movements,
[2364.52s -> 2366.52s]  we are trying to decode this kind of
[2366.52s -> 2369.52s]  discrete phonemic tokens.
[2369.52s -> 2374.52s]  And then there's a previous work showing that
[2374.52s -> 2376.52s]  if you put some electrodes on the motor cortex
[2376.52s -> 2380.52s]  and then you can actually tell the differences
[2380.52s -> 2382.52s]  by measuring the differences of different
[2382.52s -> 2385.52s]  phonemes by measuring the electric activities
[2385.52s -> 2387.52s]  in the motor cortex.
[2387.52s -> 2389.52s]  So there's a hope of being able to
[2389.52s -> 2392.52s]  restore speech by just putting electrodes
[2392.52s -> 2394.52s]  in the motor cortex here.
[2396.52s -> 2401.52s]  And indeed, so in 2021, researchers from UCSF
[2401.52s -> 2404.52s]  actually demonstrated it's actually feasible
[2404.52s -> 2406.52s]  to build this kind of like small vocabulary
[2406.52s -> 2410.52s]  speech PCA with this ECoG recording technology.
[2410.52s -> 2413.52s]  The difference between ECoG and then
[2413.52s -> 2415.52s]  the microelectrode array I just showed you guys
[2415.52s -> 2419.52s]  is that whereas the microelectrode array
[2419.52s -> 2421.52s]  actually penetrates into the cortex,
[2421.52s -> 2423.52s]  but the ECoG stays on cortex.
[2423.52s -> 2425.52s]  So it doesn't actually record single neuron firing.
[2425.52s -> 2428.52s]  It still records some average neural activities
[2428.52s -> 2429.52s]  over a small region.
[2429.52s -> 2431.52s]  So compared to microelectrode arrays,
[2431.52s -> 2435.52s]  they will have a slightly lower resolution.
[2435.52s -> 2438.52s]  So that's why their prototype is
[2438.52s -> 2440.52s]  around this kind of small vocabulary PCA,
[2440.52s -> 2443.52s]  which can only decode 50 words
[2443.52s -> 2446.52s]  at around maybe 75% accuracy.
[2446.52s -> 2448.52s]  But this is still very exciting work
[2448.52s -> 2451.52s]  that showcase that you can actually achieve,
[2451.52s -> 2454.52s]  maybe achieve this kind of speech decoding
[2454.52s -> 2457.52s]  by putting some electrodes into the motor cortex.
[2459.52s -> 2462.52s]  All right, so I'll just right now go into the
[2462.52s -> 2464.52s]  research that's done in our lab,
[2464.52s -> 2466.52s]  which is to build a high-performance speech
[2466.52s -> 2468.52s]  neurocortisies.
[2469.52s -> 2475.52s]  So in 2022, so we recruited a participant
[2475.52s -> 2479.52s]  codename T12, who has ALS.
[2479.52s -> 2485.52s]  So T12, she used to be a very active person.
[2485.52s -> 2488.52s]  She likes to ride horse, likes to jog.
[2488.52s -> 2492.52s]  But because of ALS, a couple years ago
[2492.52s -> 2495.52s]  she basically couldn't do all those things
[2495.52s -> 2497.52s]  that she used to enjoy.
[2497.52s -> 2501.52s]  And unlike most ALS patients,
[2501.52s -> 2505.52s]  her symptoms start with orofacial movements first.
[2505.52s -> 2509.52s]  So she still can move her hands a little bit,
[2509.52s -> 2512.52s]  but she cannot really speak intelligibly.
[2514.52s -> 2518.52s]  So we decided to put four microelectrode arrays
[2518.52s -> 2521.52s]  into her brain, two arrays into her motor cortex
[2521.52s -> 2525.52s]  and then two arrays into the part of the boar cortex area,
[2525.52s -> 2529.52s]  which is supposed to be involved with language planning.
[2529.52s -> 2532.52s]  So the hope here is that we want to both decode
[2532.52s -> 2537.52s]  the execution of speech, the production of speech,
[2537.52s -> 2541.52s]  which is how you control your speech allocators
[2541.52s -> 2544.52s]  and also maybe decode some high-level planning
[2544.52s -> 2546.52s]  about the speech.
[2546.52s -> 2548.52s]  So that's why we want to put arrays into
[2548.52s -> 2550.52s]  two different brain regions here.
[2551.52s -> 2555.52s]  So the first thing we do after we put arrays in her brain
[2555.52s -> 2558.52s]  is that we did some behavior test
[2558.52s -> 2560.52s]  to see what kind of information we can decode
[2560.52s -> 2562.52s]  from those arrays.
[2562.52s -> 2566.52s]  So here's the first result we got
[2566.52s -> 2572.52s]  is that we are trying to classify different tasks here.
[2572.52s -> 2575.52s]  The first plot is that we are trying to use
[2575.52s -> 2580.52s]  these four arrays to classify the orofacial movements.
[2580.52s -> 2583.52s]  So this dashed line is the cue
[2583.52s -> 2587.52s]  that she's actually executing those orofacial movements
[2587.52s -> 2589.52s]  and then before this dashed line
[2589.52s -> 2593.52s]  she is trying to prefer to do those orofacial movements.
[2593.52s -> 2597.52s]  So you can see that these two right lines here
[2597.52s -> 2603.52s]  show that you can classify, you can predict those movements
[2603.52s -> 2606.52s]  much better above chance using these two arrays
[2606.52s -> 2608.52s]  in the motor cortex, whereas these two arrays
[2608.52s -> 2611.52s]  in the broadcast area, you can basically,
[2611.52s -> 2614.52s]  you can't really predict too much above chance,
[2614.52s -> 2617.52s]  especially during the execution of those movements.
[2617.52s -> 2621.52s]  And for single phonemes, which we instruct
[2621.52s -> 2624.52s]  our participants to speak single English phonemes,
[2624.52s -> 2628.52s]  you can also predict those things
[2628.52s -> 2631.52s]  much higher above chance using these two arrays
[2631.52s -> 2634.52s]  from the motor cortex and also for the words,
[2634.52s -> 2637.52s]  for single words.
[2637.52s -> 2640.52s]  So what these results tell us is that
[2640.52s -> 2643.52s]  for those two arrays we have put into T12's mind,
[2643.52s -> 2645.52s]  these two arrays in the motor cortex
[2645.52s -> 2648.52s]  contains a lot of information about the phonemes
[2648.52s -> 2652.52s]  being articulated and also the words being articulated.
[2652.52s -> 2654.52s]  But those two arrays in the broadcast area,
[2654.52s -> 2657.52s]  which is supposed to help us to figure out
[2657.52s -> 2659.52s]  the planning of the speech production
[2659.52s -> 2661.52s]  doesn't contain too much information.
[2661.52s -> 2663.52s]  So that's really intriguing to us
[2663.52s -> 2666.52s]  and we're still trying to figure out why that's true.
[2666.52s -> 2670.52s]  So for the rest of the talk here,
[2670.52s -> 2672.52s]  we're mostly using only these two arrays
[2672.52s -> 2674.52s]  in the motor cortex here.
[2675.52s -> 2679.52s]  So now we know that there's phonetic information
[2679.52s -> 2682.52s]  being encoded in those two arrays.
[2682.52s -> 2685.52s]  What we're going to do next is actually trying to build
[2685.52s -> 2690.52s]  a real-time brain-to-text BCI here.
[2690.52s -> 2692.52s]  So what we're going to do is,
[2692.52s -> 2695.52s]  let me just show you a video demo first
[2695.52s -> 2702.52s]  to get a sense of what the BCI is trying to build.
[2702.52s -> 2705.52s]  So here, this is our participants.
[2705.52s -> 2708.52s]  So she is connected to our decoding machine
[2708.52s -> 2710.52s]  through this cable here,
[2710.52s -> 2712.52s]  which transmits her neural signals in real-time
[2712.52s -> 2714.52s]  to a decoding machine.
[2714.52s -> 2716.52s]  On this screen you can see that there's a sentence there
[2716.52s -> 2719.52s]  that we instructed her to copy,
[2719.52s -> 2721.52s]  basically to read out.
[2721.52s -> 2726.52s]  And once this red square turns green,
[2726.52s -> 2728.52s]  she will try to speak.
[2728.52s -> 2731.52s]  And then what you will see below here
[2731.52s -> 2733.52s]  is what the machine has decoded.
[2752.52s -> 2754.52s]  That will be good.
[2762.52s -> 2764.52s]  I did well in school.
[2774.52s -> 2777.52s]  I don't see much pollution turning on.
[2778.52s -> 2782.52s]  All right, so that's almost perfect decoding results
[2782.52s -> 2783.52s]  from her.
[2783.52s -> 2784.52s]  And you can tell from the video
[2784.52s -> 2786.52s]  that although she can vocalize,
[2786.52s -> 2788.52s]  but it's not really intelligible
[2788.52s -> 2793.52s]  because of her limited artificial muscle movements.
[2793.52s -> 2796.52s]  But we can still decode out from her brain signal
[2796.52s -> 2798.52s]  what she is trying to say.
[2798.52s -> 2799.52s]  And this video is,
[2799.52s -> 2801.52s]  so the task I just showed you is
[2801.52s -> 2803.52s]  she's trying to copy a sentence.
[2803.52s -> 2806.52s]  This is trying to answer a question here.
[2807.52s -> 2808.52s]  Okay.
[2823.52s -> 2826.52s]  And we also tried different modalities,
[2826.52s -> 2831.52s]  which is because when she tries to attempt to articulate,
[2831.52s -> 2833.52s]  it's actually very tiring for her
[2833.52s -> 2836.52s]  to actually articulate those sounds.
[2836.52s -> 2838.52s]  So what we try here is that only instructed her
[2838.52s -> 2841.52s]  to move her mouth or move her articulators,
[2841.52s -> 2843.52s]  but not vocalize.
[2843.52s -> 2845.52s]  So what we call this is silent speech.
[2845.52s -> 2847.52s]  And we can still decode pretty well
[2847.52s -> 2850.52s]  using this kind of silent speech modality.
[2866.52s -> 2884.52s]  All right, okay.
[2884.52s -> 2886.52s]  Okay, so let's just move on more technical details
[2886.52s -> 2891.52s]  about how we build this speech preset here.
[2891.52s -> 2894.52s]  So as I just mentioned, right,
[2894.52s -> 2895.52s]  so the first thing we need to do
[2895.52s -> 2897.52s]  is to try to build a decoder.
[2897.52s -> 2899.52s]  And before building that decoder,
[2899.52s -> 2901.52s]  we need to do some data collection.
[2901.52s -> 2903.52s]  So here's our research scientist Frank
[2903.52s -> 2905.52s]  sitting next to T12
[2905.52s -> 2908.52s]  and asking her to read that sentence on the screen.
[2908.52s -> 2911.52s]  And then we'll record the neural activities
[2911.52s -> 2913.52s]  of her saying that sentence.
[2913.52s -> 2915.52s]  So we'll have this kind of paired data,
[2915.52s -> 2916.52s]  collected paired data,
[2916.52s -> 2918.52s]  where the input is the neural activity
[2918.52s -> 2920.52s]  and the output is the targeted sentence
[2920.52s -> 2922.52s]  we want to decode.
[2922.52s -> 2927.52s]  So we basically go to where T12 lived
[2927.52s -> 2930.52s]  and then we'll do some data collection session there
[2930.52s -> 2934.52s]  and then testing the decoder.
[2934.52s -> 2937.52s]  The way we collect data is that
[2937.52s -> 2941.52s]  because we only have very limited time
[2941.52s -> 2946.52s]  and we cannot ask T12 to speak a lot of sentences.
[2946.52s -> 2950.52s]  So we'll divide our data collection
[2950.52s -> 2951.52s]  into this kind of block structure
[2951.52s -> 2955.52s]  where we instructed her to speak 40 sentences every block
[2955.52s -> 2956.52s]  and then she take a break
[2956.52s -> 2958.52s]  and then we collect another block.
[2958.52s -> 2961.52s]  So the data collection will last about 100 minutes
[2961.52s -> 2964.52s]  for every research session.
[2964.52s -> 2967.52s]  And then we'll train a decoder.
[2967.52s -> 2969.52s]  Maybe that takes like 10 to 20 minutes.
[2969.52s -> 2971.52s]  It's really quick.
[2971.52s -> 2972.52s]  After training a decoder,
[2972.52s -> 2975.52s]  we'll start actually evaluating the performance of decoder
[2975.52s -> 2978.52s]  by asking our participants to speak some new sentences
[2978.52s -> 2980.52s]  and then see how well we can decode
[2980.52s -> 2983.52s]  on those new set of sentences.
[2983.52s -> 2987.52s]  So in total, we did the experiment sessions
[2987.52s -> 2989.52s]  over maybe three months of time
[2989.52s -> 2993.52s]  and then we collect about like 10,000 sentences
[2993.52s -> 2999.52s]  from this like a switchboard telephone conversation corpus,
[2999.52s -> 3001.52s]  which we really want to emphasize
[3001.52s -> 3005.52s]  that we want to decode this kind of conversational English.
[3005.52s -> 3007.52s]  Once we have the data,
[3007.52s -> 3010.52s]  then we can try to see how we can design a decoder
[3010.52s -> 3012.52s]  that can best solve this task.
[3012.52s -> 3015.52s]  So let's first define the problem here.
[3015.52s -> 3018.52s]  So we have some neural features inputs, right?
[3018.52s -> 3020.52s]  So let's say we have some neural features,
[3020.52s -> 3022.52s]  which is a time series.
[3022.52s -> 3025.52s]  You can think about as maybe similar to audio
[3025.52s -> 3034.52s]  that at each time point we'll get some feature vectors.
[3034.52s -> 3037.52s]  The output of this decoder is a set of words, right?
[3037.52s -> 3040.52s]  So we know that she's trying to speak some sentence,
[3040.52s -> 3042.52s]  so we are trying to decode the words
[3042.52s -> 3047.52s]  from this input neural features here.
[3047.52s -> 3049.52s]  As I mentioned earlier,
[3049.52s -> 3052.52s]  so instead of directly decoding words
[3052.52s -> 3054.52s]  from the input sentences,
[3054.52s -> 3057.52s]  maybe we want to have this intermediate target
[3057.52s -> 3059.52s]  of phonemes to decode.
[3059.52s -> 3061.52s]  The reason is that first we know
[3061.52s -> 3065.52s]  that there's only 40 phonemes in English,
[3065.52s -> 3067.52s]  so that's a much smaller set compared to the number of words.
[3067.52s -> 3069.52s]  So if you want to train a decoder
[3069.52s -> 3071.52s]  that can actually decode words,
[3071.52s -> 3073.52s]  then you need to have much more data
[3073.52s -> 3075.52s]  to cover all the possible words.
[3075.52s -> 3076.52s]  Whereas for phonemes,
[3076.52s -> 3078.52s]  you probably need way less data
[3078.52s -> 3080.52s]  to cover all the 40 phonemes here.
[3080.52s -> 3083.52s]  So instead of directly decoding the words,
[3083.52s -> 3086.52s]  we decided to decode an intermediate representation
[3086.52s -> 3090.52s]  of phonemes from the neural input features.
[3090.52s -> 3093.52s]  Okay, so basically there's two decoders we want to design.
[3093.52s -> 3095.52s]  One is the first is a neural two-phoneme decoder,
[3095.52s -> 3097.52s]  and the second is a phoneme two-word decoder.
[3097.52s -> 3099.52s]  So that's the two decoders
[3099.52s -> 3103.52s]  that we'll have to design this task.
[3103.52s -> 3107.52s]  Let's focus on the neural two-phoneme decoder first.
[3107.52s -> 3111.52s]  So basically I think at this point of class,
[3111.52s -> 3113.52s]  we probably know that we can treat this problem
[3113.52s -> 3115.52s]  as a sequence-to-sequence problem, right?
[3115.52s -> 3117.52s]  So the input is some feature sequence,
[3117.52s -> 3120.52s]  the output is a token sequence.
[3120.52s -> 3123.52s]  And the four-sequence, two-sequence problem,
[3123.52s -> 3125.52s]  we probably know that we can use
[3125.52s -> 3128.52s]  some encoder and decoder models
[3128.52s -> 3130.52s]  to solve this problem, right?
[3130.52s -> 3133.52s]  However, for encoder and decoder model,
[3133.52s -> 3136.52s]  it's actually more powerful than we actually need
[3136.52s -> 3139.52s]  because encoder and decoder model
[3139.52s -> 3141.52s]  allows this kind of arbitrary alignments
[3141.52s -> 3143.52s]  between inputs and outputs.
[3143.52s -> 3145.52s]  That's really helpful for tasks
[3145.52s -> 3146.52s]  such as machine translation,
[3146.52s -> 3150.52s]  whereas some languages have different order
[3150.52s -> 3154.52s]  than other languages.
[3154.52s -> 3159.52s]  But here, we know that the alignment
[3159.52s -> 3161.52s]  is actually more monotonic
[3161.52s -> 3163.52s]  compared to the same machine translation
[3163.52s -> 3165.52s]  where the alignment is arbitrary.
[3165.52s -> 3168.52s]  And monotonic means that you know that
[3168.52s -> 3171.52s]  probably, say for example,
[3171.52s -> 3173.52s]  the first two neural features
[3173.52s -> 3176.52s]  corresponds to the first phonemes in output sentence
[3176.52s -> 3178.52s]  rather than the last phoneme in the output sentence, right?
[3178.52s -> 3182.52s]  So this is kind of the monotonic alignment.
[3182.52s -> 3187.52s]  So to solve these problems of monotonic alignments,
[3187.52s -> 3190.52s]  we can actually borrow idea that people have developed
[3190.52s -> 3193.52s]  for machine learning tasks
[3193.52s -> 3196.52s]  such as handwriting recognition and speech recognition,
[3196.52s -> 3199.52s]  where the task is also trying to decode
[3199.52s -> 3203.52s]  a letter sequence or phoneme sequence,
[3203.52s -> 3210.52s]  also letter sequences from some speech features.
[3210.52s -> 3212.52s]  And the technique we are going to use
[3212.52s -> 3214.52s]  is called connectionist temporal classification.
[3214.52s -> 3217.52s]  So for people who have taken CS224S,
[3217.52s -> 3220.52s]  you probably already know what this means,
[3220.52s -> 3222.52s]  but I'm going to do a little bit of introduction
[3222.52s -> 3224.52s]  about this thing.
[3224.52s -> 3226.52s]  I guess I don't have too much time,
[3226.52s -> 3228.52s]  but I'll just quickly go right here.
[3228.52s -> 3232.52s]  So what CDC, the connectionist classification, do
[3232.52s -> 3235.52s]  is that giving some input sequence, right,
[3235.52s -> 3238.52s]  the goal is that we want to decode some output sequence,
[3238.52s -> 3241.52s]  but we don't know the exact alignment between them,
[3241.52s -> 3245.52s]  and usually the input output has some lens mismatch.
[3245.52s -> 3249.52s]  For example, in the case of, say, speech recognition,
[3249.52s -> 3253.52s]  where the input could have a lens
[3253.52s -> 3257.52s]  of several thousands of frames, right?
[3257.52s -> 3260.52s]  Where each frame corresponds to a very fine level,
[3260.52s -> 3263.52s]  like fine high temporal resolution feature
[3263.52s -> 3266.52s]  that's recorded at, say, 20 milliseconds,
[3266.52s -> 3269.52s]  whereas the output only has a few tokens.
[3269.52s -> 3272.52s]  So that's like a huge lens mismatch here.
[3272.52s -> 3276.52s]  What we can do is we can still use,
[3276.52s -> 3279.52s]  like, say, RNN transformer model
[3279.52s -> 3284.52s]  to predict what the output token is at each time step.
[3284.52s -> 3287.52s]  And then we somehow have to figure out a way
[3287.52s -> 3291.52s]  to fill in between the output tokens,
[3291.52s -> 3294.52s]  some, like, spacers so that the output token
[3294.52s -> 3296.52s]  can also have the same lens as the input,
[3296.52s -> 3298.52s]  output sequence can have the same lens
[3298.52s -> 3299.52s]  as the input sequence.
[3299.52s -> 3301.52s]  So what the CDC loss does
[3301.52s -> 3307.52s]  is introduce this additional blank token as output.
[3307.52s -> 3310.52s]  With this blank token, what you can actually do is,
[3310.52s -> 3314.52s]  for example, here is an example output
[3314.52s -> 3316.52s]  of the CDC classifier.
[3316.52s -> 3320.52s]  It's trying to produce this kind of sequence here, right?
[3320.52s -> 3324.52s]  What you can do is first you merge repeated tokens,
[3324.52s -> 3327.52s]  and then you're taking out that blank tokens.
[3327.52s -> 3329.52s]  So what you get is a much shorter sequence
[3329.52s -> 3331.52s]  that corresponds to output.
[3331.52s -> 3335.52s]  So what CDC loss does is it allows you
[3335.52s -> 3337.52s]  to do a sequence-to-sequence problem
[3337.52s -> 3340.52s]  that has a different input and output lens
[3340.52s -> 3346.52s]  and also has this kind of monotonic alignment property.
[3346.52s -> 3349.52s]  Let me just skip through this detail here,
[3349.52s -> 3353.52s]  how you can train a CDC loss here.
[3353.52s -> 3358.52s]  Just skip through this thing.
[3358.52s -> 3362.52s]  So now let's suppose that we have this CDC loss
[3362.52s -> 3366.52s]  that can actually be used to train our model, right?
[3366.52s -> 3369.52s]  The next problem is what kind of decoder
[3369.52s -> 3372.52s]  we want to use for this task.
[3372.52s -> 3373.52s]  What kind of neural network decoder
[3373.52s -> 3375.52s]  to use for this task?
[3375.52s -> 3376.52s]  I think at this point of class,
[3376.52s -> 3377.52s]  I think most of you guys are convinced
[3377.52s -> 3379.52s]  that transformer is really powerful, right?
[3379.52s -> 3382.52s]  There's no reason for me to say more about it.
[3382.52s -> 3384.52s]  In this case, we don't want to use transformer.
[3384.52s -> 3387.52s]  The reason is that we don't have a large data set,
[3387.52s -> 3388.52s]  as I mentioned previously.
[3388.52s -> 3390.52s]  We only have 10,000 sentences, right?
[3390.52s -> 3392.52s]  And also, transformer is really good
[3392.52s -> 3394.52s]  at dealing with long-range dependencies.
[3394.52s -> 3397.52s]  But here, for the speech production,
[3397.52s -> 3401.52s]  there's no really required for long-range dependency.
[3401.52s -> 3404.52s]  So let's just go back to the very simple RNN.
[3404.52s -> 3407.52s]  We know that RNN works for small data sets,
[3407.52s -> 3413.52s]  and it can deal with short-range dependency pretty well.
[3413.52s -> 3415.52s]  And another nice thing about RNN
[3415.52s -> 3417.52s]  is that it's very efficient to run in real time.
[3417.52s -> 3420.52s]  You can do, like, put a very complicated RNN,
[3420.52s -> 3423.52s]  even run very efficiently on your mobile phone.
[3424.52s -> 3431.52s]  One, like, the most popular RNN we have learned
[3431.52s -> 3433.52s]  is the LSTM, right?
[3433.52s -> 3436.52s]  It uses this kind of, like, memory state here.
[3436.52s -> 3437.52s]  Where's my cursor?
[3437.52s -> 3439.52s]  It uses this memory state
[3439.52s -> 3442.52s]  to try to store some long-term,
[3442.52s -> 3444.52s]  like, long-range information,
[3444.52s -> 3448.52s]  and then use this different input and forget gate,
[3448.52s -> 3449.52s]  input and output gates,
[3449.52s -> 3451.52s]  to control how you can read and write
[3451.52s -> 3452.52s]  into that memory state, right?
[3453.52s -> 3457.52s]  But LSTM is also very complicated.
[3457.52s -> 3460.52s]  There's a variant of LSTM called GRU,
[3460.52s -> 3462.52s]  Gated Recurring Unit.
[3462.52s -> 3464.52s]  It tries, like, I think the idea here
[3464.52s -> 3466.52s]  is that it's trying to combine this memory state
[3466.52s -> 3469.52s]  and the hidden state into just one hidden state.
[3469.52s -> 3473.52s]  By doing that, you can also reduce some gates.
[3473.52s -> 3477.52s]  So GRU is basically a more simpler version of LSTM
[3477.52s -> 3480.52s]  that works really well when you have a small data set.
[3480.52s -> 3485.52s]  So here we use GRU instead of LSTM for our task.
[3486.52s -> 3488.52s]  So now we know, like, how we can decode phonemes,
[3488.52s -> 3490.52s]  and now we have neural network models
[3490.52s -> 3492.52s]  to decode phonemes, right?
[3492.52s -> 3493.52s]  We know how to train the model.
[3493.52s -> 3495.52s]  So at inference time,
[3495.52s -> 3497.52s]  by inference time I mean that at testing time,
[3497.52s -> 3501.52s]  you can pass in some neural activities into our decoders,
[3501.52s -> 3502.52s]  and then you will decode out
[3502.52s -> 3504.52s]  some, like, phoneme probabilities, right?
[3504.52s -> 3507.52s]  So there's maybe at the first timestamp
[3507.52s -> 3509.52s]  the highest probability is high.
[3510.52s -> 3512.52s]  The problem here is how do I figure out
[3512.52s -> 3515.52s]  the most likely output sequences
[3515.52s -> 3517.52s]  given this phoneme probability, right?
[3517.52s -> 3519.52s]  So basically the task is to find
[3519.52s -> 3521.52s]  the most likely output sequences here.
[3524.52s -> 3526.52s]  I think for this problem,
[3526.52s -> 3529.52s]  I think since we have already did something similar
[3529.52s -> 3530.52s]  in the assignment three,
[3530.52s -> 3532.52s]  which is that we can use beam search
[3532.52s -> 3534.52s]  to figure out the most likely sequence here.
[3535.52s -> 3537.52s]  However, there's one caveat with the beam search
[3537.52s -> 3540.52s]  when you're applying it to the CTC loss,
[3540.52s -> 3543.52s]  but I'm not going to expand it too much here.
[3545.52s -> 3547.52s]  Yeah, so let's just skip over that.
[3550.52s -> 3552.52s]  Now suppose that we can use the beam search
[3552.52s -> 3555.52s]  to find the most likely phoneme sequences.
[3555.52s -> 3558.52s]  How do we convert that phoneme sequences into words, right?
[3558.52s -> 3559.52s]  So that's because, like,
[3559.52s -> 3561.52s]  we eventually want to decode sentences,
[3561.52s -> 3564.52s]  but not just, like, a sequence of phonemes.
[3565.52s -> 3568.52s]  So one thing you can modify the beam search is that
[3568.52s -> 3570.52s]  you can, if you have, like, an English dictionary
[3570.52s -> 3573.52s]  where you can map each word into its pronunciations,
[3573.52s -> 3575.52s]  then while doing the beam search,
[3575.52s -> 3576.52s]  we're going to basically see that
[3576.52s -> 3578.52s]  if you decode some phoneme sequences
[3578.52s -> 3579.52s]  that corresponds to words
