# Detected language: en (p=1.00)

[0.00s -> 8.72s]  Okay, hi everyone.
[2026.32s -> 2033.20s]  in a set in context where the or ah will come next. But you know if earlier on the sentence
[2033.20s -> 2038.16s]  had been saying the king of Prussia we somewhere in the hidden state we want to be keeping the
[2038.16s -> 2042.72s]  information that there's a king of Prussia because that might be relevant for predicting
[2042.72s -> 2048.40s]  future words. And so it makes sense that we only want to have some of what's in our memory
[2048.40s -> 2054.32s]  being used to predict the next word in the current context. So the cell is our long short
[2054.32s -> 2059.28s]  term memory and then we're moving over to the hidden state things are going to be relevant
[2059.28s -> 2069.84s]  for generation. Yeah I've sort of said that. Okay. All these are vectors of the same length
[2069.84s -> 2077.04s]  n. Yeah so all of all of these things both the gates and the new values for the cell and
[2077.04s -> 2085.92s]  hidden state they're all vectors of length n and part of how things actually get convenient
[2085.92s -> 2091.92s]  when you're actually running of these is up until here all of these things have exactly
[2091.92s -> 2097.84s]  the same shape so you can actually put them all together into a big matrix and do the
[2097.84s -> 2104.32s]  computations of all four of these in terms of one big matrix if you want. Question.
[2118.64s -> 2122.16s]  If this if this bit wasn't here then
[2122.40s -> 2129.20s]  then you would not need an output gate because ft and it would have been able to express it
[2130.24s -> 2134.96s]  account for it in some sense. My question is how much does having
[2134.96s -> 2141.52s]  no wait well no to the extent that you want to mask out part of what's in the cell
[2142.72s -> 2147.76s]  so it's not visible when you're generating the next token isn't it still useful to have
[2147.76s -> 2160.32s]  an output gate? But you don't want ht equal to ct you want h you want some of the contents
[2160.32s -> 2164.48s]  of ct to be masked out so you you're not seeing it when generating the output.
[2168.88s -> 2174.08s]  No because you want to keep it in ct you want this information you want to keep in ct for the
[2174.08s -> 2181.84s]  future but you don't want visible when generating the current next word. Yeah.
[2184.56s -> 2190.80s]  In some sense a bit I have the hardest part explaining is why is it necessarily better to
[2190.80s -> 2198.00s]  have a tanh here? I mean you can sort of argue that it's a way of this can just stay
[2198.00s -> 2204.80s]  unbounded real numbers and then this is getting it back in the shape of stays between zero and
[2204.80s -> 2211.68s]  one which is good for the hidden state but it's a little bit I guess they did it that way and
[2211.68s -> 2217.76s]  it seemed to work well. Okay here's another way of looking at it which may or may not be
[2217.76s -> 2225.76s]  more helpful as a picture. So you know at each time step we've got you know as before
[2227.04s -> 2233.44s]  an input a hidden state and then we're going to calculate an output from that hidden state
[2233.44s -> 2239.52s]  but we've sort of got this more complex computational unit and these pictures of this
[2239.52s -> 2246.08s]  more complex computational unit were diagrams that were made by Chris Ola who's someone who now
[2248.24s -> 2255.44s]  right now works at anthropic. And so if you blow up in that this is sort of showing the
[2255.44s -> 2265.92s]  computation so you're sort of feeding along recurrently the c cell as the primary recurrent
[2265.92s -> 2272.64s]  unit but you've also got carried along h because h is being used to calculate stuff in the next
[2272.64s -> 2279.76s]  time step and then a new h is being generated and so you're computing the forget gate you're
[2279.76s -> 2285.36s]  forgetting some of the cell content you're computing an input gate you're using that to
[2285.36s -> 2294.64s]  compute a potential new cell content you write some of that into the cell depending on the input
[2294.64s -> 2305.12s]  gate then you compute an output gate and then some of the cell will go into the computation
[2305.12s -> 2312.72s]  of h depending on the output gate and then just like for the previous recurrent neural network
[2312.72s -> 2321.12s]  for working out what the predicted next word is you're working out an output layer by taking
[2321.12s -> 2328.64s]  the h and doing another matrix uh plus b2 and then using a softmax on that to actually predict
[2328.64s -> 2340.40s]  the next word okay so you know this all seems very complex and you know back in do you have a
[2340.40s -> 2348.80s]  question yeah so how are we exciting the threshold like i imagine it just some sort of threshold
[2349.12s -> 2355.76s]  probability of like what we're remembering and what we're forgetting um so you know so
[2356.56s -> 2362.16s]  when we're getting more than a threshold right because we're actually when we're calculating a
[2362.16s -> 2368.96s]  whole vector of forgetting and remembering so therefore it can choose to say okay dimensions
[2368.96s -> 2375.12s]  1 to 17 keep all of that and throw away dimensions 18 to 22 or really probabilistically
[2375.12s -> 2383.12s]  to different extents um and so it's sort of unspecified it's up to it what it learns but we
[2383.12s -> 2389.20s]  we are hoping that it will learn that certain kinds of information is useful to keep carrying
[2389.20s -> 2395.84s]  forward for at least a while um but then we can use both the contents of the hidden state in
[2395.84s -> 2402.80s]  the cell sorry of the next input to decide to throw away certain information so we might think
[2402.80s -> 2408.80s]  that there are certain cues for example you know if it sees the word next it might think okay
[2408.80s -> 2413.52s]  change of topic now would be a good time to forget more stuff and reset but it's sort of
[2413.52s -> 2419.84s]  learning which dimensions of this vector to hold around in an unconstrained way whatever's
[2419.84s -> 2427.92s]  useful to do a better job at language modeling okay um yeah so this all looks like a very
[2428.00s -> 2436.40s]  complex and cantankerous design and you know quite honestly um you know when teaching this around
[2436.40s -> 2442.72s]  2000 and you know 16 17 and this was the best kind of neural network we had for language
[2442.72s -> 2449.12s]  modeling you know we literally you know spent hours of class time um going through
[2449.12s -> 2454.24s]  lstms and variants of lstms with different properties because you know there are different
[2454.24s -> 2458.96s]  ways you can do the gating you can have less gates or more gates and do different things
[2458.96s -> 2466.88s]  um and it seemed the most important thing to know um in 2024 you know it's probably not the
[2466.88s -> 2475.52s]  most important thing to know um but um on lstms are a thing to be aware of we are going to use
[2475.52s -> 2482.00s]  them um for um the assignment three but you know you can just ask pi torch for an lstm and
[2482.08s -> 2487.28s]  i'll give you one that does all of this stuff but you know there is one thing that i really
[2487.28s -> 2495.28s]  want to sort of focus on as to you know why what is the good thing that an lstm achieves
[2495.28s -> 2500.48s]  and you know really the secret for why you get this fundamentally different behavior
[2500.48s -> 2508.24s]  in an lstm is you have that plus sign right there right that for the simple recurrent neural
[2508.24s -> 2516.56s]  network at each time the next hidden state was a result of multiplicative stuff and therefore
[2516.56s -> 2525.44s]  was very hard just to preserve information um whereas the essence of the lstm is to say well
[2525.44s -> 2532.08s]  look you've got this past memory of stuff you've already seen and what we want to do is
[2532.08s -> 2538.64s]  add some new information to it which fundamentally seems like kind of right for human memories
[2538.64s -> 2544.64s]  um that they're sort of basically additive um and when i said actually it was the second
[2544.64s -> 2550.96s]  gers paper that introduced a crucial part of the lstm the first version of the lstm didn't
[2550.96s -> 2557.60s]  have the forget gate so it was a purely additive mechanism that you were deciding what to add to
[2557.60s -> 2564.08s]  your memory as you went along um but you know that proved to be not quite perfect because
[2564.08s -> 2569.20s]  if you keep on adding more and more stuff over a long sequence that tends to be dysfunctional
[2569.20s -> 2574.16s]  after a certain point and so the big improvement was then to add this forget gate so
[2574.16s -> 2581.04s]  some of it went away but nevertheless having things basically additive fixes the problem of
[2581.04s -> 2588.24s]  gradient flow you no longer have um vanishing gradients and it makes it something that seems
[2588.24s -> 2596.48s]  much more memory like you're adding to the things that you know okay um so the lstm architecture
[2596.48s -> 2603.12s]  allows you to preserve information over many time sets in the cell right so if you set the
[2603.12s -> 2609.92s]  forget gate to one um and the input gate to zero you're just linearly passing along in the
[2609.92s -> 2612.72s]  cell indefinitely the same information
[2615.04s -> 2621.52s]  okay um it's not the only way that you can do long distance information flow and we're going
[2621.52s -> 2629.20s]  to look increasingly in other in future lectures at other ways you can do um long distance
[2629.20s -> 2635.12s]  information flow um and just to sort of give a bit of a peek about those now and to think
[2635.12s -> 2642.88s]  about other architectures but there's a question no no question yes um so so since you're mentioning
[2642.88s -> 2650.72s]  that the plus uh does it help with exploding gradient at all or does it make it worse is
[2650.72s -> 2656.40s]  there like no difference no it also helps with exploding gradients because the fact that
[2656.40s -> 2661.76s]  you're not doing this sequence and multiplies all the time that you sort of have this addition
[2661.76s -> 2674.48s]  operator um so one thing you could wonder is that is vanishing and exploding gradients just
[2674.48s -> 2682.08s]  uh recurrent neural network problem and it's not i mean it it occurs earlier and worse
[2682.08s -> 2687.84s]  when you've got long sequences but if you start building a very deep neural network
[2687.84s -> 2693.68s]  surely the same thing is happening you know the parameters aren't the same so it's not quite just
[2693.68s -> 2699.68s]  raising one matrix to a power but surely depending on your matrices you tend to have
[2699.68s -> 2705.92s]  the same problem that either your gradients are disappearing or else they're exploding um
[2705.92s -> 2710.72s]  and that's what people found and that was part of the reason why in the early days people
[2710.72s -> 2717.44s]  weren't very successful building deep neural networks was because they suffered from problems of this
[2717.52s -> 2723.92s]  sort that if you had basically vanishing gradients um in a deep neural network you got very little
[2723.92s -> 2729.60s]  gradient signal in the lower layers therefore their parameters didn't really update therefore
[2729.60s -> 2734.56s]  your model didn't learn anything in the lower layers therefore the network didn't work well and
[2734.56s -> 2740.24s]  you know that was part of why things were stuck in the days around the early 2000s of deep
[2740.24s -> 2746.56s]  networks didn't work um and so there are other ways you can think about fixing that
[2746.56s -> 2753.52s]  so one common way of fixing that is to add more direct connections so you know the problem
[2753.52s -> 2761.76s]  when we went through our um recurrent step was we were sort of had this in between stuff of
[2761.76s -> 2769.12s]  doing a matrix multiply and blah blah blah um and that kind of caused indirectness and the
[2769.12s -> 2775.84s]  possibility for things to either explode or vanish um so this network is written sort of
[2775.84s -> 2781.76s]  upside down when i stole the picture from the paper so we'll just have to deal with that like
[2781.76s -> 2788.16s]  um right so the in we're going downwards from here to the next layer so you know rather
[2788.16s -> 2792.96s]  than going through sort of weight layers and weight layers which will start to produce the
[2792.96s -> 2800.72s]  same kind of problems what you can do is sort of apply the same trick in a vertical network and
[2800.72s -> 2807.12s]  say well look i can also just carry the input around with an identity function and add it on
[2807.12s -> 2813.92s]  here and so then i've got this sort of direct carrying of information and so that um led to the
[2813.92s -> 2821.44s]  residual network which was what completely transformed computer vision models and made them
[2821.44s -> 2827.12s]  much more learnable than pure networks that lack these residual connections
[2829.52s -> 2835.92s]  if you sort of start heading down that path you can think well why only provide these residual
[2835.92s -> 2842.64s]  loops that take you one step maybe i could could directly connect each layer to all the
[2842.64s -> 2849.52s]  successive layers and so people played with that idea and that led to the so-called dense net
[2849.60s -> 2856.48s]  where you have these kind of skip connections linking to every other layer um a variant
[2856.48s -> 2864.40s]  of the residual network the resnet um which was actually again introduced by schmidt hoover
[2864.40s -> 2870.16s]  and students was to say well rather than just directly adding in the input
[2872.48s -> 2877.60s]  summed with the output of the neural network layer maybe again we'd be better off having
[2877.60s -> 2884.72s]  gating so that you are deciding by gates how much of the input to have skip around and so
[2884.72s -> 2892.16s]  that led to a variant um the the highway net um where you've got sort of gated residual networks
[2892.16s -> 2898.88s]  so various ideas of doing that um not going to say more about that right now i want to skip
[2898.88s -> 2905.28s]  ahead and sort of do the rest of neural nets and get on to um machine translation
[2907.92s -> 2917.36s]  okay um so once you have rnns where rnns is including lstms normally in practice lstms you
[2917.36s -> 2922.16s]  can use them for anything else where you're doing sequences and so there are lots of places they
[2922.16s -> 2929.76s]  used in nlp so if you want to assign words parts of speech like nouns and verbs that would
[2929.76s -> 2938.56s]  be commonly done with a part of speech tagging lstm if you want to be assigning named entity labels
[2938.56s -> 2943.92s]  like location right i i did this toy version where we were signing a label to the middle of
[2943.92s -> 2949.04s]  a window but you want to assign the label at each position you can use an lstm for named
[2949.04s -> 2957.52s]  entity recognition you can use them rnn as a encoder model for a whole sentence so if we
[2957.52s -> 2962.80s]  want to do sentiment classifications to see whether a piece of text is positive or negative
[2962.80s -> 2971.44s]  um we can say run an lstm over it and then use this as a representation of the sentence
[2971.44s -> 2977.60s]  to ins work out whether it's positive or negative piece of text and well the simplest
[2977.60s -> 2983.76s]  way of doing that is to use the final hidden state because after all that final hidden state
[2983.76s -> 2990.56s]  is the hidden state you've gotten from having seen the entire sentence and use that and then
[2990.56s -> 2997.36s]  have a sort of a classification layer a logistic regression on top of that to give you positive
[2997.36s -> 3004.72s]  or negative in practice though people have found it's often better to use every hidden state and
[3004.72s -> 3011.68s]  take some kind of mean or element wise max and feed that in as the sentence encoding
[3012.56s -> 3018.88s]  you can also use rnn's for lots of other purposes where you're using it to generate
[3018.88s -> 3025.84s]  text based on other information so if you want to do speech recognition or summarization
[3025.84s -> 3033.76s]  or machine translation um that we'll come to later you can have an an input source
[3033.76s -> 3041.04s]  which you'll use to condition your network and then you'll generate the speech recognition
[3042.08s -> 3049.44s]  or the machine translation as we'll see later and so we refer to those as conditional language
[3049.44s -> 3055.76s]  models because rather than just generating text starting from nothing from a start token
[3055.76s -> 3063.68s]  we're generating it conditioned on some source of information um one other idea
[3063.68s -> 3072.32s]  on what normally happens when people use these um you know i suggested um
[3074.16s -> 3079.68s]  that you know we could sort of do this averaging at each position if you think at these
[3079.68s -> 3086.96s]  about these hidden state representations these hidden state representations that representation
[3086.96s -> 3092.80s]  isn't only about the word terribly it has some information about what came before it
[3092.80s -> 3101.20s]  the movie was terribly but it has no information about what comes after it and well you might
[3101.20s -> 3108.24s]  think you'd like to have a representation of terribly that knows what came before it
[3108.24s -> 3115.84s]  but also what came after it and so people sort of came up with the next obvious idea to deal
[3115.84s -> 3124.08s]  with that which was to build a bi-directional LSTM so you ran a forward LSTM and then you start
[3124.08s -> 3130.72s]  another LSTM that's shown in that sort of greenish teal and you ran it backwards and so
[3130.72s -> 3137.12s]  then you had a forwards and backwards vector at each position and you just concatenated them both
[3137.12s -> 3142.00s]  and then you had a two-sided context for a representation of word meaning
[3142.00s -> 3152.08s]  and so these networks um were pretty widely used so um we were sort of running a forward
[3152.08s -> 3159.36s]  RNN a backward RNN and concatenating the states together and those were then sort of commonly
[3159.36s -> 3166.40s]  sort of written like this to suggest that in a compact way you're running a bi-directional RNN
[3166.80s -> 3176.16s]  um that and you know these were very popular for language analysis they're not they weren't
[3176.16s -> 3182.88s]  workable if you were wanting to generate text um but you were using them in a lot of places
[3182.88s -> 3188.72s]  as a representation but more recently transformer models have normally taken over from that
[3189.60s -> 3195.84s]  um one more idea which we'll see from machine translation is um
[3197.44s -> 3202.88s]  you know RNNs are sort of deep in the sense that they unroll over many time steps
[3202.88s -> 3208.56s]  but up until now they've only been shallow RNNs in the sense that we just had one hidden state
[3208.56s -> 3213.76s]  but you can also make them deep by having multiple layers of hidden states
[3213.76s -> 3220.40s]  was also commonly called stacked RNNs so you'd have several layers of RNNs
[3221.12s -> 3228.00s]  built above each other and you might wonder does this really do anything are they just
[3228.00s -> 3234.16s]  big vectors above the words but precisely because you have sort of this extra neural
[3234.16s -> 3240.24s]  network layer between here and here you get exactly the same power advantage you get otherwise
[3240.24s -> 3246.80s]  with neural networks that you can do successive layers of feature extraction and so you get more
[3246.80s -> 3257.68s]  power out of your neural network um to some extent um what people nice yeah nice okay so
[3257.68s -> 3268.48s]  some extent what people um found with new RNNs in those days um is that having multiple layers
[3268.48s -> 3274.00s]  definitely helps but unlike what was happening in those days with other kinds of neural networks
[3274.00s -> 3281.60s]  for vision etc people still use relatively shallow shallow RNN so you know you always got
[3281.60s -> 3286.40s]  a lot of gains by having two layers rather than one but you know commonly it started to
[3286.40s -> 3291.84s]  be more iffy whether you got extra value from three or four layers so commonly people were
[3291.84s -> 3298.00s]  running two or three layer lsdms and that's what people were using but that's completely
[3298.08s -> 3304.24s]  changed around in the world of transformers where nowadays people are building very deep
[3305.20s -> 3308.16s]  transformer networks for doing language understanding
[3310.64s -> 3316.96s]  okay but i should skip ahead and say a few words before time runs out about machine
[3316.96s -> 3324.08s]  translation um so machine translation is one of the key natural language processing tasks
[3324.08s -> 3330.88s]  where we're translating um words from sentences in one language to sentences in another language
[3330.88s -> 3337.12s]  so we're starting off um with a sentence in some language here french and what we want
[3337.12s -> 3348.32s]  to do is output it in a different language here english um so that machine translation was
[3348.32s -> 3356.96s]  actually where nlp started right so in the early 50s there wasn't artificial intelligence yet
[3356.96s -> 3364.32s]  there wasn't a field of nlp yet um but people started to work on machine translation
[3365.76s -> 3371.36s]  and the story of why people started to work on machine translation was essentially you know
[3371.36s -> 3377.44s]  computers were first developed during the second world war and during the second world war
[3377.44s -> 3383.84s]  computers were used for two things one of them was calculating artillery table targets
[3383.84s -> 3388.72s]  artillery tables to sort of work out what angle to put your gun on to get it to land in the
[3388.72s -> 3394.08s]  right place i'm not very relevant to what we're doing but the other thing the other thing
[3394.08s -> 3402.00s]  that computers were used for was code breaking um so um after the second world war it moved
[3402.00s -> 3409.44s]  very quickly into the cold war and there were you know concerns on both sides um you know of
[3409.44s -> 3415.20s]  keeping up with the science that was being developed on both sides and people had the idea
[3415.20s -> 3423.92s]  of gee maybe we could think of translation between languages as like code breaking and that
[3423.92s -> 3432.16s]  thought um occurred to um important relevant people and science funding agencies and actually
[3432.16s -> 3438.40s]  lots and lots of funding was poured into this idea of can we use computers to do machine
[3438.40s -> 3446.56s]  translation between languages and you know at the time in the 50s you know after some initial
[3446.56s -> 3453.28s]  very impressive looking cooked demos it was sort of basically a complete flop and the reason you
[3453.28s -> 3459.04s]  know there are lots of reasons why it's a complete flop you know one was people knew almost nothing
[3459.04s -> 3464.64s]  about the structure of human languages i mean in particular when i was mentioning the other day
[3464.64s -> 3470.40s]  the Chomsky hierarchy right and knowing about sort of context-free languages right the Chomsky
[3470.40s -> 3476.00s]  hierarchy even hadn't been invented yet right sort of formal properties of languages hadn't
[3476.00s -> 3483.60s]  really been explored but also you know the computers um that people had in the 1950s right
[3483.60s -> 3490.72s]  the amount of computing power or memory or anything like this that those computers had
[3490.72s -> 3497.60s]  in those days was laughable right these days you know the little power brick for your laptop
[3497.60s -> 3503.44s]  has more computing power inside it than the big mainframe computers that they used to be using
[3503.44s -> 3513.04s]  in those days so basically people were only able to build very simple lexicons and rule-based
[3513.60s -> 3519.04s]  substitution rules and nothing like the complexity of human languages which only
[3519.04s -> 3526.88s]  gradually people began to understand but machine translation started to become more alive in the
[3526.88s -> 3535.60s]  1990s and 2000s decades once people started to build empirical models over lots of data
[3535.60s -> 3541.92s]  and the approach then was called statistical machine translation and so when google translate
[3541.92s -> 3549.84s]  was first introduced to the world it was sort of the big unveiling to the world of statistical
[3549.84s -> 3555.44s]  phrase-based machine translation systems where what you were doing was you're collecting a large
[3555.44s -> 3563.84s]  amount of parallel data words have been translated from one word to another and you know not for all
[3563.84s -> 3569.28s]  languages but for quite a few languages there are quite a few sources of parallel data so the
[3569.28s -> 3575.20s]  european union generates a huge amount of parallel data among european languages there are
[3575.20s -> 3581.44s]  places like hong kong where you get english chinese if a certain dialect of chinese um
[3581.44s -> 3588.32s]  parallel data um the un generates a lot of parallel data so getting sources of parallel
[3588.32s -> 3593.92s]  data and trying to build models and so the way it was done was based on that model
[3593.92s -> 3602.24s]  we're going to try and learn a probability model for translation so this is the probability
[3602.24s -> 3608.32s]  of a translation given a source sentence and the way it was done at that time was breaking it
[3608.32s -> 3617.28s]  down using bayes rule into two sub-problems so the probability of the translation given the source
[3617.28s -> 3623.44s]  is going to be the inverted probability of the source given the translation times the
[3623.44s -> 3630.00s]  probability of the translation and you know you could think that this makes it no simpler
[3630.00s -> 3637.04s]  because you've just you know reversed the order of x and y but the reason why it made it
[3637.04s -> 3643.68s]  simpler and people were able to make progress was the translation model was treated as a very
[3643.68s -> 3650.32s]  simple model as to how words tended to get translated to words in the other language and
[3650.32s -> 3656.64s]  it didn't need to know anything about you know word order grammar structure of the other language
[3656.64s -> 3663.12s]  and then all of that was being handled by just this probability of y which was a pure language
[3663.12s -> 3668.80s]  model as we've talked about before so you could have a simple translation model which just sort of
[3668.80s -> 3676.32s]  said you know if you see the word om in french you might want to translate it as man or person
[3676.32s -> 3682.72s]  or have put some probabilities on that and then most of the cleverness was in the language model
[3682.72s -> 3687.92s]  which was telling you what would be a good sentence in the target language
[3687.92s -> 3697.76s]  okay um and so that was important because you know translations get pretty complicated right
[3697.76s -> 3704.88s]  so um you not only have to know how to translate words and those translations of words
[3704.88s -> 3711.84s]  vary in context um but you get a lot of reordering of words in sentences um
[3712.72s -> 3718.24s]  i'm not going to be able to spend a lot of time on this but you know here heal for a while
[3718.24s -> 3728.08s]  um was my favorite example machine translation sentence um so um this is actually a translated
[3728.08s -> 3734.16s]  sentence so it comes the original comes from the book guns germs and steel if you're familiar
[3734.96s -> 3742.56s]  with that um but it was that book by jared diamond um but this book was um translated into
[3742.56s -> 3751.28s]  chinese so here's a sentence um from um the book in chinese and you know uh i guess in the
[3751.28s -> 3756.40s]  2000s decade i was involved in building statistical machine translation systems
[3756.40s -> 3764.24s]  and i guess there was a mt evaluation um that um we did where our system did terribly on this
[3764.24s -> 3769.60s]  sentence and i tried it out on google translate and it also did terribly in this sentence
[3769.60s -> 3777.44s]  so what the sentence should say is in 1519 600 Spaniards landed in mexico to conquer the aztec
[3777.44s -> 3783.04s]  empire with a population of a few million they lost two-thirds of their soldiers in the initial
[3783.04s -> 3794.80s]  clash um so here's what google translate said in 2009 2009 1519 600 Spaniards landed in mexico
[3794.80s -> 3800.24s]  millions of people to conquer the aztec empire the first two-thirds of soldiers against their
[3800.24s -> 3807.52s]  loss um now it's partly bad because the word choices and the translations aren't very good um
[3807.52s -> 3814.16s]  but you know it's especially bad because it's just um not actually able to
[3814.16s -> 3820.96s]  capture and use the modification relationships um of the sentence so you know here's the part
[3820.96s -> 3828.08s]  of the chinese that's saying the aztec empire and over there in orange is the
[3828.08s -> 3834.80s]  few million people and in chinese there's this explicit little character here dearth
[3834.80s -> 3840.40s]  which is saying that stuff in orange modifies this stuff in green which is what it's meant to
[3840.40s -> 3846.96s]  be in the correct translation of aztec empire with a population of a few million um but google
[3846.96s -> 3852.08s]  translate completely fails on that and it's suddenly it's the millions of people who are
[3852.08s -> 3858.96s]  going to be conquering um the aztec empire um and you know that's sort of in this way um
[3858.96s -> 3864.56s]  the worst thing that's happening here though you know the 1519 600 isn't exactly a very good
[3864.56s -> 3870.72s]  translation um and the first two-thirds of soldiers against their loss isn't very good either
[3870.72s -> 3878.16s]  um but you know so for a while i used to sort of update this and see what happened you know
[3878.16s -> 3888.96s]  um in 2013 it almost seemed like progress had been made but by 2015 it had gone downhill
[3888.96s -> 3896.48s]  back to how it was before so it just seemed like they got lucky in 2013 rather than the systems
[3896.48s -> 3901.52s]  were working any better um and indeed this sort of seemed to be the problem
[3901.52s -> 3908.80s]  although some kind of progress had been made in machine translation um these systems um just
[3909.92s -> 3918.00s]  you know sort of never really worked all that great um and so that led to this amazing
[3918.00s -> 3926.24s]  breakthrough in 2014 where we then moved to neural machine translation and neural machine
[3926.24s -> 3934.16s]  translation was much better so what did we do in neural machine translation so we built a neural
[3934.16s -> 3941.36s]  machine translation system as a single end-to-end neural network and that's been a powerful idea
[3941.36s -> 3948.96s]  in neural network systems in general including in nlp if we can just have a single big system
[3948.96s -> 3954.48s]  and put a loss function at the end of it and then we can back propagate errors right back
[3954.48s -> 3960.00s]  down through the system it means we're sort of aligning all of our learning for the final
[3960.00s -> 3965.20s]  tasks we want to do and that's been very effective whereas earlier models couldn't do that
[3965.68s -> 3974.08s]  um so we built it with a sequence to sequence model so that sounds like our lstms but it's
[3974.08s -> 3978.16s]  meaning that we're going to have two of them one of them to encode the sentence
[3978.72s -> 3985.20s]  um the source sentence and one to produce the target sentence so that's what we're building so
[3985.20s -> 3991.20s]  for the source sentence we're taking here it says rnn but let's just think lstm because that's
[3991.20s -> 3996.48s]  what we're going to use in practice it's much better and so we're going to chunk through it
[3996.48s -> 4004.40s]  encoding what we've read using an rnn so this rnn isn't going to output anything right we're
[4004.40s -> 4010.24s]  just building up a hidden state that knows what's in the source sentence so again encoding
[4010.24s -> 4017.84s]  of the source sentence and we're going to use that final hidden state to condition the decoder
[4017.84s -> 4025.04s]  rnn which is going to then generate the translation so for the decoder rnn it's also
[4025.04s -> 4029.76s]  an lstm but it's going to be an lstm with different parameters so we're going to be learning
[4029.76s -> 4035.12s]  one set one lstm with source encoding parameters and then for the different language
[4035.12s -> 4042.08s]  we're learning a different lstm that'll know about the target language and so we give it start
[4042.08s -> 4050.88s]  and say well feed in for feed in your path what you've encoded from the encoder rnn
[4050.88s -> 4057.52s]  as your starting point um and then we're going to be i.e that'll be count as the previous
[4057.52s -> 4063.44s]  hidden state you're feeding into your lstm and then we're going to generate the first
[4063.44s -> 4070.64s]  word of the translation and we'll then copy that translated word down using this as a general
[4070.64s -> 4077.04s]  model as i did last time and we um start translating through he hit me with a pie
[4078.24s -> 4087.60s]  okay um so that sort of makes sense the model yeah okay um so
[4090.40s -> 4097.28s]  okay there's some notes sorry um yeah sorry what i was going to say yeah so the the little pink
[4097.28s -> 4104.96s]  note here so what i was showing you is the picture of using it at sort of run time
[4104.96s -> 4111.04s]  at run time we're going to encode the source and then generate the words for the translation
[4111.04s -> 4116.00s]  at training time we're going to have parallel text we're going to have sentences
[4116.00s -> 4123.04s]  in their translations we're going to run with the same architecture but as before then for the
[4123.60s -> 4130.80s]  decoder network we're going to try and predict each word and then say what probability did you
[4130.80s -> 4136.40s]  assign to the actual next word and that will give us a loss and we'll be calculating the losses
[4136.40s -> 4141.68s]  at each position working out the average loss working out the gradients back propagating
[4141.68s -> 4148.96s]  them through the entire network both the decoder rnn and the encoder rnn networks and updating
[4148.96s -> 4154.16s]  all the parameters of our model and that's the sense in which it's being trained end to end
[4155.84s -> 4163.52s]  okay um so sequence so this is sort of a general notion of an encoder decoder model
[4163.52s -> 4170.16s]  which is a very general thing that we use in all kinds of places right that we have
[4170.16s -> 4176.08s]  one network that encodes something which produces a representation which will then feed
[4176.08s -> 4182.08s]  into another network that we'll use to decode something and even when we go on
[4182.08s -> 4188.00s]  to do other things like use transformers rather than lstms we're still commonly going to use
[4188.00s -> 4193.68s]  these kind of encoder decoder models because if we want to do not only machine translation
[4193.68s -> 4204.96s]  but other tasks like summarization or text to speech or other things like that we're going
[4204.96s -> 4209.36s]  to be in this space of using encoder decoder networks yeah
[4212.40s -> 4215.28s]  using a deeper neural network with more layers
[4217.68s -> 4227.12s]  um well a lot it's sequenced um right so it has never been very six you're meaning like
[4227.12s -> 4233.68s]  why don't you just build on top of the source right um people have tried that occasionally
[4233.68s -> 4239.60s]  it's never been very successful and i think part of the reason is all of what i was trying
[4239.60s -> 4245.28s]  to show before about all of the word order changes around a lot between languages and if
[4245.28s -> 4252.00s]  you're sort of um just trying to build stuff on top of the source sentence it's very hard
[4252.00s -> 4257.44s]  to cope with that in particular it's not even the case that the length stays the same right
[4257.44s -> 4264.80s]  one of the big ways um in which languages vary is what little words that they have right so that
[4264.80s -> 4270.08s]  in english you're putting in a lot of these auxiliary verbs and articles whereas it's in
[4270.08s -> 4275.52s]  chinese you don't have any of those and so you're neither needing to depending on direction
[4275.52s -> 4280.08s]  add a lot of words or subtract a lot of words which is very hard to do if you're sort of
[4280.08s -> 4287.76s]  building on top of the source but uh is it quick uh yeah so left side is that something's
[4287.76s -> 4296.72s]  bi-directional or just like a like the encoder um yeah so you you'd totally think and it could
[4296.72s -> 4303.60s]  be that the encoder is bi-directional and that might be better um for the for the famous
[4303.60s -> 4308.48s]  original instantiation of this that was done at google they actually didn't make it bi-directional
[4308.48s -> 4313.60s]  so it was simply taking the final hidden state but that's absolutely an alternative that you
[4313.60s -> 4326.48s]  could do okay um yeah so i sort of said it was um okay usable for lots of things okay um
[4326.48s -> 4334.24s]  yeah so this is our conditional language model um this so we're now kind of directly calculating
[4334.24s -> 4342.24s]  the probability of y given x right that the decoder model is generating um uh language
[4342.24s -> 4350.40s]  expression as a language model directly conditioned on x um and so we train it with a big parallel
[4350.40s -> 4355.76s]  corpus um and that's the only case i'm going to talk about today recently there's been sort
[4355.76s -> 4362.16s]  of some interesting work on unsupervised machine translation meaning that you're got only a little
[4362.16s -> 4366.88s]  bit of information about how the languages relate you don't really have a lot of parallel
[4366.88s -> 4373.84s]  text but i'm not going to cover that today um yeah so for training it we have um paired
[4373.84s -> 4381.76s]  sentences um we work out our losses in the predictions at each position and then we're
[4381.76s -> 4388.16s]  working out our average loss and back propagating it through in a single system end to end as
[4388.16s -> 4397.68s]  described um yeah so in practice um when people built big machine translation systems this was
[4397.68s -> 4406.16s]  one of the places where absolutely it gave value to have multi-layer stacked um lstms and
[4406.16s -> 4412.32s]  so typically people are building a model those and you'll be building a model something like this
