# Detected language: en (p=1.00)

[0.00s -> 6.12s]  Great.
[1429.14s -> 1432.90s]  are you enjoying the CS224N lectures?
[1432.90s -> 1436.72s]  Of course the gold answer is heck yes.
[1437.88s -> 1439.14s]  So that's the reference answer.
[1439.14s -> 1441.80s]  So now let's say that the model just generates yes.
[1441.80s -> 1442.86s]  So here what you're gonna have
[1442.86s -> 1445.74s]  if I look at the blue score
[1445.74s -> 1449.84s]  I will have 67% essentially blue score
[1449.84s -> 1452.02s]  because two of the words that I generated
[1452.02s -> 1454.04s]  or two of the unigrams I generated
[1454.04s -> 1457.50s]  are in the reference, in the gold reference.
[1457.50s -> 1459.74s]  If I generate you know it
[1459.74s -> 1463.38s]  then I will only have a single token
[1463.38s -> 1465.22s]  in the generated sequence that appears
[1465.22s -> 1468.28s]  in the reference sequence which is the exclamation point
[1468.28s -> 1472.36s]  so I get a much lower blue score.
[1472.36s -> 1475.88s]  And if I just say yup then that doesn't appear at all
[1475.88s -> 1478.16s]  in the generated sorry in the reference sequence
[1478.16s -> 1481.64s]  so I get zero blue score which is a false negative
[1481.64s -> 1483.40s]  because really it literally means
[1483.40s -> 1485.54s]  the same thing as heck yes.
[1486.68s -> 1488.52s]  So hopefully you see that like
[1489.36s -> 1491.14s]  these metrics really have issues.
[1492.04s -> 1493.96s]  Also you can have false positives
[1493.96s -> 1496.36s]  for example if you say heck no
[1496.36s -> 1497.88s]  then most of the words are the same
[1498.44s -> 1500.48s]  so you get 67% blue score
[1501.40s -> 1503.84s]  but it really means something completely different.
[1506.16s -> 1507.00s]  Does that make sense?
[1507.00s -> 1507.84s]  Any questions?
[1509.96s -> 1510.96s]  Cool.
[1510.96s -> 1513.36s]  So very naturally now that you know
[1513.36s -> 1515.22s]  everything about word embeddings
[1515.22s -> 1518.84s]  what you might ask is oh why do we look at words
[1518.84s -> 1520.76s]  if what we could do is looking at like
[1520.76s -> 1523.92s]  learned repressations which really kind of
[1523.92s -> 1528.72s]  maintained the semantic similarity between words.
[1528.72s -> 1531.32s]  So this is exactly what people have done
[1532.60s -> 1537.76s]  around 2019 I think is that they took some
[1537.76s -> 1539.56s]  or even before actually 2016
[1539.56s -> 1541.92s]  they took some word embeddings
[1541.92s -> 1545.12s]  they associated every word in the
[1546.96s -> 1549.24s]  reference sequence to a word embedding
[1549.24s -> 1552.20s]  every word in the generated sequence
[1552.20s -> 1553.96s]  to the corresponding word embedding
[1553.96s -> 1556.72s]  and they basically started comparing the word embeddings.
[1556.72s -> 1558.72s]  So a very simple way of comparing word embeddings
[1558.72s -> 1560.24s]  is just you take the average
[1560.24s -> 1562.48s]  between the word embeddings in the reference sequence
[1562.48s -> 1564.00s]  and the average between the word embeddings
[1564.00s -> 1565.12s]  in the generated sequence
[1565.12s -> 1567.08s]  and you maybe look at cosine similarity.
[1567.08s -> 1568.86s]  I mean there are smarter ways of doing it
[1568.86s -> 1571.14s]  but honestly at this point it's not that important.
[1571.14s -> 1573.24s]  So you can think about averaging.
[1575.24s -> 1577.36s]  Another one as you know
[1578.54s -> 1581.12s]  at this point word embeddings
[1581.12s -> 1584.68s]  don't really take into account the contextual
[1584.68s -> 1588.80s]  or like the context of where the word basically appears.
[1588.80s -> 1591.60s]  So a better way of getting good repressations
[1591.60s -> 1595.18s]  for a word is by looking essentially at BERT.
[1595.18s -> 1597.52s]  So what you could do is you could take a BERT model
[1597.52s -> 1600.64s]  you could pass the generated sequence to it
[1600.64s -> 1603.04s]  you get some embeddings
[1603.04s -> 1605.28s]  and then you can take BERT again
[1605.28s -> 1607.76s]  the same BERT you pass the reference sequence to it
[1607.76s -> 1608.96s]  you get some other embeddings
[1608.96s -> 1610.72s]  and then you do again some comparison.
[1611.12s -> 1613.32s]  This BERT score, pretty famous paper
[1613.32s -> 1615.56s]  they do some smart comparison
[1615.56s -> 1617.88s]  but it's not that important to understand
[1617.88s -> 1620.02s]  what exactly they do.
[1620.02s -> 1623.52s]  What is important is that they take some smart averaging
[1623.52s -> 1624.84s]  between those words.
[1626.98s -> 1628.26s]  Cool, any questions?
[1631.62s -> 1632.46s]  Okay.
[1634.42s -> 1638.92s]  So that was the simplest type of learning methods
[1638.96s -> 1643.08s]  which is word matching.
[1643.08s -> 1647.00s]  Another slightly more complicated one is called BLURT
[1647.00s -> 1650.96s]  also pretty famous which is a mix between BLURT and BERT.
[1652.00s -> 1653.60s]  So the way that they did that
[1653.60s -> 1656.80s]  is that basically they took a pre-trained BERT
[1656.80s -> 1660.28s]  and then they do some continual pre-training
[1660.28s -> 1662.98s]  by trying to predict the BLURT score
[1662.98s -> 1664.20s]  and some other metrics
[1664.20s -> 1666.42s]  and then they fine-tune, that's the important part
[1666.42s -> 1668.72s]  is that they fine-tune their pre-trained model
[1669.36s -> 1671.48s]  to actually do the evaluation that they care about.
[1671.48s -> 1674.80s]  So let's say that I have a lot of different sequences
[1674.80s -> 1677.48s]  and I have some human annotations
[1677.48s -> 1679.16s]  of how I should be evaluating it
[1679.16s -> 1681.92s]  I could just treat that as a normal machine learning task
[1681.92s -> 1685.76s]  and I just fine-tune my BERT to do the evaluation.
[1686.88s -> 1687.94s]  So this is BLURT.
[1689.72s -> 1690.56s]  Any questions?
[1691.82s -> 1692.66s]  Yes.
[1693.66s -> 1696.40s]  If you pre-train on BLUE
[1696.40s -> 1697.88s]  wouldn't it cause the same problems
[1698.44s -> 1699.96s]  if your pre-training passes BLUE
[1699.96s -> 1702.50s]  then your BERT would learn the ability
[1702.50s -> 1706.04s]  to model languages semantically in the first place?
[1706.04s -> 1707.52s]  Yeah, that's a very good point.
[1707.52s -> 1709.88s]  So actually I also find it kind of surprising
[1709.88s -> 1711.36s]  so they did two things.
[1711.36s -> 1714.36s]  First they do the real pre-training of BERT
[1714.36s -> 1716.24s]  and then they do continual pre-training
[1716.24s -> 1718.14s]  for predicting BLUE.
[1718.14s -> 1719.76s]  And the reason why is because usually they say
[1719.76s -> 1722.40s]  we have a lot of sequences in our data set
[1722.40s -> 1723.24s]  that are unlabeled.
[1723.24s -> 1727.04s]  So we have some reference sequences
[1727.08s -> 1729.16s]  and some generated sequences
[1729.16s -> 1731.60s]  but we don't have the human annotation
[1731.60s -> 1733.40s]  of whether this is good or bad.
[1733.40s -> 1736.24s]  So we will treat that as an unsupervised learning
[1736.24s -> 1737.44s]  objective.
[1737.44s -> 1739.40s]  So what do you use for the unsupervised learning
[1739.40s -> 1740.32s]  objective?
[1740.32s -> 1741.40s]  Well you have to use something
[1741.40s -> 1742.72s]  and they basically use BLUE
[1742.72s -> 1746.44s]  and they also use actually BERT score.
[1746.44s -> 1748.34s]  So they use many different tasks
[1748.34s -> 1750.44s]  and they basically do multi-task learning.
[1751.88s -> 1752.72s]  Cool.
[1753.48s -> 1758.48s]  Okay, so one important issue with all these methods
[1759.00s -> 1761.68s]  is that really they can only be as good
[1761.68s -> 1763.16s]  as the references are.
[1763.16s -> 1766.84s]  And in reality the references are usually not that good.
[1766.84s -> 1771.84s]  So this is a paper that looks at summarization of news.
[1773.24s -> 1775.52s]  So basically as I said before,
[1775.52s -> 1778.60s]  most of the news summarization benchmarks
[1778.60s -> 1782.32s]  they usually take the reference summary
[1782.76s -> 1784.24s]  as being the bullet points that you find
[1784.24s -> 1785.88s]  at the top of an article.
[1786.78s -> 1788.28s]  And this is usually not that good.
[1788.28s -> 1792.88s]  So here what you see on the left,
[1792.88s -> 1795.52s]  this is what if you look at the correlation
[1795.52s -> 1800.52s]  between the x-axis being the human rate of,
[1801.04s -> 1803.88s]  or like the human evaluated performance of every model.
[1803.88s -> 1806.92s]  And then the y-axis you see the rouge L
[1806.92s -> 1808.68s]  which is just a variant of rouge.
[1809.68s -> 1813.48s]  And you look at whether basically these two are correlated.
[1813.48s -> 1815.00s]  And what you see is that they are essentially
[1815.00s -> 1817.64s]  not correlated which means that rouge L
[1817.64s -> 1822.44s]  on the standard references is really not correlated
[1822.44s -> 1824.72s]  to what humans would say is a good summary.
[1825.56s -> 1828.52s]  That is not to say that rouge is a bad score.
[1828.52s -> 1831.04s]  That is to say that actually the references are bad
[1831.04s -> 1833.52s]  because if you look at the exact same thing
[1833.52s -> 1837.48s]  but now you ask experts to write very good summaries
[1837.56s -> 1838.64s]  then you see that the correlation
[1838.64s -> 1840.40s]  actually increases by a decent amount.
[1840.40s -> 1843.66s]  Still not perfect, rouge is definitely not perfect
[1843.66s -> 1845.96s]  but at least it's much better.
[1845.96s -> 1847.92s]  So this is to say that the metric itself
[1847.92s -> 1850.24s]  is not always perfect but not only this
[1850.24s -> 1853.18s]  the references are usually actually not great.
[1855.16s -> 1856.62s]  Cool.
[1856.62s -> 1858.84s]  So that begs a very natural question
[1858.84s -> 1863.84s]  which is can we just dump and basically move away
[1863.94s -> 1865.70s]  from reference-based evaluation?
[1865.70s -> 1868.34s]  So as we just said, reference-based evaluations
[1868.34s -> 1870.62s]  are the ones that compare human-written references
[1870.62s -> 1874.90s]  to some model outputs using some different type of metrics
[1876.64s -> 1880.98s]  and those used to be the standard metrics
[1880.98s -> 1882.54s]  for evaluating or the standard benchmark
[1882.54s -> 1884.38s]  for evaluating NLP tasks.
[1884.38s -> 1887.48s]  I would say up to like two or three years ago.
[1887.48s -> 1892.32s]  Right now I think papers still have to always
[1892.32s -> 1895.02s]  show the blue scores like for example in translation.
[1895.78s -> 1899.44s]  Because reviewers want those but I don't think
[1899.44s -> 1902.62s]  like anyone in the real world actually uses them
[1902.62s -> 1904.16s]  but I might be wrong on that.
[1905.34s -> 1907.34s]  So yeah, so blue, rouge, bird score.
[1907.34s -> 1909.46s]  Oh and I was mostly talking about blue and rouge.
[1909.46s -> 1912.10s]  Bird score is actually still decently used
[1912.10s -> 1913.42s]  and actually pretty good.
[1914.38s -> 1916.34s]  Okay, so reference-free evaluation.
[1916.34s -> 1920.20s]  So reference-free evaluation is basically you have a model
[1920.20s -> 1922.34s]  and you ask it to give a score
[1922.34s -> 1924.80s]  but there are no human references.
[1924.80s -> 1927.68s]  So the way that this used to be done
[1927.68s -> 1930.96s]  is essentially by taking a model like bird again
[1930.96s -> 1934.48s]  but instead of comparing between a reference answer
[1934.48s -> 1937.36s]  and a generated answer, you could just ask it
[1937.36s -> 1939.92s]  to take the input and just predict the score.
[1939.92s -> 1941.44s]  That's like one simple way of doing it.
[1941.44s -> 1943.32s]  That used to really not work well.
[1943.32s -> 1946.28s]  And I say used to because until basically
[1946.28s -> 1948.26s]  chat GPT and GPT-4.
[1948.26s -> 1951.26s]  Now what people do and honestly that works super well
[1951.26s -> 1954.82s]  is that you just ask GPT-4 to do the same task
[1954.82s -> 1955.82s]  as you would ask a human.
[1955.82s -> 1958.42s]  So you give like a very long text
[1958.42s -> 1960.78s]  and then you give the generated summary
[1960.78s -> 1963.06s]  and you ask like how good is it essentially.
[1963.06s -> 1966.62s]  And that works surprisingly well.
[1966.62s -> 1969.76s]  So common benchmarks here are alpaca eval and empty bench.
[1969.76s -> 1971.02s]  There are many others now.
[1971.02s -> 1975.22s]  Honestly most people start using these type of techniques
[1975.22s -> 1977.66s]  but we'll be talking at least about alpaca eval.
[1979.74s -> 1980.74s]  Good.
[1980.90s -> 1983.02s]  So let's talk a little bit about human evaluation
[1983.02s -> 1986.34s]  before looping back to basically GPT-4.
[1987.80s -> 1990.60s]  So as we saw, the metrics until now,
[1990.60s -> 1992.62s]  they all have some shortcomings
[1993.74s -> 1995.66s]  and are definitely not as good as if you ask
[1995.66s -> 1997.70s]  directly human evaluation because they are based
[1997.70s -> 2000.22s]  on references.
[2001.52s -> 2004.82s]  So human evaluation is really the gold standard
[2004.82s -> 2009.46s]  for open-ended tasks.
[2009.46s -> 2013.90s]  And not only is it really the standard way
[2013.90s -> 2015.78s]  of doing evaluation or like the gold standard
[2015.78s -> 2017.82s]  for evaluation, it's also the gold standard
[2017.82s -> 2020.72s]  for developing new automatic evaluations.
[2020.72s -> 2024.52s]  So every time you develop a new automatic evaluations,
[2024.52s -> 2027.88s]  you will want to compare to what humans
[2027.88s -> 2030.16s]  would have basically predicted.
[2035.34s -> 2037.48s]  Okay so doing human evaluation,
[2037.48s -> 2039.18s]  at first it might seem very simple.
[2039.78s -> 2041.74s]  You basically ask humans to evaluate the quality
[2041.74s -> 2043.06s]  of some generated text.
[2043.06s -> 2044.72s]  Seems simple, right?
[2044.72s -> 2047.14s]  But actually it's super complicated
[2047.14s -> 2050.50s]  and it's a real challenge and it has many issues.
[2050.50s -> 2053.98s]  So first, oh sorry, I'll talk about that before.
[2053.98s -> 2055.80s]  Maybe one additional thing is that you should
[2055.80s -> 2058.42s]  not only ask the human, you usually ask it also
[2058.42s -> 2062.98s]  to ask them to evaluate across different axes.
[2062.98s -> 2064.66s]  For example, the fluency of the text
[2064.66s -> 2065.88s]  or the coherence of the text
[2065.92s -> 2068.56s]  or like common sense or like the style,
[2068.56s -> 2071.96s]  grammaticality, redundancy, and like different axes
[2071.96s -> 2073.32s]  that you might care about.
[2074.48s -> 2076.56s]  Another thing to note is that you should
[2076.56s -> 2080.56s]  absolutely never compare different human evaluations.
[2080.56s -> 2082.10s]  So if there's one paper that says,
[2082.10s -> 2085.14s]  oh, humans have evaluated the fluency of our text
[2085.14s -> 2087.70s]  to be, I don't know, four out of five,
[2087.70s -> 2090.40s]  and then another paper that says like three out of five,
[2090.40s -> 2091.96s]  like they use different humans,
[2091.96s -> 2095.08s]  different ways of like prompting the humans.
[2095.12s -> 2097.74s]  So it's absolutely not comparable.
[2098.72s -> 2102.20s]  Okay, so let's go back to some of the issues.
[2102.20s -> 2104.04s]  So as I said, human judgments are regarded
[2104.04s -> 2107.24s]  as the gold standard, but it definitely has issues.
[2107.24s -> 2108.98s]  First, it's super slow.
[2110.16s -> 2112.48s]  As you might expect, humans are definitely
[2112.48s -> 2115.36s]  not as fast as automatic metrics.
[2116.22s -> 2119.68s]  Second, at least in academia, it's still pretty expensive
[2119.68s -> 2124.64s]  to do because, I mean, when you pay well your workers,
[2125.12s -> 2128.00s]  it's pretty expensive to do well human evaluation.
[2129.04s -> 2131.52s]  Another part is inter-annotated disagreement.
[2131.52s -> 2134.52s]  So if I take two random people in this room
[2134.52s -> 2136.64s]  and I ask them to evaluate the quality
[2136.64s -> 2138.66s]  of a generated text, I can assure you
[2138.66s -> 2140.88s]  that you will really not agree.
[2140.88s -> 2144.54s]  So this is, especially if it's subjective, it's really bad.
[2144.54s -> 2147.16s]  But even if you talk for like one hour before
[2147.16s -> 2150.24s]  about like how you should be evaluating
[2151.24s -> 2155.40s]  generations, I can most likely guarantee you
[2155.40s -> 2159.28s]  that you will still disagree on many of the evaluations.
[2159.28s -> 2163.20s]  And to give you an example, when we were doing
[2163.20s -> 2166.20s]  Alpaca form last year, which is something
[2166.20s -> 2171.20s]  where we basically had to take some inputs
[2171.60s -> 2175.68s]  and then take two models, think ChatGPT, Alpaca,
[2175.68s -> 2178.96s]  and these type of models, and you just have
[2178.96s -> 2180.66s]  the two models predict an answer,
[2180.66s -> 2182.32s]  and then you ask the humans to say
[2182.32s -> 2184.28s]  which answer they prefer.
[2184.28s -> 2188.04s]  This is a very simple task, and this is what,
[2188.04s -> 2189.84s]  I will talk about it later, this is what
[2189.84s -> 2191.16s]  a lot of people basically use right now
[2191.16s -> 2194.80s]  for evaluating models like ChatGPT.
[2194.80s -> 2197.64s]  So an actual question is whether humans
[2197.64s -> 2200.16s]  are good at doing that, and what we saw is that,
[2200.16s -> 2202.44s]  so we were five researchers doing that,
[2202.44s -> 2205.20s]  and the five of us, we talked for like two or three
[2205.20s -> 2208.84s]  hours, we wrote extremely detailed rubrics
[2209.68s -> 2211.10s]  about how to do the evaluations, and still,
[2211.10s -> 2213.46s]  we only agreed 67% of the time.
[2213.46s -> 2218.16s]  So 50% is random, and if we just label things
[2218.16s -> 2221.60s]  independently, we only agree 67% of the time.
[2221.60s -> 2223.72s]  And we really tried to do our best.
[2223.72s -> 2225.32s]  We were working on this thing, so it's not
[2225.32s -> 2227.74s]  as if we were trying to do it quickly.
[2227.74s -> 2228.88s]  So really, people disagree.
[2228.88s -> 2231.56s]  Of course, if you then allow discussions
[2231.56s -> 2236.00s]  between the annotators, then agreement actually improves,
[2236.92s -> 2239.60s]  but then it becomes even slower and more expensive.
[2240.44s -> 2242.10s]  Intra-annotated disagreement.
[2242.10s -> 2243.98s]  This is something that is extremely annoying,
[2243.98s -> 2245.92s]  which is that if I ask a human,
[2245.92s -> 2248.68s]  if I ask myself right now to evaluate something,
[2248.68s -> 2250.96s]  or like in three hours, like after I have dinner,
[2250.96s -> 2253.24s]  or after I went to run, I will actually
[2253.24s -> 2255.24s]  give different annotations.
[2256.16s -> 2257.00s]  Yes?
[2257.00s -> 2260.06s]  How do you define samples you might need
[2260.06s -> 2261.98s]  to help by evaluating?
[2262.82s -> 2264.74s]  You mean for validating?
[2266.50s -> 2268.26s]  Yeah, so this is a very good question.
[2268.26s -> 2270.16s]  Honestly, there's no good answer.
[2270.16s -> 2272.58s]  The usual way that people do it is that
[2272.58s -> 2277.58s]  you look at some statistical metrics, basically,
[2278.58s -> 2280.10s]  where you're like, okay, I want to compare
[2280.10s -> 2281.42s]  between these two models.
[2281.42s -> 2284.02s]  I'm going to basically perform a t-test,
[2284.02s -> 2286.22s]  and I want to know that my p-value
[2286.22s -> 2288.00s]  is less than a certain amount.
[2288.00s -> 2289.50s]  What people usually do also when they have
[2289.50s -> 2292.50s]  human annotations, I unfortunately didn't
[2292.50s -> 2294.82s]  put a slide on that, but they have metrics
[2294.82s -> 2298.20s]  for computing the intra-annotated agreement,
[2298.20s -> 2299.74s]  and they try to achieve a certain
[2299.74s -> 2302.08s]  intra-annotated agreement, and if not,
[2302.08s -> 2304.40s]  they will essentially ask for more humans
[2304.40s -> 2305.62s]  or for relabelings.
[2309.66s -> 2312.02s]  It's not reproducible, and this is partly
[2312.02s -> 2314.74s]  because of the two things that we said before,
[2314.74s -> 2317.94s]  but also partly because, yeah,
[2318.14s -> 2320.34s]  mostly because of the two things before.
[2320.34s -> 2322.94s]  This is an interesting paper.
[2322.94s -> 2324.54s]  I think it's, I forgot which year.
[2324.54s -> 2327.42s]  I think it's from 2021, but I'm not sure,
[2327.42s -> 2328.58s]  where basically they say,
[2328.58s -> 2330.12s]  and I read from the abstract here,
[2330.12s -> 2332.66s]  just 5% of human evaluations are repeatable
[2332.66s -> 2334.94s]  in the sense that there are no prohibitive barriers
[2334.94s -> 2337.10s]  to repetition and sufficient information
[2337.10s -> 2340.62s]  about experimental design is publicly available
[2340.62s -> 2341.78s]  for rerunning them.
[2341.78s -> 2343.30s]  This is a paper that analyzed, I think,
[2343.30s -> 2347.30s]  128 different papers that were published
[2347.34s -> 2350.86s]  across five years, I think, between 2015 and 2020,
[2351.82s -> 2353.64s]  and they found that essentially only 5%
[2353.64s -> 2355.34s]  of those papers were reproducible.
[2357.06s -> 2359.32s]  So honestly, working with humans is hard.
[2359.32s -> 2361.42s]  That's definitely something to remember.
[2362.30s -> 2364.34s]  Another part is that humans only
[2365.62s -> 2368.38s]  basically evaluate precision and not recall.
[2368.38s -> 2369.58s]  So what I mean by that is that
[2369.58s -> 2372.90s]  if you show me what the model generated,
[2372.90s -> 2374.90s]  I can only evaluate that generation.
[2374.90s -> 2378.62s]  I can't evaluate all the other possible generations
[2378.62s -> 2380.10s]  that it could have generated,
[2381.00s -> 2382.70s]  because then you really have to sample a lot of things
[2382.70s -> 2385.66s]  and that will become way too slow and way too expensive.
[2386.54s -> 2390.20s]  And finally, usually the incentives are not aligned.
[2390.20s -> 2392.70s]  So what you want is for the humans
[2392.70s -> 2395.90s]  to basically do the best possible evaluations,
[2395.90s -> 2397.86s]  but what crowd workers usually want
[2397.86s -> 2400.34s]  is basically to maximize the amount of money
[2400.34s -> 2402.36s]  that they get paid per hour.
[2402.36s -> 2405.38s]  So to give you, again, a concrete example,
[2405.38s -> 2407.12s]  when we were doing our packet farm,
[2408.76s -> 2410.96s]  I think we were paying relatively well
[2410.96s -> 2413.08s]  in the sense that we were paying
[2413.08s -> 2416.68s]  1.5 times the minimum wage in California,
[2416.68s -> 2418.60s]  and then we divided basically,
[2418.60s -> 2420.72s]  we looked at how much time we would spend
[2420.72s -> 2424.48s]  to do the thing, basically to evaluate
[2424.48s -> 2426.88s]  a single example the best we could.
[2427.88s -> 2429.32s]  And then we divided by that time
[2429.32s -> 2432.54s]  to basically know how much we would pay for every example.
[2433.48s -> 2435.60s]  And what we realized is that
[2435.60s -> 2437.26s]  they ended up being paid, I think,
[2437.26s -> 2439.60s]  two or 2.5 times the minimum wage
[2439.60s -> 2440.68s]  because they were just doing things
[2440.68s -> 2443.32s]  like two, three times faster than us.
[2443.32s -> 2445.76s]  And I don't, I mean, we could be slow,
[2445.76s -> 2446.88s]  but I think what was happening
[2446.88s -> 2448.96s]  is that they were just trying to maximize
[2448.96s -> 2450.64s]  the dollars that they were getting per hour,
[2450.64s -> 2453.54s]  and as a result, they were finding shortcuts
[2453.54s -> 2455.84s]  for doing their evaluations.
[2455.84s -> 2457.08s]  And this is something that you really see
[2457.08s -> 2458.52s]  in a lot of papers.
[2458.52s -> 2460.08s]  For example, in our case,
[2460.08s -> 2462.72s]  you saw that humans really preferred longer answers.
[2462.72s -> 2466.28s]  And of course, if you give me two very long,
[2466.28s -> 2468.08s]  like two, sorry, generations,
[2468.08s -> 2470.24s]  and you ask me with minimal amount of work
[2470.24s -> 2471.60s]  to say which one is better,
[2471.60s -> 2472.60s]  like if I see a longer one,
[2472.60s -> 2474.14s]  I'm like, ah, probably there are more details,
[2474.14s -> 2476.04s]  probably it's better.
[2476.04s -> 2478.64s]  Anyways, it's not to say that everyone is like that,
[2478.64s -> 2480.62s]  but definitely, it's the incentives are not aligned,
[2480.62s -> 2482.48s]  so you have to be careful with this.
[2483.82s -> 2485.52s]  Other challenges.
[2485.56s -> 2488.64s]  First, you have to decide how to describe the task.
[2488.64s -> 2490.72s]  You really have to give very detailed rubrics
[2490.72s -> 2493.80s]  for how the humans have to evaluate the task.
[2493.80s -> 2494.64s]  Then there's the question of
[2494.64s -> 2496.72s]  how do you show the task to the humans?
[2496.72s -> 2498.60s]  For example, the order in which you give examples
[2498.60s -> 2500.52s]  are actually really important.
[2500.52s -> 2502.84s]  In our case, because we had two examples side by side,
[2502.84s -> 2504.28s]  they're actually, which one is on the left
[2504.28s -> 2505.40s]  and which one is on the right
[2505.40s -> 2506.78s]  is actually also very important.
[2506.78s -> 2509.28s]  So all these things really matter.
[2509.28s -> 2510.96s]  Of course, you can randomize these things away,
[2510.96s -> 2514.24s]  but it is, like, it adds challenges.
[2514.24s -> 2515.08s]  What metrics do you use?
[2515.52s -> 2517.52s]  I mean, this is not specific to humans.
[2517.52s -> 2520.96s]  Selecting the annotators, this is also very complicated.
[2520.96s -> 2522.40s]  You might think, okay, I have some money,
[2522.40s -> 2525.04s]  now I can go on Amazon, MTurk is,
[2525.04s -> 2527.84s]  and I can just ask them to evaluate
[2527.84s -> 2529.42s]  or to do some annotations.
[2529.42s -> 2532.60s]  But in reality, you want to have the good annotators.
[2532.60s -> 2535.80s]  So how it usually works in Amazon, in MTurk,
[2535.80s -> 2539.42s]  is that basically you say, oh, here's a task,
[2539.42s -> 2542.12s]  I want, like, 30 different people to do these annotations,
[2542.12s -> 2543.94s]  and then they start annotating,
[2543.94s -> 2547.26s]  and then if they don't achieve the level that you want,
[2547.26s -> 2549.90s]  you basically pay for what they annotated until then,
[2549.90s -> 2552.52s]  and you work with someone else afterwards.
[2552.52s -> 2554.24s]  So then there's a question of how do you decide
[2554.24s -> 2556.98s]  whether they achieved the performance that you want.
[2556.98s -> 2558.46s]  So you probably have to do, like,
[2558.46s -> 2559.90s]  some gold labeling before,
[2559.90s -> 2562.38s]  and then look at, like, some accuracies of how well,
[2562.38s -> 2564.58s]  and, like, some intra-annotator agreement with you
[2564.58s -> 2567.54s]  and with, like, the other researchers on your team.
[2567.54s -> 2569.90s]  So it is very complicated.
[2569.90s -> 2573.30s]  And not only this, you have to monitor that over time.
[2573.30s -> 2575.02s]  So there are many different ways you can monitor that
[2575.02s -> 2576.98s]  over time, looking again at the accuracy.
[2576.98s -> 2579.64s]  So maybe every, let's say a typical thing
[2579.64s -> 2582.14s]  is that every batch of example that you label,
[2582.14s -> 2586.16s]  you give a few examples that are actually ones
[2586.16s -> 2588.42s]  that you already know what the gold label is,
[2588.42s -> 2590.56s]  and you see how well they're performing on that.
[2590.56s -> 2592.06s]  Another way to look at is, like,
[2592.06s -> 2594.22s]  the time that they take to annotate.
[2595.58s -> 2596.42s]  Yeah.
[2597.62s -> 2599.66s]  Okay, so that was about humans.
[2599.66s -> 2602.86s]  So human evaluation is hard, but it is the gold standard.
[2603.90s -> 2606.30s]  Okay, now let's talk about reference-free evaluation
[2606.30s -> 2607.14s]  and chatbots.
[2607.14s -> 2610.14s]  So I already told you about it before very briefly.
[2610.14s -> 2612.94s]  How do you evaluate something like chatGPT?
[2612.94s -> 2614.26s]  This is extremely complicated,
[2614.26s -> 2616.90s]  because basically you could ask it any task you want,
[2617.98s -> 2621.30s]  and it can answer text that is arbitrarily long,
[2621.30s -> 2624.02s]  and that just makes evaluation extremely hard.
[2625.80s -> 2627.26s]  So as I suggested before,
[2627.26s -> 2628.42s]  the usual way that it's done
[2628.42s -> 2629.54s]  is that you take two models.
[2630.38s -> 2631.20s]  You put them side by side.
[2631.20s -> 2632.22s]  You ask the same question,
[2632.22s -> 2634.76s]  and you just ask either some humans or some model,
[2634.76s -> 2638.00s]  as we will see afterwards, which one is better.
[2639.14s -> 2642.68s]  So this is the most common benchmark right now,
[2642.68s -> 2644.50s]  I would say, for human evaluation.
[2644.50s -> 2646.26s]  It's called Chatbot Arena,
[2646.26s -> 2649.02s]  where basically anyone can go online
[2649.02s -> 2650.58s]  and just play for free
[2650.58s -> 2653.34s]  with some of the best models out there,
[2653.34s -> 2655.06s]  and all they ask you is to say
[2655.06s -> 2656.38s]  whether you prefer the one on the right
[2656.38s -> 2658.74s]  or whether you prefer the one on the left, essentially.
[2659.10s -> 2660.54s]  And then once they reach, I think,
[2660.54s -> 2664.98s]  a crazy amount of data, 200,000 human votes, for example,
[2664.98s -> 2666.88s]  they basically add it to a leaderboard.
[2666.88s -> 2668.84s]  And the way they add it to a leaderboard
[2668.84s -> 2670.62s]  is that they essentially,
[2670.62s -> 2672.42s]  I don't know if you know how chess works,
[2672.42s -> 2675.26s]  but they basically look at the ELO ratings.
[2675.26s -> 2679.26s]  So they basically put everything as if it was a tournament
[2679.26s -> 2680.30s]  such that not every model
[2680.30s -> 2683.00s]  has to play against every other model,
[2683.00s -> 2685.00s]  and then they get ELO scores.
[2685.00s -> 2690.00s]  Okay, so what's missing with this side-by-side human eval?
[2690.80s -> 2692.36s]  As I said, this is really the gold standard
[2692.36s -> 2694.90s]  for evaluation of chat LLMs,
[2694.90s -> 2696.80s]  but there are still some challenges.
[2696.80s -> 2700.44s]  First, it's basically random people online
[2700.44s -> 2701.92s]  that ask random questions,
[2701.92s -> 2704.40s]  and they provide their preferences.
[2705.36s -> 2707.40s]  So that may not be representative,
[2707.40s -> 2709.92s]  although arguably, when you have that many examples,
[2709.92s -> 2711.42s]  it becomes actually pretty representative
[2711.42s -> 2712.72s]  of what people would want.
[2713.56s -> 2717.22s]  So it's probably better than whatever we have,
[2718.32s -> 2719.88s]  but it is still not ideal.
[2719.88s -> 2723.16s]  And then really, the big issue is cost.
[2723.16s -> 2725.68s]  This takes a huge community effort
[2725.68s -> 2727.82s]  and a lot of people to work on that.
[2728.92s -> 2731.20s]  Also, it takes a lot of time
[2731.20s -> 2733.60s]  to get new models on the benchmark,
[2733.60s -> 2735.20s]  and only the notable models,
