# Detected language: en (p=1.00)

[0.00s -> 7.32s]  Okay. Hi, everyone.
[1621.78s -> 1624.70s]  So it can either be the Rio Beach that's
[1624.70s -> 1628.06s]  going to be used for the Olympic beach volleyball,
[1628.06s -> 1630.50s]  or it's going to be the mutilated body that gets
[1630.54s -> 1633.86s]  used for the beach volleyball.
[1633.86s -> 1635.10s]  OK.
[1635.10s -> 1637.82s]  Yeah, so these are the kind of ways
[1637.82s -> 1640.34s]  in which we sort of want to use
[1640.34s -> 1642.90s]  the structure of the sentence to understand
[1642.90s -> 1644.02s]  what they're meaning.
[1644.02s -> 1646.58s]  We also use it in lots of sort
[1646.58s -> 1650.82s]  of just sort of mundane practical ways
[1650.82s -> 1653.58s]  when we're building various kinds of natural language
[1653.58s -> 1655.34s]  processing systems.
[1655.34s -> 1658.34s]  So you know, a kind of thing that people often
[1658.34s -> 1661.62s]  in practical systems do is that they want to get out
[1661.62s -> 1663.70s]  facts of various kinds.
[1663.70s -> 1667.22s]  So for people who do stuff with bioinformatics
[1667.22s -> 1670.26s]  that they commonly want to get out things like protein-protein
[1670.26s -> 1671.90s]  interaction facts.
[1671.90s -> 1675.66s]  And so commonly, you can get those kind of facts
[1675.66s -> 1677.74s]  out by looking for patterns.
[1677.74s -> 1680.18s]  So you know, have a verb, interacts,
[1680.18s -> 1684.06s]  that's going to be indicating an interaction pattern.
[1684.06s -> 1686.74s]  And well, it's going to be taking arguments,
[1686.74s -> 1689.22s]  so it's going to be taking a subject
[1689.22s -> 1692.62s]  and interacts with the prepositional argument.
[1692.62s -> 1696.58s]  And so that will be an interaction that CHI-C,
[1696.58s -> 1699.26s]  whatever that is, interacts with SAS-A.
[1699.26s -> 1701.78s]  But in this case, the SAS-A is coordinated
[1701.78s -> 1703.86s]  with the CHI-A and the CHI-B.
[1703.86s -> 1707.58s]  So it's also going to end up interacting with those two
[1707.58s -> 1709.18s]  other things as well.
[1709.18s -> 1711.78s]  And so you can use the sort of sentence structure patterns
[1711.78s -> 1714.46s]  of a dependency parse to be getting out
[1714.46s -> 1717.34s]  the kind of facts and events that you're
[1717.34s -> 1720.86s]  interested in for something like an event understanding
[1720.86s -> 1721.82s]  system.
[1721.82s -> 1727.58s]  People do these kind of analyses over biomedical text
[1727.58s -> 1730.22s]  to build up the kind of structured databases
[1730.22s -> 1732.78s]  of known protein-protein interactions
[1732.78s -> 1736.02s]  and things of that sort.
[1736.02s -> 1740.14s]  So linguistic structure is useful.
[1740.14s -> 1744.46s]  And it's syntactically very ambiguous.
[1744.46s -> 1749.66s]  And so you think of humans as active interpreters
[1749.66s -> 1752.42s]  that are using their contextual knowledge,
[1752.42s -> 1754.38s]  both of earlier stuff in the text,
[1754.38s -> 1756.02s]  knowledge of the world around them,
[1756.02s -> 1760.06s]  how the world works to work out the right structure.
[1760.06s -> 1763.26s]  So now I want to go on and show you
[1763.26s -> 1766.34s]  a bit more about sort of dependency grammars, which
[1766.34s -> 1768.14s]  is what we're going to be using.
[1768.14s -> 1772.26s]  So for dependency syntax, it postulates
[1772.26s -> 1776.62s]  that you can capture the structure of a sentence
[1776.62s -> 1781.30s]  by having these sort of asymmetric dependent
[1781.30s -> 1785.02s]  relations, which we might just call arrows, which are
[1785.02s -> 1786.94s]  going from heads to dependents.
[1786.94s -> 1791.42s]  So here the sentence is, bills on ports and immigration
[1791.42s -> 1794.22s]  were submitted by Senator Brownback,
[1794.22s -> 1796.02s]  Republican of Kansas.
[1796.02s -> 1798.82s]  And we're sort of picking out heads.
[1798.82s -> 1802.58s]  And then we've got things that depend on them,
[1802.58s -> 1805.58s]  that modify them.
[1805.58s -> 1806.14s]  Yeah.
[1806.14s -> 1809.62s]  So if you're on the video audience
[1809.62s -> 1813.06s]  and you are educated in the United States
[1813.06s -> 1816.58s]  and you're over the age of 50, or if you
[1816.58s -> 1819.78s]  happen to go to one of those kind of private schools
[1819.78s -> 1822.78s]  where they also teach Latin, you
[1822.78s -> 1826.46s]  might have seen sentence diagramming.
[1826.46s -> 1829.90s]  So Reed Kellogg sentence diagramming
[1829.90s -> 1833.02s]  was something that was actually very widespread
[1833.02s -> 1838.14s]  in American education, which really was a something.
[1838.14s -> 1839.74s]  It was really dependency grammar.
[1839.74s -> 1842.54s]  It was sort of a somewhat quirky form of dependency
[1842.54s -> 1845.66s]  grammar, where you had to write lines at different angles
[1845.66s -> 1846.86s]  and stuff like that.
[1846.86s -> 1848.98s]  But basically, you're writing sort
[1848.98s -> 1851.34s]  of heads and their dependents underneath them
[1851.34s -> 1854.18s]  with different funny shaped lines.
[1854.18s -> 1856.90s]  It also was dependency grammar.
[1856.90s -> 1857.74s]  OK.
[1857.74s -> 1861.06s]  So this is the start of a dependency grammar.
[1861.06s -> 1865.62s]  But just like the funny angled lines of sentence diagramming,
[1865.62s -> 1870.66s]  normally people want to add some more information than that.
[1870.66s -> 1874.86s]  And so most commonly, that the arrows are then
[1874.86s -> 1878.74s]  typed by giving the name of some grammatical relation.
[1878.74s -> 1884.14s]  So something can be the noun subject, or an oblique,
[1884.14s -> 1888.02s]  or an oppositional modifier, or a case mark,
[1888.02s -> 1890.94s]  or things like that.
[1890.94s -> 1894.46s]  And I'm just trying to give you
[1894.46s -> 1896.90s]  the idea of dependency grammars.
[1896.90s -> 1900.46s]  I'm not expecting you to master all of these names
[1900.46s -> 1903.34s]  and ways of doing things.
[1903.34s -> 1906.22s]  And there are different systems of deciding
[1906.26s -> 1907.78s]  what's heads and dependents.
[1907.78s -> 1911.34s]  And not all the details are important.
[1911.34s -> 1912.90s]  What you should get into your head
[1912.90s -> 1916.42s]  is just sort of the basic idea of what one of these does.
[1916.42s -> 1920.22s]  And some sense of, oh, it should be at the phrase level,
[1920.22s -> 1923.14s]  it should be representing what's modifying what.
[1923.14s -> 1928.14s]  So we do actually ask some questions on the assignment.
[1928.14s -> 1931.50s]  And so for the cases like the prepositional phrase,
[1931.50s -> 1933.46s]  what is it modifying, you should
[1933.50s -> 1937.70s]  be able to give the right answer to that.
[1937.70s -> 1940.50s]  OK.
[1940.50s -> 1941.94s]  Yeah.
[1941.94s -> 1946.46s]  OK, so this is just a little bit more vocabulary.
[1946.46s -> 1949.74s]  So yeah, we have these arrows or dependencies.
[1949.74s -> 1951.90s]  And so I'm going to say that they connect
[1951.90s -> 1953.38s]  between a head and a dependent.
[1953.38s -> 1956.42s]  But sometimes people use other words like governor,
[1956.42s -> 1959.70s]  and modifier, and things like that.
[1959.78s -> 1963.54s]  And so dependencies are generally taken
[1963.54s -> 1966.42s]  and we'll be taking them as forming a tree.
[1966.42s -> 1970.10s]  So you've got something that's connected, acyclic,
[1970.10s -> 1971.94s]  and has a single root to it.
[1971.94s -> 1977.22s]  So our single root is the top of the sentence here.
[1977.22s -> 1983.86s]  So dependency, so although what you see most often these days,
[1983.86s -> 1986.10s]  either in a linguistics class or when
[1986.14s -> 1991.94s]  you get taught CS 103 at Stanford or computer science,
[1991.94s -> 1995.90s]  what you see there is normally context-free grammars
[1995.90s -> 1997.78s]  or free structure grammars.
[1997.78s -> 2000.98s]  I mean, really, it is dependency grammars
[2000.98s -> 2003.94s]  that have the really long history.
[2003.94s -> 2007.62s]  So really, the predominant way of representing
[2007.62s -> 2011.42s]  the structure of human languages throughout human history
[2011.42s -> 2013.34s]  is dependency grammar.
[2013.34s -> 2018.22s]  So who linguists herald as the first dependency grammarian
[2018.22s -> 2020.54s]  or really the first person who tried
[2020.54s -> 2024.22s]  to write the grammar of a human language period
[2024.22s -> 2025.54s]  was Parnani.
[2025.54s -> 2028.46s]  So Parnani was working with Sanskrit.
[2028.46s -> 2031.46s]  Parnani lived so long ago that actually people don't
[2031.46s -> 2032.98s]  really know when he lived.
[2032.98s -> 2035.82s]  I mean, he lived somewhere between about the fourth
[2035.82s -> 2038.26s]  and eighth century before the common era.
[2038.26s -> 2040.82s]  But really, no one knows when.
[2040.86s -> 2044.90s]  But he lived sort of up in part of actually what's
[2044.90s -> 2046.78s]  now Afghanistan.
[2046.78s -> 2052.82s]  And for motivated for largely religious reasons,
[2052.82s -> 2056.22s]  he set about developing a grammar of Sanskrit.
[2056.22s -> 2059.26s]  And the way he represented the syntax of Sanskrit
[2059.26s -> 2061.70s]  was using a dependency grammar.
[2061.70s -> 2064.14s]  So there was a lot of work on grammar in Arabic
[2064.14s -> 2065.54s]  in the first millennium.
[2065.54s -> 2068.34s]  They used dependency grammars.
[2068.34s -> 2073.98s]  In contrast, the idea of sort of having context-free grammars,
[2073.98s -> 2075.78s]  that's really, really recent.
[2075.78s -> 2078.82s]  So the first work on phrase structure grammars
[2078.82s -> 2081.58s]  dates to the 40s and then was sort
[2081.58s -> 2087.18s]  of canonicalized by the work of Chomsky in the 1950s.
[2087.18s -> 2091.74s]  Yeah, so it's a fact for the computer science part
[2091.74s -> 2093.42s]  of people in the audience.
[2093.42s -> 2097.70s]  So dear computer scientists, if you know about Chomsky,
[2097.70s -> 2101.18s]  computer scientists normally know two things about Chomsky.
[2101.18s -> 2103.66s]  One is they hate on the Chomsky hierarchy
[2103.66s -> 2106.94s]  that they are forced to learn in CS 103
[2106.94s -> 2108.50s]  or equivalent classes.
[2108.50s -> 2112.66s]  And the second one is he's a very left politician.
[2112.66s -> 2115.46s]  But if I only deal with the first one of the two
[2115.46s -> 2119.26s]  now, the Chomsky hierarchy was not
[2119.26s -> 2124.34s]  invented either to torture elementary computer scientists
[2124.34s -> 2128.78s]  or to explain fundamental facts about formal language
[2128.78s -> 2129.54s]  theory.
[2129.54s -> 2131.26s]  The Chomsky hierarchy was actually
[2131.26s -> 2135.34s]  invented in thinking about human languages.
[2135.34s -> 2140.26s]  Because at that time, and in stuff that's come more often,
[2140.26s -> 2144.14s]  it was commonly the case that people
[2144.14s -> 2150.78s]  were modeling human languages with regular finite state
[2150.78s -> 2153.14s]  grammar equivalent mechanisms.
[2153.18s -> 2155.98s]  And Chomsky wanted to argue that that
[2155.98s -> 2160.34s]  was a completely inadequate formalism to represent
[2160.34s -> 2163.10s]  the complexity of human language.
[2163.10s -> 2165.06s]  And so it was in the context of arguments
[2165.06s -> 2168.22s]  about human language was why he developed the Chomsky
[2168.22s -> 2169.82s]  hierarchy.
[2169.82s -> 2171.10s]  OK.
[2171.10s -> 2175.22s]  Yeah, so anyway, that's enough of the history of that.
[2175.22s -> 2178.82s]  Here's my picture, a part of Panini's grammar.
[2178.82s -> 2181.46s]  But actually, or a version of it,
[2181.46s -> 2185.50s]  actually, this is really, really misleading.
[2185.50s -> 2187.34s]  And because one of the astounding facts
[2187.34s -> 2189.50s]  about Panini's grammar, and part
[2189.50s -> 2192.18s]  of why no one knows what century he lived in,
[2192.18s -> 2196.54s]  was Panini's grammar was composed orally.
[2196.54s -> 2199.58s]  So this sort of kind of blows my mind.
[2199.58s -> 2202.94s]  You know, it seems, you know, some
[2202.94s -> 2207.82s]  of the famous things in the West, like Homer's works,
[2207.82s -> 2210.22s]  right, The Odyssey and The Iliad, right,
[2210.22s -> 2212.50s]  they were originally oral works that
[2212.50s -> 2216.14s]  were passed down in oral form.
[2216.14s -> 2219.14s]  You know, that seems hard to do,
[2219.14s -> 2222.18s]  but you can kind of believe, if you did plays in high school
[2222.18s -> 2225.78s]  or something, that someone could memorize The Odyssey,
[2225.78s -> 2227.14s]  perhaps.
[2227.14s -> 2230.62s]  But the idea that people could memorize
[2230.62s -> 2234.50s]  a grammar of a language, passing it down
[2234.50s -> 2238.26s]  for hundreds of years, kind of blows my mind.
[2238.30s -> 2243.06s]  But that's exactly what happened with Panini's grammar.
[2243.06s -> 2245.90s]  So you know, really, although this
[2245.90s -> 2248.22s]  is sort of an old birch bark manuscript,
[2248.22s -> 2249.74s]  you know that really, it probably
[2249.74s -> 2253.14s]  dates from about a millennium after Panini
[2253.14s -> 2254.98s]  composed his grammar.
[2254.98s -> 2259.10s]  OK, getting back to the modern days.
[2259.10s -> 2262.94s]  Yeah, so for things to know about, yeah.
[2262.94s -> 2265.98s]  So I mean, we don't want you to fixate
[2265.98s -> 2268.98s]  on the sort of details of dependency grammar structure,
[2268.98s -> 2270.50s]  providing you have the rough idea.
[2270.50s -> 2275.10s]  But just one thing that you can possibly be confused about
[2275.10s -> 2279.46s]  is, you know, people do things in different ways.
[2279.46s -> 2281.42s]  One way in which they don't agree
[2281.42s -> 2284.54s]  is even which way to draw the arrows.
[2284.54s -> 2288.86s]  So some people draw arrows from the head pointing
[2288.86s -> 2290.26s]  at the dependents.
[2290.26s -> 2292.22s]  And there are other people who draw the arrows
[2292.22s -> 2295.88s]  starting at the dependent and pointing back at the heads.
[2296.42s -> 2299.20s]  So for modern dependency grammar,
[2299.20s -> 2306.80s]  largely follows the work of Lucien Tenier, a French linguist.
[2306.80s -> 2309.92s]  He did the arrows pointing from the head
[2309.92s -> 2311.04s]  to the dependent.
[2311.04s -> 2313.20s]  And so that's what I'm doing today.
[2313.20s -> 2315.72s]  But you'll see both.
[2315.72s -> 2317.66s]  We sort of said that, you know,
[2317.66s -> 2319.80s]  normally you assume that you have
[2319.80s -> 2321.76s]  a tree with a single root.
[2321.76s -> 2323.32s]  It's kind of common.
[2323.32s -> 2326.08s]  And it works out more easily for the parsing
[2326.08s -> 2328.20s]  if you sort of add to a sentence
[2328.20s -> 2330.24s]  a sort of a fake root node.
[2330.24s -> 2333.00s]  So you know that that's going to be the starting point.
[2333.00s -> 2335.16s]  And it's going to take one dependent, which
[2335.16s -> 2338.02s]  is the word that's the head of the sentence.
[2338.02s -> 2341.32s]  And then you're going to work down from there.
[2341.32s -> 2342.68s]  OK.
[2342.68s -> 2347.28s]  So before getting more into doing dependency parsing,
[2347.28s -> 2351.20s]  I just wanted to sort of take a little detour
[2351.20s -> 2356.64s]  to tell you about the importance that
[2356.64s -> 2361.02s]  happened with sort of the rise of annotated data
[2361.02s -> 2364.40s]  in natural language processing.
[2364.40s -> 2367.72s]  And this is sort of an interesting flip-flop
[2367.72s -> 2368.52s]  that's occurred.
[2368.52s -> 2371.16s]  But we're going to sort of today go in one direction.
[2371.16s -> 2374.68s]  And later class, we'll go in the other direction.
[2374.68s -> 2378.32s]  So in early natural language processing,
[2378.32s -> 2384.28s]  people started to see, oh, human languages have structure.
[2384.28s -> 2388.28s]  So what we should do is start writing rules
[2388.28s -> 2390.36s]  for the structure of human languages.
[2390.36s -> 2391.64s]  And you know, I started writing
[2391.64s -> 2393.80s]  a few context-free grammar rules
[2393.80s -> 2396.54s]  for the structure of English on that early slide.
[2396.54s -> 2398.88s]  And you could also write dependency grammar structure
[2398.88s -> 2399.64s]  rules.
[2399.64s -> 2403.64s]  So people tried to do natural language processing
[2403.64s -> 2407.28s]  by having rules, grammar rules, dictionaries
[2407.32s -> 2409.60s]  of parts of speech and things like that.
[2409.60s -> 2412.40s]  And that gave you parsers.
[2412.40s -> 2418.40s]  That, in retrospect, worked out pretty badly.
[2418.40s -> 2422.08s]  And it worked out pretty badly for a number of reasons.
[2422.08s -> 2424.92s]  One reason is that although there
[2424.92s -> 2427.84s]  are these sort of very canonical, clear structures
[2427.84s -> 2432.44s]  in human languages, there's a very long tail of messy stuff
[2432.44s -> 2436.24s]  where all kinds of weird usages start
[2436.24s -> 2440.72s]  to emerge in human languages, which sort of means
[2440.72s -> 2441.72s]  you've just got this.
[2441.72s -> 2443.76s]  It's just really hard to get coverage
[2443.76s -> 2446.24s]  for a handwritten language.
[2446.24s -> 2450.92s]  And that's because humans use language creatively, right?
[2450.92s -> 2455.44s]  So you can start thinking of some of the things
[2455.44s -> 2457.56s]  that you've probably come.
[2457.56s -> 2461.16s]  I'm probably not very good at young person's slang usages
[2461.16s -> 2465.08s]  of grammar these days, but the kind of ones
[2465.08s -> 2467.24s]  that you might be still familiar with, right?
[2467.24s -> 2468.20s]  Star Wars.
[2468.20s -> 2471.12s]  You have Yoda talk where you rearrange the sentences,
[2471.12s -> 2473.12s]  but people still understand them, right?
[2473.12s -> 2475.52s]  So that's changing the word order.
[2475.52s -> 2477.40s]  And earlier on than that, there
[2477.40s -> 2481.48s]  was sort of a little bit of a fad of putting not
[2481.48s -> 2483.96s]  at the end of the sentences.
[2483.96s -> 2487.00s]  That's a really great idea, not.
[2487.00s -> 2491.24s]  And well, people learn to understand that,
[2491.24s -> 2493.24s]  but it's different to regular grammar, right?
[2493.24s -> 2496.72s]  So it's really hard to write a full grammar,
[2496.72s -> 2499.96s]  but the bigger reason actually is the problem of ambiguity
[2499.96s -> 2501.40s]  I talked about, right?
[2501.40s -> 2506.00s]  That if you just write a grammar, well,
[2506.00s -> 2508.28s]  my sentence with the prepositional phrases
[2508.28s -> 2511.76s]  had 13 different parsers, and you didn't have much reason
[2511.76s -> 2513.40s]  to choose between them.
[2513.40s -> 2517.84s]  But if you had information about how often words modify
[2517.84s -> 2521.72s]  other words, then you could get some statistics
[2521.72s -> 2524.96s]  and start to predict in which order which
[2524.96s -> 2526.92s]  things modify other things.
[2526.92s -> 2528.88s]  And so people wanted to start to be
[2528.88s -> 2532.12s]  able to do that prediction that underlies probabilistic
[2532.12s -> 2533.92s]  or machine learning models.
[2533.92s -> 2536.52s]  And so to be able to do that,
[2536.52s -> 2541.64s]  that led sort of earliest antecedents in the 60s,
[2541.64s -> 2545.44s]  but really starting in the late 80s and into the 90s,
[2545.44s -> 2548.32s]  that people decide the way to make progress
[2548.32s -> 2553.16s]  in natural language processing, natural language understanding
[2553.16s -> 2556.76s]  is to build annotated data resources.
[2556.76s -> 2561.60s]  And so all through the 90s and the 2000s decades,
[2561.60s -> 2563.68s]  the name of the game for a lot of natural language
[2563.68s -> 2568.00s]  processing was people building annotated data resources
[2568.00s -> 2570.88s]  and then building machine learning systems on top
[2570.88s -> 2572.68s]  using those resources.
[2572.68s -> 2574.44s]  Now, that's kind of gone into reverse
[2574.44s -> 2577.12s]  and gone away again with large language models, which we'll
[2577.12s -> 2579.32s]  get to in another week or so.
[2579.32s -> 2581.08s]  But here's an example.
[2581.08s -> 2583.48s]  So this is the universal dependencies tree
[2583.48s -> 2587.04s]  banks, which I've actually been heavily involved with.
[2587.04s -> 2589.80s]  And it's a cool resource for all kinds of purposes
[2589.80s -> 2594.76s]  because it's actually a wide cross-linguistic database where
[2594.76s -> 2598.36s]  there's over 100 different languages with sentences
[2598.36s -> 2602.40s]  parsed with a uniform dependency formalism.
[2602.40s -> 2604.04s]  So it's actually really good for things
[2604.04s -> 2607.56s]  like cross-linguistic work and psycholinguistic work.
[2607.56s -> 2611.80s]  But what these are is taking sentences.
[2611.80s -> 2616.12s]  I think Muramar was a famous goat trainer or something,
[2616.12s -> 2618.92s]  and putting a dependency structure on it.
[2618.92s -> 2622.24s]  It's sort of all written there, sort of very squished down.
[2622.24s -> 2626.24s]  And human beings are producing these dependency structures.
[2626.24s -> 2628.56s]  And then this is giving us data that we
[2628.56s -> 2632.48s]  can learn things like dependency parsers from.
[2632.48s -> 2635.52s]  And indeed, for what you do in homework 2,
[2635.52s -> 2639.96s]  this is precisely what you'll be using is data of this sort
[2639.96s -> 2642.16s]  to build a dependency parser.
[2642.16s -> 2647.28s]  And it's going to learn that you have goat trainers,
[2647.28s -> 2649.22s]  and you have famous trainers.
[2649.22s -> 2652.52s]  And so it'll build up sort of statistics and information
[2652.52s -> 2656.68s]  to predict what kinds of things are likely.
[2656.68s -> 2663.92s]  Yeah, so starting off building a tree bank like that
[2663.92s -> 2667.72s]  feels kind of like, oh, this is going to be slow, hard work.
[2667.72s -> 2670.92s]  And it is actually slow, hard work.
[2670.92s -> 2674.44s]  But it proved to be a very effective strategy
[2674.44s -> 2678.28s]  because it gave wonderful reusable resources
[2678.28s -> 2682.04s]  that once people had done it once, all sorts of people
[2682.04s -> 2686.32s]  could use it to build parsers, part of speech taggers,
[2686.32s -> 2690.16s]  to do psycholinguistic models and all kinds of things.
[2690.16s -> 2692.64s]  You'd get the sort of distributional frequency
[2692.64s -> 2695.12s]  information that's good for machine learning.
[2695.12s -> 2699.00s]  It also provided one other thing that's crucial
[2699.00s -> 2702.20s]  is it gave a method to evaluate systems,
[2702.20s -> 2707.08s]  to say how good they are at producing parsers.
[2707.08s -> 2711.76s]  I mean, this may seem kind of comical to you
[2711.76s -> 2714.18s]  in the modern era of machine learning.
[2714.18s -> 2715.60s]  But the fact of the matter is when
[2715.60s -> 2719.40s]  people did natural language processing in the 50s, 60s,
[2719.40s -> 2725.22s]  70s, nobody had evaluation methods.
[2725.22s -> 2728.04s]  The way you showed people you had a good parser
[2728.04s -> 2730.28s]  is you ran the program.
[2730.28s -> 2733.04s]  You said, type in a sentence, look at what it looked like.
[2733.04s -> 2734.20s]  It's worked.
[2734.20s -> 2737.12s]  It's a really good parser.
[2737.12s -> 2741.04s]  There was no systematic evaluation of NLP systems
[2741.04s -> 2742.60s]  whatsoever.
[2742.60s -> 2748.02s]  So actually saying, look, here's 1,000 hand-passed sentences.
[2748.02s -> 2751.92s]  Let's evaluate how well your parser does on those.
[2751.92s -> 2755.40s]  That was actually a revolutionary new development
[2755.40s -> 2759.20s]  that happened in the end of the 80s,
[2759.20s -> 2760.36s]  but especially in the 90s.
[2764.08s -> 2768.16s]  So now that we have all of those knowledge,
[2768.16s -> 2773.96s]  we're going to want to start building dependency parsers.
[2773.96s -> 2778.20s]  And so I'm going to show a particular way of dependency
[2778.20s -> 2780.04s]  parsing, which is the one you're going
[2780.04s -> 2781.76s]  to use in the assignment.
[2781.76s -> 2784.68s]  But just first off, it's sort of worth
[2784.68s -> 2788.80s]  just thinking for a moment, what kind of information
[2788.80s -> 2792.16s]  should a dependency parser have to make decisions?
[2792.16s -> 2794.72s]  So these are kind of the four factors,
[2794.88s -> 2798.76s]  sort of the obvious things that are useful for dependency parsing.
[2798.76s -> 2802.28s]  I mean, the first one is sort of thinking
[2802.28s -> 2804.52s]  of the two words at the ends of the arrow
[2804.52s -> 2807.16s]  as to whether they are plausible, right?
[2807.16s -> 2813.68s]  So that for discussion of the outstanding issues was completed.
[2813.68s -> 2819.78s]  So to have discussion of issues, right, that's
[2819.78s -> 2822.80s]  a plausible dependency.
[2822.80s -> 2826.00s]  To have, you know, what's a silly one?
[2826.00s -> 2831.52s]  To have something like the being a dependent of completed,
[2831.52s -> 2833.52s]  that makes no sense at all.
[2833.52s -> 2838.16s]  So you know what words there are involved.
[2838.16s -> 2840.96s]  The second one is dependency distance.
[2840.96s -> 2843.88s]  So you can have long distance dependencies
[2843.88s -> 2849.24s]  that go a long way, but most dependencies are short distance.
[2849.24s -> 2851.44s]  You know, a lot of words are depending
[2851.44s -> 2854.52s]  on their neighboring words at a very short distance.
[2854.52s -> 2857.80s]  So that's a good preference to have.
[2857.80s -> 2860.52s]  As well as just the distance, it's
[2860.52s -> 2863.68s]  somewhat informative knowing what's in between.
[2863.68s -> 2870.68s]  So it's rare for dependencies to span verbs or punctuation.
[2870.68s -> 2872.88s]  And then there's a final one, which
[2872.88s -> 2875.92s]  is to think of the valency of heads.
[2875.92s -> 2879.52s]  And that's how many arguments they take.
[2879.56s -> 2885.36s]  So if you have sort of something like a verb broke,
[2885.36s -> 2890.64s]  well, it probably has something to the left,
[2890.64s -> 2893.88s]  because it probably has who did the breaking.
[2893.88s -> 2897.96s]  And it probably has something to the right,
[2897.96s -> 2901.80s]  because there might be the cup or something like that.
[2901.80s -> 2904.20s]  But you know, it doesn't have to be that,
[2904.20s -> 2906.84s]  because it could be the cup broke.
[2906.84s -> 2911.80s]  So you can have something to the left, but nothing to the right.
[2911.80s -> 2914.40s]  But you sort of have to have something to the left.
[2914.40s -> 2917.48s]  And conversely, you can't have any number of things.
[2917.48s -> 2923.64s]  You can't just say, he broke the cup, the saucer, the dish.
[2923.64s -> 2926.32s]  So it doesn't take just lots of arguments to the left.
[2926.32s -> 2931.04s]  So you've got a notion of valency like that.
[2931.04s -> 2931.72s]  Yeah.
[2931.72s -> 2934.48s]  There's one other tricky little notion
[2934.48s -> 2941.48s]  on dependency parsing, which is normally dependencies kind
[2941.48s -> 2944.20s]  of nest like this.
[2944.20s -> 2948.32s]  And nesting dependencies corresponds to a tree structure
[2948.32s -> 2950.56s]  as you'd have in a context-free grammar.
[2950.56s -> 2951.32s]  Yeah.
[2951.32s -> 2952.80s]  I have a question.
[2952.80s -> 2956.40s]  Can you explain to me why I wrote this whole book
[2956.40s -> 2958.16s]  into a word?
[2958.16s -> 2962.80s]  Because in a sense, when I read the sentence, which is four,
[2962.80s -> 2965.72s]  I felt that the most important thing was discussion.
[2965.72s -> 2972.64s]  So if I could see your arrows, I would be happy to hear your question.
[2972.64s -> 2975.52s]  So fair enough.
[2975.52s -> 2981.64s]  I will assert that this is a sentence.
[2981.64s -> 2988.76s]  And discussion is the subject of the verb completed.
[2988.80s -> 2993.72s]  And normally for a sentence, we say the main thing
[2993.72s -> 2996.00s]  in the sentence is its verb.
[2996.00s -> 3000.16s]  And so, yeah, so that's why the root is heading to completed.
[3000.16s -> 3004.04s]  And the subject of the verb is also an important thing.
[3004.04s -> 3007.04s]  But the arguments of the verb, like the subject of the verb,
[3007.04s -> 3009.72s]  the object of the verb, if there is one prepositional phrase
[3009.72s -> 3015.60s]  modifiers, they're all taken as dependence of the verb.
[3015.60s -> 3016.48s]  Yeah.
[3016.48s -> 3018.36s]  Sorry, follow up.
[3018.36s -> 3020.92s]  Following up on that, is it safe to see the verb?
[3020.92s -> 3024.92s]  Like, when is it not the verb that you start with?
[3024.92s -> 3027.48s]  Oh, sorry.
[3027.48s -> 3033.96s]  If you have a sentence with a verb like this,
[3033.96s -> 3036.00s]  that is always the answer.
[3036.00s -> 3040.00s]  I mean, some of the details here depend on languages.
[3040.00s -> 3041.56s]  But there are languages in which
[3041.56s -> 3044.52s]  you don't have to have a verb in a sentence.
[3044.52s -> 3050.56s]  And you can get things like, I mean,
[3050.56s -> 3055.08s]  you can do it in sort of very restricted ways in English.
[3055.08s -> 3060.28s]  So if you just sort of say, easy as pie, there's no verb.
[3060.28s -> 3063.52s]  And so then you'll say, easy, the adjective,
[3063.52s -> 3065.68s]  which is sort of the predicate adjective,
[3065.68s -> 3067.00s]  is then the head of the sentence.
[3071.20s -> 3074.28s]  It's like a question, like, what is the story?
[3074.28s -> 3075.40s]  Is that where it is?
[3075.40s -> 3078.20s]  Like, we would still look at that as the.
[3078.20s -> 3079.84s]  That one is complicated.
[3079.84s -> 3082.72s]  Some people would say it is.
[3082.72s -> 3086.44s]  And some people would say it isn't.
[3086.44s -> 3088.96s]  And in particular, in universal dependency,
[3088.96s -> 3091.64s]  we don't actually say that is is the head of the sentence.
[3091.64s -> 3093.56s]  But I don't want to get too far into this.
[3093.56s -> 3095.40s]  If you want, you could sort of look more
[3095.40s -> 3097.16s]  at how things are done.
[3097.16s -> 3101.92s]  But I want to fully admit that dependency grammar isn't
[3101.92s -> 3104.20s]  sort of one uniquely defined theory.
[3104.20s -> 3106.28s]  People have had different ideas of which
[3106.28s -> 3110.24s]  things to take as the head in various circumstances.
[3110.24s -> 3111.68s]  And they argue about it.
[3111.68s -> 3113.92s]  Linguists argue about what the right structure
[3113.92s -> 3116.24s]  is to put over all sorts of sentences.
[3116.24s -> 3119.72s]  But the fact that people do things different ways
[3119.72s -> 3121.76s]  doesn't mean that everybody doesn't
[3121.76s -> 3124.16s]  agree that there are units, there
[3124.16s -> 3127.68s]  are phrases, and modifiers, and ambiguities,
[3127.68s -> 3129.76s]  and so on between them.
[3129.76s -> 3133.28s]  OK, yeah, so normally we get this sort of nesting
[3133.28s -> 3136.28s]  that corresponds to what you can build with context-free
[3136.28s -> 3137.64s]  grammar structure.
[3137.64s -> 3140.96s]  But sometimes in human languages, you
[3140.96s -> 3144.32s]  get dependencies that don't nest.
[3144.32s -> 3148.08s]  So you get sentences like, I'll give a talk tomorrow
