# Detected language: en (p=1.00)

[0.00s -> 0.84s]  Hello, everyone.
[1375.74s -> 1377.34s]  It has to be very dense
[1377.34s -> 1380.72s]  or it has to guide you towards a solution, et cetera.
[1380.72s -> 1384.54s]  Not at all in the framework of RL.
[1384.54s -> 1386.18s]  The reward can be basically,
[1386.18s -> 1388.68s]  have I achieved my goal or not?
[1388.68s -> 1391.54s]  So basically, in RL, we really need to have a goal,
[1391.54s -> 1394.18s]  but then your reward can be a goal achieved
[1394.18s -> 1396.74s]  equal than one, otherwise a zero all the time.
[1398.20s -> 1400.32s]  If you don't really have a goal
[1400.32s -> 1402.14s]  that you want to try to achieve,
[1402.14s -> 1403.94s]  then maybe that doesn't fit very well
[1403.94s -> 1405.66s]  into the RL framework.
[1405.66s -> 1407.08s]  But if you have a goal,
[1407.08s -> 1410.70s]  then super framework to work with,
[1411.54s -> 1415.62s]  especially since it has actually been proven
[1415.62s -> 1417.86s]  to work really, really well.
[1417.86s -> 1420.18s]  So here is a sample of the most successful stories
[1420.18s -> 1421.38s]  coming out of DeepMind
[1421.70s -> 1425.74s]  when RL was basically run at scale.
[1425.74s -> 1427.70s]  So as you can see, there are a lot of examples
[1427.70s -> 1430.22s]  of games and video games.
[1430.22s -> 1433.78s]  So for instance, the seminal work on Atari,
[1433.78s -> 1436.74s]  the work on Go and StarCraft and Stratego.
[1436.74s -> 1439.94s]  But as I said, RL is not confined to games.
[1439.94s -> 1442.10s]  It's about trying to achieve a goal.
[1442.10s -> 1445.70s]  And so here, like on the bottom row,
[1445.70s -> 1447.86s]  there is AlphaDev and AlphaTensor,
[1447.86s -> 1450.46s]  which were used to discover new algorithms
[1450.86s -> 1453.54s]  and the bottom on the right is basically,
[1453.54s -> 1457.58s]  RL was used to try to control in a tokamak
[1457.58s -> 1459.06s]  the shape of the plasma
[1459.06s -> 1461.34s]  to get better nuclear fusion reactions.
[1461.34s -> 1464.90s]  So you can see, it is a very general setup.
[1466.58s -> 1470.94s]  Now, I had myself the luck to spend my days
[1470.94s -> 1473.94s]  on AlphaGo and descendants.
[1473.94s -> 1477.22s]  And this is what I call the zero series.
[1477.66s -> 1481.18s]  And especially from AlphaGo Zero,
[1481.18s -> 1484.22s]  we showed that we could train an agent to master domains.
[1484.22s -> 1486.70s]  And when I say master, I actually mean,
[1486.70s -> 1489.02s]  being the world champion hands down
[1489.02s -> 1491.34s]  at the time when those things came out.
[1493.22s -> 1494.38s]  And we learned to do that
[1494.38s -> 1496.90s]  without any human input information,
[1496.90s -> 1499.74s]  or you basically learned everything from scratch.
[1499.74s -> 1502.74s]  And so I wanna talk to you about the zero philosophy,
[1502.74s -> 1506.82s]  which I think is a great philosophy for research.
[1508.06s -> 1509.82s]  And it's about this.
[1509.82s -> 1512.66s]  If an agent can learn to master an environment tabula rasa,
[1512.66s -> 1514.34s]  so without any information,
[1514.34s -> 1516.02s]  then basically you've demonstrably shown
[1516.02s -> 1518.58s]  that you have a system that is able to discover
[1518.58s -> 1520.34s]  and learn new knowledge by itself.
[1521.98s -> 1525.30s]  This also means that this algorithm is general
[1525.30s -> 1527.26s]  and should apply to other domains.
[1528.94s -> 1530.82s]  And I think the ability
[1530.82s -> 1533.62s]  of being able to discover new knowledge,
[1533.62s -> 1536.62s]  this is particularly important to advance science
[1536.62s -> 1538.42s]  because a big part of doing science
[1538.42s -> 1541.34s]  is to just explore areas that are not yet well understood
[1541.34s -> 1542.18s]  and advance knowledge.
[1542.18s -> 1543.78s]  And you need to accumulate knowledge,
[1543.78s -> 1546.78s]  continuously generate and discover new interesting source.
[1546.78s -> 1549.62s]  And that's a huge part of doing science.
[1551.30s -> 1553.26s]  So, especially for research,
[1553.26s -> 1557.14s]  I think this is a great way to demonstrate
[1557.14s -> 1560.02s]  that you can discover new things.
[1560.02s -> 1561.82s]  I would say that especially now
[1561.82s -> 1563.58s]  with the big success of LLMs,
[1565.02s -> 1566.58s]  maybe a more pragmatic point of view,
[1567.50s -> 1571.74s]  is to be able to start at a certain knowledge base,
[1571.74s -> 1573.98s]  and then you want to know that your algorithm
[1573.98s -> 1576.54s]  is gonna continue to discover new things from there.
[1576.54s -> 1578.62s]  So you don't really need to start from zero.
[1578.62s -> 1580.98s]  What you really need is to have this algorithm
[1580.98s -> 1582.46s]  that can discover new things.
[1582.46s -> 1584.66s]  And we've demonstrated that you can do this
[1585.98s -> 1589.90s]  with this research and this alpha zero six.
[1589.90s -> 1592.54s]  So let me go into some kind of examples,
[1592.54s -> 1594.26s]  alpha goes zero and alpha zero.
[1594.26s -> 1595.74s]  As I said, they learn simply
[1595.78s -> 1597.50s]  by playing against themselves,
[1597.50s -> 1599.18s]  starting completely from random play.
[1599.18s -> 1601.22s]  And what we observed is that
[1602.54s -> 1605.38s]  they basically rediscovered human patterns,
[1605.38s -> 1607.74s]  accumulating thousands of years of human knowledge,
[1607.74s -> 1609.70s]  maybe in a matter of days.
[1609.70s -> 1612.30s]  But ultimately, some of those patterns
[1612.30s -> 1615.54s]  were kind of discarded in preference of new discoveries
[1615.54s -> 1617.38s]  that humans don't even know about,
[1617.38s -> 1618.94s]  they don't even know about.
[1618.94s -> 1621.74s]  So in Go, I believe that, you know,
[1621.74s -> 1626.30s]  Alpha Go basically starting a new move at move,
[1626.30s -> 1627.46s]  I would say move five,
[1629.54s -> 1631.86s]  a move that wasn't even played by humans.
[1631.86s -> 1634.62s]  And I've heard, if I'm not mistaken,
[1634.62s -> 1636.90s]  that Magnus Carlsen was saying that
[1636.90s -> 1639.50s]  because his coach was really good at using engines
[1639.50s -> 1641.86s]  and he got to use alpha zero like engines
[1641.86s -> 1643.18s]  when those came out,
[1643.18s -> 1645.70s]  he got a big advantage momentarily
[1645.70s -> 1647.42s]  over the other chess players,
[1647.42s -> 1650.42s]  because basically these things was playing very differently
[1650.42s -> 1652.26s]  and people were not used to it
[1652.26s -> 1655.42s]  and they didn't know how to handle those new situations.
[1655.42s -> 1658.06s]  But that's kind of Go and chess.
[1658.06s -> 1660.14s]  And actually, if you look at, for instance,
[1660.14s -> 1662.54s]  the figure I showed on the bottom right,
[1662.54s -> 1664.06s]  this is kind of,
[1664.06s -> 1666.90s]  this is trying to show the frequency of alpha zero
[1666.90s -> 1668.94s]  playing that particular pattern called,
[1668.94s -> 1670.62s]  for instance, the Karakhan defense.
[1670.62s -> 1672.26s]  And you can see that, you know,
[1672.26s -> 1675.10s]  it basically discovers it after two hours of training,
[1675.10s -> 1677.86s]  it plays it for about four hours quite consistently.
[1677.86s -> 1678.70s]  And then, you know,
[1678.74s -> 1680.78s]  this kind of pattern starts to disappear
[1680.78s -> 1682.62s]  from the games alpha zero is playing,
[1682.62s -> 1685.90s]  probably because has found kind of a way
[1685.90s -> 1689.74s]  that makes this pattern not very interesting anymore.
[1689.74s -> 1693.10s]  While on the bottom, the Queen's Gambit seems,
[1693.10s -> 1694.14s]  you know, the frequency at which
[1694.14s -> 1696.18s]  the Queen's Gambit is played
[1696.18s -> 1699.02s]  is just increasing over time, over training time.
[1701.02s -> 1704.26s]  All right, now let me talk about alpha tensor.
[1704.26s -> 1707.58s]  And so this was a work that was trying to find
[1707.58s -> 1710.90s]  what is the best way to multiply two matrices together.
[1710.90s -> 1712.82s]  And so maybe the naive algorithm
[1712.82s -> 1715.94s]  that you may have learned at school
[1715.94s -> 1717.90s]  requires kind of N cube operations
[1717.90s -> 1720.90s]  when you're trying to multiply two N by N matrices.
[1720.90s -> 1722.14s]  But for two by two matrices,
[1722.14s -> 1723.90s]  you need eight multiplications
[1723.90s -> 1727.26s]  or four by four multiplications,
[1727.26s -> 1730.14s]  you need 64 multiplications, that's the choice.
[1730.14s -> 1732.70s]  And so there was at some point a big discovery
[1732.70s -> 1734.58s]  from a person named Strassen
[1734.58s -> 1736.66s]  that found that for two by two matrices,
[1736.70s -> 1739.90s]  actually you could do it with only seven multiplications.
[1739.90s -> 1742.46s]  And he also showed that this was optimal,
[1742.46s -> 1744.26s]  you couldn't do better than that.
[1745.22s -> 1748.26s]  But as soon as we went to four by four matrices,
[1749.34s -> 1751.78s]  basically we knew nothing more
[1751.78s -> 1754.42s]  than applying Strassen algorithm twice.
[1754.42s -> 1756.26s]  And so, you know, still reduces
[1756.26s -> 1759.22s]  from 64 to 49 multiplications.
[1759.22s -> 1762.98s]  And so in alpha tensor, we try to discover
[1762.98s -> 1765.98s]  a new efficient and provably correct algorithm
[1766.02s -> 1769.06s]  for basically tasks that look like matrix multiplication.
[1770.06s -> 1773.30s]  And, you know, it actually did.
[1773.30s -> 1777.66s]  It found new things in actually many different sizes,
[1779.18s -> 1780.94s]  discovering like brand new knowledge
[1780.94s -> 1783.46s]  that human never known about.
[1783.46s -> 1786.10s]  And so, you know, if you had only trained
[1786.10s -> 1787.62s]  on what human had known,
[1787.62s -> 1790.46s]  and then you would have never discovered those.
[1790.46s -> 1792.42s]  As a big bonus as part of this work,
[1792.42s -> 1793.54s]  we showed that basically, you know,
[1793.54s -> 1796.22s]  we could basically, alpha zero could tackle
[1796.22s -> 1797.94s]  huge action spaces.
[1797.94s -> 1800.02s]  So as I wrote here, 10 to the power of 30,
[1800.02s -> 1802.74s]  but basically for practical purposes,
[1802.74s -> 1805.66s]  this is just infinite.
[1805.66s -> 1807.06s]  And so all those successes, you know,
[1807.06s -> 1810.14s]  go, chess, tensor, decomposition,
[1810.14s -> 1812.58s]  are all specific to a certain task.
[1812.58s -> 1814.66s]  You know, if you avoid a certain level,
[1814.66s -> 1816.30s]  but under the hood is basically
[1816.30s -> 1817.86s]  the same alpha zero algorithm
[1817.86s -> 1820.42s]  that is running and making those discoveries.
[1820.42s -> 1822.06s]  And so what we had in mind is like,
[1822.06s -> 1823.78s]  is there an environment that captures
[1823.78s -> 1825.70s]  a much broader class of tasks
[1825.70s -> 1827.46s]  that are relevant for science?
[1827.46s -> 1831.02s]  And you guessed it, I would say yes, it's mathematics.
[1831.86s -> 1833.58s]  But just before we get there,
[1833.58s -> 1837.70s]  the lessons we've learned from all this work.
[1837.70s -> 1839.70s]  So what made those systems superhuman?
[1840.98s -> 1842.82s]  I've listed up what I believe
[1842.82s -> 1845.86s]  are the four most important properties.
[1845.86s -> 1848.62s]  First is to scale up trial and error.
[1848.62s -> 1850.92s]  And basically to discover new knowledge,
[1850.92s -> 1852.40s]  you need to try something new
[1852.40s -> 1855.68s]  and be able to learn based on the feedback you receive.
[1855.68s -> 1857.48s]  And if your feedback is not grounded,
[1857.48s -> 1860.44s]  you know, if you invent your own feedback,
[1860.44s -> 1863.28s]  then it's really, I think it's really hard
[1863.28s -> 1865.40s]  once you venture out of what's known.
[1865.40s -> 1867.48s]  And so you really need a way to measure
[1867.48s -> 1869.48s]  if you are achieving your goals or not,
[1869.48s -> 1874.48s]  where you are in your solution, et cetera, et cetera.
[1875.00s -> 1878.48s]  And also alpha zero uses a lot of search.
[1878.48s -> 1880.16s]  And I believe, it's my belief
[1880.16s -> 1881.56s]  that search can really accelerate
[1881.56s -> 1883.84s]  the discovery of new paths and skills.
[1883.84s -> 1886.00s]  And it's because most of the time,
[1886.00s -> 1889.00s]  when you sample a different action,
[1889.00s -> 1894.00s]  not the action that has the highest probability,
[1894.12s -> 1895.08s]  if you try that action,
[1895.08s -> 1897.42s]  most of the time it's gonna be bad,
[1897.42s -> 1899.58s]  but sometimes it's gonna be good.
[1899.58s -> 1901.32s]  And you need to discover
[1901.32s -> 1903.00s]  why that action might be good or not.
[1903.00s -> 1904.28s]  And so you need to follow up
[1904.28s -> 1907.64s]  on kind of playing well after you play that action.
[1907.64s -> 1910.16s]  And I think, you know, for instance,
[1910.16s -> 1914.44s]  AlphaGo and Move37 is a good example of that.
[1914.44s -> 1916.92s]  It had a very low probability of being played,
[1916.92s -> 1918.52s]  but it was still explored in the search.
[1918.52s -> 1919.74s]  And then it was discovered
[1919.74s -> 1922.44s]  that it was a really good move.
[1922.44s -> 1925.04s]  And so it became, you know, it was played
[1925.04s -> 1927.72s]  and it was described as being very creative.
[1929.08s -> 1932.60s]  The final one is you need to have a good curriculum
[1932.60s -> 1934.76s]  to take you all the way to superhema.
[1934.76s -> 1937.84s]  And in the AlphaZero case, in Go and Chance and Shoggy,
[1937.84s -> 1940.42s]  we relied on the fact that it was a two-player game.
[1940.42s -> 1942.08s]  And so you could do self-play.
[1942.08s -> 1944.12s]  You basically always have the right opponent
[1944.12s -> 1945.28s]  to play against.
[1945.28s -> 1946.88s]  And that was really important.
[1947.92s -> 1950.58s]  Okay, so now let me try to connect those two.
[1952.04s -> 1953.48s]  Scaled up, try, and all right.
[1953.48s -> 1956.60s]  We have, you know, Lean is the environment
[1956.60s -> 1959.42s]  to explore mathematics, completely in silico.
[1959.42s -> 1962.20s]  And the algorithm is gonna come from AlphaZero.
[1962.20s -> 1964.64s]  And again, Lean is gonna give us
[1965.40s -> 1966.24s]  kind of this grounded feedback signal.
[1966.24s -> 1967.46s]  He's gonna tell us, you know,
[1967.46s -> 1968.64s]  what have we proved so far?
[1968.64s -> 1970.52s]  What's left to be proved?
[1970.52s -> 1972.72s]  And he's gonna tell us when we are done,
[1973.76s -> 1976.04s]  when we get a correct proof.
[1976.04s -> 1980.60s]  For search, we can rely on AlphaZero's search algorithm.
[1980.60s -> 1982.48s]  It works pretty well.
[1982.48s -> 1985.00s]  And maybe kind of the question mark is,
[1985.00s -> 1986.80s]  what do we do with the curriculum?
[1987.92s -> 1989.50s]  And in some sense, you know,
[1989.50s -> 1991.20s]  where are the levels coming from?
[1992.20s -> 1995.04s]  But so you understood kind of the idea of AlphaProof
[1995.04s -> 1997.50s]  is to use AlphaZero for mathematics
[1997.50s -> 2000.92s]  and in particular, formal mathematics.
[2000.92s -> 2003.88s]  So, you know, let me make kind of a napkin
[2003.88s -> 2007.60s]  kind of master plan for AlphaProof.
[2007.60s -> 2010.12s]  So Lean gives us a way to scale up trial and error
[2010.12s -> 2011.80s]  with an environment to explore mathematics
[2011.80s -> 2013.20s]  completely in silico
[2013.20s -> 2016.16s]  and a perfect feedback signal for proving.
[2016.16s -> 2018.12s]  And then now, if we extrapolate from the work
[2018.12s -> 2019.82s]  we've done in the other domains,
[2020.18s -> 2023.62s]  I conclude we can therefore reach super human intelligence
[2023.62s -> 2024.68s]  and discover new truths,
[2024.68s -> 2027.04s]  just like in go chess tensor decomposition,
[2027.04s -> 2029.82s]  provided we can generate high enough quality
[2029.82s -> 2032.12s]  and quantity of problems and RL works.
[2033.34s -> 2036.50s]  So I'm very bullish on RL works.
[2036.50s -> 2039.66s]  And so, as I said, the kind of the question that remains
[2039.66s -> 2043.42s]  is how can we generate high enough quality
[2043.42s -> 2044.30s]  and quantity of problems?
[2044.30s -> 2045.94s]  Where do the problems come from?
[2046.94s -> 2051.30s]  And so I think one of the answer has to be that, you know,
[2051.30s -> 2054.06s]  the problems partly comes from the humans.
[2055.38s -> 2057.34s]  And maybe the most important reason why
[2057.34s -> 2060.18s]  is that it's because we want to help human mathematics.
[2062.30s -> 2065.12s]  We could try to create alien mathematics,
[2066.26s -> 2068.54s]  but really what we would like
[2068.54s -> 2070.02s]  is to help human mathematics
[2070.02s -> 2073.34s]  and kind of contribute in that community.
[2073.34s -> 2075.68s]  And maybe a more pragmatic reason
[2076.28s -> 2077.12s]  is that humans have already come up
[2077.12s -> 2080.04s]  with a lot of problems that are quite interesting.
[2081.56s -> 2083.56s]  But of course, we shouldn't throw away the second part
[2083.56s -> 2085.82s]  where half a proof was defined a problem.
[2086.78s -> 2090.56s]  And so I think there is maybe two ways to slice this.
[2090.56s -> 2093.24s]  One is half a proof defines a problem
[2093.24s -> 2094.68s]  around human mathematics.
[2094.68s -> 2096.68s]  And we've done a little bit of that already
[2096.68s -> 2098.84s]  with auto-formization and the same area.
[2098.84s -> 2099.76s]  So it's perfectly fine
[2099.76s -> 2102.20s]  if you don't understand what I mean here.
[2102.20s -> 2104.46s]  I'll try to explain those a bit later.
[2105.42s -> 2107.20s]  But the other part is basically
[2107.20s -> 2109.30s]  really augmenting human mathematics.
[2109.30s -> 2111.14s]  So, you know, ideally half a proof
[2111.14s -> 2114.02s]  would be able to discover new areas of mathematics,
[2114.02s -> 2115.42s]  build new theories, et cetera,
[2115.42s -> 2116.98s]  that humans find interesting.
[2119.70s -> 2122.50s]  Yeah, so these are maybe where the problems can come from.
[2122.50s -> 2126.22s]  So before we move on, I want to take a step back
[2126.22s -> 2129.54s]  because if we're thinking about AI for mathematics,
[2129.54s -> 2132.34s]  you know, there is potentially a choice.
[2132.34s -> 2135.42s]  There is a choice of doing it in natural language
[2135.42s -> 2136.26s]  or informal language.
[2136.26s -> 2139.32s]  So I've been arguing a long time now for the formal part,
[2140.26s -> 2145.02s]  but, you know, actually most effort in AI at the moment
[2145.02s -> 2146.72s]  is on informal mathematics
[2146.72s -> 2149.42s]  or doing basically mathematics in natural language.
[2149.42s -> 2153.38s]  And the reason why is because basically
[2153.38s -> 2157.34s]  all of the data of mathematics, you know,
[2157.34s -> 2159.18s]  by many orders of magnitude
[2159.18s -> 2162.10s]  is written in natural language, of course.
[2162.70s -> 2164.64s]  So you have this mass lib library that is growing
[2164.64s -> 2167.10s]  and contains quite a lot of mass,
[2167.10s -> 2170.38s]  but it's still a few orders of magnitude smaller
[2170.38s -> 2173.14s]  than the amount of mathematics you can find
[2174.18s -> 2178.14s]  in textbooks, on archive, on published papers, et cetera,
[2178.14s -> 2180.48s]  that are all written using natural language.
[2182.14s -> 2183.84s]  So that's kind of the trade-off you get
[2183.84s -> 2185.14s]  when you use formal mathematics
[2185.14s -> 2188.50s]  is you really have a very small amount of data.
[2188.50s -> 2189.50s]  That's when, again, you know,
[2189.82s -> 2192.76s]  you bump into the question of how do you get the problems
[2192.76s -> 2195.02s]  where the problems don't come?
[2195.02s -> 2199.42s]  However, I guess it's my opinion that the, you know,
[2200.42s -> 2202.22s]  because natural language mathematics,
[2202.22s -> 2205.34s]  at least the reasoning part is not verifiable.
[2206.34s -> 2207.74s]  I believe that this is an issue
[2207.74s -> 2209.60s]  if you're reading your goal is to build a system
[2209.60s -> 2213.02s]  that can go beyond human knowledge and create new knowledge.
[2214.10s -> 2215.40s]  You can, of course, you know,
[2215.40s -> 2218.58s]  improve the reliability of those systems.
[2218.58s -> 2221.50s]  But the problem in mathematics is really that any,
[2221.50s -> 2224.18s]  if you build on any false statement,
[2224.18s -> 2228.34s]  then, you know, it destroys everything you do afterwards.
[2228.34s -> 2230.54s]  So you need, you really need like a hundred percent
[2230.54s -> 2234.86s]  reliability as a property of mathematics.
[2236.30s -> 2238.90s]  And that's why I think that, you know,
[2238.90s -> 2241.20s]  verifiability is very important.
[2241.20s -> 2244.50s]  And basically lean is already superhuman at verification.
[2245.50s -> 2248.98s]  And I say all of this for mathematics,
[2248.98s -> 2250.48s]  but actually I believe this is true
[2250.48s -> 2252.44s]  for many important, impactful applications
[2252.44s -> 2254.54s]  that we cannot solve yet.
[2254.54s -> 2258.36s]  And the scientific problems in particular.
[2258.36s -> 2261.04s]  So the, you know, in the domains we cannot solve,
[2261.04s -> 2262.74s]  there is almost by construction,
[2262.74s -> 2264.60s]  there isn't much data available
[2264.60s -> 2267.30s]  because the domain is relatively poorly understood.
[2267.30s -> 2269.96s]  And then, you know, it could even be a completely new
[2269.96s -> 2272.10s]  domain that has just been discovered.
[2272.10s -> 2274.22s]  And you could also have applications
[2274.82s -> 2275.66s]  that are somewhat niche.
[2275.66s -> 2278.78s]  And maybe if you think about what AGI would do,
[2278.78s -> 2281.58s]  you could argue that maybe mathematics is a bit niche,
[2281.58s -> 2283.90s]  but it's still extremely impactful.
[2283.90s -> 2285.46s]  And it's conceivable that, you know,
[2285.46s -> 2288.14s]  generalization from all the other data
[2288.14s -> 2289.98s]  would be somewhat limited.
[2289.98s -> 2291.82s]  And so if we are data scarce,
[2291.82s -> 2294.30s]  we really need a process that can continuously generate
[2294.30s -> 2295.98s]  and discover new interesting facts
[2295.98s -> 2298.38s]  that are not yet represented in the data.
[2298.38s -> 2301.18s]  And you need a way to ground those new facts
[2301.18s -> 2303.70s]  so that you can check that you are basically
[2303.74s -> 2307.50s]  constantly adding new truths and building on top of new truths.
[2307.50s -> 2310.42s]  And so this is really our most foundational bet
[2310.42s -> 2313.34s]  is that perfect verification we need in the long run
[2313.34s -> 2315.84s]  be the most important property for mathematics.
[2317.26s -> 2318.66s]  Let me recap.
[2318.66s -> 2320.38s]  RL meets formal math.
[2320.38s -> 2322.82s]  So we have a proven recipe to be a legend
[2322.82s -> 2324.78s]  that can discover new knowledge by themselves
[2324.78s -> 2327.98s]  and reach superhuman intelligence in certain domains.
[2327.98s -> 2330.66s]  And the key ingredients I have highlighted
[2330.66s -> 2333.42s]  are scandal trial and error and grounded feedback.
[2333.98s -> 2335.78s]  And basically formal math provides us
[2335.78s -> 2337.26s]  with those key ingredients.
[2338.14s -> 2342.26s]  So that's, these are the big ideas that, you know,
[2342.26s -> 2344.02s]  behind that approach.
[2344.02s -> 2348.78s]  So now let me talk to you a little bit about the IMO
[2348.78s -> 2351.94s]  and our participation in 2024.
[2353.26s -> 2355.16s]  So first, what's the IMO?
[2355.16s -> 2356.38s]  And the IMO stands for
[2356.38s -> 2358.48s]  the International Mathematics Olympia.
[2358.48s -> 2360.54s]  It's basically the world championship level event
[2360.54s -> 2363.32s]  in mathematics that brings together the best young minds
[2364.16s -> 2365.44s]  from around the world.
[2365.44s -> 2369.32s]  So every country brings their top six high school students
[2369.32s -> 2371.12s]  and they try to solve six problems
[2371.12s -> 2373.78s]  in two sessions of four and a half hours.
[2373.78s -> 2376.34s]  So basically in total, they have like nine hours
[2376.34s -> 2377.60s]  to solve six problems.
[2378.92s -> 2381.42s]  In these six problems, they are two easy problems,
[2381.42s -> 2384.52s]  two medium problems and two hard problems.
[2384.52s -> 2387.28s]  So let me first try to illustrate what it means
[2387.28s -> 2390.68s]  to take the top six high school students for the USA.
[2390.68s -> 2394.42s]  So let's say there is about 17 million high school students.
[2396.22s -> 2399.48s]  It's not like kind of every kid loves math
[2399.48s -> 2401.60s]  and is gonna do a mass competition,
[2402.60s -> 2404.88s]  might instead play video games
[2404.88s -> 2406.64s]  and maybe in the future,
[2406.64s -> 2409.08s]  actually build a mass library of the future.
[2409.08s -> 2411.68s]  But anyways, at the moment, there's about 60,000 of them
[2411.68s -> 2415.00s]  that participate in these AMC competitions.
[2416.00s -> 2421.00s]  If they do well and they are still kind of into this,
[2421.20s -> 2424.98s]  they might go and participate in this AI competition.
[2426.04s -> 2427.92s]  And so for those of you who have been following
[2427.92s -> 2430.92s]  kind of the benchmarks that are used in AI,
[2430.92s -> 2434.08s]  and you may know about this mass benchmark
[2434.08s -> 2437.92s]  that basically contained a lot of AMC and AI problems.
[2437.92s -> 2441.24s]  And so the reason why is that basically AI need,
[2441.24s -> 2444.32s]  what you need to do in the AI need is to,
[2444.32s -> 2448.12s]  the solution is always an integers between one and 1,000.
[2448.12s -> 2452.28s]  And so it makes it easy to check whether kind of your,
[2452.28s -> 2454.48s]  your system has outputted the correct answer
[2454.48s -> 2456.46s]  or not like the correct number.
[2456.46s -> 2457.84s]  You can check that very easily
[2457.84s -> 2461.68s]  and kind of use that as a grounded feedback.
[2461.68s -> 2462.96s]  The problem is it doesn't tell you
[2462.96s -> 2466.76s]  whether your reasoning to get there is correct or not.
[2466.76s -> 2470.42s]  Now, like if you need to guess 177,
[2471.32s -> 2474.16s]  then I think, like in a team believe
[2474.96s -> 2478.04s]  that it's more likely that you have correct reasoning
[2478.04s -> 2479.76s]  when you come up with the right answer.
[2479.76s -> 2481.36s]  And so, you know, that might still help
[2481.36s -> 2482.20s]  to improve the reason.
[2482.20s -> 2483.52s]  And basically what's happening,
[2483.52s -> 2486.92s]  it's improving the reasoning of those models.
[2486.92s -> 2489.48s]  But anyway, when you do really well at the AME,
[2489.48s -> 2492.60s]  you may participate in the USA Mass Olympiad.
[2493.72s -> 2495.20s]  There's only 250 now.
[2496.08s -> 2497.62s]  Then if you are in the top there,
[2497.62s -> 2499.84s]  you may go to the IMO camp.
[2499.84s -> 2503.44s]  And from there only the top six people are selected.
[2503.60s -> 2505.06s]  So you can see there is like basically six
[2505.06s -> 2509.00s]  or seven orders of selection.
[2509.00s -> 2513.82s]  And told by my colleague who did the IMO for the UK
[2513.82s -> 2517.00s]  that, you know, they study for a thousand of hours,
[2517.00s -> 2519.04s]  maybe an average of three hours for three years.
[2519.04s -> 2522.40s]  So really intense training for this competition.
[2523.96s -> 2527.36s]  Now, let me, let me share a little bit about the problems
[2527.36s -> 2530.86s]  and I'll start with this quote from Poisson law.
[2530.86s -> 2532.92s]  The Poisson law is not anyone.
[2533.36s -> 2534.20s]  He is not new to the IMO.
[2534.20s -> 2537.24s]  He was actually the coach, the national coach for USA
[2537.24s -> 2539.12s]  for the last 10 years.
[2539.12s -> 2542.00s]  And he said, I tried this year's problems
[2542.00s -> 2543.48s]  while at the IMO.
[2543.48s -> 2545.56s]  It took me hours.
[2545.56s -> 2547.20s]  And in context about the IMO,
[2547.20s -> 2550.44s]  problems are specifically selected to be non-standard.
[2550.44s -> 2551.64s]  But during the IMO itself,
[2551.64s -> 2553.44s]  national coaches need to pick the problems
[2553.44s -> 2554.76s]  to appear on the exam.
[2554.76s -> 2557.92s]  One of the most important tasks of that group
[2557.92s -> 2559.68s]  is to avoid problems similar to problems
[2559.68s -> 2561.00s]  that appeared anywhere before.
[2561.00s -> 2564.10s]  And so they go through great lengths to ensure this.
[2566.00s -> 2569.84s]  And so that's why basically we really wanted to, you know,
[2569.84s -> 2572.72s]  we picked the IMO as a goal for us
[2572.72s -> 2574.68s]  is because we thought there was a really a test
[2574.68s -> 2577.54s]  of reasoning and not of knowledge.
[2578.50s -> 2581.00s]  And, you know, as Poisson law says,
[2581.00s -> 2583.72s]  even for specialists, even for the national coach
[2583.72s -> 2585.76s]  of the USA that has been doing this for 10 years,
[2585.76s -> 2588.64s]  it will take him hours to solve those problems.
[2589.12s -> 2593.64s]  The final property of participating at the 2024 IMO
[2593.64s -> 2596.56s]  was that those problems were not leaked, right?
[2596.56s -> 2601.56s]  And so you really needed to kind of be able
[2601.56s -> 2603.32s]  to reason to solve those problems.
[2604.26s -> 2605.72s]  As I said, you know, they are like easy,
[2605.72s -> 2607.52s]  medium and hard problems.
[2607.52s -> 2609.68s]  Easy is, you know, in fact,
[2609.68s -> 2611.72s]  those problems are not easy at all
[2611.72s -> 2616.34s]  because only half of the participants
[2616.34s -> 2618.00s]  solve two or more problems.
[2618.66s -> 2620.56s]  And so, you know, like you take the top six
[2620.56s -> 2623.44s]  from each country and half of those won't be able
[2623.44s -> 2624.80s]  to solve the easy problem.
[2626.42s -> 2628.32s]  All right, so now let's go really to, you know,
[2628.32s -> 2633.08s]  this IMO 2024 and I'd like to relive
[2633.08s -> 2635.04s]  a part of it with you.
[2635.04s -> 2638.24s]  So, you know, we had contacted the IMO organization
[2638.24s -> 2641.60s]  and we had agreed with them
[2641.60s -> 2643.24s]  that they will send us the problems.
[2643.24s -> 2645.24s]  We have contacted some judges,
[2645.24s -> 2647.96s]  also part of that competition.
[2648.80s -> 2650.20s]  So they could grade our solutions
[2653.06s -> 2654.82s]  and we try to participate.
[2654.82s -> 2656.64s]  So I just want to make sure, you know,
[2656.64s -> 2660.72s]  like kind of, I clarify exactly
[2660.72s -> 2663.56s]  what our IMO participation was.
[2663.56s -> 2665.60s]  And I think a good way to think about it
[2665.60s -> 2667.16s]  is more like an Apollo program.
[2667.16s -> 2669.28s]  And so what we really wanted to know is
[2669.28s -> 2671.12s]  can we actually reach the moon?
[2671.12s -> 2675.46s]  Can our system solve the 2024 IMO problem at all?
[2675.46s -> 2678.50s]  You know, given the computer that we can give us
