# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[1811.44s -> 1816.44s]  So this turns this difficult problem of proof
[1816.44s -> 1819.44s]  into this kind of a game-playing task
[1819.44s -> 1821.44s]  which you can approach with really a version
[1821.44s -> 1823.44s]  of reinforcement learning,
[1823.44s -> 1826.44s]  and this is what, for example, Alpha Proof did,
[1826.44s -> 1829.44s]  although I'll show here that you can also take
[1829.44s -> 1832.44s]  a more LLM-based approach to this problem,
[1832.44s -> 1838.44s]  and in fact, you can build up
[1838.44s -> 1841.44s]  on these pretrained language models
[1841.44s -> 1844.44s]  and only have a pretty thin layer on top of that,
[1844.44s -> 1849.44s]  and that still does quite interestingly well.
[1849.44s -> 1850.44s]  Okay.
[1850.44s -> 1853.44s]  So just to go into a little bit more detail
[1853.44s -> 1855.44s]  about these formal representations,
[1855.44s -> 1857.44s]  even though you may have seen this
[1857.44s -> 1860.44s]  in the Alpha Proof lecture,
[1860.44s -> 1866.44s]  I'll just, you know, quickly recap, recapitulate this.
[1866.44s -> 1870.44s]  So here is a theorem that we are,
[1870.44s -> 1872.44s]  let's say we are trying to prove,
[1872.44s -> 1875.44s]  and what this says is that if X is even,
[1875.44s -> 1877.44s]  then X squared is even as well.
[1877.44s -> 1879.44s]  So the theorem statement over here
[1879.44s -> 1883.44s]  says that X is a natural number,
[1883.44s -> 1886.44s]  and then it says that X being even
[1886.44s -> 1890.44s]  implies X squared is also even.
[1890.44s -> 1894.44s]  So modulo two, the remainder is zero.
[1894.44s -> 1896.44s]  So now in order to prove this,
[1896.44s -> 1900.44s]  you're going to apply this sequence of tactics,
[1900.44s -> 1902.44s]  as I said previously.
[1902.44s -> 1908.44s]  Now, it's important to note that the system,
[1908.44s -> 1914.44s]  the proof assistant, it has a certain state
[1914.44s -> 1917.44s]  that depends on what the original theorem is
[1917.44s -> 1920.44s]  and which tactics you have applied so far.
[1920.44s -> 1922.44s]  So for example, in the beginning,
[1922.44s -> 1927.44s]  you would have a state that looks like this.
[1927.44s -> 1929.44s]  Now, just to spell this out, what this means
[1929.44s -> 1931.44s]  it says that there is one goal
[1931.44s -> 1934.44s]  that you currently need to prove,
[1934.44s -> 1937.44s]  and that goal is that under this context,
[1937.44s -> 1939.44s]  which is that X is a natural number,
[1939.44s -> 1943.44s]  this is the variable that you're allowed to use,
[1943.44s -> 1946.44s]  and then this symbol turnstile means
[1946.44s -> 1948.44s]  that this is what you need to prove.
[1948.44s -> 1952.44s]  So this is basically the theorem that you're starting out with
[1952.44s -> 1954.44s]  before you have applied that tactic.
[1954.44s -> 1958.44s]  Now, you have the state, and then you apply the tactic,
[1958.44s -> 1960.44s]  which is, you can think of it,
[1960.44s -> 1964.44s]  if you're thinking of this as a reinforcement learning setup,
[1964.44s -> 1966.44s]  you are applying an action.
[1966.44s -> 1970.44s]  And so you apply that action, and that leads to a new state.
[1970.44s -> 1974.44s]  And then this state here looks like this.
[1974.44s -> 1976.44s]  So this intro tactic, what it does
[1976.44s -> 1980.44s]  is that it introduces this new hypothesis,
[1980.44s -> 1983.44s]  which over here now says that, okay,
[1983.44s -> 1986.44s]  let us assume that X is even,
[1986.44s -> 1989.44s]  along with, sorry, yeah, X is even,
[1989.44s -> 1991.44s]  along with X being a natural number.
[1991.44s -> 1993.44s]  And this property that X is even,
[1993.44s -> 1995.44s]  we are going to give it a name, H,
[1995.44s -> 1998.44s]  and then under this context,
[1998.44s -> 1999.44s]  which is really like, you know,
[1999.44s -> 2001.44s]  you have now declared a new variable,
[2001.44s -> 2004.44s]  which has a certain type attached to it.
[2004.44s -> 2006.44s]  So now you are trying to show
[2006.44s -> 2009.44s]  that this X squared is even as well.
[2009.44s -> 2012.44s]  And then you apply this next tactic,
[2012.44s -> 2015.44s]  which leads to another state,
[2015.44s -> 2018.44s]  so these tactics are written by humans,
[2018.44s -> 2024.44s]  and they encode various rules of simplification in mathematics.
[2024.44s -> 2026.44s]  And so what you are really doing
[2026.44s -> 2028.44s]  is that for each of these rewrite rules
[2028.44s -> 2031.44s]  that you're applying, the state is changing.
[2031.44s -> 2033.44s]  So for example, now the state has changed
[2033.44s -> 2037.44s]  to you showing that, you know, if,
[2037.44s -> 2041.44s]  so this X modulo two times X modulo two,
[2041.44s -> 2044.44s]  the whole thing modulo two, that is equal to zero.
[2044.44s -> 2048.44s]  And then the next rewrite is going to simplify this,
[2048.44s -> 2050.44s]  and then finally you will end up with,
[2050.44s -> 2054.44s]  you know, zero equals zero, basically.
[2054.44s -> 2057.44s]  And at that point, you're going to hit QED
[2057.44s -> 2060.44s]  because your goal will just disappear, right?
[2060.44s -> 2062.44s]  So each of these rules you can think of
[2062.44s -> 2064.44s]  as simplifying the state, and then at the end,
[2064.44s -> 2066.44s]  ideally, you want to end up in the state
[2066.44s -> 2068.44s]  where there are no open goals,
[2068.44s -> 2072.44s]  and at that point, you can end the proof.
[2073.44s -> 2076.44s]  So that's what these formal proof assistants look like.
[2076.44s -> 2078.44s]  Really, they're state machines
[2078.44s -> 2080.44s]  where you have the proof state
[2080.44s -> 2082.44s]  and then these actions, which are these tactics,
[2082.44s -> 2085.44s]  and then they lead to a new proof state,
[2085.44s -> 2089.44s]  and your goal really is to find a sequence of tactics
[2089.44s -> 2092.44s]  that take you from this initial state
[2092.44s -> 2096.44s]  of the prover to this QED state
[2096.44s -> 2100.44s]  where there are no more goals to be discharged.
[2102.44s -> 2104.44s]  Okay.
[2104.44s -> 2108.44s]  So now let's talk about the two phases
[2108.44s -> 2110.44s]  that I mentioned previously.
[2110.44s -> 2113.44s]  The auto-formalization phase is something like this.
[2113.44s -> 2116.44s]  You are starting with this informal math statement.
[2116.44s -> 2118.44s]  There exists an infinite number of primes,
[2118.44s -> 2121.44s]  and then there is this, you know,
[2121.44s -> 2123.44s]  proof of this as well in natural language,
[2123.44s -> 2126.44s]  and now you are applying your auto-formalization model,
[2126.44s -> 2128.44s]  and later I'll talk a little bit
[2128.44s -> 2130.44s]  about how this could be done,
[2130.44s -> 2133.44s]  but, you know, the version zero of this would be that
[2133.44s -> 2137.44s]  you throw a language model at this informal statement
[2137.44s -> 2140.44s]  and then out comes this formal theorem, right?
[2140.44s -> 2142.44s]  And so this one is in Lean.
[2142.44s -> 2145.44s]  Now what this says is that,
[2146.44s -> 2150.44s]  well, I won't read this thing in detail,
[2150.44s -> 2154.44s]  but maybe I can read the theorem statement.
[2154.44s -> 2158.44s]  It says that, so for all n, there exists a p
[2158.44s -> 2161.44s]  such that p is bigger than, greater than equal to n,
[2161.44s -> 2163.44s]  and then p is also prime, right?
[2163.44s -> 2164.44s]  So that's how you establish
[2164.44s -> 2166.44s]  that there's an infinite number of primes,
[2166.44s -> 2169.44s]  and then the rest of it is the proof.
[2172.44s -> 2174.44s]  So then let's assume that you have done
[2174.44s -> 2175.44s]  this auto-formalization.
[2175.44s -> 2178.44s]  You have a formal statement of a theorem,
[2178.44s -> 2180.44s]  and now you're trying to prove it.
[2180.44s -> 2184.44s]  So previously I showed you that there are these tactics,
[2184.44s -> 2186.44s]  these simplification rules that you could apply,
[2186.44s -> 2188.44s]  but now you can imagine a search problem
[2188.44s -> 2190.44s]  where at each state,
[2190.44s -> 2194.44s]  there is a set of potential tactics that you could apply,
[2194.44s -> 2197.44s]  and this leads to the creation of a search tree,
[2197.44s -> 2200.44s]  and then your goal is to basically find a path
[2200.44s -> 2203.44s]  in this tree that ends up at QED.
[2204.44s -> 2206.44s]  Now, of course, the complexity over here
[2206.44s -> 2208.44s]  is that at each point,
[2208.44s -> 2210.44s]  you can have a very, very large number
[2210.44s -> 2213.44s]  of potential branches in this tree,
[2213.44s -> 2216.44s]  and then also this tree can be quite deep, right,
[2216.44s -> 2217.44s]  because if you're talking
[2217.44s -> 2220.44s]  about really advanced mathematical theorems,
[2220.44s -> 2223.44s]  you could end up with proofs
[2223.44s -> 2226.44s]  that are thousands and thousands of lines long,
[2226.44s -> 2228.44s]  and so this is a far harder problem
[2228.44s -> 2230.44s]  than any game-playing problem
[2230.44s -> 2234.44s]  that we have been able to solve so far,
[2234.44s -> 2237.44s]  so it's remarkable to see the kind of progress
[2237.44s -> 2240.44s]  that has already happened in this task
[2240.44s -> 2242.44s]  over the last few years.
[2244.44s -> 2247.44s]  Now, alpha proof, of course, you have already seen.
[2247.44s -> 2249.44s]  You have seen this picture.
[2249.44s -> 2250.44s]  There's this formalizer network
[2250.44s -> 2253.44s]  that does this formalization into formal problems,
[2253.44s -> 2255.44s]  and then the solver network,
[2255.44s -> 2258.44s]  it tries to generate these formal proofs.
[2258.44s -> 2261.44s]  One big insight was that even misformalized problems
[2261.44s -> 2263.44s]  are still helpful for learning,
[2263.44s -> 2267.44s]  and this sort of proof, the solver network,
[2267.44s -> 2269.44s]  this is being trained with RL,
[2269.44s -> 2271.44s]  and then one big insight was that
[2271.44s -> 2273.44s]  you could complement RL training with test time RL
[2273.44s -> 2275.44s]  when you are actually doing the IMO
[2275.44s -> 2278.44s]  or any other, solving any other math problem.
[2278.44s -> 2281.44s]  You are, you could generate,
[2281.44s -> 2286.44s]  you could basically do this sort of test time RL on that,
[2286.44s -> 2288.44s]  but, again, you have seen all of this,
[2288.44s -> 2291.44s]  so I'll move on.
[2291.44s -> 2294.44s]  The approach that I'm going to talk about today,
[2294.44s -> 2296.44s]  this is called COPRA.
[2296.44s -> 2298.44s]  This was published in a paper
[2298.44s -> 2302.44s]  at the Conference of Language Models last year,
[2302.44s -> 2305.44s]  and this is led by my Ph.D. student
[2305.44s -> 2308.44s]  at UT Austin, Amita Ushtakur.
[2308.44s -> 2314.44s]  Now, this is the overall picture of COPRA.
[2314.44s -> 2319.44s]  It still has this view of interaction
[2319.44s -> 2325.44s]  between an LLM that is predicting the proof steps
[2325.44s -> 2331.44s]  and the actual prover that is executing the step
[2331.44s -> 2333.44s]  that is proposed by the LLM
[2333.44s -> 2337.44s]  and then giving you a new state.
[2337.44s -> 2340.44s]  However, the difference is that while alpha proof
[2340.44s -> 2343.44s]  does this sort of, you know,
[2343.44s -> 2345.44s]  advanced reinforcement learning for training,
[2345.44s -> 2347.44s]  so here you're just taking
[2347.44s -> 2349.44s]  this sort of an LLM agent approach
[2349.44s -> 2353.44s]  where you have a frontier LLM,
[2353.44s -> 2358.44s]  and the frontier LLM is being provided the proof state
[2358.44s -> 2363.44s]  and some information from the history of the search so far,
[2363.44s -> 2367.44s]  and then it is making a prediction
[2367.44s -> 2370.44s]  as to what's the next step that you should take,
[2370.44s -> 2371.44s]  and then you are taking that step,
[2371.44s -> 2373.44s]  and you are executing it,
[2373.44s -> 2377.44s]  and then you are getting back a new state of the proof,
[2377.44s -> 2380.44s]  and then this process is continuing, right?
[2380.44s -> 2381.44s]  Now, one important thing
[2381.44s -> 2383.44s]  is that there is an external search
[2383.44s -> 2385.44s]  that is going on, a depth-first search,
[2385.44s -> 2387.44s]  and then inside that depth-first search,
[2387.44s -> 2389.44s]  you are doing all this, right?
[2389.44s -> 2391.44s]  But it is fundamentally different in the sense
[2391.44s -> 2393.44s]  that everything is in context.
[2393.44s -> 2398.44s]  There is no actual adjustment to the way it's happening,
[2398.44s -> 2400.44s]  but what is interesting is that even
[2400.44s -> 2402.44s]  with a relatively small amount of compute,
[2402.44s -> 2405.44s]  this approach was still able to do quite well,
[2405.44s -> 2407.44s]  and so I think that this strategy
[2407.44s -> 2410.44s]  has a lot of long-term promise,
[2411.44s -> 2416.44s]  for one, because it immediately leverages advances in LLMs.
[2416.44s -> 2420.44s]  As, for example, you go from GPT-4 to, you know,
[2420.44s -> 2425.44s]  O1 to O3 and to, you know, maybe some GPT-5,
[2425.44s -> 2427.44s]  then you are going to immediately leverage
[2427.44s -> 2431.44s]  those advantages, advances,
[2431.44s -> 2435.44s]  and it also has this ability to integrate natural language
[2435.44s -> 2439.44s]  and formal language reasoning
[2439.44s -> 2442.44s]  because ultimately you are just using an LLM
[2442.44s -> 2448.44s]  to generate the proofs in the formal language,
[2448.44s -> 2450.44s]  but at the same time, the LLM has the ability
[2450.44s -> 2452.44s]  to do natural language as well,
[2452.44s -> 2455.44s]  so this is something you can benefit from,
[2455.44s -> 2457.44s]  and I'm going to show concrete examples
[2457.44s -> 2460.44s]  of this in a little bit.
[2460.44s -> 2462.44s]  Another thing is that it's also,
[2462.44s -> 2464.44s]  this strategy is also applicable
[2464.44s -> 2467.44s]  even if there is no corpus of training problems.
[2467.44s -> 2471.44s]  Now, one of the challenges in doing AI for math
[2471.44s -> 2474.44s]  once you go outside of settings
[2474.44s -> 2475.44s]  such as math competitions
[2475.44s -> 2479.44s]  is that you're really trying to solve a new problem, right?
[2479.44s -> 2480.44s]  So if you're a math researcher,
[2480.44s -> 2482.44s]  you're trying to solve a new problem
[2482.44s -> 2485.44s]  that by design is quite different from the problems
[2485.44s -> 2489.44s]  that a lot of other people have solved previously,
[2489.44s -> 2492.44s]  so in such a situation,
[2492.44s -> 2498.44s]  it's a bit challenging to create a corpus of training problems
[2498.44s -> 2504.44s]  and then do, you know, training of an RL agent.
[2504.44s -> 2508.44s]  However, with an in-context learning agent,
[2508.44s -> 2513.44s]  the appeal is that you can still use it.
[2513.44s -> 2517.44s]  The LLM has incited a ton of prior knowledge,
[2517.44s -> 2521.44s]  and that knowledge is something that you could benefit from, right,
[2521.44s -> 2523.44s]  and the LLM can, for example,
[2523.44s -> 2525.44s]  bring in knowledge about related problems
[2525.44s -> 2529.44s]  even though it's not been explicitly trained on them
[2529.44s -> 2533.44s]  beyond the pre-training stage.
[2533.44s -> 2535.44s]  And in the longer run, of course,
[2535.44s -> 2539.44s]  the two approaches of in-context learning
[2539.44s -> 2544.44s]  and explicit training, these are not incompatible,
[2544.44s -> 2547.44s]  so you could imagine the in-context learning agent
[2547.44s -> 2552.44s]  being used to generate a lot of different traces
[2552.44s -> 2555.44s]  by interaction with the proof assistant,
[2555.44s -> 2559.44s]  and then you could use them for doing fine-tuning.
[2559.44s -> 2563.44s]  Now, one question that you may have over here is that,
[2563.44s -> 2567.44s]  well, so do I really need to even have Lean in that case?
[2567.44s -> 2572.44s]  Couldn't I just rely on, you know, the LLM alone?
[2572.44s -> 2573.44s]  And I would say that the difference here
[2573.44s -> 2578.44s]  is that this interaction with the proof assistant
[2578.44s -> 2582.44s]  is still providing, you know, a very strong form of grounding.
[2582.44s -> 2586.44s]  So, for example, if you take a step predicted by the LLM
[2586.44s -> 2590.44s]  and then you find that this is actually an invalid step,
[2590.44s -> 2591.44s]  you're going to get that feedback
[2591.44s -> 2593.44s]  right away from the proof assistant,
[2593.44s -> 2595.44s]  and you can take that feedback
[2595.44s -> 2599.44s]  and you can then stick it back into the prompt of the LLM,
[2599.44s -> 2603.44s]  and then you can, you know, ask it to continue,
[2603.44s -> 2605.44s]  and then hopefully it'll learn from its mistake
[2605.44s -> 2607.44s]  and carry on, right?
[2607.44s -> 2610.44s]  So, in the long run, it's possible that
[2610.44s -> 2612.44s]  once you have generated a very, very,
[2612.44s -> 2616.44s]  very large number of traces by interaction with the prover,
[2616.44s -> 2620.44s]  maybe you have fine-tuned your LLM on all this data,
[2620.44s -> 2622.44s]  and then the LLM is progressively getting better
[2622.44s -> 2627.44s]  and better, and there is a point beyond which
[2627.44s -> 2631.44s]  it just doesn't make any mistakes with this kind of proof.
[2631.44s -> 2633.44s]  Maybe we'll get there someday,
[2633.44s -> 2638.44s]  but we are still pretty far away from that possibility.
[2638.44s -> 2641.44s]  So, at least as of now,
[2641.44s -> 2644.44s]  I think that this sort of interaction
[2644.44s -> 2646.44s]  between LLM and proof assistant
[2646.44s -> 2649.44s]  is still extremely valuable.
[2649.44s -> 2651.44s]  Okay, so here is this COPRA system
[2651.44s -> 2653.44s]  in a little bit more detail.
[2653.44s -> 2655.44s]  So, what is going on here is that
[2655.44s -> 2657.44s]  you're starting with a formal theorem,
[2657.44s -> 2660.44s]  but you could also have some informal hints.
[2660.44s -> 2663.44s]  You could imagine bringing auto-formalization
[2663.44s -> 2666.44s]  into this picture as well, but we didn't,
[2666.44s -> 2669.44s]  and so the first step is that you create a prompt
[2669.44s -> 2672.44s]  based on the statement of the theorem,
[2672.44s -> 2679.44s]  and then you feed it to a frontier LLM,
[2679.44s -> 2684.44s]  and you just ask it to generate some potential tactics
[2685.44s -> 2687.44s]  that would be of interest,
[2687.44s -> 2695.44s]  and now your model has predicted
[2695.44s -> 2700.44s]  a set of one of the actions or tactics in this case,
[2700.44s -> 2702.44s]  and then you parse that tactic
[2702.44s -> 2704.44s]  because it will be in the form of text,
[2704.44s -> 2707.44s]  so now you parse it into a structured format,
[2707.44s -> 2713.44s]  and then you just execute it via the proof environment,
[2713.44s -> 2716.44s]  and this could be Lean or Coq or SML,
[2716.44s -> 2720.44s]  and then after you do that, in the lucky case,
[2720.44s -> 2724.44s]  you already hit QED, and this is all done,
[2724.44s -> 2730.44s]  but if you fail, if this tactic is invalid
[2730.44s -> 2734.44s]  or there are still some open goals
[2734.44s -> 2736.44s]  that you still need to resolve,
[2736.44s -> 2739.44s]  in that case, you get some feedback,
[2739.44s -> 2743.44s]  and then you augment the prompt
[2743.44s -> 2745.44s]  and then backtrack if needed,
[2745.44s -> 2750.44s]  and then we also have this retrieval phase over here
[2750.44s -> 2755.44s]  which seemed to add to the performance of the system,
[2755.44s -> 2758.44s]  and here you are also able to query a lemma database
[2758.44s -> 2761.44s]  and bring in some relevant lemmas
[2761.44s -> 2763.44s]  and then add it back to the prompt,
[2763.44s -> 2766.44s]  and this process just continues over and over and over again
[2766.44s -> 2770.44s]  until you have resolved the original theorem
[2770.44s -> 2774.44s]  or alternatively, you have timed out.
[2774.44s -> 2777.44s]  So here's the prompt of the system
[2777.44s -> 2779.44s]  in a little bit more detail,
[2779.44s -> 2784.44s]  so here, as you see, there is the serialized proof state,
[2784.44s -> 2786.44s]  and here you have, you know,
[2786.44s -> 2789.44s]  what is the goal that you still have to prove
[2789.44s -> 2793.44s]  and what are the hypotheses that are being made,
[2793.44s -> 2795.44s]  so over here, for example,
[2795.44s -> 2797.44s]  the hypotheses include,
[2797.44s -> 2799.44s]  these are the assumptions you're making, right?
[2799.44s -> 2803.44s]  So this includes X being of type natural numbers
[2803.44s -> 2806.44s]  and then also, you know, X being even,
[2806.44s -> 2808.44s]  and then you have the goal,
[2808.44s -> 2813.44s]  which is X squared modulo 2 is equal to 0.
[2813.44s -> 2817.44s]  We also have this information about the last step,
[2817.44s -> 2819.44s]  so the way to read this is that from left to right,
[2819.44s -> 2823.44s]  you are looking at successive queries to the LLM,
[2823.44s -> 2826.44s]  so the first column over here,
[2826.44s -> 2828.44s]  this includes information about, you know,
[2828.44s -> 2830.44s]  what is the first query that you're making,
[2830.44s -> 2832.44s]  so the first thing that you have done,
[2832.44s -> 2838.44s]  so let's say that you already have made this decision
[2838.44s -> 2841.44s]  that you're going to have this intro H tactic, right?
[2841.44s -> 2843.44s]  So that's what created that hypothesis,
[2843.44s -> 2845.44s]  X squared modulo 2 equals 0.
[2845.44s -> 2847.44s]  So then this is the last step.
[2847.44s -> 2853.44s]  This is stored in a stack and fed as part of the prompt.
[2853.44s -> 2858.44s]  Now, then at this point, there has been no error,
[2858.44s -> 2864.44s]  so then, you know, you get this response from this LLM
[2864.44s -> 2866.44s]  after you feed this information
[2866.44s -> 2869.44s]  that the next thing that you should do is RWH,
[2869.44s -> 2872.44s]  and then now if you try to execute it,
[2872.44s -> 2875.44s]  you might get, you know, an error message
[2875.44s -> 2878.44s]  because the rewrite tactic failed,
[2878.44s -> 2881.44s]  and then, you know, this information,
[2881.44s -> 2884.44s]  this error feedback, you send it back to the LLM,
[2884.44s -> 2886.44s]  and then that's the next query.
[2886.44s -> 2888.44s]  You say that try again LLM,
[2888.44s -> 2890.44s]  and then the LLM says that, okay,
[2890.44s -> 2894.44s]  let's try apply nat dot mul mod write.
[2894.44s -> 2897.44s]  Now, the details of this tactic doesn't matter.
[2897.44s -> 2900.44s]  It's, you know, something involving modular multiplication,
[2900.44s -> 2902.44s]  but the point is this is also wrong,
[2902.44s -> 2903.44s]  so then again at the next step,
[2903.44s -> 2906.44s]  you get an error feedback, error message,
[2906.44s -> 2910.44s]  and this is something you stick back into the prompt,
[2910.44s -> 2912.44s]  and then you make a query again,
[2912.44s -> 2915.44s]  and now it says, oh, let's try this rewrite
[2915.44s -> 2920.44s]  with nat dot mul mod, and yay, this time it works,
[2920.44s -> 2922.44s]  so now you see that the interaction result
[2922.44s -> 2924.44s]  doesn't have any error message in it.
[2924.44s -> 2930.44s]  It's a success, and so this is now put into the stack,
[2930.44s -> 2932.44s]  and so the last step, as you see, has changed.
[2932.44s -> 2936.44s]  It's now rwnat dot mul mod,
[2936.44s -> 2940.44s]  so now you're going to try to generate the next step,
[2940.44s -> 2945.44s]  and then this time the LLM generates this rwh, right,
[2945.44s -> 2948.44s]  and so this is how this process is going to continue.
[2948.44s -> 2952.44s]  In a nutshell, you may query the LLM,
[2952.44s -> 2955.44s]  get some error message,
[2955.44s -> 2958.44s]  and then stick it back into the prompt,
[2958.44s -> 2960.44s]  and then continue, right,
[2960.44s -> 2964.44s]  and this process will just go on.
[2964.44s -> 2971.44s]  Okay, so this evaluation was done in 2024,
[2971.44s -> 2973.44s]  actually late 2023,
[2973.44s -> 2975.44s]  so, you know, the world has changed since then,
[2975.44s -> 2978.44s]  but at least at that point, we compared with GPT-4
[2978.44s -> 2983.44s]  and found that GPT-4 frequently gave incorrect errors,
[2983.44s -> 2985.44s]  incorrect proofs,
[2985.44s -> 2992.44s]  and by contrast, this feedback with the proof environment,
[2992.44s -> 2995.44s]  LEAN in this case, really helped.
[2995.44s -> 2998.44s]  COPRA, and so even though it was using
[2998.44s -> 3000.44s]  the same underlying model,
[3000.44s -> 3003.44s]  the interaction allowed it to create a correct proof
[3003.44s -> 3007.44s]  in this case.
[3007.44s -> 3009.44s]  Here are some experimental results.
[3009.44s -> 3012.44s]  You can see the details in the paper,
[3012.44s -> 3014.44s]  but in this picture on the x-axis,
[3014.44s -> 3016.44s]  you see the number of queries,
[3016.44s -> 3019.44s]  and on the y-axis, you see the number of theorems proved,
[3019.44s -> 3024.44s]  so what we saw over here is that pretty quickly,
[3024.44s -> 3027.44s]  the COPRA approach was able to prove a lot of theorems
[3027.44s -> 3030.44s]  with a relatively small number of queries,
[3030.44s -> 3039.44s]  whereas the other approach is that that didn't get that far,
[3039.44s -> 3042.44s]  and here is an evaluation on Mini-F2F test,
[3042.44s -> 3045.44s]  so the absolute numbers are not great,
[3045.44s -> 3048.44s]  but then the amount of compute we provided,
[3048.44s -> 3051.44s]  COPRA was also relatively small.
[3051.44s -> 3055.44s]  We just allowed 60 queries per proof attempt.
[3055.44s -> 3061.44s]  Now, what we saw here was that we got
[3061.44s -> 3063.44s]  quite reasonable performance,
[3063.44s -> 3067.44s]  comparable with the state-of-the-art methods.
[3068.44s -> 3072.44s]  Now, of course, since then,
[3072.44s -> 3074.44s]  the state-of-the-art on this benchmark
[3074.44s -> 3076.44s]  has moved quite a bit, so Mini-F2F,
[3076.44s -> 3078.44s]  for those of you who don't know, is, by the way,
[3078.44s -> 3084.44s]  it's a compilation of competition mathematics problems,
[3084.44s -> 3086.44s]  mostly at the high school level,
[3086.44s -> 3092.44s]  and so it's of the form that here is a theorem
[3092.44s -> 3095.44s]  and come up with a lean proof,
[3095.44s -> 3100.44s]  so here what we see is that there was this around 29%
[3100.44s -> 3103.44s]  or 30% success rate,
[3103.44s -> 3106.44s]  which is behind the current SOTA,
[3106.44s -> 3108.44s]  but I think one question would be that
[3108.44s -> 3110.44s]  if you take this approach and scale it up,
[3110.44s -> 3112.44s]  then where would you end up,
[3112.44s -> 3115.44s]  and there are no public results on that yet.
[3117.44s -> 3119.44s]  So in this talk, though,
[3119.44s -> 3124.44s]  I'm going to go beyond the method
[3124.44s -> 3129.44s]  that we just presented, which is the basic COPRA,
[3129.44s -> 3132.44s]  and talk about some results
[3132.44s -> 3135.44s]  that we just recently developed.
[3135.44s -> 3137.44s]  This is not published yet,
[3137.44s -> 3146.44s]  and here we are leveraging the ability of LLMs to abstract
[3146.44s -> 3150.44s]  and also to use natural language reasoning,
[3150.44s -> 3152.44s]  because I think that this is really
[3152.44s -> 3156.44s]  where the sort of approach that we just presented,
[3156.44s -> 3159.44s]  this shines because of the tremendous amount
[3159.44s -> 3162.44s]  of world knowledge that is stored inside LLMs.
[3162.44s -> 3168.44s]  We can really use them in a lot more powerful capacity
[3168.44s -> 3174.44s]  than just as a predictor of the next tactic,
[3174.44s -> 3178.44s]  and so here's a sample problem.
[3178.44s -> 3181.44s]  This is from IMO, and this is saying that, you know,
[3181.44s -> 3183.44s]  prove that this fraction is irreducible
[3183.44s -> 3186.44s]  for every natural number n.
[3186.44s -> 3193.44s]  So what we'll see is that the COPRA approach
[3193.44s -> 3196.44s]  can be extended a little bit
[3196.44s -> 3201.44s]  to, in fact, come up with a hierarchical solution
[3201.44s -> 3203.44s]  to this problem,
[3203.44s -> 3206.44s]  and so this will involve breaking down the problem
[3206.44s -> 3209.44s]  into subproblems and then solving hierarchically.
[3209.44s -> 3211.44s]  Okay, so how do we do this?
[3211.44s -> 3216.44s]  Well, first what we do is that we ask the LLM
[3216.44s -> 3220.44s]  to come up with an informal solution to this problem,
[3220.44s -> 3225.44s]  and so I don't know if this font is too small to read,
[3225.44s -> 3227.44s]  but basically what is going on here
[3227.44s -> 3231.44s]  is that this was fed to O3, a reasoning model,
[3231.44s -> 3233.44s]  and so it was able to come up with this,
[3233.44s -> 3235.44s]  you know, step-by-step plan.
[3235.44s -> 3239.44s]  So, for example, you first define the GCD,
[3239.44s -> 3242.44s]  and then you, you know, subtract to simplify.
[3242.44s -> 3244.44s]  Then you apply the Euclidean algorithm,
[3244.44s -> 3246.44s]  and then you conclude something about the GCD,
[3246.44s -> 3251.44s]  and then you have the final conclusion.
[3251.44s -> 3254.44s]  So then we say that, okay,
[3254.44s -> 3258.44s]  so let's take this informal decomposition
[3258.44s -> 3260.44s]  and put it in the context.
[3260.44s -> 3264.44s]  Now let's say that it's our goal
[3264.44s -> 3268.44s]  to prove this lemma in lean-for, right?
[3268.44s -> 3272.44s]  So this is the formal statement of the same problem,
[3272.44s -> 3275.44s]  and we are just saying that don't try to write the proof.
[3275.44s -> 3278.44s]  Okay, so let's just write the subgoals
[3278.44s -> 3280.44s]  that are needed to prove this,
[3280.44s -> 3285.44s]  but we are doing this conditioned on the informal proof
[3285.44s -> 3287.44s]  that we just generated,
[3288.44s -> 3292.44s]  and so here is the proof of,
[3292.44s -> 3295.44s]  or here is the decomposition of this lemma.
[3295.44s -> 3299.44s]  So what you see is that it comes up with,
[3299.44s -> 3302.44s]  you know, these three subgoals.
[3302.44s -> 3307.44s]  So first you show that, you know,
[3307.44s -> 3310.44s]  this GCD step one is true,
[3310.44s -> 3313.44s]  and it's basically saying that this GCD
[3313.44s -> 3315.44s]  of 21n plus 4 times 14n plus 3
[3315.44s -> 3317.44s]  is the same as the GCD of this, you know,
[3317.44s -> 3320.44s]  14n plus 3 times 7n plus 1.
[3323.44s -> 3325.44s]  So then there is the second one,
[3325.44s -> 3326.44s]  then there's the third one,
[3326.44s -> 3331.44s]  and so on and so forth,
[3331.44s -> 3333.44s]  and then finally you have the main theorem
[3333.44s -> 3335.44s]  that combines all of the above.
[3336.44s -> 3339.44s]  So the appeal of this sort of decomposition
[3339.44s -> 3344.44s]  is that now this very complex problem
[3344.44s -> 3348.44s]  has been simplified into these three subproblems
[3348.44s -> 3351.44s]  which are a lot more tractable.
[3351.44s -> 3353.44s]  So then in the next step,
[3353.44s -> 3358.44s]  we then ask COPRA to solve the subproblems one by one,
[3359.44s -> 3364.44s]  and what we see is that COPRA is in fact able
