# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[1239.90s -> 1243.16s]  that you're putting in two MOPs.
[1243.20s -> 1244.00s]  Yes.
[1244.04s -> 1246.40s]  So when K is greater than one,
[1246.44s -> 1247.94s]  like even at first time,
[1247.98s -> 1252.04s]  do we combine the outputs of the different experts into?
[1252.08s -> 1253.48s]  Yes, the question was when K is one,
[1253.52s -> 1255.78s]  do the outputs get combined?
[1255.82s -> 1257.08s]  That's right, like if you look at,
[1257.42s -> 1259.96s]  look at the attention diagram over there,
[1259.98s -> 1263.20s]  you got the router, it's routed to two MLPs up top,
[1263.22s -> 1265.56s]  and then they get combined together right after, right?
[1265.60s -> 1266.96s]  So, that's exactly right.
[1268.70s -> 1270.96s]  So in that case, you can just set a simple average,
[1271.00s -> 1272.20s]  like a weighted average.
[1272.24s -> 1275.26s]  So the question was how does the aggregation happen?
[1275.30s -> 1276.20s]  It's just a sum.
[1278.14s -> 1280.98s]  Right, so I'm gonna go over the variance,
[1281.00s -> 1282.84s]  very common variance that people do.
[1283.74s -> 1285.98s]  And really, in some ways,
[1285.98s -> 1287.68s]  all you need to know is top K
[1287.72s -> 1291.08s]  in order to actually implement a high performance MOE,
[1291.12s -> 1292.46s]  but I'll give you the other variance
[1292.48s -> 1294.92s]  because they're natural things you might think of.
[1294.96s -> 1297.60s]  Top K routing is what is used in most MOEs,
[1297.62s -> 1299.46s]  token choice top routing, top K routing.
[1299.50s -> 1302.16s]  So how that works is you have your residual stream
[1302.20s -> 1304.76s]  inputs X, that will go into a router,
[1304.80s -> 1306.26s]  and as I said, a router is really
[1306.30s -> 1307.64s]  kind of like the attention operation.
[1307.66s -> 1310.34s]  There's like a linear inner product and then a softmax,
[1310.38s -> 1315.38s]  and then you pick the top K most highly activated experts,
[1316.48s -> 1318.54s]  and then those outputs are gated.
[1318.58s -> 1319.82s]  Depending on the implementation,
[1319.84s -> 1323.48s]  you might weight the outputs based on this router weight,
[1323.52s -> 1326.52s]  or you might not, and then you will just output
[1326.56s -> 1328.48s]  the weighted average or just a straight sum,
[1328.52s -> 1331.36s]  depending on how your MOE implementation works.
[1331.40s -> 1335.66s]  And so a lot of the MOE papers and methods use top K,
[1335.70s -> 1338.20s]  Switch Transformer, G-Shard, Grok, Mixpro, Clan,
[1338.24s -> 1343.24s]  all the DeepSeek variants use different top K variants.
[1343.66s -> 1348.50s]  Maybe a very surprising fact, and this should really
[1348.54s -> 1351.64s]  make you think about what's going on with MOEs.
[1351.68s -> 1354.12s]  There are a lot of results that show that actually
[1354.14s -> 1356.22s]  you don't even need a smart router at all.
[1356.24s -> 1357.92s]  You can actually just use a hashing function
[1357.94s -> 1361.66s]  at the very bottom to map these Xs onto your experts,
[1361.68s -> 1362.92s]  and even if you're doing hashing,
[1362.96s -> 1365.02s]  so no semantic information at all,
[1365.06s -> 1368.10s]  you will still get gains from a hashing based MOE,
[1368.12s -> 1369.56s]  which is pretty wild.
[1370.36s -> 1374.76s]  Some of the earliest work on MOEs,
[1374.78s -> 1377.32s]  I think had the very smart idea, and in many ways,
[1377.36s -> 1379.90s]  the right idea, if you're thinking about this top down,
[1379.92s -> 1383.56s]  of using RL to learn the routing behavior, right?
[1383.60s -> 1386.16s]  Of course, the choice of where to route to
[1386.20s -> 1388.68s]  is a discrete decision, and RL is great
[1388.70s -> 1390.20s]  for learning discrete decisions.
[1390.24s -> 1392.10s]  Why don't you use RL to learn routing?
[1392.14s -> 1393.80s]  It was used in some of the earliest work
[1393.84s -> 1395.18s]  on a mixture of experts.
[1395.20s -> 1397.78s]  As far as I know, basically no one does this now.
[1397.86s -> 1399.50s]  If you have the compute cost to do this,
[1399.54s -> 1401.40s]  it's too prohibitive, and you already have
[1401.44s -> 1403.88s]  stability issues, you might not want to do that.
[1404.78s -> 1407.14s]  There have been a couple of papers
[1407.18s -> 1408.68s]  that have explored things like solving
[1408.72s -> 1410.94s]  linear assignment problems, or optimal transport
[1410.98s -> 1412.54s]  style problems.
[1412.58s -> 1414.38s]  They're very elegant, but once again,
[1414.42s -> 1416.48s]  the cost of doing this is much higher
[1416.52s -> 1418.42s]  than the benefits that it gives you, I think,
[1418.46s -> 1421.02s]  in practice, and it hasn't really been adopted.
[1421.06s -> 1422.66s]  But there's a lot of really interesting things
[1422.70s -> 1424.76s]  that people are doing like this
[1424.80s -> 1427.10s]  to try to improve the routing.
[1428.76s -> 1430.56s]  So now I can point at this slide
[1430.60s -> 1434.80s]  and really talk through how routing works in detail.
[1434.84s -> 1437.54s]  So this is the kind of top K routing
[1437.58s -> 1440.44s]  that almost everyone has converged to now.
[1441.54s -> 1444.98s]  This is the router that's used in DeepSeq v1-2.
[1445.02s -> 1447.62s]  Quen and Grok do almost exactly this.
[1448.88s -> 1450.78s]  There's a, instead of having a softmax
[1450.82s -> 1452.68s]  directly at the bottom here,
[1452.72s -> 1456.72s]  they do a DeepSeq v3 mixed role DBRX.
[1457.00s -> 1458.30s]  Don't have a softmax at the bottom,
[1458.34s -> 1460.20s]  but they'll softmax the G of ITs.
[1460.24s -> 1462.30s]  But it's a very minor difference.
[1462.34s -> 1464.78s]  So let's walk through what's going on here
[1464.80s -> 1469.14s]  and try to reason about the behavior of this.
[1469.18s -> 1472.78s]  So what's happening here is at the very bottom,
[1472.82s -> 1473.82s]  we've got our inputs.
[1473.84s -> 1477.48s]  This is our U of L input,
[1477.52s -> 1479.82s]  and I would like to take this
[1479.86s -> 1481.66s]  sort of residual stream input
[1481.68s -> 1484.96s]  and process it through my MOE.
[1485.00s -> 1486.06s]  So the first thing I'm gonna do
[1486.44s -> 1487.64s]  is I have to figure out which experts
[1487.66s -> 1489.00s]  are going to be activated.
[1489.04s -> 1490.24s]  Now how am I gonna do that?
[1490.28s -> 1491.54s]  Well, how I'm going to do that
[1491.58s -> 1493.20s]  is very similar to attention.
[1493.24s -> 1496.28s]  I'm gonna take my U, which is my residual stream input,
[1496.32s -> 1499.38s]  and I'm gonna take the inner products with the E of I's.
[1499.42s -> 1501.52s]  These are kind of learned vectors
[1501.54s -> 1504.82s]  that are for each expert that tells the expert
[1504.86s -> 1507.82s]  I'm an expert that points in this direction.
[1507.86s -> 1510.12s]  And so I'm computing in this inner product here
[1510.16s -> 1512.10s]  expert and input affinity,
[1512.12s -> 1514.00s]  and I'm computing a softmax to determine
[1514.00s -> 1518.34s]  for each token, what are the best experts.
[1518.38s -> 1519.18s]  So I normalize.
[1519.22s -> 1520.92s]  This is S of I of T.
[1520.94s -> 1523.14s]  Now I take the S of I of T,
[1523.18s -> 1524.82s]  and I go through a top K function.
[1524.84s -> 1528.56s]  I only select the K best weights,
[1528.58s -> 1531.06s]  and then I use this as my gate.
[1531.08s -> 1533.36s]  So I zero out everything else,
[1533.40s -> 1535.36s]  and I take the weighted average
[1535.40s -> 1538.36s]  of each of the experts' outputs,
[1538.40s -> 1541.84s]  and then I add that to my original residual stream,
[1541.86s -> 1543.60s]  and then I return that.
[1543.64s -> 1545.88s]  So this is hopefully very familiar
[1545.90s -> 1549.00s]  to kind of what you're all very familiar with
[1549.04s -> 1551.74s]  in terms of how Transformer works
[1551.78s -> 1555.22s]  with only the difference of this top K routing piece.
[1555.24s -> 1559.86s]  Is that clear kind of to everyone how this thing works?
[1559.88s -> 1561.66s]  Good, excellent.
[1561.68s -> 1564.56s]  So in some sense, the mechanics of the forward process
[1564.58s -> 1566.72s]  of the routing is very simple.
[1566.76s -> 1569.62s]  What is kind of mystifying is that
[1569.66s -> 1571.26s]  fact that you can learn this very well, right?
[1571.30s -> 1573.34s]  This is in some sense a fairly complicated
[1573.34s -> 1576.00s]  set of things to have to learn to do well by a model.
[1576.04s -> 1576.88s]  Yes?
[1578.14s -> 1581.04s]  So, we're using Softmax here.
[1582.44s -> 1585.68s]  Previously, one of the benefits of Softmax
[1585.72s -> 1587.02s]  is that it's gonna push you
[1587.06s -> 1590.82s]  pretty extremely to choosing a singular max.
[1590.86s -> 1594.66s]  It's not a hard max, but a implicit tool.
[1594.70s -> 1596.20s]  I'm having trouble thinking of the intuition
[1596.22s -> 1600.14s]  of playing Softmax, basically on top of
[1600.16s -> 1601.90s]  like combining it with a top K
[1601.90s -> 1604.26s]  where you're getting multiple and then you're using
[1604.30s -> 1605.46s]  something that's gonna push you
[1605.50s -> 1608.76s]  towards choosing just one thing.
[1608.80s -> 1611.10s]  Yeah, I mean, I think maybe one way
[1611.14s -> 1613.68s]  of thinking about the Softmax is,
[1613.70s -> 1616.58s]  you know, the whole purpose of this
[1616.60s -> 1618.64s]  is just to make it so that when I average
[1618.68s -> 1621.04s]  my experts later, it kind of sums to one.
[1621.08s -> 1624.18s]  Don't think of the Softmax as like a softmax operation,
[1624.22s -> 1626.12s]  even though that's literally the name.
[1626.16s -> 1627.48s]  Really, the Softmax operation
[1627.52s -> 1629.88s]  is a normalized to one operation.
[1629.92s -> 1631.72s]  And the normalized to one operation
[1632.58s -> 1634.54s]  is gonna make that a weighted average up top.
[1634.58s -> 1636.52s]  The other thing that's very important is,
[1636.54s -> 1637.72s]  you know, you might think,
[1637.74s -> 1639.22s]  why can't I just get rid of the top K?
[1639.26s -> 1640.98s]  Why don't I just use the Softmax here
[1641.02s -> 1643.16s]  and just, you know, gate all the experts?
[1643.18s -> 1644.42s]  Well, then you immediately lose
[1644.46s -> 1647.32s]  the systems efficiency aspect of this, right?
[1647.36s -> 1649.86s]  You have to have top K during training,
[1649.90s -> 1651.56s]  otherwise you pay the training cost
[1651.60s -> 1654.34s]  of all capital N of your experts, right?
[1654.36s -> 1655.96s]  This is the key thing about MOEs.
[1656.00s -> 1658.90s]  Like, we have to do all this gymnastics
[1658.94s -> 1661.38s]  to make sure that both at training time
[1662.20s -> 1663.90s]  we have a sparse number of activated experts.
[1663.94s -> 1666.40s]  That's why we go through the top K, right?
[1666.44s -> 1668.18s]  Okay, yes, from the back.
[1668.20s -> 1671.24s]  Yeah, so, because you're doing Softmax first
[1671.28s -> 1673.34s]  and then you're not getting the weights,
[1673.38s -> 1674.68s]  you no longer have the guarantees
[1674.72s -> 1678.12s]  to do something like this, right?
[1678.16s -> 1680.72s]  So the question was, yeah, so the question was,
[1680.76s -> 1682.98s]  if you Softmax first, you no longer sum to one.
[1683.02s -> 1684.90s]  And yes, that's absolutely right,
[1684.92s -> 1686.32s]  you no longer sum to one.
[1686.36s -> 1688.96s]  And in some ways, like, there's no requirement
[1689.00s -> 1690.10s]  that you have to sum to one,
[1690.12s -> 1692.76s]  because, you know, the next layer can magnify it back up.
[1692.80s -> 1694.26s]  You know, there's layer norms everywhere.
[1694.30s -> 1696.12s]  It's not as if it has to sum to one.
[1696.16s -> 1697.42s]  But I think that is the reason
[1697.46s -> 1698.76s]  why some of the other architectures
[1698.80s -> 1700.50s]  basically move the location of the Softmax.
[1700.52s -> 1701.70s]  There's a kind of aesthetic choice
[1701.72s -> 1703.64s]  about whether you really want that weight
[1703.66s -> 1705.30s]  to be normalized to one or not.
[1706.64s -> 1707.60s]  Yes.
[1707.64s -> 1708.84s]  Yeah, so I was wondering, like,
[1708.88s -> 1711.50s]  how does the e-vector here relates to the weight
[1711.54s -> 1714.04s]  of the pieces of the feed forward network?
[1714.08s -> 1716.04s]  Okay, so the question was whether and how
[1716.08s -> 1717.98s]  the e-vectors relate to the feed forward.
[1718.02s -> 1719.28s]  They're not really tied in any way.
[1719.30s -> 1721.50s]  The e-vectors are just learned vectors for that.
[1721.54s -> 1724.20s]  Just think of the e's as parameters for the router, right?
[1724.24s -> 1726.20s]  They're just separate objects from the FFM.
[1727.70s -> 1728.90s]  All right, yeah.
[1728.94s -> 1730.74s]  I was just wondering,
[1730.78s -> 1734.84s]  how does it compare to, like, sampling from the Softmax?
[1734.88s -> 1736.32s]  Great, the question was about
[1736.34s -> 1738.98s]  how does it compare to sampling from the Softmax.
[1739.02s -> 1740.58s]  You can sample from the Softmax,
[1740.62s -> 1744.38s]  and some methods actually do
[1744.42s -> 1746.42s]  kind of soft sampling from the Softmax.
[1746.44s -> 1750.10s]  Specifically, one of the Google papers has a procedure
[1750.14s -> 1752.50s]  where they take the top element of the Softmax
[1752.54s -> 1754.44s]  and then they randomly sample the second element
[1754.48s -> 1757.74s]  proportional to the remainder of the Softmax,
[1757.78s -> 1760.32s]  and that gives you more exploration, which is good,
[1760.34s -> 1761.68s]  but the drawback of that is that
[1761.72s -> 1763.12s]  if you don't sample at test time,
[1763.14s -> 1764.98s]  now you've got a train-test mismatch.
[1767.02s -> 1768.32s]  Okay, yes.
[1768.36s -> 1771.42s]  How about just re-normalize at the top K?
[1771.46s -> 1773.06s]  Why not just re-normalize at the top K,
[1773.10s -> 1774.52s]  was the question, is that right?
[1774.66s -> 1776.86s]  And some models do, some models do re-normalize
[1776.90s -> 1779.16s]  at the top K, but that's kind of a choice.
[1779.20s -> 1781.30s]  Like, some architectures don't do that,
[1781.34s -> 1782.40s]  some architectures do.
[1782.44s -> 1784.20s]  It doesn't actually matter because
[1784.24s -> 1786.80s]  the scale can be basically adjusted post-hoc, right?
[1786.84s -> 1789.04s]  So there's no reason why it has to sum to one
[1789.08s -> 1790.98s]  after the G operation.
[1793.32s -> 1794.18s]  Cool.
[1794.22s -> 1795.02s]  Oh, sorry.
[1795.04s -> 1795.84s]  Yes.
[1795.88s -> 1798.88s]  The bias, you don't know what term,
[1798.92s -> 1800.68s]  is U raised up there?
[1800.72s -> 1802.08s]  Yeah, yeah.
[1802.08s -> 1804.32s]  So first term of the sum,
[1804.36s -> 1809.12s]  if G is approximating probability vector,
[1809.16s -> 1811.52s]  could be seen as an expectation
[1811.56s -> 1815.76s]  of the function FFN, right, plus U.
[1815.80s -> 1818.76s]  So FFN actually, this is not an expectation of FFN
[1818.80s -> 1822.04s]  because each FFN is a different FFN.
[1822.06s -> 1824.24s]  So this is not actually an expectation,
[1824.28s -> 1826.20s]  and the gates are sparse,
[1826.24s -> 1828.44s]  so this is like a weighted selection operation
[1828.48s -> 1831.88s]  over K different, or actually capital N different FFNs.
[1831.88s -> 1834.48s]  And then the UTL at the very end there,
[1834.52s -> 1835.68s]  you know, if you remember the transformer,
[1835.72s -> 1836.88s]  that's the residual stream, right?
[1836.92s -> 1838.38s]  So I'm adding back the inputs
[1838.42s -> 1842.56s]  because I want sort of a identity connection through it.
[1842.58s -> 1845.00s]  Okay, oh, there's another question.
[1845.02s -> 1848.02s]  Why does the router have such a basic parameterization?
[1848.06s -> 1850.36s]  Like, what happens if you put more weights
[1850.40s -> 1853.26s]  into your router function?
[1853.30s -> 1855.76s]  Great, the question was, why is the router so basic?
[1855.80s -> 1857.50s]  It seems like, if you're gonna have experts,
[1857.54s -> 1860.04s]  it seems important to route to the right experts,
[1860.08s -> 1861.84s]  so why don't you do that?
[1861.88s -> 1864.74s]  I think, you know, there have been some oblations
[1864.78s -> 1866.54s]  in some of the earlier Google papers
[1866.58s -> 1869.22s]  on having like MLP routers
[1869.24s -> 1871.92s]  and like more sophisticated things.
[1871.96s -> 1874.66s]  I think the sort of complex answer here
[1874.68s -> 1877.52s]  is that the systems concerns sort of weigh heavily.
[1877.56s -> 1880.26s]  If you're using a lot of flops to make routing decisions,
[1880.30s -> 1881.80s]  you know, you have to pay for those flops,
[1881.82s -> 1883.60s]  and so you have to get performance improvements
[1883.62s -> 1885.40s]  in just the routing, you know.
[1885.44s -> 1888.04s]  And I think that one other thing to appreciate here
[1888.06s -> 1889.64s]  is that there are really big limits
[1889.66s -> 1891.10s]  to how well you can route
[1891.36s -> 1893.22s]  because the learning process for this routing thing
[1893.26s -> 1895.56s]  is actually pretty dicey, right?
[1895.60s -> 1897.06s]  Because how are you gonna get gradients
[1897.10s -> 1899.30s]  for which routers are good or bad?
[1899.34s -> 1901.54s]  Well, the only thing you have is if you have top two,
[1901.56s -> 1903.70s]  then you can compare the two things that you have,
[1903.74s -> 1905.64s]  and you can push the gradients into S of T
[1905.68s -> 1907.40s]  because your G is a weight,
[1907.44s -> 1910.52s]  and then the S of T might inform your inner products,
[1910.54s -> 1911.78s]  but that's a very indirect way
[1911.82s -> 1913.12s]  to be learning your affinity.
[1913.14s -> 1914.58s]  So even if you make it complex,
[1914.62s -> 1915.98s]  there's no guarantee that you're gonna really learn
[1916.02s -> 1917.32s]  the optimal router, right?
[1918.88s -> 1920.32s]  Great, okay.
[1921.52s -> 1924.96s]  So I think one of the great innovations
[1925.00s -> 1926.60s]  of the DeepSeek MOE,
[1926.62s -> 1929.50s]  and which was very quickly adopted
[1929.52s -> 1933.80s]  by all the other sort of Chinese MOE releases,
[1933.84s -> 1937.24s]  is this idea of both a shared expert
[1937.28s -> 1939.34s]  and a fine-grained expert.
[1939.38s -> 1942.34s]  And so the basic MOE structure
[1942.38s -> 1944.62s]  that was sort of originally proposed
[1944.64s -> 1946.48s]  is to take your dense architecture
[1946.52s -> 1948.72s]  and kind of copy the experts over, right?
[1948.74s -> 1950.86s]  So in this case, you know, you're gonna have,
[1951.68s -> 1953.68s]  let's say if you have top two routing,
[1953.72s -> 1956.06s]  you're gonna have twice the activated parameters
[1956.08s -> 1957.56s]  of your original dense model, right?
[1957.58s -> 1960.08s]  So you take your MOE and you copy it over,
[1960.12s -> 1962.06s]  and you activate K equals two.
[1962.10s -> 1963.36s]  So this is kind of what you might think of
[1963.40s -> 1965.62s]  as like the vanilla or like the basic MOE
[1965.66s -> 1967.00s]  that you might start with.
[1968.10s -> 1970.74s]  People realized fairly quickly
[1970.76s -> 1973.34s]  that having lots of experts is good.
[1973.36s -> 1975.24s]  And the logical sort of next step
[1975.26s -> 1977.38s]  beyond having lots of experts is good
[1977.40s -> 1979.04s]  is I want lots of experts,
[1979.06s -> 1980.76s]  but I don't want to pay the parameter cost
[1980.80s -> 1982.42s]  for having lots of experts.
[1982.46s -> 1984.96s]  And so DeepSeq basically argued
[1985.00s -> 1986.46s]  that the right thing to do then
[1986.50s -> 1989.74s]  was to cut the expert up into smaller pieces, right?
[1989.76s -> 1992.24s]  So remember last lecture, I was telling you about,
[1992.26s -> 1994.50s]  oh, the kind of golden rule in some sense
[1994.54s -> 1996.50s]  is to have your hidden layer
[1996.54s -> 1997.84s]  and then you multiply that by four,
[1997.88s -> 2000.04s]  and that will give you kind of your projection layer.
[2000.08s -> 2001.32s]  So now what you would do is you would,
[2001.34s -> 2003.12s]  instead of multiplying by let's say four,
[2003.14s -> 2004.58s]  you might multiply by two, right?
[2004.62s -> 2006.18s]  So now you have smaller matrices,
[2006.22s -> 2007.46s]  you have more fine-grained experts,
[2007.46s -> 2009.54s]  you can have twice as many of them, right?
[2009.58s -> 2011.04s]  And you can kind of take that logic
[2011.08s -> 2012.24s]  much more to the extreme.
[2012.28s -> 2014.62s]  You can like quadruple or multiply by eight,
[2014.64s -> 2015.98s]  and you can keep decreasing
[2016.02s -> 2019.28s]  the size of your sort of projection dimension there.
[2019.32s -> 2020.68s]  That's fine-grained experts.
[2020.72s -> 2023.22s]  And there's drawbacks I'll talk about later.
[2023.26s -> 2024.46s]  It doesn't come for free,
[2024.48s -> 2025.66s]  so you have to be very careful
[2025.68s -> 2027.72s]  about how you structure these things.
[2027.76s -> 2029.80s]  And then the other thing
[2029.82s -> 2032.96s]  that has been sort of studied and noted
[2033.00s -> 2037.36s]  is maybe it's helpful to have at least some MLP
[2037.36s -> 2039.50s]  that can capture shared structure, right?
[2039.54s -> 2040.90s]  Like maybe there's just like processing
[2040.94s -> 2042.20s]  that always needs to happen
[2042.24s -> 2044.34s]  no matter which token you're processing.
[2044.38s -> 2046.64s]  In that case, it seems like kind of a waste
[2046.68s -> 2048.28s]  to do all this routing work
[2048.32s -> 2051.34s]  and to have all these parameters spread out everywhere
[2051.38s -> 2054.88s]  when we can just have one or a few shared experts
[2054.92s -> 2057.02s]  whose job it is to handle
[2057.06s -> 2059.02s]  all of this shared processing that's needed.
[2059.06s -> 2060.56s]  And so they're shared experts.
[2061.52s -> 2064.30s]  And so this setup of using fine-grained experts
[2064.32s -> 2066.06s]  plus shared experts
[2066.06s -> 2069.84s]  originally came out in DeepSeq MOE,
[2069.86s -> 2071.34s]  although I think the original inspiration
[2071.36s -> 2073.10s]  came from DeepSpeed MOE.
[2074.14s -> 2076.14s]  And Quynh and others,
[2076.18s -> 2081.18s]  so almost all of the open MOE releases since DeepSeq,
[2082.24s -> 2084.12s]  have adopted some sets of these innovations
[2084.14s -> 2085.68s]  because it's quite clear
[2085.72s -> 2087.62s]  that especially fine-grained experts
[2087.66s -> 2089.16s]  is just really, really useful.
[2089.18s -> 2091.96s]  That's a kind of no-brainer at this point to do.
[2091.96s -> 2096.86s]  One of the things I really like about reading
[2096.90s -> 2099.96s]  DeepSeq papers is that they do ablations.
[2100.00s -> 2103.14s]  It's not like a, whatever, sales, tech report.
[2103.18s -> 2104.58s]  They actually care about whether or not
[2104.60s -> 2106.30s]  their methods work.
[2106.34s -> 2108.44s]  And so they have this lovely ablation
[2108.48s -> 2110.28s]  in the DeepSeq MOE paper
[2110.32s -> 2113.32s]  where they show the blue bar over here,
[2113.34s -> 2115.42s]  this is GShard, this is a very basic
[2115.46s -> 2117.92s]  vanilla implementation of the MOE.
[2117.96s -> 2120.82s]  You can have one shared expert, that's the orange bar,
[2120.88s -> 2122.66s]  and that gives you a big boost on some tasks
[2122.68s -> 2124.58s]  and no boost on others.
[2124.62s -> 2126.32s]  You can have fine-grained experts,
[2126.36s -> 2128.42s]  that's the green and orange bars,
[2128.46s -> 2129.80s]  and you get further boosts from that.
[2129.82s -> 2131.72s]  And if you compare the blue to the orange,
[2131.76s -> 2133.20s]  composing all of these differences
[2133.22s -> 2137.46s]  give you quite the big boost over others.
[2137.50s -> 2139.10s]  And so we can see that more experts
[2139.14s -> 2142.60s]  and shared experts generally seem to help.
[2142.64s -> 2143.98s]  Okay, yes, question.
[2144.00s -> 2147.04s]  Is that odd, like when it says seven out of something?
[2147.08s -> 2149.32s]  Does that mean it's doing like top seven?
[2149.34s -> 2152.18s]  Yes, sorry, I should have explained that, that's right.
[2152.22s -> 2155.28s]  So x out of y means x activated
[2155.32s -> 2158.26s]  out of y total routed experts, that's right, yeah.
[2158.28s -> 2160.60s]  And so you can kind of see the pattern here as well
[2160.62s -> 2162.22s]  of as you increase the number of experts
[2162.26s -> 2165.86s]  you also often increase the number of activated experts.
[2165.90s -> 2168.16s]  Especially if you're doing fine-grained experts.
[2168.20s -> 2169.54s]  Phops-wise it's free, right,
[2169.56s -> 2171.80s]  because each expert is now small.
[2173.64s -> 2174.48s]  Good, okay.
[2175.20s -> 2179.20s]  So Olmo has basically corroborating evidence
[2179.24s -> 2182.78s]  that shows really nicely that these things work.
[2182.82s -> 2185.44s]  So the bottom one I think I'll start with
[2185.48s -> 2187.02s]  because it's more decisive,
[2187.04s -> 2190.78s]  shows fine-grained experts going from eight to 32 to 64,
[2190.82s -> 2192.76s]  fine-grained experts mirroring in some sense
[2192.78s -> 2194.26s]  the deep-sea cablations,
[2194.28s -> 2196.56s]  and you see very clear trends and losses
[2196.60s -> 2200.40s]  and other kinds of metrics that you see improvements
[2200.42s -> 2202.26s]  going from eight to 32 to 64, right.
[2202.30s -> 2203.66s]  Fine-grained experts is great.
[2204.08s -> 2208.42s]  Shared experts, which is purple versus teal at the very top,
[2208.46s -> 2210.38s]  you actually don't see really any gains,
[2210.42s -> 2212.46s]  at least in the Olmo setup.
[2212.48s -> 2215.36s]  So they actually end up going with no shared experts,
[2215.38s -> 2217.72s]  even though the deep-sea paper seemed to show more gains.
[2217.76s -> 2219.32s]  So that one actually is maybe more mixed
[2219.36s -> 2220.60s]  given this sort of follow-up
[2220.62s -> 2224.76s]  or this third-party replication of these kinds of ideas.
[2226.84s -> 2229.30s]  So at this point, you might be wondering,
[2229.34s -> 2231.20s]  you know, what are common configurations?
[2232.18s -> 2235.88s]  I think I'm gonna take the page out of last lecture's
[2235.92s -> 2239.42s]  playbook of looking at a lot of the recent releases,
[2239.46s -> 2241.02s]  looking at what people do,
[2241.06s -> 2242.82s]  and trying to talk a little bit about
[2242.86s -> 2245.26s]  the patterns that have arisen.
[2245.30s -> 2248.76s]  So some of the early Google papers,
[2248.80s -> 2252.20s]  so GShard, Switch Transformer, STMOE,
[2252.24s -> 2255.20s]  some of them had really large numbers of routed experts,
[2255.24s -> 2257.40s]  and there was a lot of really interesting stuff
[2257.44s -> 2258.44s]  going on in those papers.
[2258.48s -> 2259.94s]  I'd encourage you to read them.
[2260.42s -> 2261.98s]  Some of them happened in LSTMs
[2262.02s -> 2263.52s]  and other kinds of architectures.
[2264.66s -> 2266.32s]  Regardless, you know, very quickly,
[2266.36s -> 2267.86s]  I think there was like kind of a period
[2267.88s -> 2269.76s]  of like eight to 16 experts,
[2269.80s -> 2274.12s]  like Mixtrol, DBRX, Grok, with two active experts.
[2274.16s -> 2275.76s]  Those worked reasonably well,
[2275.80s -> 2277.30s]  but then kind of deep-sea MOE
[2277.34s -> 2280.76s]  or deep-sea MOEv1 comes out.
[2280.80s -> 2282.90s]  That has kind of the prototypical configuration
[2282.94s -> 2283.74s]  I told you about.
[2283.78s -> 2285.50s]  Fine-grained experts, 64 of them,
[2285.54s -> 2288.78s]  six actively routed, two shared experts,
[2288.92s -> 2291.42s]  and each sort of expert is sort of one-fourth the size
[2291.46s -> 2293.42s]  of a normally-sized expert.
[2293.46s -> 2295.00s]  Take that last column with a grain of salt
[2295.02s -> 2296.76s]  because I had to sort of back them out
[2296.80s -> 2298.30s]  from like config files and things like that,
[2298.32s -> 2300.96s]  so I'm not 100% sure about the exact ratios here.
[2302.20s -> 2307.10s]  So we've then got essentially QEN 1.5, deep-sea V3,
[2307.14s -> 2309.58s]  Minimax, these are, you know, Chinese MOEs.
[2309.60s -> 2311.44s]  They follow essentially in the same footsteps
[2311.48s -> 2312.64s]  as deep-sea V1.
[2312.68s -> 2314.22s]  The specific numbers are different,
[2314.24s -> 2317.14s]  but in the sense that they use, you know,
[2317.18s -> 2320.32s]  fine-grained experts, and they often have shared experts,
[2320.34s -> 2323.12s]  they're very similar to kind of this original
[2323.14s -> 2325.38s]  deep-sea MOE configuration.
[2325.42s -> 2328.86s]  Olmo, Minimax, and Llama are very recent MOEs.
[2328.88s -> 2333.22s]  They definitely do all this fine-grained expert stuff,
[2333.26s -> 2336.12s]  and Llama4 also uses a shared expert,
[2336.16s -> 2339.34s]  and you kind of see sort of variations in configuration,
[2339.36s -> 2340.74s]  but you see what's basically shared,
[2340.76s -> 2342.86s]  which is this fine-grained experts idea,
[2342.90s -> 2344.00s]  and especially for the big models,
[2344.04s -> 2345.30s]  like Llama4 and deep-sea,
[2345.30s -> 2347.84s]  very, very large numbers of routed experts.
[2347.86s -> 2350.50s]  Or sorry, not routed, like total experts, yes.
[2350.54s -> 2354.30s]  So can you explain what the ratios are?
[2354.34s -> 2356.98s]  The ratio is representing roughly
[2357.02s -> 2359.84s]  like how much each expert is sliced
[2359.88s -> 2362.74s]  relative to having just the standard dense configuration.
[2362.78s -> 2364.58s]  So in terms of hyperparameters,
[2364.62s -> 2366.72s]  you know that if you're following the rule of thumb,
[2366.76s -> 2369.26s]  your hidden dimension and sort of your projection
[2369.28s -> 2371.50s]  from in your MLP should be about one to four,
[2371.52s -> 2374.72s]  or one to 2.6 if you're doing a gated network, right?
[2375.22s -> 2376.38s]  And so by looking at the hidden layers
[2376.42s -> 2377.68s]  of these architectures, you can kind of see
[2377.72s -> 2379.58s]  how many times they sliced up
[2379.62s -> 2383.12s]  that original feed-forward size.
[2383.16s -> 2384.62s]  So if like, for instance,
[2384.66s -> 2387.02s]  we want to have ratios one to four,
[2387.06s -> 2389.00s]  but then they have 64 of those experts,
[2389.02s -> 2391.56s]  does that mean they're still increasing
