# Detected language: en (p=1.00)

[0.00s -> 1.74s]  Stanford University.
[1472.54s -> 1476.54s]  so moving back, now we've reached w0 and x0,
[1476.54s -> 1480.54s]  and so here we have a multiplication node, right,
[1480.54s -> 1483.54s]  so we saw the multiplication node from before,
[1483.54s -> 1485.54s]  it just, the gradient with respect to one
[1485.54s -> 1488.54s]  of the inputs just is the value of the other input,
[1488.54s -> 1490.54s]  and so in this case, what's the gradient
[1490.54s -> 1492.54s]  with respect to w0?
[1498.54s -> 1501.54s]  Minus, I'm hearing minus 0.2, exactly.
[1501.54s -> 1503.54s]  Yeah, so with respect to w0,
[1503.54s -> 1507.54s]  we have our upstream gradient 0.2, right,
[1508.54s -> 1510.54s]  times our, this is the bottom one,
[1510.54s -> 1512.54s]  times our value of x, which is negative one,
[1512.54s -> 1515.54s]  we get negative 0.2, and we can do the same thing
[1515.54s -> 1517.54s]  for our gradient with respect to x0,
[1517.54s -> 1520.54s]  it's going to be 0.2 times the value of w0,
[1520.54s -> 1523.54s]  which is two, and we get 0.4.
[1525.54s -> 1530.54s]  Okay, so here we've filled out most of these gradients,
[1530.54s -> 1533.54s]  and so there was a question earlier
[1534.54s -> 1538.54s]  about why this is simpler than just computing,
[1538.54s -> 1541.54s]  deriving the analytic gradient, the expression,
[1541.54s -> 1543.54s]  with respect to any of these variables, right,
[1543.54s -> 1546.54s]  and so you can see here, all we ever dealt with
[1546.54s -> 1548.54s]  was expressions for local gradients
[1548.54s -> 1550.54s]  that we had to write out,
[1550.54s -> 1552.54s]  so once we had these expressions for local gradients,
[1552.54s -> 1554.54s]  all we did was plug in the values
[1554.54s -> 1556.54s]  for each of these that we have,
[1556.54s -> 1558.54s]  and use a chain rule to numerically multiply this
[1558.54s -> 1560.54s]  all the way backwards and get the gradients
[1560.54s -> 1563.54s]  with respect to all of the variables.
[1567.54s -> 1570.54s]  And so, you know, we can also fill out
[1570.54s -> 1573.54s]  the gradients with respect to w1 and x1 here
[1573.54s -> 1575.54s]  in exactly the same way,
[1575.54s -> 1577.54s]  and so one thing that I want to note
[1577.54s -> 1580.54s]  is that when we're creating these computational graphs,
[1580.54s -> 1582.54s]  we can define the computational nodes
[1582.54s -> 1584.54s]  at any granularity that we want to,
[1584.54s -> 1586.54s]  so in this case, we broke it down
[1586.54s -> 1589.54s]  into the absolute simplest that we could, right,
[1589.54s -> 1592.54s]  we broke it down into additions and multiplications,
[1592.54s -> 1595.54s]  you know, it basically can't get any simpler than that,
[1595.54s -> 1597.54s]  but in practice, right, we can group
[1597.54s -> 1599.54s]  some of these nodes together
[1599.54s -> 1601.54s]  into more complex nodes if we want,
[1601.54s -> 1603.54s]  as long as we're able to write down
[1603.54s -> 1606.54s]  the local gradient for that node, right,
[1606.54s -> 1608.54s]  and so as an example,
[1610.54s -> 1612.54s]  if we look at a sigmoid function,
[1612.54s -> 1614.54s]  so I've defined the sigmoid function
[1614.54s -> 1616.54s]  in the upper right here,
[1616.54s -> 1618.54s]  of a sigmoid of x is equal to
[1618.54s -> 1620.54s]  one over one plus e to the negative x,
[1620.54s -> 1622.54s]  and this is something that's a really common function
[1622.54s -> 1625.54s]  that you'll see a lot in the rest of this class,
[1625.54s -> 1628.54s]  and we can compute the gradient for this
[1628.54s -> 1630.54s]  but we can write it out,
[1630.54s -> 1633.54s]  and if we do actually go through the math
[1633.54s -> 1635.54s]  of doing this analytically,
[1635.54s -> 1637.54s]  we can get a nice expression at the end,
[1637.54s -> 1639.54s]  so in this case, it's equal to
[1639.54s -> 1643.54s]  one minus sigma of x, so the output of this function,
[1643.54s -> 1645.54s]  times sigma of x, right,
[1645.54s -> 1648.54s]  and so in cases where we have something like this,
[1648.54s -> 1652.54s]  we could just take all the computations
[1652.54s -> 1655.54s]  that we had in our graph that made up the sigmoid,
[1655.54s -> 1657.54s]  and we could just replace it with
[1657.54s -> 1659.54s]  a big node that's a sigmoid, right,
[1659.54s -> 1663.54s]  because we do know the local gradient for this gate,
[1663.54s -> 1668.54s]  it's this expression of the sigmoid of x over dx, right,
[1668.54s -> 1670.54s]  so basically the important thing here
[1670.54s -> 1673.54s]  is that you can group any nodes that you want
[1673.54s -> 1678.54s]  to make any sorts of a little bit more complex nodes,
[1678.54s -> 1681.54s]  as long as you can write down the local gradient for this,
[1681.54s -> 1683.54s]  and so all this is is basically a trade-off
[1683.54s -> 1686.54s]  between how much math that you want to do
[1686.54s -> 1690.54s]  to get a more kind of concise and simpler graph, right,
[1690.54s -> 1695.54s]  versus how simple you want each of your gradients to be,
[1695.54s -> 1697.54s]  right, and then you can write out
[1697.54s -> 1700.54s]  as complex of a computational graph that you want.
[1700.54s -> 1701.54s]  Yeah, question.
[1711.54s -> 1714.54s]  So they could also be connected into a single addition node,
[1714.54s -> 1718.54s]  so the question was, is there a reason why w0 and x0
[1718.54s -> 1720.54s]  are not connected with w2,
[1720.54s -> 1722.54s]  all of these additions just connected together,
[1722.54s -> 1725.54s]  and yeah, so the answer is that you can do that
[1725.54s -> 1727.54s]  if you want, and in practice,
[1727.54s -> 1729.54s]  maybe you would actually want to do that,
[1729.54s -> 1731.54s]  because this is still a very simple node, right,
[1731.54s -> 1734.54s]  so in this case, I just wrote this out into
[1734.54s -> 1738.54s]  as simple as possible, where each node
[1738.54s -> 1740.54s]  only had up to two inputs,
[1740.54s -> 1743.54s]  but yeah, you could definitely do that.
[1743.54s -> 1745.54s]  Any other questions about this?
[1747.54s -> 1750.54s]  Okay, so the one thing that I really like
[1750.54s -> 1752.54s]  about thinking about this like a computational graph
[1752.54s -> 1754.54s]  is that I feel very comforted, right,
[1754.54s -> 1756.54s]  like any time I have to take a gradient,
[1756.54s -> 1758.54s]  find gradients of something,
[1758.54s -> 1760.54s]  even if the expression that I want
[1760.54s -> 1762.54s]  to compute gradients of is really hairy
[1762.54s -> 1763.54s]  and really scary, you know,
[1763.54s -> 1764.54s]  whether it's something like the sigmoid
[1764.54s -> 1767.54s]  or something worse, I know that, you know,
[1767.54s -> 1769.54s]  I could derive this if I want to,
[1769.54s -> 1772.54s]  but really, if I just sit down and write it out
[1772.54s -> 1774.54s]  in terms of a computational graph,
[1774.54s -> 1776.54s]  I can go as simple as I need to
[1776.54s -> 1778.54s]  to always be able to apply backprop
[1778.54s -> 1780.54s]  and the chain rule and be able to
[1780.54s -> 1783.54s]  compute all the gradients that I need,
[1783.54s -> 1784.54s]  and so this is something that you guys
[1784.54s -> 1788.54s]  should think about when you're doing your homeworks
[1788.54s -> 1790.54s]  as basically, you know,
[1790.54s -> 1792.54s]  any time you're having trouble finding gradients
[1792.54s -> 1793.54s]  of something, just think about it
[1793.54s -> 1794.54s]  as a computational graph,
[1794.54s -> 1796.54s]  break it down into all of these parts,
[1796.54s -> 1798.54s]  and then use the chain rule.
[1799.54s -> 1801.54s]  Okay, and so, you know,
[1802.54s -> 1804.54s]  so we talked about how we could group
[1804.54s -> 1807.54s]  these set of nodes together into a sigmoid gate,
[1807.54s -> 1809.54s]  and just to confirm, like,
[1809.54s -> 1811.54s]  that this is actually exactly equivalent,
[1811.54s -> 1813.54s]  we can plug this in, right,
[1813.54s -> 1816.54s]  so we have that our input here
[1816.54s -> 1820.54s]  to the sigmoid gate is going to be one in green,
[1820.54s -> 1822.54s]  and then we have that the output
[1822.54s -> 1825.54s]  is going to be here 0.73, right,
[1825.54s -> 1827.54s]  and this will work out if you plug it
[1827.54s -> 1829.54s]  into the sigmoid function.
[1829.54s -> 1831.54s]  And so now if we want to do,
[1831.54s -> 1833.54s]  if we want to take the gradient
[1833.54s -> 1835.54s]  and we want to treat this entire sigmoid
[1835.54s -> 1838.54s]  as one node, now what we should do
[1838.54s -> 1840.54s]  is we need to use this local gradient
[1840.54s -> 1842.54s]  that we've derived up here, right,
[1842.54s -> 1845.54s]  one minus sigmoid of x times the sigmoid of x.
[1845.54s -> 1847.54s]  So if we plug this in,
[1847.54s -> 1849.54s]  and here we know that the value of sigmoid of x
[1849.54s -> 1852.54s]  was 0.73, so if we plug this value in,
[1852.54s -> 1854.54s]  we'll see that the value of this gradient
[1854.54s -> 1856.54s]  is equal to 0.2, right,
[1856.54s -> 1859.54s]  and so the value of this local gradient is 0.2,
[1859.54s -> 1862.54s]  we multiply it by the upstream gradient which is one,
[1862.54s -> 1864.54s]  and we're going to get out
[1864.54s -> 1866.54s]  exactly the same value of the gradient
[1866.54s -> 1868.54s]  with respect to before the sigmoid gate
[1868.54s -> 1869.54s]  as if we broke it down
[1869.54s -> 1872.54s]  into all of the smaller computations.
[1876.54s -> 1878.54s]  Okay, and so as we're looking at what's happening,
[1878.54s -> 1881.54s]  right, as we're taking these gradients
[1881.54s -> 1884.54s]  going backwards through our computational graph,
[1884.54s -> 1887.54s]  there's some patterns that you'll notice
[1887.54s -> 1890.54s]  where there's some intuitive interpretation
[1890.54s -> 1892.54s]  that we can give these, right,
[1892.54s -> 1894.54s]  so we saw that the add gate
[1894.54s -> 1896.54s]  is a gradient distributor, right,
[1896.54s -> 1900.54s]  when we pass through this addition gate here
[1900.54s -> 1902.54s]  which had two branches coming out of it,
[1902.54s -> 1905.54s]  it took the gradient, the upstream gradient,
[1905.54s -> 1907.54s]  and it just distributed it, passed the exact same thing
[1907.54s -> 1911.54s]  to both of the branches that were connected.
[1911.54s -> 1914.54s]  So here's a couple more that we can think about.
[1914.54s -> 1917.54s]  So what's a max gate look like?
[1918.54s -> 1920.54s]  So we have a max gate here at the bottom, right,
[1920.54s -> 1923.54s]  where the inputs coming in are z and w,
[1923.54s -> 1927.54s]  z has a value of two, w has a value of negative one,
[1927.54s -> 1930.54s]  and then we took the max of this which is two, right,
[1930.54s -> 1932.54s]  and so we passed this down into
[1932.54s -> 1935.54s]  the remainder of our computational graph.
[1935.54s -> 1937.54s]  So now if we're taking the gradients
[1937.54s -> 1939.54s]  with respect to this,
[1939.54s -> 1942.54s]  the upstream gradient is, let's say, two coming back, right,
[1942.54s -> 1946.54s]  and what does this local gradient look like?
[1949.54s -> 1950.54s]  Yes.
[1954.54s -> 1955.54s]  Right.
[1958.54s -> 1961.54s]  Exactly, so the answer that was given
[1961.54s -> 1964.54s]  is that z will have a gradient of two,
[1964.54s -> 1967.54s]  w will have a gradient of zero,
[1968.54s -> 1970.54s]  and so one of these is going to get the full value
[1970.54s -> 1972.54s]  of the gradient just passed back
[1972.54s -> 1975.54s]  and routed to that variable,
[1975.54s -> 1978.54s]  and then the other one will have a gradient of zero.
[1978.54s -> 1982.54s]  And so we can think of this as kind of a gradient router,
[1982.54s -> 1985.54s]  right, so whereas the addition node passed back
[1985.54s -> 1987.54s]  the same gradient to both branches coming in,
[1987.54s -> 1989.54s]  the max gate will just take the gradient
[1989.54s -> 1991.54s]  and route it to one of the branches.
[1991.54s -> 1994.54s]  And this makes sense because if we look at our forward pass,
[1994.54s -> 1996.54s]  what's happening is that only the value
[1996.54s -> 1998.54s]  that was the maximum got passed down
[1998.54s -> 2002.54s]  to the rest of the computational graph, right,
[2002.54s -> 2004.54s]  so it's the only value that actually affected
[2004.54s -> 2006.54s]  our function computation at the end,
[2006.54s -> 2008.54s]  and so it makes sense that when we're passing
[2008.54s -> 2011.54s]  our gradients back, we just want to adjust what,
[2011.54s -> 2015.54s]  you know, flow it through that branch of the computation.
[2017.54s -> 2018.54s]  Okay, and so another one,
[2018.54s -> 2022.54s]  what's a multiplication gate, which we saw earlier?
[2022.54s -> 2025.54s]  Is there any interpretation of this?
[2027.54s -> 2028.54s]  Okay, so.
[2032.54s -> 2034.54s]  Okay, so the answer that was given
[2034.54s -> 2036.54s]  is that the local gradient is basically
[2036.54s -> 2038.54s]  just the value of the other variable.
[2038.54s -> 2040.54s]  Yeah, so that's exactly right.
[2040.54s -> 2043.54s]  So we can think of this as a gradient switcher, right,
[2043.54s -> 2045.54s]  a switcher and I guess a scalar,
[2045.54s -> 2047.54s]  where we take the upstream gradient
[2047.54s -> 2051.54s]  and we scale it by the value of the other branch.
[2052.54s -> 2054.54s]  Okay, and so one other thing to note
[2054.54s -> 2057.54s]  is that when we have a place where one node
[2057.54s -> 2059.54s]  is connected to multiple nodes,
[2059.54s -> 2063.54s]  the gradients add up at this node, right,
[2063.54s -> 2066.54s]  so at these branches, using the multivariate chain rule,
[2066.54s -> 2068.54s]  we're just going to take the value
[2068.54s -> 2070.54s]  of the upstream gradient coming back
[2070.54s -> 2073.54s]  from each of these nodes and we'll add these together
[2073.54s -> 2075.54s]  to get the total upstream gradient
[2075.54s -> 2077.54s]  that's flowing back into this node.
[2077.54s -> 2079.54s]  And you can see this from the,
[2079.54s -> 2082.54s]  and you can see this from the multivariate chain rule
[2082.54s -> 2084.54s]  and also thinking about this,
[2084.54s -> 2086.54s]  you can think about this,
[2086.54s -> 2089.54s]  that if you're going to change this node a little bit,
[2089.54s -> 2092.54s]  it's going to affect both of these connected nodes
[2092.54s -> 2093.54s]  in the forward pass, right,
[2093.54s -> 2096.54s]  when you're making your forward pass through the graph.
[2096.54s -> 2098.54s]  And so then when you're doing backprop, right,
[2098.54s -> 2102.54s]  then now the both of these gradients coming back
[2102.54s -> 2105.54s]  are going to affect this node, right,
[2105.54s -> 2107.54s]  and so that's why we're going to sum these up
[2107.54s -> 2109.54s]  to be the total upstream gradient
[2109.54s -> 2112.54s]  flowing back into this node.
[2112.54s -> 2116.54s]  Okay, so any questions about backprop
[2116.54s -> 2120.54s]  going through these forward and backward passes?
[2128.54s -> 2130.54s]  Right, so the question is,
[2130.54s -> 2131.54s]  we haven't done anything yet
[2131.54s -> 2133.54s]  to update the values of these weights,
[2133.54s -> 2135.54s]  we've only found the gradients
[2135.54s -> 2137.54s]  with respect to the variables, that's exactly right.
[2137.54s -> 2140.54s]  So what we've talked about so far in this lecture
[2140.54s -> 2142.54s]  is how to compute gradients
[2142.54s -> 2145.54s]  with respect to any variables in our function, right,
[2145.54s -> 2147.54s]  and then once we have these,
[2147.54s -> 2150.54s]  we can just apply everything we learned
[2150.54s -> 2153.54s]  in the optimization lecture last lecture, right,
[2153.54s -> 2155.54s]  so given the gradient,
[2155.54s -> 2158.54s]  we now take a step in the direction of the gradient
[2158.54s -> 2161.54s]  in order to update our parameters, right,
[2161.54s -> 2163.54s]  so we can just take this entire framework
[2163.54s -> 2166.54s]  that we learned about last lecture for optimization,
[2166.54s -> 2168.54s]  and what we've done here
[2168.54s -> 2171.54s]  is just learn how to compute the gradients we need
[2171.54s -> 2174.54s]  for arbitrarily complex functions, right,
[2174.54s -> 2175.54s]  and so this is going to be useful
[2175.54s -> 2177.54s]  when we talk about complex functions
[2177.54s -> 2180.54s]  like neural networks later on, yeah.
[2186.54s -> 2190.54s]  Yeah, so I can write this maybe on the board.
[2191.54s -> 2195.54s]  Right, so basically if we're going to have,
[2195.54s -> 2198.54s]  let's see, if we want to have the gradient of F
[2198.54s -> 2201.54s]  with respect to some variable X, right,
[2201.54s -> 2205.54s]  and let's say it's connected through variables,
[2208.54s -> 2211.54s]  let's see, I, we can basically,
[2220.54s -> 2223.54s]  right, so this is basically saying that
[2223.54s -> 2226.54s]  if X is connected to these multiple elements, right,
[2226.54s -> 2229.54s]  let's say in this case different QIs,
[2229.54s -> 2232.54s]  then the chain rule is taking all,
[2233.54s -> 2235.54s]  it's going to take the effect
[2235.54s -> 2237.54s]  of each of these intermediate variables, right,
[2237.54s -> 2241.54s]  on our final output F, and then compound each one
[2241.54s -> 2245.54s]  with the local effect of our variable X
[2245.54s -> 2248.54s]  on that intermediate value, right,
[2248.54s -> 2253.54s]  so yeah, it's basically just summing all these up together.
[2255.54s -> 2258.54s]  Okay, so now that we've, you know,
[2258.54s -> 2260.54s]  done all these examples in the scalar case,
[2260.54s -> 2262.54s]  we're going to look at what happens
[2262.54s -> 2264.54s]  when we have vectors, right,
[2264.54s -> 2266.54s]  so now for variables X, Y, and Z,
[2266.54s -> 2269.54s]  instead of just being numbers, we have vectors for these,
[2269.54s -> 2273.54s]  and so everything stays exactly the same, the entire flow,
[2273.54s -> 2275.54s]  the only difference is that now our gradients
[2275.54s -> 2278.54s]  are going to be Jacobian matrices, right,
[2278.54s -> 2282.54s]  so these are now going to be matrices
[2282.54s -> 2285.54s]  containing the derivative of each element
[2285.54s -> 2289.54s]  of, for example, Z, with respect to each element of X.
[2293.54s -> 2296.54s]  Okay, and so to, you know,
[2296.54s -> 2299.54s]  so give an example of something where this is happening,
[2299.54s -> 2301.54s]  right, let's say that we have,
[2301.54s -> 2303.54s]  our input is going to now be a vector,
[2303.54s -> 2306.54s]  so let's say we have a 4,096-dimensional input vector,
[2306.54s -> 2308.54s]  and this is kind of a common size that you might see
[2308.54s -> 2312.54s]  in convolutional neural networks later on,
[2312.54s -> 2316.54s]  and our node is going to be an element-wise maximum,
[2316.54s -> 2320.54s]  right, so we have F of X is equal to the maximum
[2320.54s -> 2324.54s]  of X compared with zero element-wise,
[2324.54s -> 2326.54s]  and then our output is going to be
[2326.54s -> 2329.54s]  also a 4,096-dimensional vector.
[2330.54s -> 2332.54s]  Okay, so in this case,
[2332.54s -> 2334.54s]  what's the size of our Jacobian matrix?
[2334.54s -> 2336.54s]  Remember I said earlier the Jacobian matrix
[2336.54s -> 2339.54s]  is going to be, like each row is,
[2339.54s -> 2341.54s]  it's going to be partial derivatives,
[2341.54s -> 2343.54s]  a matrix of partial derivatives
[2343.54s -> 2344.54s]  of each dimension of the output
[2344.54s -> 2348.54s]  with respect to each dimension of the input.
[2349.54s -> 2353.54s]  Okay, so the answer I heard was 4,096-squared,
[2353.54s -> 2355.54s]  and that's, yeah, that's correct.
[2355.54s -> 2358.54s]  So this is pretty large, right, 4,096-squared,
[2358.54s -> 2360.54s]  right, 4,096 by 4,096,
[2361.54s -> 2364.54s]  and in practice this is going to be even larger
[2364.54s -> 2367.54s]  because we're going to work with many batches of,
[2367.54s -> 2370.54s]  you know, of, for example, 100 inputs at the same time,
[2370.54s -> 2372.54s]  right, and we'll put all of these
[2372.54s -> 2375.54s]  through our node at the same time to be more efficient,
[2375.54s -> 2378.54s]  and so this is going to scale this by 100,
[2378.54s -> 2380.54s]  and in practice our Jacobian's actually going to turn out
[2380.54s -> 2384.54s]  to be something like 409,000 by 409,000, right,
[2384.54s -> 2386.54s]  so this is really huge
[2386.54s -> 2390.54s]  and basically completely impractical to work with.
[2390.54s -> 2392.54s]  So in practice, though,
[2392.54s -> 2396.54s]  we don't actually need to compute this huge Jacobian
[2396.54s -> 2398.54s]  most of the time, and so why is that?
[2398.54s -> 2400.54s]  Like, what does this Jacobian matrix look like?
[2400.54s -> 2403.54s]  If we think about what's happening here
[2403.54s -> 2406.54s]  where we're taking this element-wise maximum
[2406.54s -> 2408.54s]  and we think about what are each of the
[2408.54s -> 2409.54s]  partial derivatives, right,
[2409.54s -> 2412.54s]  which dimension of the inputs
[2412.54s -> 2415.54s]  affect which dimensions of the output?
[2415.54s -> 2419.54s]  What sort of structure can we see in our Jacobian matrix?
[2420.54s -> 2422.54s]  Okay, so I heard that it's diagonal.
[2422.54s -> 2423.54s]  Right, exactly.
[2423.54s -> 2425.54s]  So because this is element-wise, right,
[2425.54s -> 2429.54s]  each element of the input, say the first dimension,
[2429.54s -> 2433.54s]  only affects that corresponding element in the output,
[2433.54s -> 2437.54s]  right, and so because of that, our Jacobian matrix,
[2437.54s -> 2441.54s]  which is just going to be a diagonal matrix, right,
[2441.54s -> 2442.54s]  and so in practice, then,
[2442.54s -> 2444.54s]  we don't actually have to write out
[2444.54s -> 2446.54s]  and formulate this entire Jacobian.
[2446.54s -> 2450.54s]  We can just know the effect of X on the output, right,
[2454.54s -> 2457.54s]  and then we can just use these values, right,
[2457.54s -> 2461.54s]  and fill it in as we're computing the gradient.
[2463.54s -> 2465.54s]  Okay, so now we're going to go through
[2465.54s -> 2468.54s]  a more concrete vectorized example
[2468.54s -> 2469.54s]  of a computational graph.
[2469.54s -> 2471.54s]  Right, so let's look at a case
[2471.54s -> 2474.54s]  where we have the function f of X and W
[2474.54s -> 2478.54s]  is equal to basically the L2 of W multiplied by X,
[2481.54s -> 2483.54s]  and so in this case, we're going to say
[2483.54s -> 2486.54s]  X is n-dimensional and W is n by n.
[2488.54s -> 2489.54s]  Right, so again, our first step,
[2489.54s -> 2491.54s]  writing out the computational graph,
[2491.54s -> 2493.54s]  right, we have W multiplied by X
[2493.54s -> 2497.54s]  and then followed by, I'm just going to call this L2.
[2498.54s -> 2501.54s]  And so now let's also fill out some values for this,
[2501.54s -> 2503.54s]  so we can see that, you know,
[2503.54s -> 2506.54s]  let's say I have W be this two by two matrix
[2506.54s -> 2509.54s]  and X is going to be this two-dimensional vector.
[2509.54s -> 2511.54s]  Right, and so we can say,
[2511.54s -> 2513.54s]  label again our intermediate nodes,
[2513.54s -> 2515.54s]  our intermediate node after the multiplication
[2515.54s -> 2517.54s]  is going to be Q.
[2517.54s -> 2519.54s]  We have Q equals W times X,
[2519.54s -> 2521.54s]  which we can write out element-wise this way.
[2521.54s -> 2524.54s]  Right, the first element is just W one one times X one
[2524.54s -> 2526.54s]  plus W one two times X two and so on.
[2527.54s -> 2531.54s]  And then we can now express F in relation to Q.
[2531.54s -> 2533.54s]  Right, so looking at the second node,
[2533.54s -> 2537.54s]  we have F of Q is equal to the L2 norm of Q,
[2538.54s -> 2542.54s]  which is equal to Q one squared plus Q two squared.
[2543.54s -> 2544.54s]  Okay, so we fill this in,
[2544.54s -> 2548.54s]  right, we get Q and then we get our final output.
[2549.54s -> 2552.54s]  Okay, so now let's do back-pop through this.
[2552.54s -> 2555.54s]  Right, so again, this is always the first step.
[2555.54s -> 2558.54s]  We have the gradient with respect to,
[2558.54s -> 2560.54s]  our output is just one, right.
[2563.54s -> 2566.54s]  Okay, so now let's move back one node.
[2566.54s -> 2569.54s]  So now we want to find the gradient with respect to Q.
[2569.54s -> 2573.54s]  Right, our intermediate variable before the L2.
[2574.54s -> 2577.54s]  And so Q is a two-dimensional vector.
[2577.54s -> 2580.54s]  And what we want to do is we want to
[2580.54s -> 2583.54s]  find how each element of Q
[2584.54s -> 2587.54s]  affects our final value of F.
[2587.54s -> 2589.54s]  Right, and so if we look at this expression
[2589.54s -> 2591.54s]  that we've written out for F here at the bottom,
[2591.54s -> 2594.54s]  we can see that the gradient of F
[2594.54s -> 2597.54s]  with respect to a specific Q I,
[2597.54s -> 2601.54s]  let's say Q one, is just going to be two times Q I.
[2602.54s -> 2605.54s]  Right, this is just taking this derivative here.
[2605.54s -> 2608.54s]  And so we have this expression for,
[2609.54s -> 2611.54s]  with respect to each element of Q I,
[2611.54s -> 2615.54s]  we could also write this out in vector form if we want to.
[2615.54s -> 2618.54s]  It's just going to be two times our vector of Q, right,
[2618.54s -> 2620.54s]  if we want to write this out in vector form.
[2620.54s -> 2623.54s]  And so what we get is that our gradient is
[2623.54s -> 2626.54s]  0.44 and 0.52, this vector.
[2626.54s -> 2628.54s]  Right, and so you can see that it just
[2628.54s -> 2630.54s]  took Q and it scaled it by two.
[2630.54s -> 2633.54s]  Right, each element is just multiplied by two.
[2633.54s -> 2637.54s]  So the gradient of a vector is always going to be
[2637.54s -> 2639.54s]  the same size as the original vector.
[2639.54s -> 2642.54s]  And each element of this gradient
[2642.54s -> 2647.54s]  is going to, it means how much this particular element
[2647.54s -> 2651.54s]  affects our final output of the function.
[2654.54s -> 2657.54s]  Okay, so now let's move one step backwards.
[2657.54s -> 2660.54s]  Right, what's the gradient with respect to W?
[2660.54s -> 2664.54s]  And so here again, we want to use the same concept
[2664.54s -> 2665.54s]  of trying to apply the chain rule, right?
[2665.54s -> 2667.54s]  So we want to compute our local gradient
[2668.54s -> 2670.54s]  of Q with respect to W.
[2670.54s -> 2672.54s]  And so let's look at this again, element rise.
[2672.54s -> 2675.54s]  And if we do that, let's see what's the effect
[2675.54s -> 2678.54s]  of each Q, right, each element of Q
[2678.54s -> 2680.54s]  with respect to each element of W.
[2680.54s -> 2682.54s]  Right, so this is kind of the Jacobian
[2682.54s -> 2684.54s]  that we talked about earlier.
[2684.54s -> 2688.54s]  And if we look at this in this multiplication,
[2688.54s -> 2690.54s]  Q is equal to W times X.
[2690.54s -> 2694.54s]  Right, what's the, let's see,
[2694.54s -> 2696.54s]  what's the derivative or the gradient
[2696.54s -> 2701.54s]  of the first element of Q, so our first element up top,
[2701.54s -> 2703.54s]  with respect to W one one?
[2703.54s -> 2706.54s]  So Q one with respect to W one one.
[2706.54s -> 2708.54s]  What's that value?
[2708.54s -> 2710.54s]  X one, exactly.
[2710.54s -> 2713.54s]  Yeah, so we know that this is X one
[2713.54s -> 2715.54s]  and we can write this out more generally
[2715.54s -> 2718.54s]  of the gradient of Q K with respect to,
[2720.54s -> 2723.54s]  of W I J is equal to X J.
[2723.54s -> 2725.54s]  Right, and then now if we want to find the gradient
[2725.54s -> 2729.54s]  with respect to, of F with respect to each W I J,
[2730.54s -> 2733.54s]  so looking at these derivatives now,
[2734.54s -> 2737.54s]  we can use this chain rule that we talked to earlier
[2737.54s -> 2741.54s]  where we basically compound D F over D Q K
[2743.54s -> 2747.54s]  for each element of Q with D Q K over W I J
[2748.54s -> 2750.54s]  for each element of W I J.
[2750.54s -> 2752.54s]  Right, so we find the effect of each element
[2752.54s -> 2757.54s]  of W on each element of Q and sum this across all Q.
[2757.54s -> 2758.54s]  And so if you write this out,
[2758.54s -> 2759.54s]  this is going to give this expression
[2759.54s -> 2762.04s]  of two times Q I times X J.
[2765.54s -> 2767.54s]  Okay, and so filling this out,
[2767.54s -> 2771.54s]  then we get this gradient with respect to W.
[2771.54s -> 2773.54s]  And so again, we can compute this each element wise
[2773.54s -> 2776.54s]  or we can also look at this expression
[2776.54s -> 2780.54s]  that we've derived and write it out in vectorized form.
[2780.54s -> 2784.54s]  Right, so, okay, and remember the important thing
[2784.54s -> 2787.54s]  is always to check the gradient with respect to a variable
[2787.54s -> 2789.54s]  should have the same shape as the variable.
[2789.54s -> 2792.54s]  And so this is something really useful in practice
[2792.54s -> 2794.54s]  to sanity check, right?
[2794.54s -> 2796.54s]  Like once you've computed what your gradient should be,
[2796.54s -> 2800.54s]  check that this is the same shape as your variable.
[2801.54s -> 2805.54s]  Because again, each element of your gradient
[2805.54s -> 2808.54s]  is quantifying how much that element
[2808.54s -> 2813.54s]  is contributing to your, is affecting your final output.
[2813.54s -> 2814.54s]  Yeah.
[2816.54s -> 2818.54s]  The bold size, oh, the bold size one
[2818.54s -> 2820.54s]  is an indicator function, so this is saying
[2820.54s -> 2823.54s]  that it's just one if K equals I.
[2827.54s -> 2830.54s]  Okay, so, see, so we've done that.
[2830.54s -> 2834.54s]  And so now just, let's see, one more example.
[2835.54s -> 2837.54s]  Now our last thing we need to find
[2837.54s -> 2840.54s]  is the gradient with respect to qi.
[2840.54s -> 2843.54s]  So here if we compute the partial derivatives,
[2843.54s -> 2847.54s]  we can see that dqk over dxi is equal to wki,
[2848.54s -> 2852.54s]  right, using the same way as we did it for w.
[2854.54s -> 2857.54s]  And then again, we can just use the chain rule
[2857.54s -> 2860.54s]  and get the total expression for that.
[2862.54s -> 2863.54s]  Right, and so this is going to be
[2863.54s -> 2865.54s]  the gradient with respect to x,
[2865.54s -> 2868.54s]  again, of the same shape as x,
[2868.54s -> 2870.54s]  and we can also write this out in vectorized form
[2870.54s -> 2871.54s]  if we want.
[2873.54s -> 2875.54s]  Okay, so any questions about this?
[2875.54s -> 2876.54s]  Yeah.
[2879.54s -> 2882.54s]  So we are computing the Jacobian.
[2883.54s -> 2885.54s]  So let me go back here.
[2887.54s -> 2889.54s]  Right, so if we're doing, so right,
[2889.54s -> 2892.54s]  so we have these partial derivatives of qk
[2892.54s -> 2894.54s]  with respect to xi, right?
[2894.54s -> 2897.54s]  And these can, these are forming your,
[2897.54s -> 2900.54s]  the entries of your Jacobian, right?
