# Detected language: en (p=1.00)

[0.00s -> 11.84s]  Welcome, everyone, to CS231N.
[2254.02s -> 2257.82s]  instead we want to go in and draw bounding boxes and say that there is a dog here and
[2257.82s -> 2264.54s]  a cat here and a carb over in the background and draw these boxes describing where objects are in the image.
[2264.54s -> 2269.10s]  We'll also talk about image captioning, where given an image, the system now needs to produce
[2269.10s -> 2271.82s]  a natural language sentence describing the image.
[2271.82s -> 2276.66s]  It sounds like a really hard, complicated, and different problem, but we'll see that many of the tools
[2276.66s -> 2286.62s]  we develop in service of image classification will be reused in these other problems as well.
[2287.14s -> 2290.82s]  We mentioned this before in the context of the ImageNet challenge, but one of the things
[2290.82s -> 2294.78s]  that's really driven the progress of the field in recent years has been this adoption
[2294.78s -> 2300.90s]  of convolutional neural networks, or CNNs, or sometimes called convnets.
[2300.90s -> 2306.34s]  If we look at the algorithms that have won the ImageNet challenge for the last several
[2306.34s -> 2313.04s]  years, in 2011, we see this method from Lin et al., which is still hierarchical.
[2313.08s -> 2317.76s]  It consists of multiple layers, so first we compute some features, next we compute some
[2317.76s -> 2322.86s]  local invariances, some pooling, and go through several layers of processing, and then finally
[2322.86s -> 2327.38s]  feed this resulting descriptor to a linear SVM.
[2327.38s -> 2329.56s]  What you'll notice here is that this is still hierarchical.
[2329.56s -> 2333.44s]  We're still detecting edges, we're still having notions of invariance, and many of
[2333.44s -> 2336.64s]  these intuitions will carry over into convnets.
[2336.64s -> 2344.42s]  But the breakthrough moment was really in 2012 when Jeff Hinton's group in Toronto, together
[2344.42s -> 2349.64s]  with Alex Kuchevsky and Ilya Sotskovar, who were his PhD students at that time, created
[2349.64s -> 2355.52s]  this seven-layer convolutional neural network, now known as AlexNet, then called SuperVision,
[2355.52s -> 2360.40s]  which just did very, very well in the ImageNet competition in 2012.
[2360.40s -> 2364.64s]  Since then, every year, the winner of ImageNet has been a neural network.
[2364.64s -> 2368.44s]  The trend has been that these networks are getting deeper and deeper each year.
[2368.44s -> 2373.08s]  So AlexNet was a seven- or eight-layer neural network, depending on how exactly you count
[2373.08s -> 2374.08s]  things.
[2374.08s -> 2379.64s]  In 2015, we had these much deeper networks, GoogleNet from Google, and the VGG network
[2379.64s -> 2383.40s]  from Oxford, which was about 19 layers at that time.
[2383.40s -> 2388.30s]  Then in 2015, it got really crazy, and this paper came out from Microsoft Research
[2388.30s -> 2393.56s]  Asia called Residual Networks, which were 152 layers at that time.
[2393.56s -> 2397.20s]  Since then, it turns out you can get a little bit better if you go up to 200, but you run
[2397.20s -> 2400.68s]  out of memory on your GPUs, so we'll get into all of that later.
[2400.68s -> 2404.52s]  But the main takeaway here is that convolutional neural networks really had this breakthrough
[2404.52s -> 2408.70s]  moment in 2012, and since then, there's been a lot of effort focused on tuning and
[2408.70s -> 2412.20s]  tweaking these algorithms to make them perform better and better on this problem of
[2412.20s -> 2413.96s]  image classification.
[2413.96s -> 2417.48s]  Throughout the rest of the quarter, we're going to really dive in deep, and you'll
[2417.48s -> 2422.96s]  understand exactly how these different models work.
[2422.96s -> 2427.80s]  But one point that's really important is that it's true that the breakthrough moment
[2427.80s -> 2432.24s]  for convolutional neural networks was in 2012, when these networks performed very
[2432.24s -> 2436.82s]  well on the ImageNet challenge, but they certainly weren't invented in 2012.
[2436.82s -> 2442.80s]  These algorithms had actually been around for quite a long time before that.
[2442.80s -> 2446.92s]  One of the foundational works in this area of convolutional neural networks was actually
[2446.92s -> 2454.32s]  in the 90s from Yann LeCun and collaborators, who at that time were at Bell Labs.
[2454.32s -> 2459.78s]  In 1998, they built this convolutional neural network for recognizing digits.
[2459.78s -> 2465.64s]  They wanted to deploy this and be able to automatically recognize handwritten checks
[2465.64s -> 2469.60s]  or addresses for the post office, and they built this convolutional neural network
[2469.60s -> 2475.00s]  which could take in the pixels of an image and then classify either what digit it was
[2475.00s -> 2478.32s]  or what letter it was or whatnot.
[2478.32s -> 2482.20s]  The structure of this network actually looks pretty similar to the AlexNet architecture
[2482.20s -> 2484.04s]  that was used in 2012.
[2484.04s -> 2488.06s]  Here we see that we're taking in these raw pixels, we have many layers of convolution
[2488.06s -> 2492.32s]  and subsampling together with these so-called fully connected layers, all of which will
[2492.32s -> 2495.04s]  be explained in much more detail later in the course.
[2495.04s -> 2499.12s]  But if you just kind of look at these two pictures, they look pretty similar.
[2499.12s -> 2504.64s]  And this architecture in 2012 sort of has a lot of these architectural similarities
[2504.64s -> 2509.60s]  that are shared with this network going back to the 90s.
[2509.60s -> 2513.80s]  So then the question you might ask is, okay, if these algorithms were around since the
[2513.80s -> 2517.82s]  90s, why have they only suddenly become popular in the last couple of years?
[2517.82s -> 2522.24s]  And there's a couple really key innovations that happened that have changed since the
[2522.24s -> 2523.64s]  90s.
[2523.64s -> 2525.76s]  One is computation.
[2525.76s -> 2529.64s]  Thanks to Moore's Law, we've gotten faster and faster computers every year.
[2529.64s -> 2533.36s]  And this is kind of a course measure, but if you just look at the number of transistors
[2533.36s -> 2537.80s]  that are on chips, then that has grown by several orders of magnitude between the 90s
[2537.80s -> 2539.44s]  and today.
[2539.44s -> 2545.48s]  We've also had this advent of graphics processing units, or GPUs, which are super
[2545.48s -> 2550.48s]  paralyzable and ended up being a perfect tool for really crunching these computationally
[2550.48s -> 2553.28s]  intensive convolutional neural network models.
[2553.28s -> 2558.76s]  So just by having more compute available, it allowed researchers to explore with larger
[2558.76s -> 2564.08s]  architectures and larger models, and in some cases just increasing the model size but still
[2564.08s -> 2568.04s]  using these kind of classical approaches and classical algorithms tends to work quite
[2568.04s -> 2569.16s]  well.
[2569.16s -> 2576.36s]  So this idea of increasing computation is super important in the history of deep learning.
[2576.36s -> 2581.68s]  I think the second key innovation that changed between now and the 90s was data.
[2581.68s -> 2584.60s]  So these algorithms are very hungry for data.
[2584.60s -> 2588.32s]  You need to feed them a lot of labeled images and labeled pixels for them to eventually
[2588.32s -> 2590.40s]  work quite well.
[2590.40s -> 2594.72s]  And in the 90s, there just wasn't that much labeled data available.
[2594.72s -> 2599.44s]  This was, again, before tools like Mechanical Turk, before the internet was super, super
[2599.44s -> 2604.64s]  widely used, and it was very difficult to collect large, varied data sets.
[2604.64s -> 2610.82s]  But now, in the 2010s, with data sets like Pascal and ImageNet, there existed these
[2610.82s -> 2616.12s]  relatively large, high-quality labeled data sets that were, again, orders of magnitude
[2616.12s -> 2619.04s]  bigger than the data sets available in the 90s.
[2619.04s -> 2623.52s]  And these much larger data sets, again, allowed us to work with higher-capacity models and
[2623.52s -> 2627.76s]  train these models to actually work quite well on real-world problems.
[2627.76s -> 2632.60s]  But the critical takeaway here is that convolutional neural networks, although they seem like
[2632.60s -> 2636.56s]  this fancy new thing that's only popped up in the last couple of years, that's really
[2636.56s -> 2637.96s]  not the case.
[2637.96s -> 2641.48s]  And these class of algorithms have existed for quite a long time in their own right
[2641.48s -> 2645.68s]  as well.
[2645.68s -> 2649.96s]  Another thing I'd like to point out is that, in computer vision, we're in the business
[2649.96s -> 2654.48s]  of trying to build machines that can see people, and people can actually do a lot
[2654.48s -> 2657.92s]  of amazing things with their visual systems.
[2657.92s -> 2661.68s]  When you go around the world, you do a lot more than just drawing boxes around
[2661.68s -> 2665.40s]  the objects and classifying things as cats or dogs.
[2665.40s -> 2668.08s]  Your visual system is much more powerful than that.
[2668.08s -> 2671.72s]  And as we move forward in the field, I think there's still a ton of open challenges
[2671.72s -> 2677.12s]  and open problems that we need to address, and we need to continue to develop our algorithms
[2677.12s -> 2680.64s]  to do even better and tackle more ambitious problems.
[2680.64s -> 2684.48s]  Some examples of this are going back to these older ideas, in fact.
[2684.48s -> 2688.72s]  Things like semantic segmentation or perceptual grouping, where rather than labeling the
[2688.72s -> 2692.76s]  entire image, we want to understand, for every pixel in the image, what is it doing?
[2692.76s -> 2694.12s]  What does it mean?
[2694.12s -> 2697.20s]  And we'll revisit that idea a little bit later in the course.
[2697.20s -> 2701.36s]  There's definitely work going back to this idea of 3D understanding, of reconstructing
[2701.36s -> 2707.72s]  the entire world, and that's still an unsolved problem, I think.
[2707.72s -> 2709.84s]  There are just tons and tons of other tasks you can imagine.
[2709.84s -> 2711.92s]  For example, activity recognition.
[2711.92s -> 2715.88s]  If I'm given a video of some person doing some activity, what's the best way to recognize
[2715.88s -> 2717.08s]  that activity?
[2717.08s -> 2719.68s]  And that's quite a challenging problem as well.
[2719.68s -> 2723.56s]  And then, as we move forward with things like augmented reality and virtual reality,
[2723.56s -> 2727.56s]  and as new technologies and new types of sensors become available, I think we'll come
[2727.56s -> 2734.72s]  up with a lot of new, interesting, hard, and challenging problems to tackle as a field.
[2734.72s -> 2740.92s]  This is an example that is from some of my own work in the vision lab on this dataset
[2740.92s -> 2742.84s]  called Visual Genome.
[2742.84s -> 2747.84s]  Here the idea is that we're trying to capture some of these intricacies in the real world,
[2747.84s -> 2752.78s]  and rather than maybe describing just boxes, maybe we should be describing images as
[2752.78s -> 2758.14s]  these whole large graphs of semantically-related concepts that encompass not just object identities,
[2758.14s -> 2763.70s]  but also object relationships, object attributes, actions that are occurring in the scene, and
[2763.70s -> 2768.86s]  this type of representation might allow us to capture some of this richness of the
[2768.86s -> 2773.30s]  visual world that's left on the table when we're using simple classification.
[2773.30s -> 2776.90s]  This is by no means a standard approach at this point, but just kind of giving you
[2776.90s -> 2781.38s]  this sense that there's so much more that your visual system can do that is maybe not
[2781.42s -> 2785.46s]  captured in this vanilla image classification setup.
[2785.46s -> 2792.54s]  One, I think, another really interesting work that points in this direction actually comes
[2792.54s -> 2797.78s]  from Fei Fei's grad school days when she was doing her PhD at Caltech with her
[2797.78s -> 2799.06s]  advisors there.
[2799.06s -> 2803.34s]  In this setup, they had people, they stuck people, and they showed people this image
[2803.34s -> 2806.86s]  for just half a second, so they flashed this image in front of them for just a very
[2806.86s -> 2808.58s]  short period of time.
[2808.62s -> 2812.66s]  Even in this very, very rapid exposure to an image, people were able to write these
[2812.66s -> 2817.50s]  long, descriptive paragraphs, giving a whole story of the image.
[2817.50s -> 2823.24s]  This is quite remarkable if you think about it, that after just half a second of looking
[2823.24s -> 2827.90s]  at this image, a person was able to say that this is some kind of a game or fight,
[2827.90s -> 2831.44s]  two groups of men, the man on the left is throwing something outdoors because it
[2831.44s -> 2834.82s]  seems like I have an impression of grass, and so on and so on.
[2834.82s -> 2838.02s]  You can imagine that if a person were to look even longer at this image, they could
[2838.02s -> 2841.62s]  write probably a whole novel about who these people are and why are they in this field
[2841.62s -> 2844.94s]  playing this game, and they could go on and on and on, roping in things from their
[2844.94s -> 2847.82s]  external knowledge and their prior experience.
[2847.82s -> 2852.30s]  This is, in some sense, the holy grail of computer vision, to understand the story
[2852.30s -> 2855.02s]  of an image in a very rich and deep way.
[2855.02s -> 2858.86s]  I think that despite the massive progress in the field that we've had over the past
[2858.86s -> 2864.86s]  several years, we're still quite a long way from achieving this holy grail.
[2864.86s -> 2868.78s]  Another image that I think really exemplifies this idea actually comes, again, from
[2868.78s -> 2873.16s]  Andrej Karpathy's blog, is this amazing image.
[2873.16s -> 2874.38s]  Many of you smiled, many of you laughed.
[2874.38s -> 2876.30s]  I think this is a pretty funny image.
[2876.30s -> 2877.62s]  But why is it a funny image?
[2877.62s -> 2881.98s]  Well, we've got a man standing on a scale, and we know that people are kind of self-conscious
[2881.98s -> 2886.30s]  about their weight sometimes, and scales measure weight, and then we've got this other
[2886.30s -> 2890.30s]  guy behind him pushing his foot down on the scale, and we know that because of the
[2890.30s -> 2894.38s]  way scales work, that will cause him to have an inflated reading on the scale,
[2894.38s -> 2895.38s]  but there's more.
[2895.38s -> 2897.38s]  We know that this person is not just any person.
[2897.38s -> 2901.06s]  This is actually Barack Obama, who was at the time President of the United States, and
[2901.06s -> 2904.58s]  we know that Presidents of the United States are supposed to be respectable politicians
[2904.58s -> 2911.72s]  that are probably not supposed to be playing jokes on their compatriots in this way.
[2911.72s -> 2914.78s]  We know that there's these people in the background that are laughing and smiling,
[2914.78s -> 2918.14s]  and we know that that means that they're understanding something about the scene.
[2918.14s -> 2921.46s]  We have some understanding that they know that President Obama is this respectable
[2921.46s -> 2923.12s]  guy who's looking at this other guy.
[2923.12s -> 2924.30s]  This is crazy.
[2924.30s -> 2928.82s]  There's so much going on in this image, and our computer vision algorithms today are actually
[2928.82s -> 2935.26s]  a long way, I think, from this true, deep understanding of images, so I think that despite
[2935.26s -> 2939.48s]  the massive progress in the field, we really have a long way to go.
[2939.48s -> 2943.18s]  To me, that's really exciting as a researcher because I think that we'll have just a lot
[2943.18s -> 2948.38s]  of really exciting, cool problems to tackle moving forward.
[2948.38s -> 2952.22s]  I hope at this point I've done a relatively good job to convince you that computer vision
[2952.22s -> 2957.50s]  is really interesting, it's really exciting, it can be very useful, it can go out and
[2957.50s -> 2960.50s]  make the world a better place in various ways.
[2960.50s -> 2965.10s]  Computer vision could be applied in places like medical diagnosis and self-driving cars
[2965.10s -> 2970.66s]  and robotics and all these different places, in addition to tying back to this core
[2970.66s -> 2973.64s]  idea of understanding human intelligence.
[2973.64s -> 2977.26s]  To me, I think that computer vision is this fantastically amazing, interesting field,
[2977.26s -> 2980.66s]  and I'm really glad that over the course of the quarter we'll get to really dive in
[2980.66s -> 2986.50s]  and dig into all these different details about how these algorithms are working these days.
[2986.50s -> 2990.22s]  So that's sort of my pitch about computer vision and about the history of computer
[2990.22s -> 2991.22s]  vision.
[2991.22s -> 2994.94s]  I don't know if there's any questions about this at this time?
[2994.94s -> 2997.22s]  Okay.
[2997.22s -> 3001.06s]  So then I want to talk a little bit more about the logistics of this class for the
[3001.06s -> 3002.60s]  rest of the quarter.
[3002.60s -> 3004.66s]  So you might ask, who are we?
[3004.66s -> 3011.42s]  So this class is taught by Fei-Fei Li, who's a professor of computer science here at Stanford,
[3011.42s -> 3017.78s]  who's my advisor, and director of the Stanford Vision Lab and also the Stanford AI Lab.
[3017.78s -> 3021.74s]  The other two instructors are me, Justin Johnson, and Serena Young, who's up here
[3021.74s -> 3023.14s]  in the front.
[3023.14s -> 3028.34s]  We're both PhD students working under Fei-Fei on various computer vision problems.
[3028.34s -> 3033.22s]  We have an amazing teaching staff this year of 18 TAs so far, many of whom are sitting
[3033.22s -> 3034.74s]  over here in the front.
[3034.74s -> 3038.90s]  These guys are really the unsung heroes behind the scenes, making the course run smoothly,
[3038.90s -> 3040.66s]  making sure everything happens well.
[3040.66s -> 3044.42s]  So be nice to them.
[3044.42s -> 3048.80s]  I think I also should mention that this is the third time we've taught this course,
[3048.80s -> 3053.34s]  and it's the first time that Andrej Karpathy has not been an instructor in this course.
[3053.34s -> 3056.54s]  He was a very close friend of mine.
[3056.54s -> 3057.54s]  He's still alive.
[3057.54s -> 3058.54s]  He's okay.
[3058.54s -> 3059.74s]  Don't worry.
[3059.90s -> 3065.70s]  He graduated, so he's actually here, I think, hanging around in lecture hall.
[3065.70s -> 3069.42s]  A lot of the development and the history of this course is really due to him working
[3069.42s -> 3075.70s]  on it with me over the last couple of years, so I think you should be aware of that.
[3075.70s -> 3080.62s]  Also about logistics, probably the best way for keeping in touch with the course
[3080.62s -> 3082.50s]  staff is through Piazza.
[3082.50s -> 3085.34s]  You should all go and sign up right now.
[3085.38s -> 3091.06s]  Piazza is really our preferred method of communication with the class, with the teaching staff.
[3091.06s -> 3094.50s]  If you have questions that you're afraid of being embarrassed about asking in front
[3094.50s -> 3099.58s]  of your classmates, go ahead and ask anonymously, or even post private questions directly to
[3099.58s -> 3101.58s]  the teaching staff.
[3101.58s -> 3104.86s]  Basically anything that you need should ideally go through Piazza.
[3104.86s -> 3111.18s]  We also have a staff mailing list, but we ask that this is mostly for personal, confidential
[3111.18s -> 3114.08s]  things that you don't want going on Piazza.
[3114.08s -> 3119.12s]  Or if you have something that's super confidential, super personal, then feel free to directly
[3119.12s -> 3122.36s]  email me or Fei-Fei or Serena about that.
[3122.36s -> 3126.60s]  But for the most part, most of your communication with the staff should be through Piazza.
[3126.60s -> 3129.12s]  We also have an optional textbook this year.
[3129.12s -> 3130.80s]  This is by no means required.
[3130.80s -> 3132.88s]  You can go through the course totally fine without it.
[3132.88s -> 3134.84s]  Everything will be self-contained.
[3134.84s -> 3139.40s]  This is sort of exciting because it's maybe the first textbook about deep learning that
[3139.40s -> 3144.72s]  got published earlier this year by Ian Goodfellow, Yoshua Bengio, and Aaron Corville.
[3144.72s -> 3146.88s]  I put the Amazon link here in the slides.
[3146.88s -> 3148.68s]  You can go get it if you want to.
[3148.68s -> 3151.80s]  But also the whole content of the book is free online, so you don't even have to
[3151.80s -> 3153.16s]  buy it if you don't want to.
[3153.16s -> 3155.92s]  So again, this is totally optional, but we'll probably be posting some readings throughout
[3155.92s -> 3162.24s]  the quarter that give you an additional perspective on some of the material.
[3162.24s -> 3167.60s]  Our philosophy about this class is that you should really understand the deep mechanics
[3167.60s -> 3169.00s]  of all of these algorithms.
[3169.00s -> 3173.04s]  You should understand at a very deep level exactly how these algorithms are working, like
[3173.04s -> 3177.16s]  what exactly is going on when you're stitching together these neural networks, how do these
[3177.16s -> 3181.56s]  architectural decisions influence how the network is trained and tested and whatnot
[3181.56s -> 3182.64s]  and all that.
[3182.64s -> 3187.40s]  And throughout the course, through the assignments, you'll be implementing your own convolutional
[3187.40s -> 3189.88s]  neural networks from scratch in Python.
[3189.88s -> 3193.08s]  You'll be implementing the full forward and backward passes through these things, and
[3193.08s -> 3195.84s]  by the end you'll have implemented a whole convolutional neural network totally on your
[3195.84s -> 3196.84s]  own.
[3196.84s -> 3198.58s]  I think that's really cool.
[3198.58s -> 3203.22s]  But we're also kind of practical, and we know that in most cases, people are probably
[3203.22s -> 3206.58s]  not writing these things from scratch, so we also want to give you a good introduction
[3206.58s -> 3210.54s]  to some of the state-of-the-art software tools that are used in practice for these
[3210.54s -> 3211.54s]  things.
[3211.54s -> 3214.78s]  So we're going to talk about some of the state-of-the-art software packages, like
[3214.78s -> 3220.66s]  TensorFlow, Torch, PyTorch, all these other things, and I think you'll get some
[3220.66s -> 3225.46s]  exposure to those on the homeworks and definitely through the course project as well.
[3225.46s -> 3227.96s]  Another note about this course is that it's very state-of-the-art.
[3227.96s -> 3228.96s]  I think it's super exciting.
[3228.96s -> 3231.08s]  This is a very fast-moving field.
[3231.08s -> 3235.54s]  As you saw, even these plots in the ImageNet Challenge, basically there's been a ton of
[3235.54s -> 3239.96s]  progress since 2012, and while I've been in grad school, the whole field is sort
[3239.96s -> 3244.44s]  of transforming every year, and that's super exciting and super encouraging.
[3244.44s -> 3248.92s]  What that means is that there's probably content that we'll cover this year that did
[3248.92s -> 3252.88s]  not exist the last time this course was taught last year.
[3252.88s -> 3255.76s]  I think that's super exciting, and that's one of my favorite parts about teaching
[3255.76s -> 3260.76s]  this course, is just roping in all these new, scientific, hot-off-the-presses stuff
[3260.76s -> 3264.80s]  and then being able to present it to you guys.
[3264.80s -> 3268.36s]  We're also sort of about fun, so we're going to talk about some interesting, maybe
[3268.36s -> 3273.44s]  not-so-serious topics as well this quarter, including image captioning is pretty fun,
[3273.44s -> 3276.80s]  where we can write descriptions about images, but we'll also cover some of these more
[3276.80s -> 3281.88s]  artistic things, like Deep Dream here on the left, where we can use neural networks
[3281.88s -> 3285.80s]  to hallucinate these crazy, psychedelic images, and by the end of the course, you'll know
[3285.80s -> 3290.14s]  how that works, or on the right, this idea of style transfer, where we can take an image
[3290.14s -> 3295.36s]  and render it in the style of famous artists like Picasso or Van Gogh or whatnot,
[3295.36s -> 3301.08s]  and again, by the end of the quarter, you'll see how this stuff works.
[3301.08s -> 3304.36s]  The way the course works is that we're going to have three problem sets.
[3304.36s -> 3308.76s]  The first problem set will hopefully be out by the end of the week.
[3308.76s -> 3312.84s]  You'll have an in-class, written midterm exam, and a large portion of your grade will
[3312.84s -> 3317.48s]  be the final course project, where you'll work in teams of one to three and produce
[3317.48s -> 3320.88s]  some amazing project that will blow everyone's minds.
[3320.88s -> 3325.08s]  We have a late policy, so you have seven late days that you're free to allocate
[3325.08s -> 3327.56s]  among your different homeworks.
[3327.56s -> 3333.64s]  These are meant to cover things like minor illnesses or traveling or conferences or anything
[3333.64s -> 3334.64s]  like that.
[3334.64s -> 3337.88s]  If you come to us at the end of the quarter and say that, oh, I suddenly have
[3337.88s -> 3341.20s]  to go give a presentation at this conference, that's not going to be okay, that's what your
[3341.20s -> 3342.88s]  late days are for.
[3342.88s -> 3346.72s]  That being said, if you have some very extenuating circumstances, then do feel free
[3346.72s -> 3350.48s]  to email the course staff if you have some extreme circumstances about that.
[3350.48s -> 3354.54s]  Finally, I want to make a note about the collaboration policy.
[3354.54s -> 3358.52s]  As Stanford students, you should all be aware of the honor code that governs the way
[3358.52s -> 3361.96s]  that you should be collaborating and working together.
[3361.96s -> 3364.12s]  We take this very seriously.
[3364.12s -> 3367.80s]  We encourage you to think very carefully about how you're collaborating and making sure it's
[3367.80s -> 3372.76s]  within the bounds of the honor code.
[3372.76s -> 3377.92s]  In terms of prerequisites, I think the most important is probably a deep familiarity with
[3377.92s -> 3383.36s]  Python because all of the programming assignments will be in Python.
[3383.36s -> 3386.70s]  Some familiarity with C or C++ would be useful.
[3386.70s -> 3391.28s]  You will probably not be writing any C or C++ in this course, but as you're browsing
[3391.28s -> 3395.64s]  through the source code of these various software packages, being able to read C++
[3395.64s -> 3399.48s]  is very useful for understanding how these packages work.
[3399.48s -> 3402.20s]  We also assume that you know what calculus is.
[3402.20s -> 3404.60s]  You know how to take derivatives, all that sort of stuff.
[3404.60s -> 3408.00s]  We assume some linear algebra that you know what matrices are and how to multiply
[3408.00s -> 3410.84s]  them and stuff like that.
[3410.84s -> 3414.92s]  We can't be teaching you how to take derivatives and stuff.
[3414.92s -> 3419.04s]  We also assume a little bit of knowledge coming in of computer vision, maybe at the
[3419.04s -> 3421.60s]  level of CS 131 or 231A.
[3421.60s -> 3424.56s]  If you have taken those courses before, you'll be fine.
[3424.60s -> 3427.52s]  If you haven't, I think you'll be okay in this class.
[3427.52s -> 3430.92s]  You might have a tiny bit of catching up to do, but I think you'll probably be okay.
[3430.92s -> 3434.24s]  Those are not super strict prerequisites.
[3434.24s -> 3437.68s]  We also assume a little bit of background knowledge about machine learning,
[3437.68s -> 3440.52s]  maybe at the level of CS 229.
[3440.52s -> 3444.56s]  But again, I think really important key fundamental machine learning concepts
[3444.56s -> 3447.20s]  will reintroduce as they come up and become important.
[3447.20s -> 3451.20s]  But that being said, a familiarity with these things will be helpful going forward.
[3452.04s -> 3453.36s]  We have a course website.
[3453.36s -> 3454.20s]  Go check it out.
[3454.20s -> 3457.96s]  There's a lot of information and links and syllabus and all that.
[3457.96s -> 3461.40s]  I think that's all that I really want to cover today.
[3461.40s -> 3466.16s]  Then later this week, on Thursday, we'll really dive into our first learning algorithm
[3466.16s -> 3468.16s]  and start diving into the details of these things.
