# Detected language: en (p=1.00)

[0.00s -> 1.58s]  Welcome
[1755.40s -> 1762.12s]  You're right that we actually launch in a thread and it's actually pretty nice. It's it's in some ways much simpler than
[1763.16s -> 1765.16s]  Multiprocessing and that you don't have to have any special
[1765.16s -> 1769.28s]  Types of function just call the function with the parameters you want and there it is now it's running in its own thread
[1769.28s -> 1771.28s]  It's actually relatively clean
[1774.80s -> 1778.04s]  You can give arguments we will talk about that now good question
[1778.60s -> 1780.60s]  Okay. All right, so
[1780.84s -> 1785.12s]  Let's move on to a different example. Okay, this is going to be a
[1785.84s -> 1792.20s]  greeter program and it's going to be just a program where we are going to have a number of threads run and
[1792.84s -> 1798.68s]  Print out a little greeting based on their thread number that we're assigning it. So let's look at that
[1802.24s -> 1804.24s]  That's the one
[1804.60s -> 1811.80s]  Hope that's the one. There we go. There we go. Okay greeters dot CPP. Nope, maybe not
[1812.64s -> 1814.64s]  See
[1815.00s -> 1819.88s]  Greeders dot see not CPP see see see we go. Okay. So in this one
[1820.48s -> 1825.00s]  We are going to have a function. Okay, that takes a parameter
[1825.00s -> 1827.52s]  And so this is we have to know how to actually send that parameter
[1827.68s -> 1831.08s]  You can send it by value or reference as it turns out you can do either
[1831.56s -> 1836.28s]  We can we'll show you how to do both of those. Okay in this case
[1836.28s -> 1840.16s]  We're gonna have each greeter greet a whole bunch of number of time a whole number of times
[1840.24s -> 1843.60s]  I'll show you what I mean. Okay size T
[1845.08s -> 1847.08s]  Size T
[1847.12s -> 1853.68s]  Equals zero I is less than the ID. So whatever I do pass and it's going to greet them that many times
[1854.00s -> 1857.88s]  Why not? It's kind of a silly program. Okay, I plus plus and
[1858.56s -> 1861.72s]  Then in here, we're going to see out
[1861.72s -> 1866.84s]  Remember we have to do OS lock because we are in a thread and we can say greeter
[1867.20s -> 1870.40s]  Number and then ID
[1872.24s -> 1874.24s]  Says
[1874.36s -> 1876.36s]  Hello
[1876.80s -> 1880.80s]  And L and then we do OS unlock
[1881.80s -> 1883.80s]  Because that's after the entire line
[1884.16s -> 1887.78s]  Okay. All right, and then what we're gonna do is we're actually going to
[1889.28s -> 1891.28s]  Do something here where we
[1891.64s -> 1897.12s]  Where we pause for a little bit of time so that you can see the interleaving of the threads
[1897.24s -> 1901.16s]  So we're going to do kind of this interesting thing. We're just going to use a little time
[1902.64s -> 1905.22s]  Structure called T time spec
[1905.94s -> 1907.40s]  You don't have to know about it
[1907.40s -> 1911.36s]  And then we'll never ask you about that TS equals and you can set it up like this
[1911.36s -> 1914.68s]  it it's got a few different things at random and
[1915.68s -> 1922.34s]  Then we are going to it's random mod 1 1 2 3 4 5 6 7 8 9 a big number
[1922.92s -> 1924.76s]  okay, and
[1924.76s -> 1929.62s]  Let's see. I think that's that there we go. And then we're gonna do this thing called nano sleep
[1930.92s -> 1937.72s]  For that amount of time which is actually slightly small amount of time because it's time divided by a billion
[1938.36s -> 1943.28s]  Okay, and then we are going to end our loop. I don't know why this is not
[1944.00s -> 1947.48s]  There we go, okay, and then we are going to
[1948.76s -> 1954.40s]  Do another see out OS lock and we're gonna say greeter number
[1956.00s -> 1962.72s]  ID as issued all of their hellos
[1964.36s -> 1966.36s]  Comma and
[1967.14s -> 1971.18s]  Then you can I guess I guess because the next line here we'll do it on the next line
[1971.50s -> 1973.50s]  Who's there go
[1974.10s -> 1978.02s]  let's see, so they go home and
[1979.26s -> 1984.20s]  L and then OS unlock and that's that
[1985.12s -> 1987.58s]  Okay, so that's our greeting function
[1988.28s -> 1990.28s]  Okay question
[1995.14s -> 1997.30s]  Is there get PID can you join in this function
[1997.82s -> 2001.02s]  There is a get thread ID like you can get your threads ID
[2001.02s -> 2004.68s]  Which is more or less a process like ID if you want to do that
[2004.80s -> 2008.30s]  No, you wouldn't be joining inside the thread. You don't want to be joining inside the thread
[2008.30s -> 2010.62s]  You want the main program to do the joining? Yeah
[2011.22s -> 2014.64s]  Maybe some nuances that but in general don't try to join another thread
[2014.64s -> 2021.82s]  And by the way again multi-processing and multi-threading don't really mix too. Well, you don't want to fork inside a thread
[2021.82s -> 2024.36s]  Otherwise lots of things could be bad
[2024.80s -> 2029.04s]  You could put you could do threads inside a process that you forked but not the other way around
[2029.56s -> 2033.64s]  Just the way it works, which you got to be you got to use that. Okay
[2033.64s -> 2037.56s]  So anyway, that is our British just make sure we made that make readers
[2038.82s -> 2040.40s]  Looks good
[2040.40s -> 2046.08s]  Define, but I used okay good. All right, so then in Maine what we're gonna do is we are going to
[2046.96s -> 2050.36s]  Do something like see out welcome to Greenland
[2051.48s -> 2053.48s]  Welcome to Greenland
[2053.92s -> 2058.66s]  Should probably capitalize that it's a proper now. Okay, and then
[2059.36s -> 2062.56s]  And L okay, and then thread
[2063.56s -> 2065.56s]  Greeters, this should look familiar
[2065.92s -> 2068.72s]  k num greeters and
[2069.88s -> 2073.32s]  then for size T I
[2073.84s -> 2076.70s]  Equals zero I is less than k num
[2077.40s -> 2078.72s]  greeters
[2078.72s -> 2080.72s]  Semicon I plus plus
[2081.18s -> 2083.18s]  Okay, we can do
[2083.48s -> 2088.70s]  Greeters, we could have done it the way we did before but this is just a slightly different way of doing without the reference
[2088.76s -> 2091.74s]  Well still doing a copy like we did before a move like we did before
[2092.26s -> 2094.48s]  Okay, greeters I equals
[2095.40s -> 2097.20s]  thread and
[2097.20s -> 2102.52s]  Greet and then what we do is we just pass the parameter as the next parameter and that's what it does
[2102.52s -> 2108.00s]  It calls greet with the parameter I plus one passed by value. Did I do something wrong? Oh
[2109.84s -> 2112.04s]  Not I plus I that would've been an interesting program
[2113.04s -> 2116.42s]  Okay, all right, I plus one there we go like that
[2117.04s -> 2121.40s]  Okay, and then that's that and then we need to join them for psi
[2121.88s -> 2123.88s]  I'll just do this
[2126.00s -> 2129.92s]  Okay for size T k num greeters, okay, and then we just do a greeter
[2131.56s -> 2133.80s]  No, actually in this case, we don't want to do that
[2133.80s -> 2137.36s]  Do we we want to do the actual threat? I can't do it the way I wanted to
[2137.36s -> 2141.62s]  I guess we probably could we could but in this case, we'll do it the way we did before
[2142.32s -> 2143.72s]  thread
[2143.72s -> 2145.72s]  ampersand greeter
[2146.04s -> 2147.84s]  mix-and-match
[2147.84s -> 2149.26s]  Greeter
[2149.26s -> 2152.36s]  That and then in this case we want to do greeter
[2153.24s -> 2155.24s]  dot
[2155.48s -> 2157.32s]  Join
[2157.32s -> 2164.80s]  Okay, that will wait for them all. Okay, and then we want to just say see out everyone
[2166.40s -> 2171.64s]  All greeted out and out, okay
[2172.04s -> 2174.04s]  That's what we're going to do.
[2176.28s -> 2177.76s]  The original for loop would have worked
[2177.76s -> 2182.20s]  I just decided to do a different way the original fork would have in this we could have done the week would have just done the
[2182.24s -> 2183.72s]  greeters I
[2183.72s -> 2189.72s]  Dot join instead that would work. Yeah, but different way of doing it show you both question
[2192.12s -> 2195.46s]  Good question if you join right if you created it, what would happen you tell me
[2199.08s -> 2201.08s]  It would do something what would it do
[2203.04s -> 2205.04s]  I
[2207.08s -> 2208.84s]  Would serialize everything
[2208.84s -> 2213.80s]  If you can't create the thread and then immediately join then it won't go on and it won't even go to the next loop
[2214.00s -> 2216.10s]  until that thread finishes
[2217.48s -> 2222.92s]  So you need to this because you want to launch all the threads let them all work in parallel and then wait for them
[2222.92s -> 2226.90s]  All afterwards. In fact, that's a very good point that this is actually kind of key
[2227.54s -> 2234.58s]  This is very much non-blocking right this loop happens super duper fast, right what happens
[2234.58s -> 2240.78s]  It just basically calls this thread function with a function name and says on your own time as soon as possible
[2241.14s -> 2244.42s]  Launch this thread and it moves on to the next iteration of the loop
[2244.74s -> 2250.46s]  Okay, so there's no waiting at all on this and that's actually kind of key. All right, let's see if we did this
[2250.46s -> 2252.46s]  right make greeters
[2252.98s -> 2254.98s]  So far so good greeters
[2255.34s -> 2259.34s]  All right, and then greeters there we go, okay, so members wait pausing a little bit in there
[2259.34s -> 2262.58s]  That's why it does that how many times should six say hello
[2263.82s -> 2268.82s]  six should say hello six times I believe unless I did the less than instead of less than or equal to but
[2269.58s -> 2275.06s]  Anyway, that's what is one only says hello once and then one happens to the first one that's issued all of its hellos
[2275.06s -> 2278.58s]  So that they go home and so on and so on and so forth
[2285.82s -> 2291.60s]  If you okay, so first of all OS lock is not for processes it's only for see out
[2292.02s -> 2294.98s]  So OS lock is on we'll talk about locks and things in a minute
[2295.18s -> 2298.18s]  As we go forward if you wanted to do it in order
[2298.30s -> 2300.30s]  You just probably wouldn't have threads number one
[2300.30s -> 2304.82s]  And number two if you want you really could just join after you do each thread and then it would do it
[2304.82s -> 2308.60s]  But that that's not really the not really the way you would normally use threads anyway
[2309.74s -> 2313.48s]  Okay. All right questions on this one on this greeter function
[2313.48s -> 2315.56s]  You can actually pass the fun pass parameters in. Yeah
[2328.72s -> 2330.60s]  Right, there's a good question
[2330.60s -> 2334.52s]  The question is wait a minute and I think you're alluding to a wait PID where you can say
[2334.52s -> 2337.52s]  Oh this one ended. I'm gonna handle that one first. Not really in this case
[2337.52s -> 2340.52s]  You just got out you have to wait from all in kind of order in whatever order you want
[2340.56s -> 2344.28s]  But there's not really a way to as far as I know I'll look it up
[2344.28s -> 2347.36s]  But as I've never seen it where you've waited for things out of it
[2347.36s -> 2348.60s]  We've joined out of order
[2348.60s -> 2353.44s]  You kind of just go I'm gonna launch these threads and then wait for them all at the end in some sort of order
[2353.44s -> 2359.50s]  You can't say I'm gonna wait for any thread like that. Not that's not the same model as profit multi-processing. Good question
[2360.16s -> 2363.56s]  Okay. All right, so that's um
[2364.20s -> 2366.80s]  The greeter program and notice you can send in a parameter
[2368.36s -> 2370.36s]  All right
[2370.72s -> 2375.40s]  What we can do is we generally want to use threads to
[2375.72s -> 2379.90s]  Break up a smaller or a bigger problem such that some
[2380.52s -> 2384.36s]  Group of threads can work on individual parts of that problem independently
[2384.36s -> 2388.64s]  That's why we have multiple cores and multiple processors so that we can actually do this
[2388.80s -> 2396.00s]  It's actually a nice nice benefit of threads and probably the main reason threads were ever created in them in the beginning
[2396.32s -> 2397.84s]  so
[2397.84s -> 2400.72s]  What we're gonna do is we're gonna do another little program and we're gonna model
[2401.52s -> 2404.88s]  Ticket sales. Okay. Basically, this is where you call up
[2405.76s -> 2409.36s]  Like I don't know United Airlines in this case and you don't do that anymore
[2409.36s -> 2413.12s]  people used to actually call them instead of doing it online, but he would call them up and
[2413.72s -> 2419.12s]  Let's say we have ten ticket agents which all answer the telephone and when they answer a telephone they
[2419.68s -> 2424.92s]  Sell a ticket and we have 250 tickets that can be that can be sold
[2425.20s -> 2427.36s]  Okay, 256 tickets can be sold and
[2428.40s -> 2432.64s]  As they answer the telephone they get a caller and then they sell that ticket
[2432.80s -> 2433.28s]  Okay
[2433.28s -> 2438.72s]  and they sell one ticket now it might turn out that somebody wants to fly to the middle of
[2438.88s -> 2443.84s]  Nowhere or whatever and the ticket agent takes a little longer to actually process that ticket
[2443.84s -> 2447.68s]  And it might be that out some other ticket agent gets a whole bunch of people who just want to fly from New York
[2447.68s -> 2451.12s]  To Boston and it's an easy like, you know, two second call phone call and whatever
[2451.76s -> 2455.58s]  That's dinner so we don't want to necessarily limit all of the
[2456.28s -> 2462.48s]  We don't want to limit. Oh, no, why do you do this? Hang on. We don't want to limit the actual number of
[2464.32s -> 2466.32s]  Tickets to 10% of
[2466.76s -> 2472.10s]  Like 10% for each agent. Okay. We don't want to do that specifically so that we
[2472.76s -> 2477.80s]  Can allow them to do it a little more effectively. Okay. So what we might do is
[2478.48s -> 2480.36s]  Something like this
[2480.36s -> 2485.28s]  Okay, let me actually start I'll actually do this in the program because we're gonna run this for you in a minute
[2485.28s -> 2487.28s]  And let's see if I can clear it is okay
[2487.52s -> 2492.12s]  Let's see. This one is going to be called confused and you'll see why in a minute ticket agents
[2492.62s -> 2497.02s]  Okay, it's going to be a little bit confusing here, but this is what we might start out with
[2497.56s -> 2501.88s]  Okay, we might start out with something like this. All right thread
[2502.56s -> 2510.26s]  Agents 10. Okay, we could have a constant for that. That's that thread agents 10 size T remaining tickets
[2512.26s -> 2519.38s]  Tickets equals 250. Okay, so we're gonna 250 remaining tickets. All right, and then for size
[2520.56s -> 2526.54s]  T equals 0 I is less than 10 I plus plus
[2526.54s -> 2531.14s]  Okay, what we're gonna do here you're gonna say agents I
[2532.98s -> 2534.98s]  Equals thread
[2535.14s -> 2538.50s]  Ticket agent because that's the function we're going to create ticket agent
[2539.16s -> 2545.70s]  We'll give a ticket each ticket agent a little a number between 101 and I not sure why we gave it 101
[2545.70s -> 2552.14s]  But we did okay, I don't know and I and then we need to pass in the remaining tickets by reference. Okay now
[2552.86s -> 2559.90s]  Thread has no idea about a reference parameter versus a regular parameter. So if you tried to say this remaining
[2561.58s -> 2565.62s]  Remaining tickets like that, okay, then
[2566.34s -> 2571.78s]  What would happen is you would actually send it by value, which is not what you want to do
[2571.90s -> 2573.46s]  Okay, and there's no real easy
[2573.46s -> 2574.86s]  Well, there is an easy way to do it
[2574.86s -> 2579.76s]  But something you may not have seen before if you want to specifically send a parameter by reference
[2579.76s -> 2582.36s]  You actually wrap it in a ref function
[2582.80s -> 2588.30s]  Okay, or maybe it's an operator. But anyway, it basically says send this by reference not by value
[2589.04s -> 2595.68s]  Okay, so that's what we're going to do for each thing because now we're going to have one remaining tickets that all the agents are
[2595.68s -> 2597.00s]  going to pull from
[2597.00s -> 2599.00s]  okay, all right and
[2599.52s -> 2604.04s]  Let's see that let's see. Is that the end of the function there?
[2604.04s -> 2606.04s]  Well, we've got it we've been branding that statement
[2606.12s -> 2610.12s]  Okay, and then there and then that actually launches them all and then we have for
[2611.44s -> 2613.32s]  thread
[2613.32s -> 2614.92s]  ampersand
[2614.92s -> 2616.92s]  agent in agents
[2618.40s -> 2620.40s]  Agent dot join
[2620.80s -> 2622.80s]  like that and
[2622.92s -> 2624.92s]  Then we will say see
[2625.48s -> 2627.48s]  and end of
[2629.04s -> 2631.04s]  Business day
[2631.88s -> 2635.72s]  Okay, so we're basically gonna after everybody finishes we will say end of business day
[2636.60s -> 2639.24s]  Okay. All right. Everybody get what's happening in Maine there
[2639.96s -> 2641.96s]  Okay, let's look at the actual
[2643.28s -> 2647.88s]  Remain or ticket agent function and see what we can come up with here, okay
[2648.60s -> 2652.28s]  well, we're gonna have each agent grab a ticket and
[2653.38s -> 2658.96s]  Sell it basically. Okay answer the phone call and then sell a ticket. Okay, so we could say something like
[2660.00s -> 2662.00s]  while remaining
[2662.16s -> 2664.16s]  Tickets is greater than zero
[2665.16s -> 2671.80s]  Okay, well in here we are going to say I have a function that handles the call, okay
[2671.80s -> 2676.12s]  You don't have to worry about the points up here somewhere. You can actually see it read it read it later
[2677.32s -> 2679.92s]  But don't in fact actually it's just basically
[2680.28s -> 2684.96s]  So it sleeps for a while to kind of mimic handling the call don't worry about these other functions yet
[2685.00s -> 2690.10s]  They are basically helpful helper functions for now. Okay, so we're gonna handle the call
[2690.58s -> 2692.58s]  Okay, and then this is gonna sleep
[2693.10s -> 2698.58s]  For a little while to basically mimic handling the call and however long it takes and that's a random number
[2699.02s -> 2701.82s]  Okay, and then we're gonna say remaining
[2702.46s -> 2703.78s]  tickets
[2703.78s -> 2705.78s]  Minus minus because we just sold one
[2706.66s -> 2711.62s]  okay, and then let's actually print out OS lock in this case and
[2712.42s -> 2714.42s]  agent number
[2715.18s -> 2717.38s]  And same thing ID
[2718.38s -> 2723.82s]  Sold a ticket like that. Okay, and then we will say
[2725.82s -> 2729.68s]  Remaining remaining tickets
[2733.14s -> 2735.14s]  More to be sold
[2736.18s -> 2738.18s]  like that and
[2738.42s -> 2740.42s]  Then we have to do the OS
[2741.74s -> 2743.18s]  unlock
[2743.22s -> 2745.86s]  Like that, okay, so we're basically saying okay
[2745.86s -> 2748.18s]  Well now a ticket ticket has been sold
[2748.30s -> 2752.28s]  Okay, and then we're gonna let the agent take a break if it's time for them to take a break
[2752.38s -> 2755.42s]  This is just to kind of interleave things a little bit more
[2756.02s -> 2758.02s]  It should take
[2758.58s -> 2760.06s]  break
[2760.06s -> 2762.06s]  then we are going to
[2763.50s -> 2765.10s]  basically
[2765.10s -> 2772.18s]  Take break. Okay. All right. Sometimes these get a little bit silly but and then that's it and then see out
[2772.82s -> 2774.82s]  That
[2774.90s -> 2779.22s]  Is actually after sorry after the while loop right we get
[2779.94s -> 2784.98s]  Then we say oh great. We've sold all the tickets because the remaining tickets are not there's no more left
[2785.38s -> 2787.38s]  Okay, so we can say something like
[2787.78s -> 2789.06s]  agent
[2789.06s -> 2791.06s]  number ID
[2792.06s -> 2798.34s]  Notices all tickets are sold and goes home
[2799.34s -> 2800.34s]  Okay
[2800.34s -> 2802.34s]  And
[2802.38s -> 2805.34s]  OS on block I forgot to do this lock beginning
[2807.94s -> 2809.94s]  OS
[2810.66s -> 2814.70s]  Okay, all right, so this is our first attempt anybody see any bugs
[2816.10s -> 2823.26s]  This is our first attempt. Basically, we're gonna have each agent keep come down and go ahead do it. Okay make confused
[2824.22s -> 2826.22s]  ticket agents
[2826.58s -> 2828.42s]  Oh, no, here we go
[2828.42s -> 2833.42s]  Let's see no name type on line. Oh boy. I love C++ errors
[2834.06s -> 2835.54s]  Okay, hold on
[2835.54s -> 2839.42s]  Not there. Where's the actual error? Not there. Not there. Not there. Not there. Oh
[2840.54s -> 2842.98s]  They see where it is. Oh, there it is. 62 maybe
[2843.94s -> 2845.94s]  62
[2846.26s -> 2848.26s]  62
[2849.06s -> 2852.54s]  All right, what do we do here the red ticket agent
[2854.14s -> 2856.14s]  Raph remaining tickets
[2857.14s -> 2862.86s]  In agents we set up agents and then what else
[2863.86s -> 2867.62s]  See agent cycles thread ticket agent and hunter plus rough remaining tickets
[2873.22s -> 2875.22s]  Don't define ticket agent
[2876.22s -> 2878.22s]  It's up here, isn't it?
[2878.74s -> 2881.46s]  There it is right there. It's the function we're trying to send
[2883.78s -> 2885.78s]  See
[2886.14s -> 2888.14s]  Do
[2888.86s -> 2890.86s]  We need the ref
[2891.42s -> 2895.18s]  We do that's right that's gonna happen there we do need that I
[2897.18s -> 2899.18s]  Don't think so
[2900.14s -> 2904.38s]  See I'm trying to think there's anything let's look at the error again no name type
[2904.38s -> 2906.38s]  On
[2911.30s -> 2916.02s]  137 known type name type in class void. Hmm
[2917.74s -> 2921.74s]  Not sure well in the interest of time I happen to have the original
[2922.46s -> 2924.90s]  There let's just do it. Yeah, let's do it. Yeah
[2925.86s -> 2929.26s]  This is just in case this sort of thing happens and I can not good enough to find this
[2930.18s -> 2933.90s]  confused ticket agents original CC
[2934.78s -> 2936.62s]  Let's see
[2936.62s -> 2938.62s]  What did we do here? Oh
[2939.42s -> 2941.42s]  No, it doesn't look looks
[2941.86s -> 2943.86s]  much different I
[2945.54s -> 2951.90s]  Don't think it well, it's the one I promise you it should be the one now that's a hang on that is
[2953.38s -> 2958.74s]  It uses all the constants. Yeah, maybe I actually forgot a part of it here
[2959.58s -> 2965.74s]  No, I don't think so, well, here's what we're gonna do we're gonna copy it over and do and run it because
[2966.94s -> 2974.40s]  I'll look at here. Here's what I'll do. I'll make a copy of it right now confused ticket ticket agents dot CC to
[2974.58s -> 2975.82s]  confused
[2975.82s -> 2978.90s]  ticket agents Chris is confused
[2980.38s -> 2985.14s]  Got CC and I'll check it out later and then confused ticket agents dot
[2986.02s -> 2992.26s]  Original to confused ticket agents dot CC and right. Okay. Let's try it again confused
[2993.62s -> 2995.62s]  ticket agents
[2996.06s -> 2998.34s]  That time it worked. Okay now I
[2999.18s -> 3001.64s]  Swear work when I try to go there. Okay. So here's what it's gonna do
[3001.64s -> 3006.58s]  It's gonna go count down all 250 each each ticket agent is getting waiting some amount of time
[3007.38s -> 3011.82s]  Some may get five over the course of time some may get ten some may get twenty some may get thirty
[3011.82s -> 3015.26s]  Whatever it will finally will keep going and count down and then
[3016.58s -> 3020.90s]  That's gonna take a long time to get one more sold. Okay, so
[3021.74s -> 3025.90s]  And this is going to go on basically forever, right? In fact when it gets down about a zero again
[3025.90s -> 3028.78s]  It'll probably wrap around again. Okay, so we have an issue
[3029.38s -> 3031.80s]  What is our issue is the question?
[3032.90s -> 3039.14s]  Okay, let's look at the actual code here that we're we should have been doing here. Okay, that's main and then
[3039.94s -> 3042.42s]  That's main too. We already we know that's there
[3043.84s -> 3046.66s]  Let's see. Here's the ticket agent. Maybe I
[3048.18s -> 3050.06s]  Still looks alright
[3050.06s -> 3054.70s]  So here's what we're we're doing here. Is there a race condition?
[3055.50s -> 3059.26s]  Some of you already noticed it. I could tell when I was writing it. What's the race condition here?
[3060.58s -> 3062.58s]  Yeah
[3063.58s -> 3071.22s]  They all have access to remaining tickets, right and when the remaining tickets when it does the decrement there and the
[3072.06s -> 3079.22s]  Remaining tickets while remaining tickets greater than zero and then remaining tickets minus minus those it may not be true
[3079.62s -> 3086.82s]  That that actually that remaining tickets is still greater than zero because some other thread could have come in and done the exact same thing
[3087.66s -> 3089.66s]  Okay, so that's the issue
[3090.10s -> 3097.14s]  One of the issues here. In fact, it's much more subtle than that even okay, there's there's this idea that you can do that well
[3098.88s -> 3100.94s]  What happens is well
[3100.94s -> 3105.86s]  we we can see what happens there that it that it actually ends up going down and and wrapping around because
[3106.10s -> 3112.90s]  Two things have tried to decrement if actually indeed decremented the thread count before another thread came out and said oh there any left
[3112.90s -> 3116.26s]  Oh, yeah, there's four billion left. So that's the issue the
[3116.90s -> 3118.90s]  As I said, it's even more subtle than that
[3119.46s -> 3120.80s]  even
[3120.80s -> 3127.82s]  Remaining tickets minus minus itself is not necessarily atomic. Okay a C++
[3129.00s -> 3132.02s]  Statement is atomic in that it runs on its own
[3132.30s -> 3139.14s]  But remember what is a C++ statement do and all you people who took 107 would know that it gets translated into possibly a whole
[3139.14s -> 3146.66s]  Bunch of assembly code instructions each one of which is more or less atomic but together they certainly are not atomic
[3147.06s -> 3152.66s]  Okay, so this when you do remaining tickets minus minus if you go and decompile it, you can see that it ends up
[3153.30s -> 3159.80s]  Coming into some ends up something like this assembly code here where you've got five different instructions
[3159.94s -> 3165.74s]  Any which any one of which could get interrupted by going to the next thread and having a problem?
[3165.74s -> 3169.64s]  So what are we actually doing? We're getting the memory and then we are
[3170.22s -> 3173.90s]  decrementing it by one remember our favorite command le a for two people who took 107
[3174.26s -> 3178.34s]  And then we're decrementing by one and then we are moving it back into memory
[3178.38s -> 3183.42s]  well, if any other thread did some of those operations while these were happening like
[3184.10s -> 3189.98s]  Then the memory wouldn't necessarily be one removed. This is a classic race condition
[3190.30s -> 3194.02s]  Okay, absolutely classic race condition that that you need to be able to
[3194.82s -> 3196.34s]  handle
[3196.34s -> 3198.34s]  okay, so
[3199.34s -> 3201.34s]  What are the kinds of things we can do well
[3202.18s -> 3205.38s]  What we can do and this is built into the thread libraries we can say
[3206.04s -> 3210.18s]  okay, one of the programs is not going to
[3211.26s -> 3217.14s]  Is not going to run or one of the threads is going to have access to this
[3217.74s -> 3225.48s]  Data structure in other words the or time a data structures that remaining tickets variable while all the other ones have to wait on it
[3226.30s -> 3228.12s]  Okay, so that's what and by the way
[3228.12s -> 3233.36s]  I just realized what I can do here to make our code a little simpler as far as the
[3234.48s -> 3236.48s]  see them
[3237.48s -> 3239.48s]  Confused ticket agents
[3240.04s -> 3244.38s]  CC I'm just going to do the following that was which one that was the ticket agent
[3245.00s -> 3249.60s]  Again, I'll go home and pour over this and see why I made this mistake before but anyway
[3249.60s -> 3252.32s]  We'll paste that in there and then we will
[3252.88s -> 3254.88s]  Change main as well
[3259.12s -> 3263.00s]  It's going to be here, okay, and what we're gonna do
[3266.88s -> 3270.20s]  Okay, so let's see if that works now make confused
[3271.04s -> 3276.80s]  Ticket agents. Oh, no, that must be my I swear I typed this in the front well
[3277.32s -> 3281.88s]  Alright, hold on. Maybe we won't do that. Well, I mean, I'll show you what we're gonna actually do here
[3281.88s -> 3283.88s]  To
[3284.04s -> 3290.92s]  Yes, all right, what we have to do is we have to modify using this thing called a mutex
[3291.36s -> 3293.36s]  okay, and a mutex is
[3294.08s -> 3298.10s]  And where to go here a mutex this we already went through this
[3298.64s -> 3300.08s]  a
[3300.08s -> 3305.60s]  Mutex is a basically a lock that says when a particular thread
[3306.52s -> 3315.36s]  Calls lock on a mutex any other thread that also tries to call lock on that mutex has to wait
[3315.88s -> 3316.68s]  until
[3316.68s -> 3322.40s]  The previous thread releases it with an unlock. Okay, so here's how it goes
[3322.60s -> 3328.92s]  It's a class called mutex and what you do is you say mutex and for some mutex variable
[3329.36s -> 3332.40s]  Okay, and then if a thread says mutex dot lock
[3333.06s -> 3338.84s]  Another thread can come in and say mutex dot lock, but if the previous thread already has it locked
[3339.32s -> 3346.12s]  The new thread just kind of waits around until it unlocks. Okay, if multiple threads are trying to lock on a
[3348.12s -> 3354.96s]  Mutex then one of them will win during the unlock battle that happens after it gets released and all the others will go back
[3354.96s -> 3356.04s]  And wait again
[3356.04s -> 3358.12s]  Okay, so it's a way to say nope
[3358.24s -> 3363.80s]  Only one thread can handle this at a time and it's just using this variable as that
[3364.84s -> 3369.72s]  That beacon that says you are allowed to use it. You are not and that's how it works
[3370.20s -> 3373.82s]  Okay, it locks what we call critical regions of memory
[3374.26s -> 3380.80s]  Okay, and it's super useful and there's a couple other ones that we're going to learn about as well super useful to be able
[3380.80s -> 3383.74s]  To say oh great. Now we've got multiple
[3384.74s -> 3391.70s]  Threads here they all get to use that but nobody's gonna step on everybody anybody else trying to do the decrement question
[3397.70s -> 3402.22s]  That's good question is it possible that a single trouble always lose battle sure one thread might always lose battle
[3402.22s -> 3406.50s]  But then in the end if although I when everybody else finishes it will finally get it if your logic is right
[3406.50s -> 3411.34s]  It would eventually get it but you can't promise to any one thread. You're gonna be next
[3411.34s -> 3413.18s]  No way to do that with a mutex good idea
[3413.18s -> 3417.78s]  There are certain types of locking locks that have a priority associated with them
[3417.86s -> 3422.42s]  We'll get to that later, but the ones we're going to concentrate on have no you know, yeah
[3428.42s -> 3431.48s]  Yeah, the question was our C plus because C plus plus some
[3432.26s -> 3437.78s]  Statements are not C plus plus statements are not atomic because they're translating to assembly same exact industry for C
[3437.82s -> 3443.16s]  Yeah, all of that stuff that you did in 107 where you had to translate C statements into assembly
[3443.16s -> 3447.00s]  You had lots of assembly statements per C statement. So same exact thing
[3455.54s -> 3461.58s]  Very good question. Does it get expensive because if they're how about let's see what happens when we make a change here
[3461.58s -> 3465.14s]  And then we'll see what it what how it actually manifests itself
[3465.22s -> 3470.14s]  But good very good question and very pressing a question anybody else, okay, so
[3471.58s -> 3476.30s]  What is that mute where does mutex come from it stands for mutual exclusion and
[3477.10s -> 3481.26s]  It basically is solely there so that you can mark where critical
[3481.62s -> 3486.38s]  Places in your code are that multiple threads might be working on at the same time
[3486.74s -> 3490.62s]  okay, when you create a mutex it is unlocked a
[3491.46s -> 3494.58s]  Particular thread calls lock on it and then
[3495.38s -> 3498.70s]  Nobody else can call lock. They just wait until that lock is unlocked
[3498.70s -> 3501.56s]  The only thread that's allowed to call unlock
[3502.14s -> 3507.06s]  After locking is the one that locked it another thread could do it and it's undefined behavior
[3507.06s -> 3511.58s]  And you shouldn't do that only or have your logic so that nothing tries to unlock a lock. It doesn't hold
[3512.14s -> 3516.58s]  You'll see how that that it's not hard to get that right by the way, and then that's that
[3517.26s -> 3520.26s]  Okay, so let's actually see what we would have to do
[3520.86s -> 3524.14s]  To make our confused ticket agents
[3525.26s -> 3528.30s]  Hang on confused ticket agents
[3530.62s -> 3535.34s]  Program do this. Okay. All right. So here's where we've got the issue
[3536.14s -> 3539.02s]  Okay. Well what we need to do is we need to have a
[3539.62s -> 3544.68s]  Mutex that we send in to all of the threads so they all have one mutex
[3544.98s -> 3548.18s]  Okay, so let's go back down to main and actually do that
