# Detected language: en (p=1.00)

[0.00s -> 2.84s]  All right, so welcome.
[1602.48s -> 1605.54s]  And I'm just gonna actually reset it to zero,
[1605.54s -> 1609.70s]  which is clearing it, foreground process, okay?
[1609.70s -> 1612.26s]  This, because we have,
[1614.90s -> 1619.32s]  because we have the F P I G,
[1619.32s -> 1623.92s]  we have to actually make it a global variable, okay?
[1623.92s -> 1628.92s]  So we have to do something like static PID t F G PID,
[1630.10s -> 1632.38s]  oops, sorry, F G, am I doing it,
[1632.38s -> 1636.18s]  yeah, I guess we do F G PID, foreground PID, rather.
[1636.18s -> 1639.66s]  Okay, foreground PID, all right?
[1639.66s -> 1643.66s]  And we actually will set it equal to zero,
[1643.66s -> 1646.02s]  and it's gotta be global, because we need a way
[1646.02s -> 1649.38s]  to communicate between our signal handler and our other one.
[1649.38s -> 1650.22s]  Yes?
[1653.58s -> 1654.78s]  Hang on.
[1654.78s -> 1659.78s]  Oh, over, thank you, right there.
[1660.02s -> 1661.26s]  We'll get there, there we go, okay.
[1661.26s -> 1663.58s]  So anyway, did I not do it right?
[1665.58s -> 1669.78s]  Oh, F P G I D, how's that?
[1669.82s -> 1674.58s]  Four, oh my gosh, I'm losing it today.
[1676.38s -> 1678.26s]  Anybody have those kind of days?
[1678.26s -> 1681.78s]  F foreground process ID, that's what it is.
[1683.06s -> 1686.78s]  All right, oh man, okay, thank you for keeping me honest.
[1686.78s -> 1688.60s]  Okay, so anyway, now what have we done?
[1688.60s -> 1692.78s]  We've said, okay, we've got this foreground process ID
[1692.78s -> 1696.10s]  that we have to set in another function
[1696.10s -> 1698.64s]  that we are about to create, okay?
[1698.64s -> 1701.92s]  Let's create a function, static void,
[1701.92s -> 1706.92s]  wait for foreground process, PIDT PID, okay?
[1709.28s -> 1712.32s]  In here, what we wanna do is, let's see if I get this
[1712.32s -> 1716.76s]  right, F G PID equals the PID that we have, okay?
[1716.76s -> 1721.76s]  And then while F G PID equals PID,
[1721.82s -> 1723.20s]  we're gonna do this weird thing
[1723.20s -> 1727.20s]  where we're just gonna sit here and kind of wait, okay?
[1727.20s -> 1729.96s]  By waiting, we are doing this thing called spinning,
[1729.96s -> 1732.52s]  as it turns out, okay?
[1732.52s -> 1734.88s]  So let's actually test this,
[1734.88s -> 1738.36s]  but this basically, here's what happens, okay?
[1738.36s -> 1741.52s]  We're going to, if we're a background process,
[1741.52s -> 1743.88s]  we're just going to let the signal handler
[1743.88s -> 1746.48s]  take care of it, okay, when it ends.
[1746.48s -> 1747.90s]  If we're the foreground process,
[1747.90s -> 1751.12s]  we are also going to basically let the,
[1751.12s -> 1754.04s]  the back of the process handle, yeah?
[1754.08s -> 1758.12s]  For those, when we pass through these processes,
[1758.12s -> 1760.16s]  why don't we use a lambda function
[1760.16s -> 1761.56s]  so we can capture the variable,
[1761.56s -> 1765.20s]  like is there still a reason why we can't do that?
[1765.20s -> 1766.56s]  Good question, the question was,
[1766.56s -> 1768.44s]  why can't we use,
[1768.44s -> 1770.42s]  why aren't we using a lambda function for this?
[1770.42s -> 1773.76s]  We are in C land, there are no lambda functions,
[1773.76s -> 1774.72s]  actually, yeah.
[1774.72s -> 1778.96s]  So if we're in C++, could you use this to do that?
[1778.96s -> 1781.52s]  I don't believe you even could do that.
[1781.52s -> 1783.16s]  You might be able to, I'm not sure,
[1783.20s -> 1785.58s]  but we're using that now, especially because we're in C.
[1785.58s -> 1788.06s]  Yeah, good question, okay.
[1788.06s -> 1793.06s]  All right, so I think that is about it.
[1794.48s -> 1799.24s]  Let's see, at this point, right.
[1799.24s -> 1801.56s]  So let's try it and see what happens.
[1801.56s -> 1805.64s]  And make simple shell with redundancy.
[1807.00s -> 1811.04s]  Okay, all right, simple shell with redundancy.
[1811.08s -> 1812.64s]  Okay, so we can do ls,
[1812.64s -> 1814.36s]  and it gives us back our prompt after that.
[1814.36s -> 1816.96s]  We could do ls, let's just make this do up here,
[1816.96s -> 1819.00s]  ls ampersand, okay,
[1819.00s -> 1824.00s]  and it should have put our little command down here,
[1824.68s -> 1826.36s]  all the way at the top, there's lots of stuff here.
[1826.36s -> 1830.28s]  There it is, it printed out the PID that just relaunched
[1830.28s -> 1833.22s]  and then it immediately printed a prompt back for us
[1833.22s -> 1834.06s]  to do that.
[1834.06s -> 1836.44s]  Let's do one that's a little more reasonable.
[1836.44s -> 1839.02s]  Let's do, if we just do sleep 10,
[1839.02s -> 1842.30s]  it will sleep for 10 seconds in the foreground, okay.
[1842.30s -> 1845.30s]  And then when the child ends,
[1850.30s -> 1853.34s]  in this case, we actually get the signal handed out.
[1853.34s -> 1857.82s]  But we can do sleep 10 in the background,
[1857.82s -> 1859.30s]  and then now it's sleeping.
[1859.30s -> 1860.94s]  And if we type ps, actually, we can see,
[1860.94s -> 1863.10s]  there's our sleep right there,
[1863.10s -> 1865.02s]  our sleep command right there.
[1865.02s -> 1867.72s]  In the background, we don't have too many issues.
[1867.72s -> 1870.28s]  In the foreground, well, if we do this,
[1870.28s -> 1871.76s]  let's do sleep 100, let's say.
[1871.76s -> 1873.44s]  So it's just gonna sleep 100.
[1873.44s -> 1875.20s]  What is our program doing?
[1875.20s -> 1876.84s]  Let's go back and look at our program here,
[1876.84s -> 1878.42s]  because it's still sleeping, by the way.
[1878.42s -> 1883.42s]  Okay, our program has now gone into, let's see.
[1885.52s -> 1886.36s]  Oops, hang on.
[1887.48s -> 1889.12s]  Is this one in here?
[1889.12s -> 1890.20s]  Let's see.
[1890.20s -> 1891.56s]  Oh no, you know what, I might have jumped,
[1891.56s -> 1892.96s]  I might have jumped ahead a little bit.
[1892.96s -> 1894.04s]  Yeah, I went to the wrong one.
[1894.04s -> 1895.76s]  This is with the race condition.
[1896.76s -> 1898.52s]  Let me go ahead and show you that one here.
[1898.52s -> 1901.16s]  In this case, what's happening is we're doing
[1901.16s -> 1906.16s]  this sleep here, or not sleep, this spinning here,
[1906.64s -> 1911.64s]  which is happening because we are in the foreground
[1912.72s -> 1916.76s]  process, the shell would be the foreground process,
[1916.76s -> 1918.68s]  and the sleep is the foreground process,
[1918.68s -> 1920.56s]  so it's gotta wait for that.
[1920.56s -> 1923.12s]  Now, I think we're still sleeping here.
[1923.12s -> 1924.68s]  Yeah, we're still sleeping for 100.
[1924.72s -> 1928.16s]  If I open up another terminal here,
[1928.16s -> 1932.80s]  and go to the same myth, myth 55,
[1937.52s -> 1940.96s]  and then type this command called htop.
[1940.96s -> 1943.64s]  Notice something up there, there's one process,
[1943.64s -> 1945.70s]  this htop program, I think I've shown you this before,
[1945.70s -> 1947.72s]  shows all, maybe I haven't, shows all the different
[1947.72s -> 1950.36s]  processors on the computer we're running on,
[1950.40s -> 1955.40s]  and it shows how much each core is being used.
[1955.64s -> 1958.46s]  One of them is 100%, the others are like almost nothing.
[1958.46s -> 1959.68s]  One of them's 100%.
[1959.68s -> 1961.88s]  Guess whose program it is?
[1961.88s -> 1966.44s]  Oh, it's simple shell with redundancy at 100% CPU,
[1966.44s -> 1969.48s]  which is my program, okay?
[1969.48s -> 1972.76s]  Well, why is that the case?
[1972.76s -> 1975.10s]  Well, it's because it's spinning, and it's actually
[1975.10s -> 1977.72s]  sitting in this while loop going, and it finally ended,
[1977.72s -> 1979.82s]  by the way, and then now it's back to zero,
[1980.14s -> 1982.66s]  when the sleep 100 ended, okay?
[1982.66s -> 1984.50s]  Well, why is that bad?
[1984.50s -> 1986.98s]  Well, it's bad because, unfortunately,
[1986.98s -> 1988.74s]  there's some poor, like, 107 students
[1988.74s -> 1991.82s]  sitting over on a myth machine going,
[1991.82s -> 1995.02s]  why is my terminal stalled right now, right?
[1995.02s -> 1998.42s]  Because you're running your 100% CPU thing.
[1998.42s -> 2000.66s]  Now, there's eight cores, and they're not really,
[2000.66s -> 2002.34s]  because there's lots of other cores doing other things,
[2002.34s -> 2004.74s]  but the machine might be heating up a little bit more,
[2004.74s -> 2007.54s]  and it's using that core that it shouldn't be, right?
[2007.54s -> 2012.18s]  We shouldn't be able to actually do that, okay?
[2012.18s -> 2014.62s]  And the question is, why?
[2014.62s -> 2016.54s]  Like, how do we get around that?
[2016.54s -> 2019.06s]  We will get to that, okay?
[2019.06s -> 2021.62s]  Oh, by the way, you can run,
[2021.62s -> 2023.66s]  I'll have to install HTOP, you can't run it,
[2023.66s -> 2025.62s]  I installed it locally for my own machine,
[2025.62s -> 2027.94s]  I'll install it and send you guys an email
[2027.94s -> 2030.42s]  about how to run that, okay?
[2030.42s -> 2033.58s]  The original one here that I skipped, okay,
[2033.62s -> 2034.46s]  it looks like this.
[2034.46s -> 2039.46s]  This is if we wanted to reap all the processes, okay?
[2041.22s -> 2045.54s]  With this extra weight PID in here, okay?
[2045.54s -> 2049.26s]  So this is kind of what we had before, all right?
[2049.26s -> 2052.38s]  We had this before where instead of,
[2052.38s -> 2055.46s]  or now we're actually capturing the child process, okay?
[2055.46s -> 2059.10s]  The child process gets reaped up here, okay?
[2059.10s -> 2063.46s]  And like it always, or like it would
[2063.46s -> 2065.58s]  because we're using the signal handler.
[2065.58s -> 2070.30s]  But down here, we have this strange-like situation
[2070.30s -> 2074.70s]  where we're calling weight PID without WNOHANG,
[2074.70s -> 2077.38s]  which means this is gonna sit here and wait
[2077.38s -> 2078.90s]  for the child to end,
[2078.90s -> 2081.34s]  but we're handling it up in the reprocesses.
[2081.34s -> 2082.98s]  In fact, that happens first.
[2082.98s -> 2086.22s]  The signal handler will get called immediately,
[2086.22s -> 2090.70s]  handle the signal, it will return the correct PID
[2090.70s -> 2095.06s]  for the child process, and then the parent,
[2095.06s -> 2097.02s]  which is down here in weight PID,
[2097.02s -> 2100.82s]  actually the weight PID call down here finishes
[2100.82s -> 2104.46s]  with an error that says there are no more children left.
[2104.46s -> 2106.94s]  So isn't that a little strange?
[2106.94s -> 2108.38s]  Let me rephrase it again.
[2108.38s -> 2112.94s]  Down here, we have said if the child is the foreground,
[2112.94s -> 2114.50s]  we wanna wait for it to end.
[2115.38s -> 2118.62s]  But instead of letting,
[2118.62s -> 2121.82s]  well, we're letting the signal handler
[2121.82s -> 2125.02s]  clean up the weight PID, clean up the child,
[2125.02s -> 2128.26s]  and then this one is getting kind of redundant
[2128.26s -> 2131.34s]  because it actually gets called after the child handler
[2131.34s -> 2133.38s]  cleans it up, and then this one happens,
[2133.38s -> 2137.66s]  and you go, oh, that seems a little logically odd
[2137.66s -> 2141.10s]  to like know that this one's gonna fail, okay?
[2141.10s -> 2144.58s]  Now, it works, but we'd like to do it a little bit better,
[2144.58s -> 2147.38s]  which is why we kind of handled the previous,
[2147.38s -> 2150.90s]  or we kind of did it the other way, okay?
[2150.90s -> 2152.62s]  What questions do you have on this one for a sec?
[2152.62s -> 2153.46s]  Yeah.
[2153.46s -> 2155.70s]  So spinning is bad?
[2155.70s -> 2157.26s]  Spinning is bad, I'll show you what the,
[2157.26s -> 2159.70s]  yeah, I jumped ahead and we did the spinning one first,
[2159.70s -> 2163.78s]  but the spinning is not good because it really,
[2163.78s -> 2165.86s]  I'll show you what the spinning one does.
[2165.86s -> 2168.98s]  Right here, what's happening here?
[2169.02s -> 2173.34s]  It's basically checking this global variable FGPID, okay?
[2173.34s -> 2176.94s]  And if the entire time the child process is running,
[2176.94s -> 2179.78s]  they are not the same because we set it equal to the,
[2179.78s -> 2181.46s]  we set FGPID equal to zero,
[2181.46s -> 2186.46s]  and then the PID is the PID for the process, okay?
[2186.50s -> 2188.06s]  And it just does this while loop
[2188.06s -> 2189.98s]  again and again and again and again and again,
[2189.98s -> 2193.06s]  and that's wasting processing time
[2193.06s -> 2194.78s]  because it's thinking it's trying to do something,
[2194.78s -> 2199.78s]  and the only, by the way,
[2200.02s -> 2203.38s]  the only reason the compiler actually allows this to happen
[2203.38s -> 2205.90s]  is because we have a global variable in there, right?
[2205.90s -> 2207.42s]  Otherwise, the compiler would go,
[2207.42s -> 2209.50s]  wait, this function's not changing it,
[2209.50s -> 2211.38s]  how can it ever not be one thing?
[2211.38s -> 2212.38s]  And it will just do it once.
[2212.38s -> 2213.94s]  It'll turn that while in an if statement
[2213.94s -> 2215.78s]  and then not even run the way we want.
[2215.78s -> 2219.58s]  If you took 107E, you'd know all about that.
[2219.58s -> 2221.26s]  And we can deal with this,
[2221.26s -> 2222.54s]  it actually, the compiler says,
[2222.54s -> 2225.46s]  oh, global variables, I don't optimize for those.
[2225.46s -> 2227.70s]  Does that answer your question about what spinning is?
[2227.70s -> 2230.02s]  It's this tight little loop that's doing stuff
[2230.02s -> 2231.70s]  that doesn't do any good for us.
[2231.70s -> 2235.54s]  We'd rather the process be off the processor altogether
[2235.54s -> 2237.50s]  and have the kernel wait,
[2237.50s -> 2242.50s]  like make it actually do what it should be doing, okay?
[2242.82s -> 2244.06s]  So that's that.
[2244.06s -> 2247.82s]  To this other, to the previous one that I skipped here,
[2249.06s -> 2251.46s]  with this one where we have this little wait PID,
[2251.46s -> 2255.82s]  we definitely want to not have that wait PID happen once.
[2255.82s -> 2257.78s]  We want it to happen, or twice,
[2257.78s -> 2259.38s]  we want it to happen just once
[2259.38s -> 2261.78s]  and let the signal handler take care of all of it.
[2261.78s -> 2262.62s]  Question?
[2262.62s -> 2265.18s]  Do you have to put volatile before the global variable?
[2265.18s -> 2267.42s]  You do not have to put volatile before the global variable.
[2267.42s -> 2268.54s]  Good question.
[2268.54s -> 2270.54s]  And if you've never heard about volatile,
[2270.54s -> 2272.66s]  it basically just means that,
[2272.66s -> 2275.26s]  oh, this variable is special, don't optimize it out
[2275.26s -> 2276.58s]  because you don't know what's going on with it.
[2276.58s -> 2278.46s]  But no, you don't need to for global variable,
[2278.46s -> 2280.66s]  at least for this compiler we're using.
[2281.50s -> 2284.90s]  Okay, so other questions on this one.
[2284.90s -> 2288.14s]  You get why we don't like to have wait PID in two places?
[2288.14s -> 2292.02s]  By the way, last quarter we asked a midterm exam question
[2292.02s -> 2294.50s]  where the students could, if they wanted to,
[2294.50s -> 2297.50s]  put the wait PID in two places and we took points off.
[2297.50s -> 2298.34s]  So be careful.
[2298.34s -> 2300.42s]  You can do it like we just showed you before
[2300.42s -> 2303.02s]  where there's one wait PID.
[2303.02s -> 2305.58s]  I'll show you how to get rid of that race condition
[2305.58s -> 2307.42s]  in a second, okay?
[2307.42s -> 2309.42s]  But here's the race condition one.
[2309.46s -> 2311.02s]  What's nice about this?
[2311.02s -> 2315.82s]  Well, okay, we're not actually doing any more wait PID.
[2315.82s -> 2317.94s]  In fact, wait for foreground process,
[2317.94s -> 2319.68s]  the wait for foreground process function
[2319.68s -> 2324.26s]  does not have any wait PID in it.
[2324.26s -> 2327.06s]  It's got this strange spinning loop
[2327.06s -> 2328.90s]  which we want to try to avoid.
[2328.90s -> 2332.32s]  But all of the children do get handled up here.
[2332.32s -> 2335.22s]  Now, more critically,
[2335.22s -> 2339.16s]  we actually have a bigger bug than the spin.
[2339.16s -> 2340.66s]  The spin isn't going to do anything
[2340.66s -> 2342.40s]  except make your computer warm up a little more,
[2342.40s -> 2343.52s]  make the fans come on,
[2343.52s -> 2347.16s]  and make your computer have less of a long lifespan
[2347.16s -> 2348.86s]  because it's doing more work, right?
[2348.86s -> 2350.24s]  That's not the biggest deal in the world.
[2350.24s -> 2351.08s]  The biggest deal in the world
[2351.08s -> 2354.76s]  is there's an actual race condition in here, okay?
[2354.76s -> 2358.58s]  Anybody see where the race condition might be?
[2358.58s -> 2360.68s]  Race conditions happen when you're doing something
[2360.68s -> 2363.00s]  where you're forking and various things can happen
[2363.00s -> 2364.68s]  before other things.
[2364.68s -> 2365.78s]  What do you think?
[2365.78s -> 2367.28s]  Anybody see a race condition here?
[2367.28s -> 2368.12s]  Yeah.
[2369.16s -> 2374.16s]  And you're checking it in wait for foreground process.
[2381.52s -> 2382.92s]  Why is that a race condition?
[2387.48s -> 2388.44s]  What could happen first?
[2388.44s -> 2389.52s]  Like, what could happen here?
[2389.52s -> 2391.00s]  Let's think about the two different possibilities.
[2391.00s -> 2391.92s]  Yeah, you have an idea?
[2391.92s -> 2392.74s]  Go ahead.
[2399.16s -> 2404.16s]  Yeah, the y-loop is not going to ever end, right?
[2407.44s -> 2409.96s]  If you have a slightly off,
[2409.96s -> 2413.48s]  slightly interesting situation here.
[2413.48s -> 2415.48s]  Okay, so let's walk through this.
[2415.48s -> 2420.00s]  If we fork, okay, and then we exec CVP,
[2420.00s -> 2421.66s]  what if that was really fast?
[2421.66s -> 2423.68s]  We did something that was super duper fast
[2423.68s -> 2426.40s]  and the child ended, okay?
[2426.40s -> 2429.16s]  Well, we would get up here into reap process.
[2429.16s -> 2431.72s]  Let's pretend that before we ever even get
[2431.72s -> 2434.66s]  to wait for foreground process, okay?
[2435.68s -> 2440.68s]  We actually go and immediately the child ends
[2441.28s -> 2446.28s]  and we go up here and we reap the process, okay?
[2446.34s -> 2447.18s]  So what happens?
[2447.18s -> 2450.16s]  Well, it goes and it says, all right,
[2450.16s -> 2453.68s]  well, let's see, in this case, actually,
[2453.68s -> 2455.42s]  depending on what the previous PID would be,
[2455.46s -> 2456.86s]  it wouldn't actually matter.
[2456.86s -> 2458.42s]  So I guess it doesn't matter if it does immediately,
[2458.42s -> 2460.38s]  but what happens if it does it here?
[2460.38s -> 2461.30s]  And this is what you were saying.
[2461.30s -> 2465.18s]  It does it right after this line right here.
[2465.18s -> 2470.18s]  So this line right here, okay, sets F, P, I, or F,
[2470.54s -> 2472.02s]  let's see, is it going to be before that or after?
[2472.02s -> 2473.66s]  I'm getting this mixed up now.
[2473.66s -> 2476.34s]  It is, this is why race conditions are hard.
[2476.34s -> 2478.90s]  It's always tough to remember exactly where it is.
[2480.06s -> 2485.06s]  If FGPID is set to,
[2486.10s -> 2490.94s]  PID, and then FGPID equals here, right.
[2490.94s -> 2494.82s]  If the signal handler was called before that
[2494.82s -> 2499.50s]  and gets down here and sets the FPGID to zero,
[2499.50s -> 2503.56s]  at this point, we would then set FGPID to PID
[2503.56s -> 2505.04s]  and then this while loop would never end
[2505.04s -> 2507.92s]  because we would never get this set to zero again.
[2507.92s -> 2509.86s]  That's the issue, okay?
[2509.86s -> 2512.10s]  So basically we're saying
[2512.74s -> 2517.26s]  that there's the race condition,
[2517.26s -> 2518.58s]  let me see, let me read it off here.
[2518.58s -> 2521.06s]  It's probably easier to, here.
[2521.06s -> 2523.18s]  If the foreground process finishes
[2523.18s -> 2524.62s]  and reprocess is invoked
[2524.62s -> 2528.10s]  before normal execution flow updates FGPID,
[2529.46s -> 2531.50s]  if that happens, the signal is going to spin forever.
[2531.50s -> 2535.86s]  So again, we could end up here
[2536.82s -> 2540.48s]  because the child process has already been reaped
[2540.48s -> 2543.16s]  basically between this line and,
[2543.16s -> 2546.60s]  or right before this line, okay?
[2546.60s -> 2548.00s]  Right before this line.
[2548.00s -> 2549.16s]  The child process gets reaped,
[2549.16s -> 2552.24s]  it changes the PID to zero,
[2552.24s -> 2555.48s]  and then we update it here, go into this while loop,
[2555.48s -> 2559.44s]  no more child to actually reep, okay?
[2559.44s -> 2562.44s]  So that's the issue right there.
[2564.68s -> 2567.28s]  That would be a bad race condition to have.
[2567.28s -> 2570.36s]  So how do we deal with this race condition?
[2571.28s -> 2573.62s]  What we want to do is we wanna actually remove
[2573.62s -> 2578.62s]  that race condition using a different type of,
[2579.00s -> 2581.40s]  actually, before we even do that,
[2581.40s -> 2586.40s]  let's actually, yeah, we want to,
[2588.00s -> 2590.20s]  yes, we'll do this one right now.
[2590.20s -> 2593.08s]  This is where we're gonna block the child appropriately
[2593.08s -> 2596.08s]  like we did before so that we don't actually
[2596.08s -> 2601.08s]  need to, so we don't actually have
[2604.52s -> 2605.68s]  that race condition at all,
[2605.68s -> 2608.20s]  just like what we did kind of before, okay?
[2608.20s -> 2611.76s]  So let's see, we can do it the same one in here again.
[2611.76s -> 2614.28s]  Oh, actually, let's do it in a different one here.
[2614.28s -> 2617.40s]  Let's do it in a simple shell
[2617.40s -> 2620.16s]  with just, we'll leave the spin for now
[2620.16s -> 2624.20s]  because that's not actually the most important one, okay?
[2624.20s -> 2625.72s]  We'll leave the spin in there now
[2626.24s -> 2630.80s]  and we will reprocess these, it's not going to change, okay?
[2630.80s -> 2632.68s]  What we need to do down here
[2632.68s -> 2635.08s]  is we need to block the signals like we said before.
[2635.08s -> 2637.08s]  In fact, we're gonna have,
[2637.08s -> 2639.68s]  instead of doing the blocking like one line at a time
[2639.68s -> 2641.04s]  where it would set up the empty set
[2641.04s -> 2646.04s]  and then set it to be, or actually declare the signal set
[2646.80s -> 2648.36s]  and then set up the empty set and so forth,
[2648.36s -> 2650.00s]  let's have little functions that do that.
[2650.00s -> 2652.16s]  I'll show you those functions in a minute, okay?
[2652.16s -> 2654.96s]  So we're going to do this where?
[2654.96s -> 2658.00s]  We are going to block the signals, okay?
[2658.00s -> 2663.00s]  Right after we get, or right before we do the fork, okay?
[2663.88s -> 2668.88s]  Let's block the child signal, okay?
[2669.16s -> 2671.16s]  All right, there's a function that's gonna do this,
[2671.16s -> 2672.36s]  I'll show you that in a second.
[2672.36s -> 2673.72s]  Okay, we're gonna block before we fork.
[2673.72s -> 2677.94s]  So therefore, the signal handler can't get called
[2677.94s -> 2681.50s]  in the parent process while the signal is blocked, okay?
[2681.50s -> 2683.52s]  All right, then we are going to fork.
[2683.52s -> 2685.80s]  If the PID is zero, it's the child,
[2685.80s -> 2687.56s]  we don't care if that signal's blocked.
[2687.56s -> 2689.56s]  In fact, we want it to not be blocked.
[2691.08s -> 2693.64s]  So we're gonna call unblockSigChild,
[2694.60s -> 2695.52s]  which is the other function
[2695.52s -> 2698.62s]  that we're gonna show you in a second, okay?
[2698.62s -> 2703.24s]  And then we are going to also unblock it
[2703.24s -> 2706.76s]  if it is a background process
[2706.76s -> 2708.60s]  because we don't care about,
[2708.76s -> 2713.76s]  there's no need to worry about the actual blocking there,
[2716.44s -> 2717.80s]  that's not where the problem is, okay?
[2717.80s -> 2720.48s]  It was the foreground process that we had the problem,
[2720.48s -> 2724.60s]  okay, unblockSigChild here, okay?
[2726.36s -> 2728.80s]  It's a foreground process, or the background process,
[2728.80s -> 2733.80s]  so there's not gonna be that issue, okay?
[2734.20s -> 2736.32s]  And then we've got waitForForegroundProcess.
[2736.32s -> 2738.80s]  Well, let's look at waitForForegroundProcess.
[2738.80s -> 2743.80s]  It's after we do the setting here
[2744.24s -> 2748.32s]  where we want to unblock the SigChild again.
[2749.76s -> 2753.92s]  This should now, like, we're only lifting this
[2753.92s -> 2758.92s]  after fgPID is set, okay?
[2760.36s -> 2761.76s]  That's what's happening here.
[2761.76s -> 2766.76s]  We've now got the blocking happening
[2766.88s -> 2770.76s]  until the point where we don't need it anymore.
[2770.76s -> 2773.20s]  Now we can't get the, we won't have that race condition.
[2773.20s -> 2774.04s]  Yes?
[2774.04s -> 2776.60s]  Sorry, but when we, before we had the blocking
[2776.60s -> 2779.60s]  and the unblocking, and fgPID is called,
[2783.32s -> 2785.92s]  but since we had it equal to zero in the first place,
[2785.92s -> 2790.92s]  how could we ever race conditions on the same place?
[2791.76s -> 2796.76s]  Before we set it to a PID in waitForForegroundProcess?
[2798.32s -> 2801.24s]  Let's see, your question is,
[2801.24s -> 2804.16s]  how do we actually race condition on it here,
[2804.16s -> 2807.80s]  because, well, let's see.
[2809.24s -> 2812.32s]  When we are doing...
[2812.32s -> 2817.00s]  So it's zero until we call waitForForegroundProcess,
[2817.00s -> 2821.12s]  and then it's equal to the PID that we're waiting for,
[2821.28s -> 2823.48s]  and then, because it'll never be...
[2823.48s -> 2827.12s]  Right, so what happens when, what's that?
[2827.12s -> 2828.44s]  Sorry, say again.
[2828.44s -> 2832.16s]  So when we first call it, fgPID is zero,
[2832.16s -> 2833.60s]  that's what we set it to,
[2833.60s -> 2835.32s]  and then it's equal to the PID,
[2835.32s -> 2837.80s]  and then we call waitForegroundProcess.
[2837.80s -> 2842.04s]  If the child is already changed before that,
[2842.04s -> 2846.16s]  how do we have a race condition on it?
[2846.16s -> 2847.28s]  That is a good question.
[2847.28s -> 2849.24s]  The question is when do we,
[2849.24s -> 2851.92s]  or how do we actually have the race condition
[2851.92s -> 2854.68s]  in there at all?
[2854.68s -> 2856.24s]  Let me check one thing here.
[2856.24s -> 2858.40s]  I'm just making sure I didn't miss setting it.
[2858.40s -> 2860.96s]  Actually, let's go back up in here and look again.
[2860.96s -> 2862.80s]  I think that's actually a good question.
[2862.80s -> 2863.64s]  Hang on.
[2866.20s -> 2867.04s]  Okay.
[2869.08s -> 2871.16s]  We are not setting it there, are we?
[2871.16s -> 2875.36s]  Oh, and the parent, we're setting PID here.
[2875.36s -> 2877.24s]  Right, we're setting the PID here.
[2877.88s -> 2878.72s]  Okay.
[2879.84s -> 2881.36s]  And then fgPID is still there.
[2881.36s -> 2882.64s]  Let me get back to you on that.
[2882.64s -> 2884.48s]  I know this is a race condition, but you're right.
[2884.48s -> 2885.48s]  There's either one line missing,
[2885.48s -> 2887.80s]  or I'm not thinking it through quite correctly.
[2887.80s -> 2889.08s]  But good catch on that.
[2889.08s -> 2889.92s]  Yeah.
[2904.36s -> 2906.24s]  Right, good point.
[2906.28s -> 2909.64s]  Okay, so here's the answer, good answer over there.
[2909.64s -> 2914.20s]  Okay, weight PID gets, or reprocesses gets called once
[2914.20s -> 2916.88s]  when the child ends, okay?
[2916.88s -> 2920.38s]  All right, let's assume that the,
[2920.38s -> 2924.74s]  let's assume that fgPID is still zero, right?
[2924.74s -> 2926.56s]  Well, it's not going to reset it.
[2926.56s -> 2929.28s]  It doesn't actually, it's already, fgPID is already zero.
[2929.28s -> 2930.72s]  So this is gonna end.
[2930.72s -> 2935.40s]  Okay, if that ends, and then we set it here,
[2935.40s -> 2936.92s]  and then we do this while loop,
[2936.92s -> 2939.02s]  well, it's already ended, and then that's where it is.
[2939.02s -> 2939.86s]  Yeah, that's a good point.
[2939.86s -> 2941.56s]  Thank you for that clarification.
[2943.24s -> 2947.20s]  Yeah, the race condition is in the case
[2947.20s -> 2950.56s]  where we're waiting for the foreground process,
[2950.56s -> 2954.88s]  and it's already happened that the child is finished.
[2954.88s -> 2956.64s]  It was so fast that the child finished.
[2956.64s -> 2957.60s]  And then all of a sudden we're waiting,
[2957.60s -> 2958.44s]  we're not doing anything.
[2958.44s -> 2960.04s]  Yeah, good question, good call, good call.
[2960.04s -> 2963.56s]  Now, why does this fix the situation, okay?
[2963.60s -> 2964.80s]  This fixes the situation,
[2964.80s -> 2966.28s]  this is the one that I just typed up here.
[2966.28s -> 2967.76s]  This fixes the situation
[2967.76s -> 2971.92s]  because we're not actually allowing this,
[2971.92s -> 2975.16s]  the child handler to get caught
[2975.16s -> 2980.16s]  until after the actual fgPID sets equal to PID,
[2982.56s -> 2985.60s]  in which case it will get unset by the child handler,
[2985.60s -> 2987.68s]  and then we will go out of the while loop.
[2987.68s -> 2988.52s]  Yes, question.
[2989.72s -> 2991.16s]  Do you mind how the lock works?
[2991.20s -> 2993.44s]  So like when the child process is pretty much finished
[2993.44s -> 2995.64s]  but then it's just kind of like just holding on
[2995.64s -> 2996.68s]  and sending out the signal?
[2996.68s -> 2997.88s]  Yes, good question.
[2997.88s -> 2998.84s]  How does blocking work?
[2998.84s -> 3002.04s]  Does the child process just wait around
[3002.04s -> 3003.54s]  if it can't send the signal?
[3003.54s -> 3005.32s]  It's the kernel that's sending the signal,
[3005.32s -> 3008.66s]  and the kernel knows that the child process ends.
[3008.66s -> 3011.66s]  It wants to send the signal to your parent process,
[3011.66s -> 3012.82s]  but your parent process says,
[3012.82s -> 3014.56s]  I'm not accepting that signal now,
[3014.56s -> 3016.68s]  so the kernel will just wait until it gets unblocked
[3016.68s -> 3018.16s]  and then send the signal.
[3018.16s -> 3019.64s]  Child finishes, right?
