# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[1338.64s -> 1339.94s]  Still don't get it.
[1339.94s -> 1340.78s]  You have a question about it?
[1340.78s -> 1343.12s]  Go ahead, think of a question, yeah.
[1343.12s -> 1345.88s]  So wait PID is getting called once,
[1345.88s -> 1347.32s]  but then doesn't necessarily,
[1347.32s -> 1350.40s]  so wait PID is getting called multiple times
[1350.40s -> 1353.76s]  until all the children have been taken care of.
[1353.76s -> 1355.56s]  Yes, wait PID is getting called,
[1355.56s -> 1357.04s]  well, wait PID is getting called once
[1357.04s -> 1359.04s]  when any child ends,
[1359.04s -> 1360.56s]  and then we're going into this while loop
[1360.56s -> 1362.40s]  saying, oh, let's keep waiting for children
[1362.40s -> 1364.56s]  until there are no more left.
[1364.56s -> 1366.60s]  Okay, and then we're gonna end.
[1366.60s -> 1368.88s]  Question in the back, yeah.
[1368.88s -> 1373.10s]  Does wait PID stop after all the children are done,
[1373.98s -> 1374.82s]  or all the children that were called
[1374.82s -> 1376.02s]  as part of this one return?
[1376.02s -> 1377.38s]  That is a good question.
[1377.38s -> 1379.66s]  In this case, the way we're running it right now,
[1379.66s -> 1382.58s]  it blocks while there are still children not done.
[1382.58s -> 1385.18s]  So it will wait, yeah, it'll actually wait
[1385.18s -> 1386.18s]  for all of them to be done.
[1386.18s -> 1387.10s]  Now, they're all gonna come back
[1387.10s -> 1389.62s]  in roughly the same amount of time in this case,
[1389.62s -> 1390.62s]  but that's a good point,
[1390.62s -> 1392.26s]  and we'll see how to handle that in a second
[1392.26s -> 1393.26s]  if you wanna deal with it differently.
[1393.26s -> 1394.34s]  Hosman, do you have a question?
[1394.34s -> 1395.72s]  Yeah, okay.
[1395.72s -> 1397.78s]  All right, okay.
[1397.78s -> 1399.70s]  If you're still, well, let's see what happens
[1399.70s -> 1401.22s]  when we run this.
[1401.22s -> 1406.22s]  And, okay, five children.
[1406.62s -> 1409.78s]  Okay, now it's going to go into that while loop.
[1409.78s -> 1410.82s]  They're gonna return to dad.
[1410.82s -> 1412.82s]  All five of them end up getting captured
[1412.82s -> 1415.98s]  in that while loop, and then dad wakes up,
[1415.98s -> 1418.70s]  and it did increment all, got five of,
[1418.70s -> 1422.48s]  or it incremented num children done each time.
[1422.48s -> 1423.32s]  Yeah.
[1423.32s -> 1425.46s]  So how many times is the signal handler?
[1425.46s -> 1426.52s]  Yeah, very good question.
[1426.52s -> 1428.78s]  In this case, the signal handler,
[1428.78s -> 1430.70s]  it turns out that the signal handler
[1431.14s -> 1434.14s]  is called once, as it turns out.
[1434.14s -> 1437.50s]  It may get called again, although it doesn't matter.
[1437.50s -> 1438.46s]  It doesn't actually matter
[1438.46s -> 1440.22s]  because we're calling wait PID.
[1440.22s -> 1443.22s]  Remember what wait PID does,
[1443.22s -> 1444.86s]  and this is a very good point.
[1444.86s -> 1449.86s]  In this form, when we say wait PID like this,
[1450.66s -> 1452.62s]  when we say wait PID like that,
[1452.62s -> 1457.62s]  what it says is, okay, wait for any child to finish
[1457.66s -> 1460.24s]  if there are outstanding children to finish.
[1460.68s -> 1461.96s]  Like if there's any children out there,
[1461.96s -> 1465.36s]  wait for any one of them to finish, okay?
[1465.36s -> 1470.28s]  And it will actually block until a child finishes.
[1470.28s -> 1471.96s]  If there are no more children,
[1471.96s -> 1473.80s]  because they're all already finished,
[1473.80s -> 1475.80s]  it will return negative one immediately,
[1475.80s -> 1478.28s]  and that's when we'll break out of that loop.
[1481.94s -> 1483.28s]  So to be clear here,
[1483.28s -> 1485.96s]  if you switch back to the sleep statement there,
[1485.96s -> 1488.44s]  the sleep three times kid,
[1488.44s -> 1492.08s]  would we never get the written statement about the dad?
[1492.08s -> 1493.32s]  Yeah, let's do that.
[1493.32s -> 1495.20s]  So Khalid says, whoa, wait a minute.
[1495.20s -> 1499.76s]  What if we made the following change and just said,
[1499.76s -> 1501.28s]  oh, let's see if our new method,
[1501.28s -> 1502.70s]  which we proved works for the other,
[1502.70s -> 1504.72s]  the one where they're all ending at the same time.
[1504.72s -> 1507.02s]  What if we did this now, what's gonna happen?
[1507.02s -> 1510.04s]  And his comment was, oh,
[1510.04s -> 1512.08s]  is it gonna mean that we're never going to,
[1512.08s -> 1512.92s]  like it's, we're not gonna see
[1512.92s -> 1516.20s]  all that dad wakes up business until way at the end?
[1516.20s -> 1517.04s]  Let's find out.
[1519.28s -> 1524.28s]  All right, now child's playing.
[1524.36s -> 1526.72s]  Remember now they're doing three seconds each, right?
[1526.72s -> 1528.82s]  Okay, child one returned after three seconds,
[1528.82s -> 1531.08s]  child two returned after three seconds.
[1531.08s -> 1532.90s]  Dad still hasn't woken up yet.
[1532.90s -> 1535.34s]  Child three return, child four return,
[1535.34s -> 1536.98s]  dad still hasn't woken up.
[1536.98s -> 1539.26s]  In fact, dad's trying to wake up, but guess what?
[1539.26s -> 1540.52s]  The signal handler is the part
[1540.52s -> 1541.76s]  of the program that's running.
[1541.76s -> 1544.68s]  It will not also, it's only one process now.
[1544.68s -> 1546.74s]  Even though there's two functions that could happen,
[1546.82s -> 1549.78s]  the signal handler is the one that's in this while loop,
[1549.78s -> 1552.64s]  and the dad never has a chance to actually wake up
[1552.64s -> 1555.08s]  and see if the children have ended yet.
[1555.08s -> 1559.36s]  So yes, we broke this one by doing that fancy while loop.
[1559.36s -> 1561.02s]  We gotta do something else, yeah.
[1561.02s -> 1563.86s]  So when it's running, when the signal handler is running,
[1563.86s -> 1566.18s]  it's running for the first child that returns.
[1566.18s -> 1569.86s]  It's like running on the call of the first child.
[1569.86s -> 1570.70s]  Yeah, the question is,
[1570.70s -> 1573.06s]  is the signal handler running on the call
[1573.06s -> 1574.58s]  of when the first child ends?
[1574.58s -> 1577.94s]  It could be the first, or in this case it is the first,
[1577.94s -> 1579.90s]  because they are ending at different times.
[1579.90s -> 1582.70s]  It could be many ending at the same time, calling at once.
[1582.70s -> 1583.92s]  But in this case, yes.
[1583.92s -> 1587.66s]  The signal handler starts when the first child finishes,
[1587.66s -> 1590.66s]  and then it never leaves the signal handler
[1590.66s -> 1592.54s]  until all of them finish.
[1592.54s -> 1594.42s]  This is actually not good programming.
[1594.42s -> 1597.90s]  You want your signal handler to be fast.
[1597.90s -> 1600.90s]  If you did 107e, you know that's true about interrupts.
[1600.90s -> 1602.50s]  This is basically the same sort of thing.
[1602.50s -> 1604.78s]  You want your signal handler to be in and out
[1604.78s -> 1606.18s]  as fast as you can.
[1606.18s -> 1608.82s]  So you don't want to wait for all those other children.
[1608.82s -> 1610.34s]  Remember, the dad had a job to do.
[1610.34s -> 1612.54s]  The dad was supposed to wake up and say,
[1612.54s -> 1614.18s]  oh, I'm gonna see if all my children are back,
[1614.18s -> 1617.66s]  but he couldn't until all the children got back, right?
[1617.66s -> 1619.22s]  So that's the big problem, though.
[1619.22s -> 1620.06s]  Yeah.
[1620.06s -> 1621.54s]  Has the first child actually ended
[1621.54s -> 1623.18s]  when the signal handler is called,
[1623.18s -> 1624.78s]  or is it just right before it ends?
[1624.78s -> 1627.02s]  Because otherwise, wouldn't the wait PID
[1627.02s -> 1629.46s]  not be able to capture the first child?
[1629.46s -> 1631.38s]  No, no, good question.
[1632.34s -> 1636.62s]  Is the wait PID called before or after the child ends?
[1636.62s -> 1639.58s]  It is called because the child has ended.
[1640.50s -> 1641.34s]  Okay?
[1641.34s -> 1643.14s]  So in other words, reap child gets called
[1643.14s -> 1645.18s]  when the child has ended,
[1645.18s -> 1646.74s]  and it has not been cleaned up yet.
[1646.74s -> 1647.58s]  There's no wait PID.
[1647.58s -> 1649.62s]  So the operating system is basically saying,
[1649.62s -> 1651.06s]  oh, this child has ended.
[1651.06s -> 1653.62s]  Well, I'm gonna wait around until somebody cleans it up,
[1653.62s -> 1654.82s]  until the parent cleans it up.
[1654.82s -> 1658.74s]  And so it's in the process of being finished,
[1658.74s -> 1660.62s]  but the child hasn't been cleaned up yet.
[1660.70s -> 1663.66s]  That's why it gets the PID returned at that point.
[1663.66s -> 1664.50s]  Yeah, question.
[1664.50s -> 1667.34s]  So the wait PID doesn't have any kids on the point,
[1667.34s -> 1668.98s]  does it have five?
[1668.98s -> 1671.78s]  If we print it out here,
[1671.78s -> 1674.06s]  yeah, let's see what happens when we do that.
[1675.86s -> 1676.82s]  All right, what it's gonna do,
[1676.82s -> 1679.14s]  it's going to, when each child gets back,
[1679.14s -> 1681.38s]  it's going to just do that, right?
[1681.38s -> 1684.70s]  Because by the way, it's still inside the loop, right?
[1684.70s -> 1686.14s]  It's still inside that while loop,
[1686.14s -> 1687.50s]  not leaving that while loop.
[1687.50s -> 1689.22s]  I'll show it to you again.
[1689.22s -> 1691.78s]  And then we'll see, we'll let it finish here.
[1691.78s -> 1694.06s]  And then we'll see, there we go.
[1694.06s -> 1697.10s]  Okay, so it's still in this while loop.
[1697.10s -> 1700.54s]  Remember, forever, true, while true.
[1700.54s -> 1704.94s]  It's in that while loop until wait PID returns
[1704.94s -> 1708.10s]  a negative number saying there are no more children left.
[1708.10s -> 1710.78s]  And in this case, that's really not what we'd like to do.
[1710.78s -> 1712.10s]  It's not the best coding style
[1712.10s -> 1715.46s]  because we're staying in that signal handler
[1715.46s -> 1716.58s]  until they all finish.
[1716.58s -> 1718.38s]  What if one was supposed to go on for days?
[1718.42s -> 1719.62s]  Well, the rest of the program
[1719.62s -> 1720.70s]  wouldn't be able to do anything.
[1720.70s -> 1722.86s]  So you shouldn't stay in the signal handler that long.
[1722.86s -> 1723.70s]  Yeah.
[1723.70s -> 1725.70s]  So when the other children
[1725.70s -> 1727.98s]  that are waiting for it to return,
[1727.98s -> 1730.30s]  when they do return, does it call ReapChild again
[1730.30s -> 1731.94s]  because of the signal again?
[1731.94s -> 1733.30s]  Yeah, this is a good question.
[1733.30s -> 1737.30s]  When, I believe it does, as it turns out,
[1737.30s -> 1738.46s]  call ReapChild again.
[1738.46s -> 1739.82s]  Yeah, I mean, let's do that.
[1739.82s -> 1741.46s]  Let's find out.
[1741.46s -> 1742.50s]  Let's see if we can test this.
[1742.50s -> 1744.22s]  I'm not 100% sure this is gonna do anything,
[1744.22s -> 1745.54s]  but let's test this.
[1746.50s -> 1751.42s]  ReapChild just called, okay?
[1751.42s -> 1752.50s]  I think the question was,
[1752.50s -> 1755.38s]  what happens if they've been cleaned up in here,
[1755.38s -> 1757.86s]  does another signal get generated?
[1757.86s -> 1758.78s]  I believe it will.
[1758.78s -> 1759.98s]  I'm not 100% sure.
[1759.98s -> 1763.14s]  Once it's cleaned up, it might be removed from the,
[1763.14s -> 1764.04s]  it probably is.
[1764.04s -> 1765.34s]  It's probably once it's cleaned up,
[1765.34s -> 1767.38s]  it goes, oh, I don't need to send another signal
[1767.38s -> 1768.34s]  because it's been cleaned up.
[1768.34s -> 1769.62s]  I'm guessing that's the case,
[1769.62s -> 1771.50s]  but let's just find out.
[1771.50s -> 1773.22s]  Okay, let's see how many times it's,
[1773.22s -> 1775.78s]  what we actually need to do here is,
[1776.82s -> 1780.82s]  we also need to, let's say all children are accounted for.
[1780.82s -> 1782.70s]  Let's just see if there's any other issues
[1782.70s -> 1784.66s]  maybe down here later.
[1784.66s -> 1785.94s]  So let's do another,
[1785.94s -> 1789.26s]  let's do another smooze for like three more seconds
[1789.26s -> 1790.62s]  or something like that.
[1790.62s -> 1794.86s]  Okay, make five children, five children.
[1794.86s -> 1799.56s]  Okay, so, boom, ReapChild just got called.
[1799.56s -> 1800.90s]  Now it's gonna be in ReapChild,
[1800.90s -> 1803.50s]  not calling it again until all five get done.
[1803.50s -> 1805.02s]  We know because it's in that while loop
[1805.02s -> 1807.74s]  and it's just gonna sit there and do that, okay?
[1807.74s -> 1808.90s]  And it can't, and it doesn't,
[1808.90s -> 1810.90s]  you can't call the same signal from inside.
[1810.90s -> 1811.72s]  There it goes again.
[1811.72s -> 1812.86s]  It did get called again.
[1812.86s -> 1815.64s]  So yeah, it looks like it got called for it once more
[1815.64s -> 1817.92s]  because all those children that triggered it.
[1817.92s -> 1818.76s]  So I was wrong.
[1818.76s -> 1820.58s]  It does get called at least one more time.
[1820.58s -> 1821.72s]  Now, it didn't matter
[1821.72s -> 1823.54s]  because that one would go into that while loop
[1823.54s -> 1824.38s]  and it would immediately say,
[1824.38s -> 1825.86s]  there's no more children, goodbye.
[1825.86s -> 1826.70s]  And that's it.
[1826.70s -> 1828.54s]  So there's some logic there you have to handle.
[1828.54s -> 1829.62s]  Yeah.
[1829.74s -> 1832.30s]  The SIG parameter, did ReapChild not have any information
[1832.30s -> 1834.74s]  about how many children were called together?
[1834.74s -> 1835.56s]  Good question.
[1835.56s -> 1836.94s]  The SIG, the signal parameter,
[1836.94s -> 1837.98s]  I'm gonna get rid of some of these things
[1837.98s -> 1840.56s]  because we're gonna change it again in a second.
[1840.56s -> 1845.56s]  The signal here, over here, that parameter,
[1845.78s -> 1849.12s]  all it says in this case is that it's a SIG child.
[1849.12s -> 1850.10s]  That's the only thing it gives you.
[1850.10s -> 1851.50s]  It doesn't give you any other information.
[1851.50s -> 1852.42s]  Just says, which signal?
[1852.42s -> 1854.02s]  You could ask which signal got called.
[1854.02s -> 1854.74s]  I mean, you basically look at it and go,
[1854.74s -> 1855.90s]  oh, is it the SIG child?
[1855.90s -> 1856.72s]  Yes.
[1856.72s -> 1857.56s]  That's it.
[1857.56s -> 1859.40s]  Maybe we want this to be an encompassing function
[1860.12s -> 1860.94s]  that could capture many signals
[1860.94s -> 1862.16s]  and maybe you want to know which signal
[1862.16s -> 1863.62s]  actually triggered it.
[1863.62s -> 1864.72s]  So that's how you do that.
[1864.72s -> 1865.56s]  Yeah, Erin.
[1865.56s -> 1868.20s]  So in this case, aren't all of the child processes
[1868.20s -> 1871.52s]  not created yet with the ReapChild called at the start?
[1871.52s -> 1873.28s]  So do we just like pause it?
[1873.28s -> 1874.12s]  Ah, be careful.
[1874.12s -> 1876.16s]  Do you mean ReapChild's called right here?
[1877.16s -> 1878.44s]  It is not called there.
[1878.44s -> 1880.88s]  This is just simply calling signal
[1880.88s -> 1882.92s]  with a function pointer to ReapChild
[1882.92s -> 1885.16s]  saying that when a child ends,
[1885.16s -> 1887.60s]  that's when ReapChild gets called.
[1887.80s -> 1888.64s]  When the first one ends,
[1888.64s -> 1892.04s]  the rest of them still haven't been created yet?
[1892.04s -> 1892.88s]  That's a good question.
[1892.88s -> 1895.28s]  It may be the case that the rest of them
[1895.28s -> 1896.44s]  haven't been created yet.
[1896.44s -> 1897.40s]  By the time, you're right.
[1897.40s -> 1899.28s]  In this for loop here,
[1899.28s -> 1901.76s]  if we had made it sleep zero or no sleep at all,
[1901.76s -> 1904.20s]  then it might have jumped into the loop
[1904.20s -> 1905.04s]  and then it would have done it.
[1905.04s -> 1906.28s]  But it still would have worked okay
[1906.28s -> 1908.56s]  because let's say it didn't have any children
[1908.56s -> 1909.40s]  at that point.
[1909.40s -> 1910.22s]  It would have exited the ReapChild,
[1910.22s -> 1912.24s]  but then the next child would have gotten created
[1912.24s -> 1913.68s]  and it would have gone back and called.
[1913.68s -> 1915.26s]  So, I mean, it's not like anything would have broken
[1915.26s -> 1916.72s]  in that case, but you're right.
[1916.76s -> 1919.20s]  It could have been that we ended up in ReapChild
[1919.20s -> 1920.92s]  before any of the other children were created,
[1920.92s -> 1922.20s]  but it's still gonna get called later
[1922.20s -> 1925.38s]  when they do get created and then eventually finish.
[1927.52s -> 1929.40s]  Good, lots of good questions here.
[1929.40s -> 1930.52s]  I'm glad I'm going over this again,
[1930.52s -> 1932.28s]  or at least this part of here.
[1932.28s -> 1937.28s]  Okay, so what do we want to do in this case?
[1937.80s -> 1939.52s]  So now we've got this problem here.
[1939.52s -> 1942.34s]  Remember, we've changed the behavior
[1942.34s -> 1945.08s]  by adding this while loop up here.
[1945.36s -> 1948.74s]  We've said, wait, block until all the children are done.
[1948.74s -> 1950.76s]  And if we've got five children outstanding,
[1950.76s -> 1952.00s]  then it's gonna sit there and block
[1952.00s -> 1953.12s]  until all the children are done.
[1953.12s -> 1953.96s]  And that's not what we want.
[1953.96s -> 1955.42s]  We want the signal handler to be in
[1955.42s -> 1956.96s]  and out really quickly.
[1956.96s -> 1958.90s]  That's the basic idea.
[1958.90s -> 1963.00s]  So it turns out that we will finally get a chance
[1963.00s -> 1966.96s]  to use this final parameter for weight PID.
[1966.96s -> 1969.04s]  Okay, this parameter, there's a bunch of flags
[1969.04s -> 1971.94s]  you can put in there, you just or them together.
[1972.18s -> 1975.08s]  One of the flags that we care about,
[1975.08s -> 1976.72s]  and in fact, specifically for this,
[1976.72s -> 1980.60s]  is called WNoHang.
[1980.60s -> 1984.92s]  And WNoHang is a flag that says,
[1984.92s -> 1987.64s]  wait for any child, except if there are none
[1987.64s -> 1990.02s]  that are finished, just return immediately
[1990.02s -> 1992.50s]  with a return value of zero.
[1992.50s -> 1996.50s]  So that means, a return value of zero means
[1996.50s -> 2000.86s]  that there are children remaining that have not ended yet,
[2001.96s -> 2004.46s]  but I'm gonna return now because I don't wanna block on this.
[2004.46s -> 2006.26s]  I don't wanna stick around waiting
[2006.26s -> 2008.22s]  for those in this while loop.
[2008.22s -> 2009.84s]  So the only other thing we have to change here
[2009.84s -> 2011.82s]  is we have to say, oh, fine,
[2011.82s -> 2014.50s]  if PID is less than or equal to zero,
[2014.50s -> 2017.78s]  because if the zero case, there are still children,
[2018.70s -> 2021.18s]  but they're still going, so I'm not gonna stick in
[2021.18s -> 2022.70s]  or stick around and try to wait for them.
[2022.70s -> 2025.54s]  I'm gonna come back later when they finish
[2025.54s -> 2028.14s]  and call this function.
[2028.14s -> 2029.64s]  That's what's going on here.
[2029.68s -> 2031.92s]  Let's try this and see if it works.
[2031.92s -> 2033.84s]  Five children.
[2033.84s -> 2034.82s]  Okay, five children.
[2034.82s -> 2036.40s]  So remember, now we've got this idea
[2036.40s -> 2037.88s]  where we want the dad to wake back up
[2037.88s -> 2039.32s]  after the first two children.
[2039.32s -> 2041.64s]  Oh, we've got the reaped children.
[2041.64s -> 2043.10s]  I'll take that out so you can see
[2043.10s -> 2044.10s]  what's going on in a second here.
[2044.10s -> 2046.80s]  But you can see that dad's waking up now,
[2046.80s -> 2048.20s]  which is exactly what we wanted.
[2048.20s -> 2050.62s]  It was exactly what we had in the very first one,
[2050.62s -> 2053.08s]  but now we're doing it in a way that we can capture
[2053.08s -> 2056.46s]  in case some children end at exactly the same time,
[2056.46s -> 2057.86s]  or roughly the same time.
[2058.02s -> 2062.62s]  Let me just run it again without this line in there anymore
[2062.62s -> 2066.86s]  and we'll just see it work in general.
[2069.14s -> 2071.78s]  What questions do you have about this?
[2071.78s -> 2073.62s]  The purpose of w no hang.
[2073.62s -> 2075.44s]  We will use that very often.
[2077.26s -> 2080.28s]  And we'll use that specifically because
[2080.28s -> 2082.68s]  we wanna keep our program going.
[2082.68s -> 2083.60s]  We don't wanna sit there and go,
[2083.60s -> 2084.66s]  oh, let's wait for the child,
[2084.66s -> 2085.76s]  oh, let's wait around for the child.
[2085.76s -> 2087.10s]  Let's do something else.
[2087.18s -> 2091.30s]  Let the signal handler get called when the child ends
[2091.30s -> 2093.08s]  and deal with it at that point.
[2093.08s -> 2093.92s]  Question.
[2093.92s -> 2096.34s]  Basically the flag just says,
[2096.34s -> 2098.70s]  don't like stop the program anymore,
[2098.70s -> 2102.22s]  just deal with any children that have already ended.
[2102.22s -> 2103.78s]  Whereas if we didn't have the flag,
[2103.78s -> 2105.94s]  we would just wait around.
[2105.94s -> 2107.98s]  Yeah, so the question is this flag,
[2107.98s -> 2111.50s]  or the comment is this flag w no hang,
[2111.50s -> 2114.66s]  it says to the wait PID function,
[2115.62s -> 2117.62s]  if there is a child that's ended,
[2117.62s -> 2119.78s]  return that PID and clean it up.
[2119.78s -> 2121.34s]  If any of the children have ended,
[2121.34s -> 2122.18s]  pick one of them,
[2122.18s -> 2123.92s]  clean it up and give me that PID back
[2123.92s -> 2126.42s]  so I can do whatever else I want with it.
[2126.42s -> 2129.52s]  If there are no children that have ended,
[2129.52s -> 2132.06s]  but there are still children out there,
[2132.06s -> 2132.98s]  don't wait for one,
[2132.98s -> 2134.54s]  like we've always done in the past.
[2134.54s -> 2135.94s]  Just return zero and say,
[2135.94s -> 2137.02s]  look, they're still there,
[2137.02s -> 2137.86s]  but I'm not gonna wait.
[2137.86s -> 2139.26s]  You asked me not to wait for them.
[2139.26s -> 2140.72s]  That's what it's doing.
[2140.72s -> 2141.56s]  Question.
[2141.56s -> 2143.86s]  Can you call this 10 minutes after the process dies?
[2143.86s -> 2145.78s]  Is there a queue somewhere in the process
[2145.78s -> 2148.02s]  that needs to be cleaned up?
[2150.02s -> 2151.38s]  Well, so the question is,
[2151.38s -> 2153.10s]  is there a queue or a process that needs to be cleaned up?
[2153.10s -> 2153.92s]  Yes.
[2153.92s -> 2155.74s]  I mean, it's operating system specific,
[2155.74s -> 2157.34s]  and I don't know exactly how Linux does it,
[2157.34s -> 2160.10s]  but the operating system is part of this whole game.
[2160.10s -> 2161.30s]  When the child ends,
[2161.30s -> 2162.38s]  the operating system says,
[2162.38s -> 2166.26s]  oh, okay, I owe the parent a signal,
[2166.26s -> 2168.42s]  and it sends the signal whenever that child ends.
[2168.42s -> 2170.36s]  Now, if the parent has already ended,
[2170.36s -> 2171.98s]  well then, you know, you don't want that.
[2171.98s -> 2173.02s]  But in this case,
[2173.34s -> 2174.78s]  we've made it so the parent will not end
[2174.78s -> 2176.16s]  until all the children end.
[2176.16s -> 2177.54s]  But yeah, that's kind of what's happening.
[2177.54s -> 2178.46s]  The operating system's saying,
[2178.46s -> 2181.50s]  ah, I'm gonna build up a little queue of ended children,
[2181.50s -> 2184.84s]  and then I'll just call wait PID when I need to.
[2184.84s -> 2185.94s]  Lots of other questions.
[2185.94s -> 2186.78s]  Yeah.
[2186.78s -> 2189.38s]  So is ReapChild still called two seconds only,
[2189.38s -> 2191.70s]  or is it five times?
[2191.70s -> 2192.54s]  Good question.
[2192.54s -> 2193.62s]  We don't know how many times
[2193.62s -> 2195.80s]  ReapChild is called in general.
[2195.80s -> 2196.92s]  In this case,
[2196.92s -> 2199.26s]  because they're staggered three seconds, three seconds,
[2199.26s -> 2201.46s]  three seconds, three seconds, it's called five times,
[2201.46s -> 2203.82s]  because there aren't two that end at the same time.
[2203.82s -> 2207.18s]  Any time two or more will end at the same time,
[2207.18s -> 2208.66s]  it could only get called once,
[2208.66s -> 2210.70s]  and that's why you have to handle them all inside that,
[2210.70s -> 2213.10s]  because you may not get another call later.
[2213.10s -> 2215.26s]  And it's just a race condition
[2215.26s -> 2217.10s]  that's kind of built into the operating system,
[2217.10s -> 2218.70s]  and this is the way they've said,
[2218.70s -> 2221.94s]  look, you have to plan for if ReapChild gets called,
[2221.94s -> 2224.24s]  maybe more than one child has ended,
[2224.24s -> 2225.08s]  you better deal with that,
[2225.08s -> 2227.54s]  because we're not gonna call it again in that case.
[2227.54s -> 2228.38s]  Yeah.
[2228.86s -> 2230.82s]  So if we do go back to when multiple,
[2230.82s -> 2233.14s]  say like two can finish at the same time.
[2233.14s -> 2234.98s]  Well, two can finish at the same time, yeah.
[2234.98s -> 2238.90s]  Then this could only get called once or those two,
[2238.90s -> 2241.90s]  and you'd get two PIDs,
[2241.90s -> 2243.82s]  like you'd go through the while loop twice,
[2243.82s -> 2245.34s]  and then be done.
[2245.34s -> 2246.82s]  Correct, you would go through the,
[2246.82s -> 2249.38s]  so yes, if two ended at the same time,
[2249.38s -> 2251.74s]  you would end up getting called once, probably,
[2251.74s -> 2254.78s]  and then this while loop here
[2254.78s -> 2257.02s]  would go through both of them,
[2257.02s -> 2259.00s]  and clean both of them up,
[2259.00s -> 2262.98s]  and then find out that none of the others have finished,
[2262.98s -> 2265.66s]  return zero, and then you return from the function.
[2265.66s -> 2266.50s]  Yep.
[2266.50s -> 2268.42s]  What is null in this case?
[2268.42s -> 2270.90s]  Null in this case, remember this was the status,
[2270.90s -> 2272.66s]  so we could have done,
[2272.66s -> 2275.14s]  in fact, you normally should do something like this,
[2275.14s -> 2280.14s]  status, and then you paste in status like that,
[2281.14s -> 2283.12s]  and it gives you more information.
[2283.12s -> 2285.10s]  What was the return value of the child?
[2285.10s -> 2286.66s]  Did it end abnormally?
[2287.62s -> 2288.86s]  There's lots of information,
[2288.86s -> 2290.50s]  some more information you can get from that.
[2290.50s -> 2292.66s]  What status did it, how did it end?
[2292.66s -> 2294.62s]  Did it, was it stopped, or rather,
[2294.62s -> 2296.70s]  did it end, or was it stopped, or was it continued?
[2296.70s -> 2298.90s]  That gives you more information about that.
[2298.90s -> 2299.94s]  Good questions.
[2299.94s -> 2300.78s]  Yeah.
[2300.78s -> 2302.30s]  Could you run this without the,
[2302.30s -> 2305.82s]  so instead of just passing three?
[2305.82s -> 2308.22s]  Could I run it without which?
[2308.22s -> 2311.30s]  Now you have to see three times kids.
[2311.30s -> 2312.80s]  Oh, yeah, you want me to run it without the,
[2312.80s -> 2314.20s]  so they all end at the same time.
[2314.20s -> 2315.04s]  Sure.
[2316.04s -> 2319.30s]  Let's see, so if they all end at the same time,
[2320.80s -> 2323.68s]  you do that, and,
[2326.52s -> 2327.68s]  let's see, okay, so remember,
[2327.68s -> 2328.96s]  they're all gonna go boom and end
[2328.96s -> 2330.88s]  after three seconds or whatever, right?
[2330.88s -> 2334.32s]  Boom, they all ended, dad finally wakes up and says,
[2334.32s -> 2335.74s]  oh, they've all ended, we're done,
[2335.74s -> 2337.96s]  and they got handled inside that.
[2337.96s -> 2338.80s]  Good question.
[2340.04s -> 2340.88s]  Right.
[2341.92s -> 2343.92s]  That was a lot of, that's a lot of stuff
[2343.96s -> 2345.36s]  packed into one program,
[2345.36s -> 2347.16s]  a lot of different things going on,
[2347.16s -> 2349.12s]  but what we've learned now is,
[2349.12s -> 2352.18s]  well, these signal handlers have some nuance to them,
[2352.18s -> 2356.36s]  they have some, they have this ability to get called,
[2356.36s -> 2358.98s]  but sometimes it's a little bit odd
[2358.98s -> 2361.66s]  because two things could kind of call it at the same time
[2361.66s -> 2363.08s]  so that's nuanced.
[2363.08s -> 2366.52s]  We've got wait PID, which will wait for any children,
[2366.52s -> 2368.64s]  and you can use negative one for the first parameter
[2368.64s -> 2370.40s]  to wait for any of the children,
[2370.40s -> 2372.44s]  and now we've said, yeah, but what if we,
[2372.44s -> 2374.76s]  we don't want you to block and wait for that child,
[2374.76s -> 2376.16s]  we want you to just return immediately,
[2376.16s -> 2378.68s]  and we capture the information about that, saying,
[2378.68s -> 2381.22s]  oh, there's no, if it's zero,
[2381.22s -> 2383.24s]  there are children still remaining
[2383.24s -> 2385.32s]  that have not been captured yet, okay?
[2385.32s -> 2388.60s]  Now, we didn't care if it was children still remaining
[2388.60s -> 2390.72s]  or all the children are done
[2390.72s -> 2393.24s]  because we just know that we're counting correctly,
[2393.24s -> 2395.08s]  so ReapChild will get called again
[2395.08s -> 2396.40s]  if we haven't counted
[2396.40s -> 2398.00s]  or if all the children are still remaining
[2398.00s -> 2400.68s]  just because the parent program
[2400.68s -> 2402.56s]  or the parent part of the process
[2402.56s -> 2406.54s]  is kind of doing its own thing, okay?
[2407.60s -> 2410.28s]  All right, I know there's a lot going on there,
[2410.28s -> 2413.20s]  but do ask more questions,
[2413.20s -> 2415.14s]  and feel free to go run the code yourself
[2415.14s -> 2416.72s]  if you want to, you can download it.
[2416.72s -> 2418.30s]  I didn't put it in the slideshow today,
[2418.30s -> 2419.92s]  I'm not sure if that screwed up my tablet or not,
[2419.92s -> 2423.20s]  but the other day, I'll try that again in the future.
[2423.20s -> 2425.20s]  So anyway, we went through all these different cases,
[2425.20s -> 2428.12s]  so I don't think we need to redo these
[2428.12s -> 2430.20s]  because we did them kind of as we go along,
