# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[1347.30s -> 1350.54s]  so, but wait PID is getting called multiple times
[1350.54s -> 1353.74s]  until all the children have been taken care of.
[1353.74s -> 1355.54s]  Yes, wait PID is getting called,
[1355.54s -> 1357.02s]  well, wait PID is getting called once
[1357.02s -> 1359.02s]  when any child ends,
[1359.02s -> 1360.82s]  and then we're going into this while loop saying,
[1360.82s -> 1362.38s]  oh, let's keep waiting for children
[1362.38s -> 1364.70s]  until there are no more left, okay?
[1364.70s -> 1366.58s]  And then we're gonna end.
[1366.58s -> 1367.90s]  Question in the back.
[1368.82s -> 1373.06s]  Does wait PID stop after all the children are done
[1373.06s -> 1374.82s]  or all the children that were called
[1374.82s -> 1376.02s]  as part of this one return?
[1376.02s -> 1377.34s]  That is a good question.
[1377.34s -> 1379.62s]  In this case, the way we're running it right now,
[1379.62s -> 1382.54s]  it blocks while there are still children not done.
[1382.54s -> 1384.06s]  So it will wait, yeah,
[1384.06s -> 1386.14s]  it'll actually wait for all of them to be done.
[1386.14s -> 1387.06s]  Now, they're all gonna come back
[1387.06s -> 1389.58s]  in roughly the same amount of time in this case,
[1389.58s -> 1390.58s]  but that's a good point
[1390.58s -> 1392.22s]  and we'll see how to handle that in a second
[1392.22s -> 1393.22s]  if you wanna deal with it differently.
[1393.22s -> 1394.06s]  Hosman, you have a question?
[1394.06s -> 1395.70s]  Yeah, okay.
[1395.70s -> 1397.74s]  All right, okay.
[1398.58s -> 1400.90s]  Let's see what happens when we run this.
[1405.10s -> 1407.74s]  Okay, five children, okay.
[1407.74s -> 1409.70s]  Now it's going to go into that while loop,
[1409.70s -> 1410.70s]  they're gonna return to dad.
[1410.70s -> 1412.74s]  All five of them end up getting captured
[1412.74s -> 1414.42s]  in that while loop,
[1414.42s -> 1418.62s]  and then dad wakes up and it did increment all five of,
[1418.62s -> 1422.38s]  there are incremented num children done each time.
[1422.38s -> 1423.22s]  Yeah.
[1423.22s -> 1425.34s]  So how many times is a single handler called?
[1425.34s -> 1426.42s]  Yeah, very good question.
[1426.46s -> 1428.70s]  In this case, the signal handler,
[1428.70s -> 1430.62s]  it turns out that the signal handler
[1430.62s -> 1434.10s]  is called once as it turns out.
[1434.10s -> 1437.46s]  It may get called again, although it doesn't matter.
[1437.46s -> 1440.18s]  It doesn't actually matter because we're calling wait PID.
[1440.18s -> 1443.18s]  Remember what wait PID does,
[1443.18s -> 1444.82s]  and this is a very good point.
[1444.82s -> 1449.82s]  In this form, when we say wait PID like this,
[1450.62s -> 1452.58s]  when we say wait PID like that,
[1452.66s -> 1457.66s]  what it says is, okay, wait for any child to finish,
[1457.70s -> 1460.26s]  if there are outstanding children to finish.
[1460.26s -> 1461.94s]  Like if there's any children out there,
[1461.94s -> 1465.34s]  wait for any one of them to finish, okay?
[1465.34s -> 1470.30s]  And it will actually block until a child finishes.
[1470.30s -> 1471.98s]  If there are no more children,
[1471.98s -> 1473.82s]  cause they're all already finished,
[1473.82s -> 1475.78s]  it will return negative one immediately
[1475.78s -> 1478.30s]  and that's when we'll break out of that loop.
[1478.30s -> 1479.14s]  Yeah.
[1481.94s -> 1483.30s]  So to be clear here,
[1483.30s -> 1486.46s]  if you switch back to the sleep statement there,
[1486.46s -> 1488.42s]  sleep three times kids,
[1488.42s -> 1492.10s]  would we never get the written statement about the dad?
[1492.10s -> 1493.34s]  Yeah, let's do that.
[1493.34s -> 1495.26s]  So Colin says, whoa, wait a minute.
[1495.26s -> 1499.78s]  What if we made the following change and just said,
[1499.78s -> 1501.34s]  oh, let's see if our new method,
[1501.34s -> 1502.74s]  which we proved works for the other,
[1502.74s -> 1504.74s]  the one where they're all ending at the same time.
[1504.74s -> 1507.06s]  What if we did this now, what's gonna happen?
[1507.06s -> 1509.50s]  And the, his comment was,
[1509.50s -> 1512.26s]  oh, is it gonna mean that we're never going to like,
[1512.26s -> 1514.50s]  it's, we're not gonna see all that dad wakes up business
[1514.50s -> 1516.18s]  until way at the end.
[1516.18s -> 1517.02s]  Let's find out.
[1522.18s -> 1524.42s]  All right, now the child's playing,
[1524.42s -> 1526.74s]  remember now they're doing three seconds each, right?
[1526.74s -> 1528.86s]  Okay, child one returned after three seconds,
[1528.86s -> 1531.10s]  child two returned after three seconds,
[1531.10s -> 1532.94s]  dad still hasn't woken up yet,
[1532.94s -> 1534.58s]  child three returned,
[1534.58s -> 1537.02s]  child four returned, dad still hasn't woken up.
[1537.86s -> 1539.34s]  In fact, dad's trying to wake up, but guess what?
[1539.34s -> 1541.18s]  The signal handler is the part of the program
[1541.18s -> 1543.06s]  that's running, it will not also,
[1543.06s -> 1544.76s]  it's only one process now.
[1544.76s -> 1546.82s]  Even though there's two functions that could happen,
[1546.82s -> 1549.78s]  the signal handler is the one that's in this while loop
[1549.78s -> 1552.62s]  and the dad never has a chance to actually wake up
[1552.62s -> 1555.06s]  and see if the children have ended yet.
[1555.06s -> 1559.38s]  So yes, we broke this one by doing that fancy while loop.
[1559.38s -> 1561.02s]  We got to do something else, yeah.
[1561.02s -> 1563.86s]  So when it's running, when the signal handler is running,
[1563.86s -> 1566.18s]  it's running for the first child that returned.
[1566.30s -> 1569.86s]  It's like running on the call of the first child.
[1569.86s -> 1570.70s]  Yeah, the question is,
[1570.70s -> 1573.06s]  is the signal handler running on the call
[1573.06s -> 1574.58s]  of when the first child ends?
[1574.58s -> 1576.08s]  It could be the first or it's,
[1576.08s -> 1577.94s]  in this case it is the first,
[1577.94s -> 1579.90s]  because they're ending at different times.
[1579.90s -> 1582.70s]  It could be many ending at the same time calling at once
[1582.70s -> 1583.92s]  but in this case, yes.
[1583.92s -> 1587.66s]  The signal handler starts when the first child finishes
[1587.66s -> 1588.74s]  and then it doesn't,
[1588.74s -> 1590.66s]  it never leaves the signal handler
[1590.66s -> 1592.54s]  until all of them finish.
[1592.54s -> 1594.42s]  This is actually not good programming.
[1594.42s -> 1597.90s]  You want your signal handler to be fast.
[1597.90s -> 1600.90s]  If you did 107E, you know that's true about interrupts.
[1600.90s -> 1602.50s]  This is basically the same sort of thing.
[1602.50s -> 1604.78s]  You want your signal handler to be in and out
[1604.78s -> 1606.18s]  as fast as you can.
[1606.18s -> 1608.82s]  So you don't want to wait for all those other children.
[1608.82s -> 1610.34s]  Remember, the dad had a job to do.
[1610.34s -> 1612.54s]  The dad was supposed to wake up and say,
[1612.54s -> 1614.18s]  oh, I'm gonna see if all my children are back
[1614.18s -> 1617.66s]  but he couldn't until all the children got back, right?
[1617.66s -> 1619.20s]  So that's the big problem there.
[1619.20s -> 1620.04s]  Yeah.
[1620.04s -> 1622.62s]  The first child actually ended when the signal handler
[1622.62s -> 1624.80s]  is called or is it just right before it ends
[1624.80s -> 1627.04s]  because otherwise, wouldn't the wait PID
[1627.04s -> 1629.48s]  not be able to capture the first child?
[1629.48s -> 1631.36s]  No, no, good question.
[1631.36s -> 1634.92s]  Does the, is the wait PID called
[1634.92s -> 1636.68s]  before or after the child ends?
[1636.68s -> 1641.08s]  It is called because the child has ended, okay?
[1641.08s -> 1643.22s]  So in other words, read child gets called
[1643.22s -> 1645.26s]  when the child has ended
[1645.26s -> 1646.80s]  and it has not been cleaned up yet.
[1646.80s -> 1647.64s]  There's no wait PID.
[1647.64s -> 1649.68s]  So the operating system is basically saying,
[1650.20s -> 1651.16s]  oh, this child has ended.
[1651.16s -> 1653.68s]  Well, I'm gonna wait around until somebody cleans it up,
[1653.68s -> 1654.92s]  until the parent cleans it up.
[1654.92s -> 1658.80s]  And so it's in the process of being finished
[1658.80s -> 1660.72s]  but the child hasn't been cleaned up yet.
[1660.72s -> 1663.64s]  That's why it gets the PID returned at that point.
[1663.64s -> 1664.72s]  Yeah, question.
[1664.72s -> 1667.12s]  So the wait PID that happened on the kid's end
[1667.12s -> 1668.96s]  doesn't have time?
[1668.96s -> 1671.76s]  If we print it out here,
[1671.76s -> 1674.00s]  yeah, let's see what happens when we do that.
[1675.88s -> 1676.80s]  All right, what it's gonna do,
[1676.80s -> 1679.12s]  it's going to, when each child gets back,
[1679.44s -> 1681.36s]  it's going to just do that, right?
[1681.36s -> 1684.68s]  Because by the way, it's still inside the loop, right?
[1684.68s -> 1686.12s]  It's still inside that while loop,
[1686.12s -> 1687.44s]  not leaving that while loop.
[1687.44s -> 1689.16s]  I'll show it to you again.
[1689.16s -> 1691.80s]  And then we'll see, we'll let it finish here
[1691.80s -> 1694.06s]  and then we'll see, there we go.
[1694.06s -> 1697.10s]  Okay, so it's still in this while loop.
[1697.10s -> 1700.52s]  Remember, forever, true, while true.
[1700.52s -> 1704.96s]  It's in that while loop until wait PID returns
[1704.96s -> 1708.12s]  a negative number saying there are no more children left.
[1708.16s -> 1710.80s]  And in this case, that's really not what we'd like to do.
[1710.80s -> 1712.14s]  It's not the best coding style
[1712.14s -> 1715.52s]  because we're staying in that signal handler
[1715.52s -> 1716.60s]  until they all finish.
[1716.60s -> 1718.40s]  What if one was supposed to go on for days?
[1718.40s -> 1719.60s]  Well, the rest of the program
[1719.60s -> 1720.68s]  wouldn't be able to do anything.
[1720.68s -> 1722.60s]  So you shouldn't stay in the signal handler that long.
[1722.60s -> 1723.44s]  Yeah.
[1723.44s -> 1725.72s]  So if, when the other children
[1725.72s -> 1727.96s]  that are waiting for it to return,
[1727.96s -> 1729.00s]  when they do return,
[1729.00s -> 1730.32s]  do they call ReapChild again
[1730.32s -> 1731.92s]  because the signal says again?
[1731.92s -> 1733.28s]  Yeah, this is a good question.
[1733.28s -> 1737.28s]  When, I believe it does, as it turns out,
[1737.28s -> 1738.44s]  call ReapChild again.
[1738.44s -> 1739.84s]  Yeah, I mean, let's do that.
[1739.84s -> 1741.44s]  Let's find out.
[1741.44s -> 1742.48s]  Let's see if we can test this.
[1742.48s -> 1744.22s]  I'm not 100% sure this is gonna do anything,
[1744.22s -> 1745.54s]  but let's test this.
[1746.48s -> 1751.40s]  ReapChild just called, okay?
[1751.40s -> 1752.48s]  I think the question was,
[1752.48s -> 1755.40s]  what happens if they've been cleaned up in here?
[1755.40s -> 1757.86s]  Does another signal get generated?
[1757.86s -> 1758.78s]  I believe it will.
[1758.78s -> 1760.00s]  I'm not 100% sure.
[1760.00s -> 1761.20s]  Once it's cleaned up,
[1761.20s -> 1764.04s]  it might be removed from the, it probably is.
[1764.04s -> 1765.36s]  It's probably, once it's cleaned up,
[1765.36s -> 1767.38s]  it goes, oh, I don't need to send another signal
[1767.38s -> 1768.34s]  because it's been cleaned up.
[1768.34s -> 1769.64s]  I'm guessing that's the case.
[1769.64s -> 1771.48s]  Well, let's just find out.
[1771.48s -> 1773.20s]  Okay, let's see how many times it's,
[1773.20s -> 1775.82s]  so what we actually need to do here is,
[1776.88s -> 1779.56s]  we also need to,
[1779.56s -> 1780.84s]  let's say all children are accounted for.
[1780.84s -> 1782.74s]  Let's just see if there's any other issues,
[1782.74s -> 1784.72s]  maybe down here later.
[1784.72s -> 1785.96s]  So let's do another,
[1785.96s -> 1789.28s]  let's do another smooze for like three more seconds
[1789.28s -> 1790.64s]  or something like that.
[1790.64s -> 1792.88s]  Okay, make five children,
[1793.84s -> 1794.92s]  five children.
[1795.40s -> 1796.88s]  So,
[1797.84s -> 1799.52s]  boom, reap child just got called.
[1799.52s -> 1800.84s]  Now it's gonna be in reap child,
[1800.84s -> 1803.44s]  not calling it again until all five get done.
[1803.44s -> 1804.96s]  We know because it's in that while loop
[1804.96s -> 1807.68s]  and it's just gonna sit there and do that.
[1807.68s -> 1810.02s]  And it can't, you can't call the same signal
[1810.02s -> 1811.44s]  from inside, there it goes again.
[1811.44s -> 1812.80s]  It did get called again.
[1812.80s -> 1815.56s]  So, yeah, it looks like it got called for it once more
[1815.56s -> 1817.84s]  because all those children that triggered it.
[1817.84s -> 1818.68s]  So I was wrong.
[1818.68s -> 1820.50s]  It does get called at least one more time.
[1820.50s -> 1821.64s]  Now, it didn't matter
[1821.64s -> 1823.46s]  because what would go into that while loop
[1823.50s -> 1824.34s]  and it would immediately say,
[1824.34s -> 1825.82s]  there's no more children, goodbye.
[1825.82s -> 1826.66s]  And that's it.
[1826.66s -> 1828.50s]  So there's some logic there you have to handle.
[1828.50s -> 1829.34s]  Yeah.
[1829.34s -> 1831.22s]  The SIG parameter in reap child
[1831.22s -> 1833.50s]  not have any information about how many children
[1833.50s -> 1834.70s]  were called together.
[1834.70s -> 1835.94s]  Good question.
[1835.94s -> 1836.90s]  The signal parameter,
[1836.90s -> 1837.94s]  I'm gonna get rid of some of these things
[1837.94s -> 1840.52s]  because we're gonna change it again in a second.
[1840.52s -> 1844.96s]  The signal here, over here,
[1844.96s -> 1847.10s]  that parameter, all it says in this case
[1847.10s -> 1849.08s]  is that it's a SIG child.
[1849.08s -> 1850.06s]  That's the only thing it gives you.
[1850.06s -> 1851.46s]  It doesn't give you any other information.
[1851.46s -> 1852.38s]  Just says which signal,
[1852.42s -> 1854.02s]  you could ask which signal got called.
[1854.02s -> 1854.86s]  I mean, you basically look at it and go,
[1854.86s -> 1855.90s]  oh, is it the SIG child?
[1855.90s -> 1856.72s]  Yes.
[1856.72s -> 1857.56s]  That's it.
[1857.56s -> 1859.40s]  Maybe we want this to be an encompassing function
[1859.40s -> 1860.94s]  to capture many signals.
[1860.94s -> 1861.78s]  And maybe you wanna know
[1861.78s -> 1863.62s]  which signal actually triggered it.
[1863.62s -> 1864.72s]  So that's how you do that.
[1864.72s -> 1865.56s]  Yeah, Erin.
[1865.56s -> 1866.40s]  So in this case,
[1866.40s -> 1869.70s]  aren't all the child processes not created yet
[1869.70s -> 1871.54s]  with the reap child as called at the start?
[1871.54s -> 1873.30s]  So do we just like pause it?
[1873.30s -> 1874.14s]  Ah, be careful.
[1874.14s -> 1876.14s]  Do you mean reap child's called right here?
[1877.14s -> 1878.46s]  It is not called there.
[1878.46s -> 1880.86s]  This is just simply calling signal
[1880.86s -> 1882.92s]  with a function pointer to reap child,
[1882.92s -> 1885.18s]  saying that when a child ends,
[1885.18s -> 1886.92s]  that's when reap child gets called.
[1886.92s -> 1888.68s]  When the first one ends,
[1888.68s -> 1892.10s]  the rest of them still have a new key.
[1892.10s -> 1892.94s]  That's a good question.
[1892.94s -> 1894.50s]  It may be the case
[1894.50s -> 1896.54s]  that the rest of them haven't been created yet
[1896.54s -> 1897.46s]  by the time, you're right.
[1897.46s -> 1899.34s]  In this for loop here,
[1899.34s -> 1901.82s]  if we had made it sleep zero or no sleep at all,
[1901.82s -> 1904.26s]  then it might've jumped into the loop
[1904.26s -> 1905.10s]  and then it would have done it.
[1905.10s -> 1906.38s]  But it still would have worked okay
[1906.38s -> 1908.66s]  because let's say it didn't have any children
[1908.66s -> 1909.48s]  at that point.
[1909.48s -> 1910.32s]  It would have exited the reap child,
[1910.76s -> 1912.32s]  and then the next child would have gotten created
[1912.32s -> 1913.76s]  and it would have gone back and called.
[1913.76s -> 1915.32s]  So, I mean, it's not like anything would have broken
[1915.32s -> 1916.80s]  in that case, but you're right.
[1916.80s -> 1919.20s]  It could have been that we ended up in reap child
[1919.20s -> 1920.94s]  before any of the other children were created,
[1920.94s -> 1922.22s]  but it's still gonna get called later
[1922.22s -> 1925.40s]  when they do get created and then eventually finish.
[1927.54s -> 1929.44s]  Good, lots of good questions here.
[1929.44s -> 1930.54s]  I'm glad I'm going over this again,
[1930.54s -> 1932.32s]  or at least this part of it here.
[1932.32s -> 1937.32s]  Okay, so what do we want to do in this case?
[1937.82s -> 1939.56s]  So now we've got this problem here.
[1939.72s -> 1942.36s]  Remember, we've changed the behavior
[1942.36s -> 1945.12s]  by adding this while loop up here.
[1945.12s -> 1948.28s]  Okay, we've said, wait, block until all the children
[1948.28s -> 1950.74s]  are done, and if we've got five children outstanding,
[1950.74s -> 1952.00s]  then it's gonna sit there and block
[1952.00s -> 1953.12s]  until all the children are done,
[1953.12s -> 1953.96s]  and that's not what we want.
[1953.96s -> 1955.40s]  We want the signal handler to be in
[1955.40s -> 1956.96s]  and out really quickly.
[1956.96s -> 1958.92s]  That's the basic idea.
[1958.92s -> 1963.00s]  So it turns out that we will finally get a chance
[1963.00s -> 1966.96s]  to use this final parameter for wait PID.
[1966.96s -> 1969.04s]  Okay, this parameter, there's a bunch of flags
[1969.48s -> 1972.20s]  you can put in there, you just OR them together.
[1972.20s -> 1975.08s]  One of the flags that we care about,
[1975.08s -> 1976.72s]  and in fact, specifically for this,
[1976.72s -> 1981.72s]  is called wnohang, and wnohang is a flag that says,
[1984.92s -> 1987.64s]  wait for any child, except if there are none
[1987.64s -> 1990.04s]  that are finished, just return immediately
[1990.04s -> 1992.48s]  with a return value of zero.
[1992.48s -> 1996.52s]  So that means, a return value of zero means
[1996.52s -> 2000.88s]  that there are children remaining that have not ended yet,
[2002.00s -> 2004.16s]  but I'm gonna return now because I don't wanna block
[2004.16s -> 2006.28s]  on this, I don't wanna stick around waiting
[2006.28s -> 2008.24s]  for those in this while loop.
[2008.24s -> 2009.88s]  So the only other thing we have to change here
[2009.88s -> 2013.32s]  is we have to say, oh fine, if PID is less than
[2013.32s -> 2016.12s]  or equal to zero, because if the zero case,
[2016.12s -> 2020.32s]  there are still children, but they're still going,
[2020.32s -> 2022.76s]  so I'm not gonna stick around and try to wait for them.
[2022.76s -> 2025.58s]  I'm gonna come back later when they finish
[2026.06s -> 2028.14s]  and call this function.
[2028.14s -> 2029.64s]  That's what's going on here.
[2029.64s -> 2031.90s]  Let's try this and see if it works.
[2031.90s -> 2034.78s]  Five children, okay, five children.
[2034.78s -> 2036.34s]  So remember, now we've got this idea
[2036.34s -> 2037.86s]  where we want the dad to wake back up
[2037.86s -> 2039.30s]  after the first two children.
[2039.30s -> 2041.62s]  Oh, we got the reaped children.
[2041.62s -> 2043.06s]  I'll take that out so you can see
[2043.06s -> 2044.06s]  what's going on in a second here,
[2044.06s -> 2046.78s]  but you can see that dad's waking up now,
[2046.78s -> 2048.18s]  which is exactly what we wanted,
[2048.18s -> 2050.58s]  which is exactly what we had in the very first one,
[2050.58s -> 2053.06s]  but now we're doing it in a way that we can capture
[2053.06s -> 2056.42s]  in case some children end at exactly the same time,
[2056.42s -> 2057.82s]  or roughly the same time.
[2057.82s -> 2059.66s]  Okay, let me just run it again
[2059.66s -> 2062.62s]  without this line in there anymore,
[2062.62s -> 2066.86s]  and we'll just see it work in general.
[2069.14s -> 2071.78s]  What questions do you have about this,
[2071.78s -> 2073.62s]  the purpose of w no hang?
[2073.62s -> 2077.26s]  We will use that very often, okay?
[2077.26s -> 2080.28s]  And we'll use that because, specifically because,
[2080.28s -> 2082.70s]  we wanna keep our program going.
[2083.22s -> 2084.06s]  We don't wanna sit there and go,
[2084.06s -> 2084.90s]  oh, let's wait for the child,
[2084.90s -> 2085.74s]  let's wait around for the child,
[2085.74s -> 2087.06s]  let's do something else,
[2087.06s -> 2091.22s]  let the signal handler get called when the child ends
[2091.22s -> 2092.98s]  and deal with it at that point.
[2092.98s -> 2093.82s]  Question.
[2093.82s -> 2096.26s]  So basically the flag just says,
[2096.26s -> 2098.62s]  don't like stop the program anymore,
[2098.62s -> 2102.14s]  just deal with any children that have already ended,
[2102.14s -> 2103.58s]  whereas if we didn't have the flag,
[2103.58s -> 2105.82s]  we would just wait and remember.
[2105.82s -> 2107.90s]  Yeah, so the question is this flag,
[2107.90s -> 2111.42s]  or the comment is this flag w no hang,
[2111.46s -> 2114.64s]  it says to the wait PID function,
[2115.60s -> 2117.62s]  if there is a child that's ended,
[2117.62s -> 2119.78s]  return that PID and clean it up.
[2119.78s -> 2121.38s]  If any of the children have ended,
[2121.38s -> 2122.22s]  pick one of them,
[2122.22s -> 2123.92s]  clean it up and give me that PID back
[2123.92s -> 2126.42s]  so I can do whatever else I want with it.
[2126.42s -> 2129.52s]  If there are no children that have ended,
[2129.52s -> 2132.06s]  but there are still children out there,
[2132.06s -> 2132.98s]  don't wait for one,
[2132.98s -> 2134.54s]  like we've always done in the past,
[2134.54s -> 2135.94s]  just return zero and say,
[2135.94s -> 2137.02s]  look, they're still there,
[2137.02s -> 2137.86s]  but I'm not gonna wait.
[2137.86s -> 2139.26s]  You asked me not to wait for them.
[2139.26s -> 2140.70s]  That's what it's doing.
[2141.18s -> 2142.00s]  Question.
[2142.00s -> 2143.86s]  Can you call this 10 minutes after the process dies?
[2143.86s -> 2145.34s]  Like is there a queue somewhere
[2145.34s -> 2150.02s]  for processes that need to be cleaned up?
[2150.02s -> 2151.40s]  Well, so the question is,
[2151.40s -> 2153.10s]  is there a queue or process that needs to be cleaned up?
[2153.10s -> 2155.74s]  Yes, I mean, it's operating system specific,
[2155.74s -> 2157.34s]  and I don't know exactly how Linux does it,
[2157.34s -> 2160.10s]  but the operating system is part of this whole game.
[2160.10s -> 2161.30s]  When the child ends,
[2161.30s -> 2162.38s]  the operating system says,
[2162.38s -> 2166.28s]  oh, okay, I owe the parent a signal,
[2166.28s -> 2168.42s]  and it sends the signal whenever that child ends.
[2168.42s -> 2170.38s]  Now, if the parent has already ended,
[2170.94s -> 2171.98s]  well then, you don't want that,
[2171.98s -> 2173.38s]  but in this case, the parent,
[2173.38s -> 2174.78s]  we've made it so the parent will not end
[2174.78s -> 2176.18s]  until all the children end.
[2176.18s -> 2177.58s]  But yeah, that's kind of what's happening.
[2177.58s -> 2178.50s]  The operating system's saying,
[2178.50s -> 2181.54s]  ah, I'm gonna build up a little queue of ended children,
[2181.54s -> 2184.86s]  and then I'll call wait PID when I need to.
[2184.86s -> 2185.98s]  Lots of other questions.
[2185.98s -> 2186.82s]  Yeah.
[2186.82s -> 2189.42s]  So is ReapChild still called to time only,
[2189.42s -> 2191.74s]  or is it a time?
[2191.74s -> 2192.56s]  Good question.
[2192.56s -> 2193.66s]  We don't know how many times
[2193.66s -> 2195.82s]  ReapChild is called in general.
[2195.82s -> 2198.34s]  In this case, because they're staggered,
[2198.34s -> 2199.30s]  three seconds, three seconds,
[2199.30s -> 2200.20s]  three seconds, three seconds,
[2200.88s -> 2201.72s]  it's called five times,
[2201.72s -> 2203.84s]  because there aren't two that end at the same time.
[2203.84s -> 2207.16s]  Any time two or more will end at the same time,
[2207.16s -> 2208.68s]  it could only get called once,
[2208.68s -> 2210.68s]  and that's why you have to handle them all inside that,
[2210.68s -> 2213.10s]  because you may not get another call later.
[2213.10s -> 2215.26s]  And it's just a race condition
[2215.26s -> 2217.12s]  that's kind of built into the operating system,
[2217.12s -> 2218.70s]  and this is the way they've said,
[2218.70s -> 2221.96s]  look, you have to plan for if ReapChild gets called,
[2221.96s -> 2224.24s]  maybe more than one child has ended,
[2224.24s -> 2225.08s]  you better deal with that,
[2225.08s -> 2227.54s]  because we're not gonna call it again in that case.
[2227.54s -> 2228.38s]  Yeah.
[2228.86s -> 2230.82s]  So if we do go back to when multiple,
[2230.82s -> 2233.14s]  say like two can finish at the same time.
[2233.14s -> 2234.98s]  Well, two can finish at the same time, yeah.
[2234.98s -> 2238.90s]  Then this could only get called once or those two,
[2238.90s -> 2241.90s]  and you'd get two PIDs,
[2241.90s -> 2243.82s]  like you'd go through the while loop twice,
[2243.82s -> 2245.34s]  and then be done.
[2245.34s -> 2246.82s]  Correct, you would go through the,
[2246.82s -> 2249.38s]  so yes, if two ended at the same time,
[2249.38s -> 2251.74s]  you would end up getting called once, probably,
[2251.74s -> 2253.14s]  and then it would go,
[2253.14s -> 2254.78s]  then this while loop here
[2254.78s -> 2257.02s]  would go through both of them,
[2257.02s -> 2259.00s]  and clean both of them up,
[2259.00s -> 2262.98s]  and then find out that none of the others have finished,
[2262.98s -> 2265.68s]  return zero, and then you return from the function.
[2265.68s -> 2266.52s]  Yeah.
[2266.52s -> 2268.42s]  What is null in this case?
[2268.42s -> 2270.90s]  Null in this case, remember this was the status,
[2270.90s -> 2272.66s]  so we could have done,
[2272.66s -> 2275.14s]  in fact, you normally should do something like this,
[2275.14s -> 2280.14s]  status, and then you paste in status like that,
[2281.14s -> 2283.12s]  and it gives you more information.
[2283.12s -> 2285.10s]  What was the return value of the child?
[2285.10s -> 2286.66s]  Did it end abnormally?
[2287.62s -> 2288.86s]  There's lots of information,
[2288.86s -> 2290.50s]  some more information you can get from that.
[2290.50s -> 2292.66s]  What status did it, how did it end?
[2292.66s -> 2294.62s]  Did it, was it stopped, or rather,
[2294.62s -> 2296.70s]  did it end, or was it stopped, or was it continued?
[2296.70s -> 2298.90s]  That gives you more information about that.
[2298.90s -> 2299.94s]  Good questions.
[2299.94s -> 2300.78s]  Yeah.
[2300.78s -> 2302.38s]  Could you run this without the,
[2302.38s -> 2305.82s]  inside the kids, instead of just us three?
[2305.82s -> 2308.22s]  Could I run it without which?
[2308.22s -> 2311.30s]  Now you have to see three times kids.
[2311.30s -> 2312.80s]  Oh, yeah, you want me to run it without the,
[2312.80s -> 2314.20s]  so they all end at the same time.
[2314.20s -> 2315.04s]  Sure.
[2316.04s -> 2319.34s]  Let's see, so if they all end at the same time,
[2320.84s -> 2323.72s]  you do that, and,
[2326.56s -> 2327.40s]  let's see.
[2327.40s -> 2328.48s]  Okay, so remember, they're all gonna go boom,
[2328.48s -> 2330.92s]  and end after three seconds or whatever, right?
[2330.92s -> 2333.64s]  Boom, they all ended, dad finally wakes up,
[2333.64s -> 2335.78s]  and says, oh, they've all ended, we're done,
[2335.78s -> 2338.00s]  and they got handled inside that.
[2338.00s -> 2338.84s]  Good question.
[2340.08s -> 2340.92s]  Right.
[2341.92s -> 2343.92s]  That's a lot of, that's a lot of stuff
[2343.92s -> 2345.28s]  packed into one program,
[2345.28s -> 2347.08s]  a lot of different things going on,
[2347.08s -> 2349.04s]  but what we've learned now is,
[2349.04s -> 2352.12s]  well, these signal handlers have some nuance to them,
[2352.12s -> 2356.28s]  they have some, they have this ability to get called,
[2356.28s -> 2358.90s]  but sometimes it's a little bit odd,
[2358.90s -> 2361.58s]  because two things could kind of call it at the same time,
[2361.58s -> 2363.02s]  so that's nuanced.
[2363.02s -> 2366.46s]  We've got wait PID, which will wait for any children,
[2366.46s -> 2368.56s]  and you can use negative one for the first parameter
[2368.56s -> 2370.32s]  to wait for any of the children,
[2370.40s -> 2372.92s]  and now we've said, yeah, but what if we don't want you
[2372.92s -> 2374.76s]  to block and wait for that child,
[2374.76s -> 2376.16s]  we want you to just return immediately,
[2376.16s -> 2378.30s]  and we capture the information about that,
[2378.30s -> 2381.22s]  saying, oh, there's no, if it's zero,
[2381.22s -> 2383.24s]  there are children still remaining
[2383.24s -> 2385.32s]  that have not been captured yet, okay?
[2385.32s -> 2388.60s]  Now, we didn't care if it was children still remaining,
[2388.60s -> 2390.72s]  or all the children are done,
[2390.72s -> 2393.24s]  because we just know that we're counting correctly,
[2393.24s -> 2395.08s]  so ReapChild will get called again
[2395.08s -> 2396.40s]  if we haven't counted,
[2396.40s -> 2398.00s]  or if all the children are still remaining,
[2398.00s -> 2400.68s]  just because the parent program,
[2400.68s -> 2402.60s]  or the parent part of the process
[2402.60s -> 2406.58s]  is kind of doing its own thing, okay?
[2407.62s -> 2410.32s]  All right, I know there's a lot going on there,
[2410.32s -> 2413.24s]  but do ask more questions,
[2413.24s -> 2415.16s]  and feel free to go run the code yourself
[2415.16s -> 2416.76s]  if you want to, you can download it.
[2416.76s -> 2418.32s]  I didn't put it in the slideshow today,
[2418.32s -> 2419.96s]  I'm not sure if that screwed up my tablet or not,
[2419.96s -> 2423.24s]  but the other day, I'll try that again in the future.
[2423.24s -> 2425.24s]  So anyway, we went through all these different cases,
[2425.24s -> 2428.12s]  so I don't think we need to redo these,
[2428.12s -> 2430.20s]  because we did them kind of as we go along,
[2430.20s -> 2432.04s]  but feel free to read the slides about that.
[2432.04s -> 2435.48s]  It's just basically going through exactly what we did live
[2435.48s -> 2438.64s]  and you saw that we had some various cases
