# Detected language: en (p=1.00)

[0.00s -> 1.48s]  Hello, hello.
[1280.82s -> 1284.82s]  and allows you to go to the next one
[1284.82s -> 1287.70s]  in the line of whatever you're iterating through.
[1287.70s -> 1288.58s]  That's what it does.
[1288.58s -> 1290.98s]  You will be able to learn those sorts of things.
[1290.98s -> 1292.18s]  This is what this week is all about.
[1292.18s -> 1293.46s]  Oh, I don't know what an iterator is yet.
[1293.46s -> 1295.06s]  Let me learn what it is.
[1295.06s -> 1296.90s]  Once you have figured all that out,
[1296.90s -> 1300.18s]  well, you're able to search through this database.
[1300.18s -> 1301.96s]  Well, now you actually have to link
[1301.96s -> 1304.36s]  actor one to actor two.
[1304.36s -> 1305.26s]  Well, how are you gonna do that?
[1305.26s -> 1306.64s]  You're gonna do a breadth first search.
[1306.64s -> 1308.60s]  Ah, more 106B stuff.
[1308.60s -> 1309.56s]  Right, you're gonna have to remember
[1309.56s -> 1310.72s]  how to do a breadth first search.
[1310.72s -> 1311.76s]  I'll give you a hint.
[1311.76s -> 1313.42s]  You probably wanna use a queue
[1313.42s -> 1316.20s]  or in our case a list which is a queue
[1316.20s -> 1318.32s]  by another name as such.
[1318.32s -> 1321.68s]  So those are the big things about the assignment, okay?
[1322.92s -> 1324.36s]  Now let's talk a little bit more
[1324.36s -> 1327.40s]  about this lower bound for a couple minutes.
[1327.40s -> 1330.12s]  The assignment itself says I am requiring
[1330.12s -> 1332.28s]  that you use the STL lower bound algorithm.
[1332.28s -> 1334.12s]  Oh great, so you gotta use that
[1334.12s -> 1335.96s]  to perform binary searches
[1336.24s -> 1339.44s]  and that you use C++ lambdas,
[1339.44s -> 1342.20s]  also known as anonymous functions
[1342.20s -> 1344.60s]  with capture clauses to provide
[1344.60s -> 1346.00s]  nameless comparison functions.
[1346.00s -> 1346.92s]  And you're thinking to yourself,
[1346.92s -> 1348.80s]  I have never seen that before, right?
[1348.80s -> 1349.72s]  And we haven't even learned it yet.
[1349.72s -> 1350.88s]  Well, I'm gonna talk to you
[1350.88s -> 1352.32s]  a little bit about that right now.
[1352.32s -> 1357.32s]  A C++ lambda is, it's a new concept probably,
[1358.32s -> 1360.88s]  although if you've done any JavaScript,
[1360.88s -> 1362.20s]  you have certainly used these before,
[1362.20s -> 1363.12s]  although you might not have known
[1363.12s -> 1365.00s]  what they were called.
[1365.00s -> 1367.16s]  And what it is, it's a function
[1367.16s -> 1371.00s]  that is placed in line as a parameter
[1371.00s -> 1373.48s]  to another function, okay?
[1373.48s -> 1376.72s]  Which expects the parameter itself to be a function,
[1376.72s -> 1378.40s]  so it's kind of inception, right?
[1378.40s -> 1383.40s]  You did all this in 107 with function pointers, okay?
[1383.52s -> 1384.56s]  So if you remember 107,
[1384.56s -> 1386.32s]  you talked about function pointers.
[1386.32s -> 1390.08s]  This is a function pointer that's in line
[1390.08s -> 1393.96s]  and not like another function that you're setting up, okay?
[1393.96s -> 1394.80s]  So for instance,
[1394.80s -> 1397.72s]  you remember the qsort function from 107, right?
[1397.72s -> 1402.72s]  The last parameter in here is a, oops, it's not good,
[1403.04s -> 1407.36s]  is a comparison function that you have to define
[1407.36s -> 1409.96s]  and you pass it in to qsort, okay?
[1409.96s -> 1412.72s]  Qsort has no idea how that function works.
[1412.72s -> 1414.40s]  It just knows that I have two pointers
[1414.40s -> 1415.24s]  that I'm gonna pass into this function
[1415.24s -> 1417.64s]  and I'm gonna get back which one's the,
[1417.64s -> 1419.66s]  I'm gonna get back a zero, a negative one, or a one
[1419.66s -> 1421.84s]  to say whether it's small or bigger or the same.
[1421.84s -> 1423.52s]  It's all it knows, right?
[1424.04s -> 1425.92s]  And that's what function pointers are all about.
[1425.92s -> 1428.84s]  You give this other function the function pointer
[1428.84s -> 1431.82s]  that says, hey, I'm gonna do something for you, use it.
[1431.82s -> 1434.56s]  That's all it is, okay?
[1434.56s -> 1437.26s]  That's what that's all about, okay?
[1437.26s -> 1440.20s]  Let's look at a little program about this, okay?
[1440.20s -> 1443.08s]  I just made up some dumb program to do the following,
[1443.08s -> 1443.92s]  okay?
[1443.92s -> 1446.64s]  In this program, okay, I created two,
[1446.64s -> 1447.96s]  well, let's start with this one.
[1447.96s -> 1452.48s]  I created a function called ModifyVec and what it does,
[1452.48s -> 1456.90s]  we're now in C++ land, so it takes in a C++ vector
[1456.90s -> 1458.68s]  by reference, okay?
[1458.68s -> 1463.40s]  It takes in a value and it takes in this
[1463.40s -> 1466.68s]  which is C++ for function pointer.
[1466.68s -> 1467.96s]  You can think of it that way, okay?
[1467.96s -> 1471.00s]  What it is is it says, give me a function
[1471.00s -> 1475.04s]  that returns an integer and takes two integers
[1475.04s -> 1477.16s]  as parameters, okay?
[1477.16s -> 1479.96s]  And what it's gonna do is it's going to basically
[1479.96s -> 1483.84s]  loop through the vector and then pass in
[1483.84s -> 1487.76s]  that vector element, a reference to it as it turns out,
[1487.76s -> 1489.72s]  and the, well, it's actually gonna,
[1489.72s -> 1491.62s]  it gets a reference out.
[1491.62s -> 1493.00s]  It's going to pass in the value,
[1493.00s -> 1497.48s]  it's going to pass in the value in the vector
[1497.48s -> 1500.06s]  and then it's going to apply that operation to it.
[1500.06s -> 1500.90s]  That's all it's doing.
[1500.90s -> 1504.72s]  It's basically updating the vector with new values
[1504.72s -> 1506.60s]  based on some operation, okay?
[1506.60s -> 1508.12s]  Well, what are the two operations I did?
[1508.14s -> 1509.68s]  I happen to make one called add,
[1509.68s -> 1513.96s]  which basically returns X plus Y when you pass it in.
[1513.96s -> 1514.80s]  Pretty simple.
[1514.80s -> 1517.08s]  And then subtract, which does X minus Y.
[1517.08s -> 1519.32s]  That's all it does, okay?
[1519.32s -> 1522.60s]  Well, what are we actually doing in main?
[1523.86s -> 1527.32s]  We are getting some stuff out of the command line
[1527.32s -> 1529.98s]  and then we are creating a vector
[1529.98s -> 1534.00s]  and then calling the operator
[1534.00s -> 1537.32s]  inside this modify vector function, okay?
[1537.32s -> 1540.12s]  I'm saying modify the vector, pass in the vector,
[1540.12s -> 1542.16s]  pass in the value that I'm typing on the command line
[1542.16s -> 1546.64s]  to do the operation with, and then the function itself.
[1546.64s -> 1547.48s]  Okay?
[1547.48s -> 1549.40s]  A key part of this
[1549.40s -> 1554.10s]  is that when you call this modifyVec function,
[1554.10s -> 1557.00s]  even though add is a function itself,
[1557.00s -> 1559.68s]  it is not getting called immediately.
[1560.60s -> 1562.52s]  That's a key, key part of this.
[1562.52s -> 1565.36s]  When you say modifyVec and you pass in parameter one,
[1565.36s -> 1566.92s]  parameter two, parameter three,
[1567.48s -> 1569.56s]  this is a parameter that is not being called
[1569.56s -> 1572.92s]  until modifyVec actually calls it directly.
[1573.84s -> 1576.24s]  Okay, that's how that's working.
[1576.24s -> 1577.96s]  Okay, and you can test it out
[1577.96s -> 1581.64s]  by saying function pointer add 12,
[1581.64s -> 1584.14s]  and what we'll do is we'll take the one, two, three,
[1584.14s -> 1586.36s]  four, five, 10, 100,000,
[1586.36s -> 1589.94s]  and add 12 to each one of those and print them out.
[1589.94s -> 1590.78s]  Okay?
[1590.78s -> 1593.54s]  This should look very familiar from CS107.
[1593.54s -> 1595.68s]  Okay, if it's not, if you're a little rusty on that,
[1595.68s -> 1597.24s]  okay, take a look at the example,
[1597.24s -> 1598.10s]  figure out how it works,
[1598.10s -> 1601.24s]  and ask questions about it if you've got them.
[1601.24s -> 1602.68s]  Okay?
[1602.68s -> 1604.40s]  But the important part is
[1604.40s -> 1607.32s]  here's where you're passing in a function pointer.
[1608.24s -> 1609.08s]  Okay?
[1609.08s -> 1612.52s]  Now, let's rewrite this as,
[1612.52s -> 1615.96s]  or using this weird thing called a lambda function.
[1615.96s -> 1616.80s]  Okay?
[1616.80s -> 1618.18s]  Everything is the same,
[1618.18s -> 1622.24s]  except for this from right here
[1622.24s -> 1624.00s]  to right here,
[1624.00s -> 1625.80s]  and then the same thing on the next line.
[1625.80s -> 1627.56s]  What's happening here is,
[1627.56s -> 1628.92s]  we are saying, okay, great,
[1628.92s -> 1631.00s]  passing the vector, passing that value,
[1631.00s -> 1633.48s]  and then passing this weird thing,
[1633.48s -> 1635.56s]  which actually has code
[1635.56s -> 1639.56s]  inside the function parameter itself.
[1639.56s -> 1640.96s]  Seems kind of weird,
[1640.96s -> 1642.68s]  but it's just inline code
[1642.68s -> 1645.72s]  that's going to return x plus y
[1645.72s -> 1649.84s]  for parameters x and y.
[1649.84s -> 1650.68s]  Okay?
[1650.68s -> 1651.56s]  Exactly the same thing,
[1651.76s -> 1653.36s]  except notice I do not have an add
[1653.36s -> 1655.04s]  and subtract program up here,
[1655.04s -> 1656.16s]  or function up here.
[1656.16s -> 1658.88s]  I have just done the exact same thing in line.
[1658.88s -> 1661.08s]  That's what a lambda allows you to do.
[1661.08s -> 1662.12s]  Okay?
[1662.12s -> 1663.92s]  A lambda does the following,
[1663.92s -> 1666.20s]  it has the following signature.
[1666.20s -> 1667.36s]  It has a curly,
[1667.36s -> 1668.64s]  or a,
[1668.64s -> 1669.82s]  it's a little hard to see here.
[1669.82s -> 1671.64s]  It has two square brackets,
[1671.64s -> 1672.90s]  and something can go in there,
[1672.90s -> 1674.32s]  we'll talk about that in a minute.
[1674.32s -> 1677.68s]  It has a parameter list,
[1677.68s -> 1678.60s]  parameter list,
[1678.72s -> 1680.48s]  and then it has some code
[1680.48s -> 1682.00s]  that's in curly braces.
[1682.00s -> 1682.84s]  Okay?
[1682.84s -> 1685.96s]  That is a function that gets passed into
[1685.96s -> 1688.64s]  the other function as a parameter itself.
[1688.64s -> 1689.48s]  Okay?
[1689.48s -> 1690.48s]  It does not have a name associated with it,
[1690.48s -> 1691.32s]  doesn't need one,
[1691.32s -> 1692.16s]  it's right in line.
[1693.20s -> 1694.04s]  Okay?
[1694.04s -> 1695.50s]  And this is exactly what will happen,
[1695.50s -> 1697.70s]  it's exact same program now.
[1697.70s -> 1698.54s]  Okay?
[1698.54s -> 1699.36s]  All right,
[1699.36s -> 1700.20s]  we'll talk about what this weird thing
[1700.20s -> 1702.68s]  in this square brackets are for a second.
[1702.68s -> 1704.12s]  Ponder that for a second.
[1704.12s -> 1707.58s]  What questions do you have about it so far?
[1707.58s -> 1709.22s]  You may not have enough time to think through yet,
[1709.22s -> 1711.84s]  but questions do you have about it so far?
[1711.84s -> 1712.68s]  Yeah?
[1712.68s -> 1714.18s]  What is the advantage of a lambda
[1714.18s -> 1716.98s]  if you like to write it in line?
[1716.98s -> 1717.98s]  Yeah, good question.
[1717.98s -> 1718.82s]  The question was,
[1718.82s -> 1719.64s]  what's the advantage of this
[1719.64s -> 1720.98s]  is the advantage that you can write it in line.
[1720.98s -> 1721.94s]  That is one advantage.
[1721.94s -> 1723.26s]  Normally these functions are short,
[1723.26s -> 1724.10s]  they're right there,
[1724.10s -> 1725.42s]  you can look at them right there,
[1725.42s -> 1726.30s]  that's great.
[1726.30s -> 1728.30s]  Another advantage which we will come up to
[1728.30s -> 1729.84s]  is the big advantage,
[1729.84s -> 1731.34s]  is the fact that you can do things
[1731.34s -> 1733.12s]  with landers you can't do with function pointers,
[1733.12s -> 1734.38s]  and we'll get to that in a minute.
[1734.38s -> 1735.22s]  But yeah,
[1735.22s -> 1736.04s]  for now I just wanted to introduce it
[1736.04s -> 1736.88s]  in this kind of,
[1737.04s -> 1738.52s]  it's exactly the same as before,
[1738.52s -> 1740.48s]  next we'll go into what is new.
[1740.48s -> 1743.78s]  What other questions do you have about that so far?
[1747.60s -> 1749.08s]  Okay, if you are like,
[1749.08s -> 1750.16s]  oh I haven't seen this before,
[1750.16s -> 1751.40s]  take a look at it again,
[1751.40s -> 1752.28s]  and we'll get there.
[1752.28s -> 1753.10s]  Now,
[1754.60s -> 1757.28s]  it turns out, okay,
[1757.28s -> 1758.76s]  what if, or I should say,
[1758.76s -> 1763.76s]  what if we want to actually utilize variables
[1763.80s -> 1766.84s]  that we don't want to explicitly pass
[1767.68s -> 1768.50s]  into the function?
[1768.50s -> 1770.44s]  And it's not necessarily just a variable,
[1770.44s -> 1773.56s]  we could actually have a function call
[1773.56s -> 1775.36s]  inside our Lambda function
[1775.36s -> 1777.34s]  that might use something local
[1777.34s -> 1779.80s]  to the original calling function.
[1779.80s -> 1782.04s]  Let me show you what I mean, okay?
[1782.04s -> 1783.84s]  This is what we originally had, right?
[1783.84s -> 1787.18s]  We had a function here which took in two things,
[1787.18s -> 1789.02s]  it took in a value,
[1789.02s -> 1789.86s]  and it took in,
[1789.86s -> 1792.18s]  or it took in two values, okay?
[1792.18s -> 1794.56s]  One of those values is coming from this vector,
[1794.56s -> 1796.72s]  the other one we pass into the function.
[1797.56s -> 1798.56s]  That's like the 12 that would add 12
[1798.56s -> 1803.00s]  to each one of the elements in the vector, okay?
[1803.00s -> 1806.20s]  But what if we wanted to change it to say,
[1806.20s -> 1809.56s]  I only want to deal in my function here
[1809.56s -> 1812.92s]  with the actual vector element itself?
[1812.92s -> 1815.90s]  I don't want to pass another element through
[1815.90s -> 1818.48s]  using these function parameters, okay?
[1818.48s -> 1819.72s]  This, as it turns out,
[1819.72s -> 1821.02s]  will be very hard to do,
[1821.02s -> 1822.96s]  in fact, I don't even know if I know how I would do it,
[1822.96s -> 1827.56s]  with a regular old function pointer, okay?
[1827.56s -> 1829.28s]  And I'll show you the example in a second.
[1829.28s -> 1832.36s]  It turns out we want modify vector in this case
[1832.36s -> 1836.20s]  to also handle the value that we are updating by.
[1836.20s -> 1838.40s]  In other words, we want the function
[1838.40s -> 1840.92s]  that calls modify vector to handle that
[1840.92s -> 1844.72s]  before it even gets to our modify vector function.
[1844.72s -> 1847.92s]  We want to pre-line up what we've got there.
[1847.92s -> 1849.56s]  That would be really hard to do
[1849.56s -> 1852.72s]  with a function pointer,
[1852.72s -> 1855.80s]  with a Lambda function, it is actually possible, okay?
[1855.80s -> 1859.08s]  Here's how you might do it, okay?
[1859.08s -> 1860.48s]  Here's what I've done differently now.
[1860.48s -> 1862.00s]  I have changed this up here,
[1862.00s -> 1865.48s]  so basically the function now simply says,
[1865.48s -> 1869.14s]  give me a vector element and I will do my operation
[1869.14s -> 1871.14s]  with some other value on it.
[1871.14s -> 1874.24s]  And our modify vector function is really easy,
[1874.24s -> 1876.76s]  all it needs to know is get an element out of the vector,
[1876.76s -> 1879.60s]  pass it on to this operation function, and it's done.
[1879.60s -> 1881.64s]  And then it'll do the rest of it for us.
[1881.64s -> 1883.40s]  But it still does add that.
[1883.40s -> 1886.80s]  Well, down here, what I've said was, okay,
[1886.80s -> 1889.68s]  and this is now the important part here, okay?
[1889.68s -> 1893.64s]  I have said, all right, pass into modify vector,
[1893.64s -> 1895.64s]  the vector we're trying to change,
[1895.64s -> 1900.64s]  and then the following Lambda function, okay?
[1901.36s -> 1905.62s]  Which is this, it says, only take one parameter, x,
[1905.62s -> 1910.48s]  but use the value of, called val,
[1910.48s -> 1913.88s]  from the scope of this function,
[1913.88s -> 1917.28s]  in the modify vec function, okay?
[1917.28s -> 1918.12s]  How is it gonna do that?
[1918.12s -> 1920.92s]  It's gonna say return x plus that value.
[1920.92s -> 1923.56s]  In other words, I am not sending val
[1923.56s -> 1927.16s]  as a parameter to modify vec anymore, okay?
[1927.16s -> 1928.64s]  So that's what's happening here.
[1928.64s -> 1932.52s]  The way this works is through this idea of captures, okay?
[1932.52s -> 1936.92s]  And a capture says, put something inside
[1936.92s -> 1940.32s]  those square brackets that are local variables
[1941.00s -> 1942.32s]  or variables in scope anyway,
[1942.32s -> 1945.32s]  that you want to pass to the lambda function
[1948.56s -> 1952.10s]  that will get used in some other function, okay?
[1952.10s -> 1954.84s]  In this case, I'm just passing in val,
[1954.84s -> 1957.70s]  and then we're saying int x is the,
[1957.70s -> 1959.60s]  and then we're saying in here,
[1959.60s -> 1964.60s]  return x plus val semicolon and curly brace like that.
[1965.08s -> 1966.64s]  That's what we're doing inside that function,
[1966.64s -> 1967.72s]  and it allows you to do that.
[1967.72s -> 1969.12s]  Now, you might still say,
[1969.16s -> 1971.32s]  well, it doesn't seem like it's that much different.
[1971.32s -> 1973.12s]  It turns out that it's, well,
[1973.12s -> 1974.36s]  it would be almost impossible to do this
[1974.36s -> 1976.00s]  with a regular function pointer, number one.
[1976.00s -> 1979.44s]  And number two, it's even more difficult to do
[1979.44s -> 1981.40s]  if you are in a class function
[1981.40s -> 1984.72s]  trying to call a non-class function, okay?
[1984.72s -> 1986.24s]  It's just really hard to do,
[1986.24s -> 1988.20s]  especially if that non-class function
[1988.20s -> 1991.40s]  expects something already handled for you
[1991.40s -> 1995.36s]  that isn't part of the parameter list already, okay?
[1995.36s -> 1999.04s]  So that's a lot to kind of think about right now.
[1999.80s -> 2000.80s]  By the way, there are lots of ways
[2000.80s -> 2002.00s]  to capture multiple variables.
[2002.00s -> 2003.62s]  You can capture multiple variables
[2003.62s -> 2006.92s]  by putting them in a list like value one,
[2006.92s -> 2009.38s]  value two, et cetera.
[2009.38s -> 2012.88s]  You can also capture them by reference,
[2012.88s -> 2014.88s]  which unfortunately looks just like a pointer,
[2014.88s -> 2017.28s]  but it's not in this case, or an address, rather.
[2017.28s -> 2018.76s]  But if you said a up or sand val,
[2018.76s -> 2021.64s]  it would pass the value by reference,
[2021.64s -> 2024.82s]  so you're actually changing the original one.
[2024.82s -> 2027.68s]  You would do this with big data structures and so forth.
[2027.68s -> 2029.32s]  Now, the reason I'm bringing all this up
[2029.32s -> 2030.52s]  and showing you how to do this
[2030.52s -> 2033.72s]  is that you do have to do it for this assignment
[2033.72s -> 2037.64s]  in a particular place using that lower bound function.
[2037.64s -> 2039.28s]  And go back to the notes here and go,
[2039.28s -> 2041.16s]  oh, how is this stuff actually working?
[2041.16s -> 2043.66s]  Understand these, then you'll be able to figure out
[2043.66s -> 2045.04s]  how to do the one for the assignment.
[2045.04s -> 2045.88s]  Yeah?
[2045.88s -> 2049.42s]  Can you explain again why you can't just pass in,
[2049.42s -> 2051.08s]  or why it's so hard to do
[2051.08s -> 2053.20s]  what you're trying to do here with the function?
[2053.20s -> 2055.04s]  Yeah, so let's think about what we're trying to do.
[2055.04s -> 2056.30s]  If we have a function that says,
[2056.30s -> 2060.08s]  okay, you are gonna give me a function pointer,
[2061.22s -> 2064.22s]  in this case, just a function, kind of lambda function,
[2064.22s -> 2067.60s]  but a function pointer that only has one value,
[2067.60s -> 2072.18s]  but that value is contingent on something else happening
[2072.18s -> 2074.12s]  in the original calling function.
[2074.12s -> 2078.74s]  In other words, this val variable.
[2078.74s -> 2081.94s]  If I can't pass that in to the function up here,
[2081.94s -> 2085.46s]  how would this modifyVec do that
[2085.50s -> 2087.98s]  unless I was able to pass in another variable?
[2089.46s -> 2090.90s]  I obviously could have done it
[2090.90s -> 2092.38s]  with passing that other variable in,
[2092.38s -> 2094.38s]  but they don't do it for things like lower bound.
[2094.38s -> 2097.14s]  They say, here's the function signature.
[2097.14s -> 2099.50s]  You get one variable, or you get one function
[2099.50s -> 2101.26s]  to pass in with one parameter.
[2101.26s -> 2102.50s]  You don't get any other parameters.
[2102.50s -> 2103.50s]  And you go, well, wait a minute.
[2103.50s -> 2104.66s]  I need two parameters for this.
[2104.66s -> 2105.86s]  How am I gonna pass the other one?
[2105.86s -> 2107.14s]  How am I gonna deal with the other one?
[2107.14s -> 2109.34s]  You do it through the lambda function.
[2109.34s -> 2111.74s]  Okay, you say, oh, I'll handle it locally.
[2111.74s -> 2114.18s]  Capture that variable I'm gonna need.
[2114.18s -> 2116.90s]  Tell the function what to do with that variable.
[2116.90s -> 2118.68s]  And then when that whole function gets passed
[2118.68s -> 2120.70s]  into the other function, it all gets handled
[2120.70s -> 2124.12s]  as if it was, it all gets handled as a black box
[2124.12s -> 2126.82s]  to the original function, or the one you're calling.
[2126.82s -> 2129.26s]  So these things are subtle.
[2129.26s -> 2130.74s]  But you'll see later, in fact,
[2130.74s -> 2132.94s]  when you start to write the assignment,
[2132.94s -> 2134.08s]  you'll get to this point and go,
[2134.08s -> 2135.54s]  I guess I could use a regular function point,
[2135.54s -> 2136.90s]  and you'll go, oh, I can't.
[2136.90s -> 2138.30s]  Just won't work that way.
[2138.30s -> 2140.66s]  So that's where it's gonna come into play.
[2140.66s -> 2142.66s]  What other questions do you have on this?
[2144.78s -> 2145.62s]  No?
[2145.62s -> 2147.26s]  Okay, look at this stuff again.
[2147.26s -> 2149.10s]  There are lots of documentation on it.
[2149.10s -> 2151.42s]  And certainly feel free to come to Office Hours
[2151.42s -> 2152.62s]  to look at it as well.
[2154.14s -> 2156.96s]  All right, what other comments do we have on here?
[2156.96s -> 2158.82s]  They are critical for C++ classes.
[2158.82s -> 2162.10s]  As I said, class method variables,
[2162.10s -> 2164.80s]  you actually can't pass them by reference at all
[2164.80s -> 2167.74s]  to other functions no matter how you do it.
[2167.74s -> 2170.26s]  So that's gonna be, you're necessary
[2170.26s -> 2172.74s]  to use the lambda functions.
[2172.74s -> 2177.74s]  You can capture all of the variables in a class
[2178.22s -> 2182.30s]  by using the this pointer to do that.
[2182.30s -> 2184.98s]  You can also, as I said, do them by one after the other.
[2184.98s -> 2187.62s]  There's some nuances about how you actually
[2187.62s -> 2188.82s]  need to set these up.
[2188.82s -> 2190.98s]  But if you wanted to pass in this and val
[2190.98s -> 2193.90s]  and myvec by reference, that's how you would do it.
[2194.94s -> 2196.00s]  You'll see when you get into this.
[2196.00s -> 2197.96s]  And by the end of the class, by the end of the quarter,
[2197.96s -> 2199.32s]  you'll go, oh, I get these things.
[2199.32s -> 2200.50s]  But the first couple times you see it,
[2200.50s -> 2201.98s]  you go, I don't know what's going on.
[2201.98s -> 2204.34s]  Go back to the slides, ask questions on Piazza
[2204.34s -> 2206.98s]  and in office hours, and we will figure it out.
[2208.88s -> 2210.78s]  Anything else on that?
[2210.78s -> 2213.30s]  Okay, all right.
[2213.30s -> 2216.18s]  Let us go back to where we ended up yesterday.
[2216.18s -> 2219.96s]  We're gonna talk about file systems some more, okay?
[2219.96s -> 2222.60s]  Yesterday I ended with this example,
[2222.60s -> 2226.24s]  which basically was re-implementing the cp command
[2226.24s -> 2229.02s]  called copy, and it was a pretty simple,
[2229.02s -> 2233.38s]  all things considered, program that basically says,
[2233.38s -> 2235.02s]  you have file one and file two,
[2235.02s -> 2237.06s]  and you wanna copy the contents of file,
[2237.06s -> 2239.54s]  or you wanna, file two is what you're creating.
[2239.54s -> 2244.34s]  You wanna copy file one into file two as an exact copy.
[2244.34s -> 2246.62s]  Okay, and what we did was we said, okay, fine.
[2246.62s -> 2250.18s]  We are going to set up a file descriptor,
[2250.18s -> 2252.42s]  which is just an integer, and we're gonna use
[2252.42s -> 2254.54s]  the open command to do it,
[2254.54s -> 2255.66s]  and we're gonna say it's read only.
[2255.66s -> 2257.06s]  That's the one we're reading from.
[2257.06s -> 2259.40s]  We're gonna do the exact same thing,
[2259.40s -> 2260.66s]  except we're gonna create a file
[2260.66s -> 2263.98s]  using another file descriptor, using open,
[2263.98s -> 2268.98s]  and using write only, o create, and o excl.
[2269.18s -> 2272.02s]  We'll see another one in a couple slides as well.
[2272.02s -> 2273.82s]  But this says, create the file
[2273.82s -> 2276.56s]  if it doesn't exist already, right?
[2276.56s -> 2278.50s]  Otherwise produce an error.
[2278.50s -> 2281.14s]  And then attempt to do the following permissions,
[2281.14s -> 2282.46s]  and that may or may not work
[2282.46s -> 2284.82s]  with those exact permissions based on the Umask.
[2284.86s -> 2287.18s]  Again, not super important, okay?
[2287.18s -> 2288.24s]  And then what do we do?
[2288.24s -> 2289.78s]  We set up a little buffer,
[2289.78s -> 2291.98s]  and this buffer can be any length we want.
[2291.98s -> 2294.06s]  We just happen to make it 1024
[2294.06s -> 2295.54s]  because we wanna save memory, let's say,
[2295.54s -> 2297.14s]  but you could make it bigger if you wanted to.
[2297.14s -> 2298.78s]  And then we have a while loop,
[2298.78s -> 2300.86s]  and there were some questions about the while loop here.
[2300.86s -> 2304.86s]  This is to read 1024 bytes from the file,
[2304.86s -> 2307.14s]  one after another after another,
[2307.14s -> 2308.54s]  one kilobyte, then another kilobyte,
[2308.54s -> 2309.90s]  then another kilobyte,
[2309.90s -> 2312.64s]  and each time take that kilobyte
[2312.64s -> 2314.30s]  and put it into the output file.
[2314.74s -> 2316.66s]  And that's what the first while loop is doing, okay?
[2316.66s -> 2317.50s]  How does it work?
[2317.50s -> 2319.26s]  Well, it reads data.
[2319.26s -> 2323.68s]  It reads from the input file into the buffer
[2323.68s -> 2326.38s]  and the size of, in this case, 1024.
[2326.38s -> 2328.86s]  You do not need to worry about the fact that there's,
[2328.86s -> 2331.98s]  oh, there might be a null character at the end.
[2331.98s -> 2333.98s]  These are not strings necessarily.
[2333.98s -> 2334.92s]  They're just data.
[2334.92s -> 2339.54s]  So you can read all 1024 bytes worth, okay?
[2339.54s -> 2342.26s]  If you end up getting zero bytes back,
[2342.26s -> 2343.96s]  it means there were no more bytes to read,
[2344.48s -> 2346.48s]  and you can end, okay?
[2346.48s -> 2349.48s]  If you get any number of bytes other than zero,
[2349.48s -> 2351.32s]  well, they came out of the file,
[2351.32s -> 2353.32s]  and you then need to write them to the other file.
[2353.32s -> 2354.16s]  How do you do that?
[2354.16s -> 2355.80s]  Well, you start out and you say,
[2355.80s -> 2358.48s]  okay, I've got the number of bytes written, which is zero.
[2358.48s -> 2359.64s]  I haven't written any yet.
[2359.64s -> 2362.20s]  And then I'm gonna do another while loop,
[2362.20s -> 2365.88s]  which is going to attempt to write all of those bytes.
[2365.88s -> 2367.26s]  That's right here.
[2367.26s -> 2369.00s]  It's going to be right here.
[2369.00s -> 2371.40s]  It's going to try to write all of those bytes
[2371.40s -> 2373.60s]  into the file at once, okay?
[2374.12s -> 2375.72s]  It's going to do it into the output file.
[2375.72s -> 2380.26s]  It's going to index so many bytes into the buffer,
[2380.26s -> 2382.04s]  and the first time through, this is gonna be zero.
[2382.04s -> 2384.88s]  Of course, it's gonna start and try to do all 1024.
[2384.88s -> 2389.48s]  It turns out that write may only write some of those bytes.
[2389.48s -> 2390.32s]  Why?
[2390.32s -> 2391.52s]  Well, that's what the operating system can do.
[2391.52s -> 2394.52s]  The operating system can say, you wanna write 1024?
[2394.52s -> 2396.48s]  I'm gonna only allow you to write eight bytes.
[2396.48s -> 2398.32s]  Sorry, you have to try again later.
[2398.32s -> 2400.02s]  That's what this while loop is all about.
[2400.02s -> 2403.08s]  It's going through until you have successfully
[2403.40s -> 2405.20s]  written all those bytes, okay?
[2405.20s -> 2409.68s]  It's probably not going to fail for 1024 on a local file,
[2409.68s -> 2411.68s]  but if you try to do a million bytes at once,
[2411.68s -> 2413.52s]  it might say, oh, you can have half a million,
[2413.52s -> 2416.08s]  and then next time you have to do another half a million.
[2416.08s -> 2416.92s]  Okay?
[2416.92s -> 2417.74s]  All right.
[2419.00s -> 2421.88s]  And by the way, the read command, as I mentioned yesterday,
[2421.88s -> 2424.68s]  does block until those bytes are read,
[2424.68s -> 2427.12s]  or at least some of those bytes are read.
[2427.12s -> 2428.60s]  If there's any bytes to be read,
[2428.60s -> 2431.32s]  it will wait until some are available.
[2431.32s -> 2433.84s]  What questions do you have on this program so far?
[2435.20s -> 2436.04s]  Anything?
[2438.54s -> 2440.12s]  Nope, okay.
[2440.12s -> 2444.36s]  So, the interesting part about that
[2444.36s -> 2448.36s]  is that this is direct and low level.
[2448.36s -> 2450.28s]  Okay, when I say low level,
[2450.28s -> 2452.00s]  all the other things that you might have used
[2452.00s -> 2455.62s]  to read and write to files uses read and write
[2455.62s -> 2457.36s]  under the hood to do that.
[2457.36s -> 2461.02s]  Okay, so if you're using file pointers,
[2461.66s -> 2464.86s]  which you might use in C or IO streams in C++,
[2464.86s -> 2469.62s]  they are themselves using read and write to do the work.
[2469.62s -> 2471.30s]  Okay, they have some other nice benefits to them.
