# Detected language: en (p=1.00)

[0.00s -> 6.00s]  And can everybody see my screen or the whiteboard that I shared?
[2300.00s -> 2309.00s]  Any more questions about this sort of basic plan?
[2309.00s -> 2312.00s]  OK.
[2312.00s -> 2322.00s]  Good.
[2322.00s -> 2328.00s]  So what I want to get there are many, many different versions of logging schemes.
[2328.00s -> 2332.00s]  And I sketched out here a very simple one. You know, it's perfectly fine.
[2332.00s -> 2339.00s]  You know, there are schemes where basically the cleaning of the log is postponed, installation is postponed until later.
[2339.00s -> 2347.00s]  But I'm just going to run sort of with this very simple scheme. And then next week we'll see more sophisticated logging protocols.
[2347.00s -> 2358.00s]  But all those logging protocols follow this write ahead rule that, you know, before you write the commit record, you have to make sure that all the writes are in the log.
[2358.00s -> 2367.00s]  But then there's a lot of within that still there's a ton of flexibility in designing a particular logging protocol as they're typically called.
[2367.00s -> 2380.00s]  OK, I'm going to look a little bit how this then is manifest itself in XV6 as a sort of a case study and to make things really concrete.
[2380.00s -> 2392.00s]  OK, so in XV6, we're going to look at two sort of pieces of state, if you will, the stuff that is actually on disk and things that are in memory.
[2392.00s -> 2404.00s]  And in memory contents will disappear on or the way we should think about it is that in memory contents will disappear on a crash or a power failure.
[2404.00s -> 2413.00s]  And the structure of the XV siglog, as always, is extremely simple.
[2413.00s -> 2419.00s]  There's actually we have one block at the beginning, the header block, and that is basically our commit record.
[2420.00s -> 2424.00s]  It contains the number N, which is like the number of blocks in the log.
[2424.00s -> 2433.00s]  And then for each block, the block number, the home location of that block.
[2433.00s -> 2438.00s]  So there's going to be N of those.
[2438.00s -> 2443.00s]  And so then in the log itself, R basically is the data that belongs to that.
[2443.00s -> 2454.00s]  Here's the data of BN0, here's the data of BN1, et cetera, to BN minus one.
[2454.00s -> 2460.00s]  So that's what's in the log. And that's the only thing that's sort of in the log. There's nothing more to it.
[2460.00s -> 2469.00s]  Then in memory, when one of the files is running, there's an in copy version or in memory version of the header.
[2469.00s -> 2477.00s]  And it basically has the N and it has an array of block numbers.
[2477.00s -> 2491.00s]  Et cetera. And then these block numbers refer to blocks that are sitting in the data that actually corresponds to the block numbers that are sort of sitting in this in-memory data structure.
[2491.00s -> 2496.00s]  They live in the block cache, which by now you're well familiar with.
[2496.00s -> 2502.00s]  And so maybe this is like block 10 is the first block in the log.
[2502.00s -> 2509.00s]  Or let me take a more concrete example from the lines up with our previous thing. So maybe this is like 45.
[2509.00s -> 2515.00s]  And basically, you know, somewhere in the cache, the block has there, of course, you know, whatever block for 45.
[2515.00s -> 2528.00s]  And here's its data. OK, that's sort of the structures that the in-memory file system has and on this file system has.
[2528.00s -> 2537.00s]  So the on this file system just has the log and the in-memory has these data structures to orchestrate these multi-write operations that we're going to be doing.
[2537.00s -> 2553.00s]  OK. So to make this a little more concrete, let's look at some code that will help us understand how everything works.
[2553.00s -> 2561.00s]  Let me pull up some code next to it.
[2561.00s -> 2568.00s]  We keep that picture so that we can look at it if we want to or I can point to it.
[2568.00s -> 2574.00s]  Can everybody see my code?
[2574.00s -> 2580.00s]  Somebody confirmed that they think the index window. Yeah, we can see it.
[2580.00s -> 2585.00s]  Is it big enough? I think it's good.
[2585.00s -> 2594.00s]  OK. Looks good. Thank you. OK, so let's start with the you know, I talked about transactions, right?
[2594.00s -> 2602.00s]  You know, the fact that, you know, the we should not commit until we should not write a commit writer until all the writes have done.
[2602.00s -> 2611.00s]  And so this means that the sort of file system operations must indicate sort of what the beginning of transaction is and particularly what the end of a transaction is.
[2611.00s -> 2616.00s]  And the way that happens in xv6 is that every file system call.
[2616.00s -> 2628.00s]  Here's open corresponds to create basically start with begin up and begin up basically indicates like, OK, I want to start a transaction and I want all the block rights that I've been doing between begin up and end up,
[2628.00s -> 2635.00s]  which is basically at the end of the transaction to be atomic, meaning they should be all applied or none of them should be applied.
[2635.00s -> 2647.00s]  OK. And so every file system call in xv6 has that structure that basically has begin up, then the code and implements the file system call and then end up.
[2647.00s -> 2651.00s]  And that end up is basically where the commit operation happens.
[2651.00s -> 2659.00s]  So basically between begin and end up, the on disk or the in-memory data structure should be updated, you know, whatever the in-memory log may be updated.
[2659.00s -> 2664.00s]  The bar cache might be updated, but nothing really happens until end up.
[2664.00s -> 2668.00s]  And at end up time, we're basically going to put things into the log.
[2668.00s -> 2676.00s]  And then we are done with putting everything in the log will actually write the commit record or the log header.
[2676.00s -> 2679.00s]  OK, so let's.
[2679.00s -> 2687.00s]  So what is interesting, of course, then what happens is every write correctly, whenever one of these file system calls does a disk write,
[2687.00s -> 2695.00s]  you know, something must happen. So if we go back, for example, to FSC, you know, look at Ialloc.
[2695.00s -> 2704.00s]  Ialloc basically what it calls, it doesn't call B write directly, but it actually calls log write.
[2704.00s -> 2710.00s]  And so we're going to see what log write does. Log write is basically the function implemented by the logging system.
[2710.00s -> 2723.00s]  And every write that basically a file system called does between begin up and end up always goes to log write.
[2723.00s -> 2730.00s]  So here's log write and log write actually is reasonable, you know, straightforward.
[2730.00s -> 2738.00s]  You know, we've written the block in the block cache, so somewhere basically 45, maybe this is like the right to 45.
[2738.00s -> 2742.00s]  We've updated, you know, 45 in the block cache.
[2742.00s -> 2748.00s]  And now we basically record in the in-memory data structures that to some point later at commit point,
[2748.00s -> 2755.00s]  we need to write this block into the log. And so, you know, basically, you know, the code is,
[2755.00s -> 2764.00s]  the code is reasonable straightforward, acquires a lock on the header and basically updates the header.
[2764.00s -> 2770.00s]  And in particular, what it does, you know, it goes through, you know, the, it updates N.
[2770.00s -> 2776.00s]  Well, actually, the first thing it does, it actually sees if there's already a copy of 45 in the,
[2776.00s -> 2780.00s]  if 45 is already recorded as being having to written to.
[2780.00s -> 2785.00s]  And if that's the case, nothing has to be done because 45 will be written to.
[2785.00s -> 2790.00s]  And so we're done. And sometimes it's called lock absorption.
[2790.00s -> 2795.00s]  If, you know, block 45 is not in the array yet,
[2795.00s -> 2800.00s]  we're not in the list of blocks or the array of blocks that needs to be written to disk,
[2800.00s -> 2806.00s]  then basically, you know, the only thing this piece of code does is basically bump up and stick,
[2806.00s -> 2813.00s]  you know, that block number that needs to be written into the next entry or into that entry.
[2813.00s -> 2816.00s]  Then the only other thing it does, you know, we'll talk about this later,
[2816.00s -> 2820.00s]  it will pin the block in the buffer cache.
[2820.00s -> 2826.00s]  And let me postpone why for a little while, but I will come back to that later.
[2826.00s -> 2828.00s]  And that's actually all the log right there is doing.
[2828.00s -> 2832.00s]  So every file system call that needs to update a block, you know,
[2832.00s -> 2838.00s]  updates the block in the block cache, and then basically it pins it to this in-memory data structure,
[2838.00s -> 2844.00s]  unless, you know, it's already there, in which case, you know, it just absorbs it.
[2844.00s -> 2849.00s]  Does that make sense?
[2849.00s -> 2854.00s]  So does that mean that bwrite shouldn't be used by itself at all?
[2854.00s -> 2856.00s]  So say again?
[2856.00s -> 2860.00s]  bwrite shouldn't be used by itself only as...
[2860.00s -> 2862.00s]  Yes, that's correct.
[2862.00s -> 2874.00s]  Basically, one way to think about it is that every bwrite in the file system is replaced by log write.
[2874.00s -> 2878.00s]  Okay, so now let's see what actually happens at end-opt,
[2878.00s -> 2883.00s]  because that's where the exciting part happens.
[2883.00s -> 2889.00s]  And there's a couple of cases that I just want to avoid talking about a little bit later,
[2889.00s -> 2894.00s]  because they, you know, even this simple logging system actually has some subtle complexities,
[2894.00s -> 2898.00s]  and most of the beginning of this code deals with these subtle complexities.
[2898.00s -> 2901.00s]  But as you want to really get the normal case, you know,
[2901.00s -> 2906.00s]  there's a simple case where no other file system operations are in progress.
[2906.00s -> 2912.00s]  We re-execute, you know, create file, and basically we're getting to the point where we want to commit.
[2912.00s -> 2917.00s]  And so the code is pretty straightforward and calls commit.
[2917.00s -> 2921.00s]  And so let's look at commit.
[2921.00s -> 2923.00s]  So here's commit.
[2923.00s -> 2928.00s]  And basically commit does two basically steps, and basically it writes the log,
[2928.00s -> 2936.00s]  and that's basically writing all these block numbers that are sitting, you know, in the in-memory header,
[2936.00s -> 2942.00s]  and writes them basically all to the header on disk, including, you know, this number n.
[2943.00s -> 2948.00s]  And so let's see, that's what write head does, sorry.
[2948.00s -> 2956.00s]  Write log basically writes, you know, the blocks from the buffer cache into their respective, into the log itself.
[2956.00s -> 2960.00s]  So let's see what write log is right above here.
[2960.00s -> 2962.00s]  And you can see what it does.
[2962.00s -> 2965.00s]  It goes through, you know, this array, you know, one at a time,
[2965.00s -> 2971.00s]  and basically writes that to the log position in the log.
[2971.00s -> 2977.00s]  Okay, so it reads, you know, the log block, then sticks it in there by copying it,
[2977.00s -> 2980.00s]  and then writing it actually out to the disk.
[2980.00s -> 2984.00s]  So this basically ensures that like block 45 will end up here, you know,
[2984.00s -> 2988.00s]  let's say this is 32, that will end up there, et cetera, et cetera.
[2988.00s -> 2992.00s]  Then in the end, so at this point, we have not committed yet, correct?
[2992.00s -> 2995.00s]  The only thing we've done is basically putting blocks into the log.
[2995.00s -> 3000.00s]  And if we were crash at this particular point in time, you know, before, you know, calling write head,
[3000.00s -> 3007.00s]  before write hex, you see that, and basically at as if the transaction didn't execute at all.
[3007.00s -> 3009.00s]  So let's look at write head.
[3009.00s -> 3013.00s]  So that write head is, you know, what I called earlier, basically the commit point.
[3013.00s -> 3017.00s]  And the commit point basically, you know, basically it's straightforward
[3017.00s -> 3024.00s]  and reach the header block from disk, which is probably sitting in the buffer cache.
[3024.00s -> 3031.00s]  It, you know, puts the, copies the N, you know, this N into that block,
[3031.00s -> 3034.00s]  puts all the block numbers into that array, into that block,
[3034.00s -> 3037.00s]  and then basically writes that particular block.
[3037.00s -> 3042.00s]  So this is the, this B write, what is that? Is that the commit point?
[3045.00s -> 3049.00s]  If a crash happens before this B write, what happens then?
[3054.00s -> 3058.00s]  Anybody?
[3058.00s -> 3068.00s]  If the crash happens before B write, isn't the only modification that we've made to the in-memory HP data structure,
[3068.00s -> 3070.00s]  so it's not, it's going to be fine?
[3070.00s -> 3072.00s]  Yeah, it's going to be fine, right?
[3072.00s -> 3076.00s]  Because basically we may have written db1, zero, dbN, or whatever to the log,
[3076.00s -> 3078.00s]  but we have not succeeded in writing the log header.
[3078.00s -> 3082.00s]  And so we'll do, on recovery, nothing will happen.
[3083.00s -> 3087.00s]  And what happens if there's a crash right after the B write, so like a crash here?
[3092.00s -> 3097.00s]  And it's no longer zero, so the log header is correctly read and it's recovered?
[3097.00s -> 3098.00s]  Yeah, it will be recovered, correct?
[3098.00s -> 3101.00s]  Well, at some point, hopefully during recovery, as we inspect that, you know,
[3101.00s -> 3107.00s]  we expect that recovery will actually read the log header, see that there is a five in there, for example,
[3107.00s -> 3110.00s]  and then copy the first five blocks to their home location.
[3110.00s -> 3118.00s]  So this is really, this one line, this one disk write, this one sector write is really the commit point.
[3118.00s -> 3120.00s]  Correct?
[3123.00s -> 3127.00s]  Before the commitment point, the transaction is as it is, the transaction didn't happen,
[3127.00s -> 3131.00s]  and after the commit point, the transaction will definitely be finished,
[3131.00s -> 3134.00s]  assuming your recovery is correct.
[3135.00s -> 3142.00s]  Okay, so let's, you know, go back to commit.
[3144.00s -> 3148.00s]  So commit, after it's committed, it actually installs the transactions,
[3148.00s -> 3150.00s]  and, you know, that's pretty straightforward.
[3150.00s -> 3154.00s]  Basically, you know, it takes the blocks, looks at the header, where the blocks belongs,
[3154.00s -> 3156.00s]  and then basically writes it to that particular location.
[3158.00s -> 3161.00s]  And so we can actually look at the install trans,
[3162.00s -> 3164.00s]  and see that actually that's what it does.
[3165.00s -> 3170.00s]  You know, it has a copy of the log header, and it just reads the log header,
[3170.00s -> 3174.00s]  it reads the destination block, the home location,
[3174.00s -> 3179.00s]  copies the data from the log block into the destination,
[3179.00s -> 3182.00s]  and then writes the buffer to the destination.
[3183.00s -> 3184.00s]  Okay?
[3185.00s -> 3187.00s]  So basically, effectively, what this does is basically, you know,
[3187.00s -> 3190.00s]  if you go back to this previous slide here, it copies, you know,
[3190.00s -> 3193.00s]  it just does these copies from the log into the home location,
[3193.00s -> 3195.00s]  or actually in the file system.
[3197.00s -> 3200.00s]  And of course, you know, we might get a failure somewhere in, you know, this code,
[3200.00s -> 3203.00s]  or while we're doing this, but, you know, that should be okay,
[3203.00s -> 3206.00s]  because hopefully in recovery, we'll just start over from the beginning.
[3209.00s -> 3212.00s]  So let's look at, so that was install.
[3213.00s -> 3215.00s]  So once install is done,
[3215.00s -> 3219.00s]  then basically it sets, you know,
[3219.00s -> 3223.00s]  the in memory header and back to zero,
[3223.00s -> 3225.00s]  and then writes that log header.
[3225.00s -> 3228.00s]  And effectively that causes to,
[3230.00s -> 3233.00s]  cleans the log, because basically there's now zero in it.
[3234.00s -> 3235.00s]  Question?
[3236.00s -> 3242.00s]  So you, the function you're in just before,
[3242.00s -> 3247.00s]  like where's, does the from to, or to, from getting,
[3247.00s -> 3252.00s]  so that puts the block that you're going to like update,
[3253.00s -> 3257.00s]  the log block that you're going to update into the buffer cache.
[3258.00s -> 3262.00s]  Could you make it faster by not putting it into the buffer cache
[3262.00s -> 3266.00s]  and just directly writing it to the device instead?
[3267.00s -> 3270.00s]  Let me, which function we're talking about?
[3271.00s -> 3273.00s]  I forget its name.
[3274.00s -> 3278.00s]  It's the one where you copy, you know, everything into the log.
[3279.00s -> 3281.00s]  Okay. Install, install trans.
[3282.00s -> 3283.00s]  I think so.
[3284.00s -> 3285.00s]  No, no, no, no.
[3287.00s -> 3288.00s]  Maybe it was this one.
[3290.00s -> 3293.00s]  I was thinking probably of right head, but it's the same thing.
[3294.00s -> 3295.00s]  Okay.
[3295.00s -> 3300.00s]  The only reason, yeah, the only reason to this,
[3301.00s -> 3303.00s]  basically our interface is not particularly good.
[3303.00s -> 3305.00s]  You could just write straight, you know,
[3305.00s -> 3307.00s]  you're wondering why you are doing the read.
[3308.00s -> 3309.00s]  There's no reason to do the read
[3309.00s -> 3311.00s]  because we're going to write anyway.
[3312.00s -> 3313.00s]  Is that the question?
[3315.00s -> 3319.00s]  Yeah, that and you're also doing the men move, right?
[3319.00s -> 3320.00s]  And you're doing the men move, yeah.
[3320.00s -> 3322.00s]  So this actually a sequence of code
[3322.00s -> 3323.00s]  can definitely be optimized.
[3323.00s -> 3326.00s]  You can save, you know, one or two disk writes.
[3326.00s -> 3329.00s]  Just for simplicity, we don't do any of that.
[3330.00s -> 3331.00s]  Okay. Thank you.
[3335.00s -> 3336.00s]  Okay.
[3337.00s -> 3339.00s]  So I think we're in over commit.
[3340.00s -> 3343.00s]  Just like you just go back and double check.
[3344.00s -> 3345.00s]  So we did the right log.
[3346.00s -> 3347.00s]  We did the right head.
[3347.00s -> 3349.00s]  And basically this is the cleaning operation.
[3350.00s -> 3353.00s]  We erased, you know, the transaction by sending it to zero.
[3353.00s -> 3354.00s]  Okay.
[3355.00s -> 3357.00s]  So then the only thing to sort of further inspect
[3358.00s -> 3360.00s]  is like how does recovery work?
[3360.00s -> 3364.00s]  And so recovery happens when, you know,
[3364.00s -> 3366.00s]  when XP6 starts.
[3366.00s -> 3368.00s]  So we had a crash, correct?
[3368.00s -> 3369.00s]  So the system failed.
[3370.00s -> 3371.00s]  We rebooted.
[3374.00s -> 3378.00s]  And one of the first things that XP6 does
[3379.00s -> 3382.00s]  during initialization, it actually calls init log.
[3383.00s -> 3386.00s]  And init log basically calls its function
[3386.00s -> 3387.00s]  recover from log.
[3387.00s -> 3389.00s]  And so let's see what that does.
[3390.00s -> 3392.00s]  And basically recover from log, you know,
[3392.00s -> 3397.00s]  calls read head to basically extract or read the,
[3399.00s -> 3402.00s]  let me see if I can scroll down here a little bit.
[3405.00s -> 3407.00s]  Yeah, basically reads the header from disk.
[3408.00s -> 3412.00s]  And sees if N, well, it doesn't really see if N is zero
[3412.00s -> 3414.00s]  or not, but it just calls install trans.
[3414.00s -> 3417.00s]  And, you know, this is exactly the same install trans
[3417.00s -> 3420.00s]  that we just looked at a little while ago.
[3420.00s -> 3422.00s]  And basically, you know, it looks at this N
[3422.00s -> 3425.00s]  and installs all the blocks from zero to N
[3425.00s -> 3427.00s]  out of the log into their home location.
[3428.00s -> 3430.00s]  And if it's done once it succeeds, you know,
[3430.00s -> 3434.00s]  then actually it calls clear log as before.
[3435.00s -> 3437.00s]  And so that's actually all what recovery does.
[3437.00s -> 3439.00s]  You know, recovery just basically always call
[3439.00s -> 3441.00s]  and does the installation.
[3441.00s -> 3444.00s]  And if we crash during installation here,
[3444.00s -> 3446.00s]  no particular problem again, correct?
[3446.00s -> 3448.00s]  Because we'll crash, we'll boot.
[3448.00s -> 3452.00s]  XP6 during booting will call log init,
[3452.00s -> 3453.00s]  which we'll call recover from log.
[3453.00s -> 3456.00s]  And it will basically reinstall or replay the log
[3456.00s -> 3457.00s]  as it's sometimes called.
[3457.00s -> 3460.00s]  Again, and this might have, this might end,
[3460.00s -> 3464.00s]  we crash every time or, you know, many, many times,
[3464.00s -> 3466.00s]  you know, it will reinstall or replay the log
[3466.00s -> 3467.00s]  many, many, many times,
[3467.00s -> 3469.00s]  but until hopefully at some point it succeeds
[3469.00s -> 3472.00s]  and actually, you know, gets the whole log written
[3472.00s -> 3475.00s]  or gets the whole log installed, you know,
[3475.00s -> 3477.00s]  to the home locations.
[3479.00s -> 3480.00s]  Does that make sense?
[3483.00s -> 3485.00s]  I had a question about,
[3485.00s -> 3488.00s]  so if a process just runs normally,
[3488.00s -> 3491.00s]  it writes some data to disk
[3491.00s -> 3493.00s]  and then at some point after that,
[3493.00s -> 3497.00s]  before it commits and installs the changes,
[3497.00s -> 3499.00s]  there's a failure.
[3499.00s -> 3503.00s]  The process, from the process point of view,
[3503.00s -> 3506.00s]  nothing happened, but something like,
[3506.00s -> 3510.00s]  I guess the failure happened after the process ended,
[3510.00s -> 3512.00s]  what it was doing.
[3512.00s -> 3515.00s]  So is there anything bad about that?
[3515.00s -> 3517.00s]  I'm not 100% sure where you're getting it,
[3517.00s -> 3521.00s]  but the short answer is there's nothing bad, right?
[3521.00s -> 3523.00s]  Because the disk won't be updated at all.
[3523.00s -> 3525.00s]  So just as if, you know,
[3525.00s -> 3527.00s]  the file system operation didn't happen.
[3528.00s -> 3529.00s]  Right.
[3530.00s -> 3531.00s]  I guess I'm seeing...
[3531.00s -> 3532.00s]  The process disappears too,
[3532.00s -> 3535.00s]  but you know, we don't expect the process
[3535.00s -> 3536.00s]  to survive failures anyway.
[3538.00s -> 3539.00s]  Right.
[3539.00s -> 3543.00s]  I guess, okay, I think that answered my question.
[3543.00s -> 3544.00s]  Thank you.
[3545.00s -> 3548.00s]  Yeah, it's important to remember that basically
[3549.00s -> 3551.00s]  the only thing that really survives failures
[3551.00s -> 3553.00s]  or that's persistence across failures
[3553.00s -> 3555.00s]  is the disk or the state on the disk,
[3555.00s -> 3556.00s]  nothing else, right?
[3559.00s -> 3560.00s]  Okay.
[3560.00s -> 3562.00s]  So just to make this all concrete
[3562.00s -> 3565.00s]  and one little bit more too, let's...
[3565.00s -> 3569.00s]  I put a statement in be right.
[3569.00s -> 3572.00s]  So the thing that actually does write to disk,
[3572.00s -> 3574.00s]  like in the block cache
[3574.00s -> 3575.00s]  and we're just gonna see
[3575.00s -> 3578.00s]  what the trace of actual disk rights are
[3578.00s -> 3581.00s]  because basically on Monday, I sort of...
[3584.00s -> 3585.00s]  I didn't tell the full truth
[3585.00s -> 3587.00s]  because basically I put the print statement
[3587.00s -> 3589.00s]  in log right and not in be right.
[3589.00s -> 3591.00s]  And so now I put it in the be right
[3591.00s -> 3592.00s]  and so we can actually see
[3592.00s -> 3594.00s]  all the blocks that are being written.
[3594.00s -> 3596.00s]  So we'll do the same thing as before,
[3596.00s -> 3597.00s]  echo hi X
[3597.00s -> 3600.00s]  and just look at actually the actual disk rights
[3601.00s -> 3602.00s]  and see if they make sense.
[3602.00s -> 3603.00s]  So the first thing to note, correct,
[3603.00s -> 3605.00s]  is that this trace is way longer
[3605.00s -> 3607.00s]  than the trace that we looked at last time.
[3607.00s -> 3609.00s]  In fact, that we looked at slides
[3609.00s -> 3611.00s]  a couple of slides ago, right?
[3611.00s -> 3612.00s]  Because if you look in there,
[3612.00s -> 3614.00s]  in fact, just to demonstrate this,
[3616.00s -> 3620.00s]  here was that same echo hi, correct?
[3620.00s -> 3622.00s]  And when we see there,
[3622.00s -> 3626.00s]  it's like only it's five log right operations,
[3626.00s -> 3631.00s]  but it turns into many disk operations, correct?
[3632.00s -> 3633.00s]  So let's look at it.
[3635.00s -> 3638.00s]  So what we think be right three, four and five are
[3638.00s -> 3640.00s]  and what is be right two?
[3648.00s -> 3649.00s]  Anybody?
[3649.00s -> 3653.00s]  So writing to the log and then the super block?
[3654.00s -> 3655.00s]  Not the super block.
[3655.00s -> 3657.00s]  No, that's the log head.
[3657.00s -> 3659.00s]  Yeah, so just to look at the...
[3659.00s -> 3660.00s]  You got it right.
[3660.00s -> 3662.00s]  There's looking at this picture again, correct?
[3662.00s -> 3663.00s]  The logs, that's a two.
[3663.00s -> 3666.00s]  So that's probably the header block,
[3666.00s -> 3668.00s]  the commit record, if you will.
[3668.00s -> 3670.00s]  And then three is the first data block,
[3670.00s -> 3671.00s]  four is the second data block,
[3671.00s -> 3673.00s]  five is the third data block, right?
[3673.00s -> 3677.00s]  So going back, this is the first right,
[3677.00s -> 3680.00s]  the second right, the third right,
[3680.00s -> 3682.00s]  they're all going into the log
[3682.00s -> 3687.00s]  and they're written to disk in the log part of the disk.
[3687.00s -> 3689.00s]  And then this is the commit record,
[3689.00s -> 3692.00s]  the header and then presumably, what is this face?
[3701.00s -> 3702.00s]  What is this part?
[3703.00s -> 3705.00s]  Is that the bitmap setting?
[3705.00s -> 3706.00s]  No.
[3706.00s -> 3708.00s]  So what do we think actually is stored
[3708.00s -> 3709.00s]  in this be right three?
[3712.00s -> 3715.00s]  Here, aren't you creating the file
[3716.00s -> 3720.00s]  that the inode for X updating the directory
[3720.00s -> 3723.00s]  and then also actually making the file itself?
[3723.00s -> 3724.00s]  Yeah.
[3724.00s -> 3726.00s]  And we didn't do it here, correct?
[3726.00s -> 3729.00s]  Because in these be rights that didn't happen
[3729.00s -> 3730.00s]  and now we're doing it.
[3731.00s -> 3734.00s]  So what phase is this of the transaction?
[3736.00s -> 3738.00s]  Installing the changes?
[3738.00s -> 3739.00s]  Yeah, it's installing the changes, correct?
[3739.00s -> 3744.00s]  What we did here is we log the rights,
[3744.00s -> 3747.00s]  then we committed the file system operation
[3747.00s -> 3750.00s]  to create operation and now we're installing it.
[3750.00s -> 3753.00s]  So now we're putting the blocks in their home location.
[3754.00s -> 3757.00s]  And now, and what does this be right two then?
[3764.00s -> 3765.00s]  It's clearing the logs?
[3765.00s -> 3767.00s]  Yeah, it's clearing the log, exactly.
[3767.00s -> 3773.00s]  So basically this, the system call was writing 33, 46 or 32
[3774.00s -> 3776.00s]  and to actually do that using the logging system
[3776.00s -> 3781.00s]  that basically turns into this set of disk rights, right?
[3782.00s -> 3784.00s]  Where the first party is installing the log,
[3784.00s -> 3786.00s]  if the first party is actually logging the rights
[3786.00s -> 3788.00s]  and the second party is installing the log.
[3790.00s -> 3792.00s]  And these are the two rights to the commit records.
[3795.00s -> 3796.00s]  Does that make sense?
[3796.00s -> 3799.00s]  Is it possible to infer where begin op and end op
[3799.00s -> 3801.00s]  would run from this trace?
[3802.00s -> 3804.00s]  Well, so we sort of know, correct?
[3804.00s -> 3807.00s]  So where did, we don't really know where begin op start,
[3807.00s -> 3808.00s]  but this is at the beginning.
[3808.00s -> 3810.00s]  Any file system call starts with the begin op
[3811.00s -> 3815.00s]  and it must be the case that the commit record, correct?
[3815.00s -> 3817.00s]  Is written in end op.
[3818.00s -> 3822.00s]  So we know that this is the end op
[3822.00s -> 3824.00s]  of some file system operation.
[3828.00s -> 3829.00s]  Does that make sense?
[3832.00s -> 3836.00s]  Okay, so that was basically X3.6 logging
[3836.00s -> 3837.00s]  and logging in action.
[3838.00s -> 3841.00s]  And I wanna talk about a couple of complications
[3842.00s -> 3845.00s]  and even this dirt simple,
[3845.00s -> 3849.00s]  naive logging scheme actually has complications.
[3850.00s -> 3852.00s]  One thing to immediately note of course is,
[3855.00s -> 3857.00s]  is this a very performant implementation
[3858.00s -> 3860.00s]  just by looking at this trace?
[3861.00s -> 3862.00s]  Yeah.
[3867.00s -> 3868.00s]  No.
[3868.00s -> 3869.00s]  Yeah, why not?
[3870.00s -> 3872.00s]  I know this is a basically too simple question,
[3873.00s -> 3875.00s]  but it's important to ask.
[3876.00s -> 3881.00s]  Like you're writing the stuff twice, right?
[3881.00s -> 3882.00s]  Yeah, you're writing your stuff twice.
[3883.00s -> 3884.00s]  So if I write a file F or a big file F,
[3885.00s -> 3887.00s]  I'm gonna write that big file F twice.
[3888.00s -> 3890.00s]  And so certainly not particularly high performance.
[3891.00s -> 3892.00s]  I mean, basically we're cutting the performance
[3893.00s -> 3894.00s]  immediately by a factor of two,
[3895.00s -> 3897.00s]  just to get crash safety.
[3898.00s -> 3899.00s]  And so we'll see you on,
[3900.00s -> 3905.00s]  when you're reading the X3 paper for a Monday,
[3906.00s -> 3907.00s]  one thing you should keep in your head
[3908.00s -> 3910.00s]  while reading is how do I get around
[3911.00s -> 3912.00s]  sort of this factor of two?
[3915.00s -> 3916.00s]  Okay?
[3917.00s -> 3918.00s]  Sorry, is it the case that you write
[3919.00s -> 3920.00s]  the H and the I separately?
[3921.00s -> 3922.00s]  Yeah, I think so.
[3923.00s -> 3924.00s]  Okay.
[3925.00s -> 3927.00s]  I'll show you in a second why,
[3928.00s -> 3929.00s]  what is happening there.
[3931.00s -> 3932.00s]  Or maybe.
[3934.00s -> 3936.00s]  Well, let me not commit too much for that answer,
[3937.00s -> 3939.00s]  but I'll come back to it.
[3940.00s -> 3941.00s]  I'm sorry, am I having the empty line,
[3942.00s -> 3943.00s]  not the H and the I, but yeah.
[3944.00s -> 3945.00s]  The new line is a separate right.
[3946.00s -> 3947.00s]  The H and I is one right
[3948.00s -> 3949.00s]  and the new line is a separate right.
[3949.00s -> 3950.00s]  Okay, thank you.
[3951.00s -> 3952.00s]  You're welcome.
[3953.00s -> 3954.00s]  Okay, there's complications
[3955.00s -> 3956.00s]  and I want to talk a little bit
[3957.00s -> 3958.00s]  about these complications.
[3964.00s -> 3965.00s]  So here's our basic scheme
[3966.00s -> 3967.00s]  and basic data structures
[3968.00s -> 3969.00s]  and there are three complications
[3970.00s -> 3971.00s]  that I want to talk about.
[3974.00s -> 3975.00s]  Maybe I'll call them challenges,
[3976.00s -> 3977.00s]  whatever you want to call them.
[3977.00s -> 3978.00s]  The first is eviction.
[3988.00s -> 3989.00s]  And the issue is as follows.
[3990.00s -> 3991.00s]  Let's say we go back to this picture here
[3993.00s -> 3994.00s]  and the whole B cache is full.
[3997.00s -> 3998.00s]  And so the transaction is in progress.
[4001.00s -> 4002.00s]  Let's say we just updated 45.
[4004.00s -> 4005.00s]  It's now done with block 45
[4005.00s -> 4006.00s]  so it's going to write the next block
[4007.00s -> 4008.00s]  and the cache is full.
[4013.00s -> 4015.00s]  And let's say we don't have a solution for this yet,
[4019.00s -> 4020.00s]  but the cache decides it wants to evict 45.
[4024.00s -> 4025.00s]  And if it wants to evict 45,
[4026.00s -> 4027.00s]  that will mean we have to write it
[4028.00s -> 4029.00s]  through its home location.
[4031.00s -> 4032.00s]  How bad would it be
[4032.00s -> 4033.00s]  to write the block evict 45
[4037.00s -> 4038.00s]  and write 45 to home location?
[4045.00s -> 4046.00s]  Is that good or bad?
[4046.00s -> 4047.00s]  Would any rule be broken if we did that?
[4049.00s -> 4050.00s]  I guess that is if a crash happens
[4051.00s -> 4052.00s]  before the other writes
[4053.00s -> 4054.00s]  in the same transaction occurs.
[4056.00s -> 4057.00s]  I don't know.
[4058.00s -> 4059.00s]  I don't know.
[4060.00s -> 4061.00s]  I don't know.
