# Detected language: en (p=1.00)

[0.00s -> 6.00s]  All right, I'd like to get started. Can anyone hear me?
[2353.00s -> 2360.00s]  It calls the same interrupt routine to signal input and to signal completed output.
[2360.00s -> 2370.00s]  So, when I type something, which is input, this UART interrupt routine gets called and the UART is thinking that it's calling it just to signal that input has arrived.
[2370.00s -> 2386.00s]  But in fact, the interrupt routine in xv6, you know, looks for, you know, notices that the, you know, the way this code happens to be written is that if the UART is ready to transmit another character, it always calls wake up.
[2386.00s -> 2395.00s]  Even though it's a while ago maybe had already called wake up. So, it's sort of accidental that me typing characters caused this to get restarted.
[2395.00s -> 2404.00s]  And so sometimes, you know, if there are lost wake ups, sometimes they sort of fix themselves in this way if you're lucky, and sometimes they don't.
[2404.00s -> 2412.00s]  Like if the UART had had separate receive and transmit interrupt routines, then there would have been no getting out of this.
[2412.00s -> 2413.00s]  Does that answer your question?
[2413.00s -> 2419.00s]  Yes, thank you.
[2419.00s -> 2420.00s]  Okay.
[2420.00s -> 2422.00s]  So, yes, please go ahead.
[2422.00s -> 2427.00s]  What purpose does the txdone bit serve?
[2427.00s -> 2432.00s]  Or the txdone bit, or you mean this flag txdone?
[2432.00s -> 2448.00s]  It is simply a way for the interrupt routine to communicate to UART right that the previously transmitted character is finished, and it's okay for UART right to proceed to transmitting the next character.
[2448.00s -> 2458.00s]  So it's a little piece of, it's just like a little communication flag from the interrupt routine to UART right.
[2458.00s -> 2460.00s]  Does that make sense?
[2460.00s -> 2469.00s]  Because if it, it could, like, it would sleep, and then it would know that when it wakes up, it's probably the UART interrupt that woke it up.
[2469.00s -> 2484.00s]  So, probably the txdone bit, like, would have been said, but if we didn't have it. So, I guess I'm saying that actually wakes up, it should know that it's from UART interrupt.
[2484.00s -> 2489.00s]  Okay, so is another way of phrasing your question, how come there's this a while loop here?
[2489.00s -> 2490.00s]  Instead of just an if?
[2490.00s -> 2498.00s]  Okay, I think I answered my question. I think the answer to my question is because UART interrupt serves two purposes. Okay, yeah.
[2498.00s -> 2517.00s]  Yeah, yeah. In general, the answer to your question is sort of a specific instance of the more general answer that it's, it just turns out to be not practical to make sleeps and wake ups be precise, guaranteed precise.
[2517.00s -> 2522.00s]  That is that if sleep returns then for sure, whatever you're waiting for has happened.
[2522.00s -> 2531.00s]  So, one example of this is that, supposing we have two processes that are both trying to write the UART at the same time, they're both in UART, right?
[2531.00s -> 2544.00s]  And they can be, because after one writes a character, it'll sleep, and releasing, as it turns out, releasing the lock, and then the other one can enter that loop and try to wait until the UART's not busy.
[2545.00s -> 2552.00s]  And they both, may both end up sleeping, and when an interrupt happens and the UART can accept one more character, they'll both be woken up.
[2552.00s -> 2556.00s]  But only one should actually write the character.
[2556.00s -> 2562.00s]  And that, this while loop, and in fact, you'll see a while loop around every sleep in XV6, I believe.
[2562.00s -> 2570.00s]  And it's because this problem of you may be woken up, but really somebody else sort of took the thing you were waiting for, so you have to sleep again.
[2570.00s -> 2573.00s]  This happens, pervasively.
[2575.00s -> 2576.00s]  Okay.
[2576.00s -> 2577.00s]  Thank you.
[2577.00s -> 2578.00s]  Yes.
[2578.00s -> 2580.00s]  I've got a question.
[2580.00s -> 2581.00s]  Yes.
[2581.00s -> 2592.00s]  So it looks like we only saw one lost wakeup, because as soon as we pressed like a character, the rest of the output, the entire rest of the output came out.
[2592.00s -> 2597.00s]  Shouldn't we have seen like multiple lost wakeups where, like why didn't it happen again?
[2597.00s -> 2598.00s]  Oh, it did, it did.
[2598.00s -> 2599.00s]  Here, let me run this.
[2599.00s -> 2600.00s]  I'm going to run readme.
[2600.00s -> 2603.00s]  I'm going to cat readme, right, which is, I don't know, a couple thousand bytes.
[2603.00s -> 2607.00s]  So, oops, sorry, I had already typed something.
[2607.00s -> 2609.00s]  Oh, gosh, we've got one character.
[2609.00s -> 2611.00s]  I'm going to type a period.
[2611.00s -> 2614.00s]  Ah, we got a few more characters, and then it hung up again.
[2614.00s -> 2615.00s]  I'm going to type another period.
[2615.00s -> 2617.00s]  Ah, another couple characters.
[2617.00s -> 2626.00s]  Right, each time I type a period, that causes an interrupt for the input, which then wakes up the process, and it could do a few more characters of writes, and then it hangs again.
[2626.00s -> 2628.00s]  You know, it gets another lost wakeup.
[2628.00s -> 2630.00s]  Is that the answer to your question?
[2630.00s -> 2632.00s]  Yeah, okay, I think I just missed that.
[2632.00s -> 2633.00s]  Yep, that makes sense.
[2633.00s -> 2634.00s]  Yeah, so I'm typing period here.
[2634.00s -> 2644.00s]  I get a couple characters per lost wakeup, because, you know, the lost wakeup requires this coincidence that the interrupt had already happened and was waiting to acquire the lock.
[2644.00s -> 2651.00s]  We get that coincidence a lot of the time, but not all the time.
[2651.00s -> 2652.00s]  All right.
[2653.00s -> 2666.00s]  Okay, so our goal, then, is to get rid of this lost wakeup problem by somehow eliminating this window here between the release of the URTX lock, which we have to release, right?
[2666.00s -> 2678.00s]  Because the interrupt needs that lock, so we know we have to release the lock, but somehow we want to eliminate this window between when we release the lock and when the process actually marks itself as sleeping,
[2678.00s -> 2685.00s]  so that the interrupt's wakeup will see that the process is sleeping and actually wake it up and therefore not lose the wakeup.
[2685.00s -> 2689.00s]  So we've got to somehow close that window.
[2689.00s -> 2694.00s]  And to do that, we've got to make sleep's interface a little bit more complicated.
[2694.00s -> 2703.00s]  So I'm going to go back to the original working sleep and a call to the working sleep.
[2703.00s -> 2715.00s]  And the way that people solve this problem is that sleep requires, even though sleep doesn't really know what you're waiting for, it requires that you be waiting for something.
[2715.00s -> 2721.00s]  And furthermore, that there be a lock that protects whatever it is you're waiting for.
[2721.00s -> 2727.00s]  So it requires that there be a sleep condition, which it doesn't really know about.
[2727.00s -> 2733.00s]  The sleep condition is that TX done is equal to one. So sleep doesn't know what the sleep condition is, but it does.
[2733.00s -> 2748.00s]  It requires that there be a lock that protects the sleep condition, namely this URTX lock, and that the lock be locked when you check the condition, that you hold the lock until you call sleep, and that you pass the lock to sleep.
[2748.00s -> 2765.00s]  And what sleep promises, essentially at an interface level, is that it's going to atomically put the process to sleep and release the lock as a sort of, at least as an indivisible pair of actions, at least with respect to wake up.
[2765.00s -> 2772.00s]  So wake up will never see this situation in which, yeah, you've released the lock, but no, the process is not asleep.
[2772.00s -> 2779.00s]  So sleep makes the release of the lock and putting the process to sleep atomic.
[2779.00s -> 2789.00s]  And the rules for this is that there has to be a condition, there has to be a lock protecting the condition, the lock has to be held when you call sleep, you have to pass the lock to sleep.
[2789.00s -> 2799.00s]  Furthermore, the lock has to be held when you call wake up. This condition lock needs to be held when you call wake up.
[2799.00s -> 2809.00s]  So these are rules that the programmer had better follow if they want to write correct code using sleep and wake up.
[2809.00s -> 2822.00s]  All right. So let's look at the sleep and wake up to try to spot how they actually use this extra little piece of information and these rules to avoid lost wake ups.
[2822.00s -> 2826.00s]  So first I want to look at wake up.
[2826.00s -> 2831.00s]  Wake up is not very surprising. It just runs through the entire process table.
[2831.00s -> 2841.00s]  It locks every process. Remember that? After it's locked a process, you can't really look at a process's state without locking it, it locks each process.
[2841.00s -> 2856.00s]  If the process is sleeping and the channel that it's sleeping for is the same channel that was passed to wake up, then wake up marks the changes the process's state to runnable and then releases the process's lock.
[2856.00s -> 2859.00s]  So no surprises here.
[2859.00s -> 2864.00s]  We'll ignore my broken sleep and instead look at sleep itself.
[2864.00s -> 2873.00s]  So here's the implementation of sleep with now this new lock argument.
[2873.00s -> 2879.00s]  So we know sleep has to release that condition lock, its second argument.
[2879.00s -> 2883.00s]  We know it has to release it because the interrupt routine has to be able to acquire it.
[2883.00s -> 2889.00s]  So we know there's going to be release of that lock somewhere inside sleep. And indeed, here's the release of that lock.
[2889.00s -> 2899.00s]  Of course, we're worried after we release the lock that at this very point wake up might be called and might wake up this process.
[2899.00s -> 2903.00s]  So in order to might try to wake up this process. But of course, we haven't marked it sleeping yet.
[2903.00s -> 2914.00s]  So we cannot afford to have wake up execute right after this release, even though we're releasing.
[2914.00s -> 2923.00s]  So in order to cause that not to happen before releasing the condition lock, sleep acquires the lock of the process that's going to sleep.
[2923.00s -> 2940.00s]  If you recall, wake up must be called with the condition lock held and it acquires, if it's about to wake up a process, it first must wait to acquire that process's lock.
[2940.00s -> 2950.00s]  So for the entire amount of time between when you are right between before you are right checked the condition.
[2950.00s -> 2960.00s]  And we when we call sked here, this thread holds one or another of the condition lock and P arrow lock at all times.
[2960.00s -> 2972.00s]  Just to go back to you artists want to emphasize this you are right acquires the condition lock here and holds the condition lock all the way through to where it calls sleep.
[2972.00s -> 2979.00s]  And so it acquires the condition lock, checks the condition with the lock held, calls sleep with the condition lock held.
[2979.00s -> 2986.00s]  So wake up can't do anything now because cannot even allow to call wake up until we until the caller owns the condition lock.
[2986.00s -> 2993.00s]  So wake up is definitely not executing now. We still hold the lock when we call sleep.
[2993.00s -> 3001.00s]  Sleep releases the condition lock but first acquires the process's lock.
[3001.00s -> 3010.00s]  And if you remember, wake up, wake up is called with the condition lock.
[3010.00s -> 3020.00s]  After we release it, sorry, after we release the condition lock, wake up can be called but wake up won't look at the process until it has the process lock, which we hold.
[3020.00s -> 3027.00s]  So wake up is still not executing.
[3027.00s -> 3039.00s]  Acquire the process lock, release the condition lock. While holding the process lock, mark the process as sleeping on this particular channel and then call sked, which calls switch.
[3039.00s -> 3042.00s]  We still have the process lock so wake up still isn't doing anything.
[3043.00s -> 3048.00s]  And if you remember, we're now switching away from this thread to the scheduler thread.
[3048.00s -> 3056.00s]  And the scheduler routine after it's called to switch returns releases the recently running process's lock.
[3056.00s -> 3064.00s]  So at this point, after we're in the scheduler, wake up can finally acquire PR lock for this process.
[3064.00s -> 3070.00s]  Notice that it's sleeping on this channel and set its state to wake up.
[3070.00s -> 3076.00s]  So we're guaranteed the effect of the rule that you have to hold the condition lock when calling sleep.
[3076.00s -> 3090.00s]  The fact that sleep knows about that lock and releases it only after requiring process PR lock and wake up needing to hold both locks in order to think about this process means that we can no longer lose a wake up.
[3090.00s -> 3095.00s]  And so we fix this lost wake up problem.
[3095.00s -> 3119.00s]  I realize I'm a little bit involved. Any questions about what's going on here?
[3119.00s -> 3125.00s]  All right, well, feel free to ask questions at any time.
[3125.00s -> 3136.00s]  All right, so we saw one, we saw this one, looked at this one case in which we're using sleep and wake up in a way that avoids lost wake ups.
[3136.00s -> 3139.00s]  There's a bunch of others in XV6.
[3139.00s -> 3151.00s]  This particular one, the thing that we're waiting for, the condition that we're waiting for is that an interrupt has occurred that has signaled that hardware is ready to sort of do the next thing.
[3151.00s -> 3163.00s]  There's also times when kernel code calls sleep in order to wait for a diff some other thread to do something, which is not actually in the end conceptually different but may feel a little bit different.
[3163.00s -> 3181.00s]  So in the pipe code, for example, if you look at pipe read, you know, there's a bunch of junk here, which you have to ignore, but the read system call on a pipe ends up calling pipe read.
[3181.00s -> 3190.00s]  There's a lock that protects the pipe, and this is going to end up being the condition lock.
[3190.00s -> 3205.00s]  Pipe read needs to wait until there's actually data buffered in the pipe, and that condition is, you know, that there's data ready is nread or nwrite is greater than nread, that is more bytes have been written than read.
[3205.00s -> 3222.00s]  While that's not true, pipe read sits in sleep waiting for that condition and passes in this pipe lock, the condition lock that protects the condition into sleep in order to protect against lost wakeups.
[3222.00s -> 3234.00s]  And the reason why you might get a lost wakeup is that on a different core, if we go a little farther up in the file, on a different core, there's probably some other thread just now calling pipe write.
[3234.00s -> 3245.00s]  And that's going to add bytes to the pipe buffer and finally called wakeup on the channel that pipe read is waiting for.
[3245.00s -> 3260.00s]  And, you know, we want to avoid the risk that between the reader checking and noticing there's no bytes to read and calling sleep, we do not want a pipe write on another core to slip in there
[3260.00s -> 3267.00s]  and add bytes and wake us up before we've even gone to sleep, right? That would be a lost wakeup.
[3267.00s -> 3284.00s]  And this lock, basically, this lock and the fact that sleep is careful about releasing it, prevent a writer from slipping in between the check of the condition and the sleep, because the writer has to require this lock too.
[3284.00s -> 3299.00s]  And for those of you who are, the people who asked about wrapping sleep in while loops, both pipe read and pipe write are examples of a sleep wrapped in a while.
[3299.00s -> 3310.00s]  So, for example, this is the loop that pipe read waits for data to appear, waits for the pipe buffer to be non-empty, and the sleep is wrapped in a loop.
[3310.00s -> 3317.00s]  And again, the reason is that there could be perfectly well be multiple processes reading the very same pipe.
[3317.00s -> 3325.00s]  And so if a writer writes one byte to the pipe, so there's only one byte there, the writer is going to call wakeup.
[3325.00s -> 3332.00s]  That's going to wake up all the multiple processes that were reading that pipe, but there's only one byte in the pipe.
[3332.00s -> 3339.00s]  And so one of those processes is going to wake up first, right? It's going to come out of its sleep first.
[3339.00s -> 3345.00s]  Actually, this reminds me, there's another crucial thing I forgot to mention about sleep.
[3345.00s -> 3352.00s]  And that's that the last thing sleep does, let's look at...
[3352.00s -> 3360.00s]  Here's the end of sleep. The last thing sleep does is acquires the condition lock.
[3360.00s -> 3368.00s]  So you must call sleep with the condition lock held, and sleep reacquires it before it returns.
[3368.00s -> 3374.00s]  Okay, so what that means is that if there were a bunch of readers, if there's one byte just written to a pipe,
[3374.00s -> 3378.00s]  and a bunch of readers, they're all woken up, one of them will succeed.
[3378.00s -> 3383.00s]  One of the sleeps of one of the threads will succeed in acquiring this lock.
[3383.00s -> 3386.00s]  The others will be waiting in sleep, spinning waiting for the lock.
[3386.00s -> 3394.00s]  That one lucky process, sleep will return, it will come back to this check, and now p arrow n write is one larger than n read.
[3394.00s -> 3396.00s]  So there's data to read, it'll fall out of the loop.
[3396.00s -> 3401.00s]  It'll read the one byte, and now there's nothing in the buffer, release the lock, and return.
[3401.00s -> 3408.00s]  And now the next thread that was woken up, its sleep will be able to reacquire the condition lock.
[3408.00s -> 3417.00s]  Its sleep will return, it'll return, recheck the loop condition, but now n read is equal to n write.
[3417.00s -> 3421.00s]  And so that thread and any other thread waiting will go back to sleep.
[3421.00s -> 3429.00s]  This is, again, just to reinforce why almost every, maybe every call to sleep has to be wrapped in a loop that rechecks the condition.
[3434.00s -> 3438.00s]  Questions about the way sleep, pipes use sleep.
[3438.00s -> 3450.00s]  All right.
[3450.00s -> 3461.00s]  The sleep and wake up interface and rules are a little bit complex, because you have to sort of reveal a bit to sleep about what you're waiting for.
[3461.00s -> 3466.00s]  You have to tell it to lock and follow some rules, which is sometimes annoying.
[3466.00s -> 3472.00s]  On the other hand, sleep and wake up are pretty flexible, partially because they don't actually have to understand the condition itself.
[3472.00s -> 3476.00s]  There just has to be a condition and be a lock.
[3476.00s -> 3479.00s]  There are other schemes that are somewhat higher level.
[3479.00s -> 3487.00s]  There's other coordination schemes, like the semaphores you read about in the reading for today, in which the interface is slightly less complex.
[3487.00s -> 3491.00s]  Like the semaphores, you don't have to tell the semaphore about a lock.
[3491.00s -> 3495.00s]  And the caller to the semaphore doesn't have to worry about lost wake ups.
[3495.00s -> 3504.00s]  Internally, the implementation of the semaphore, again, as you saw in the reading for today, the internal implementation of semaphores worries about a lost wake up.
[3504.00s -> 3514.00s]  So because the interface is specialized to these up down counters, the need to deal with lost wake ups doesn't leak through into the interface.
[3514.00s -> 3518.00s]  So the semaphores are somewhat simpler, although they're less general.
[3518.00s -> 3528.00s]  If you don't have a count and you're not waiting for a count, then semaphores are not necessarily going to be super helpful for you.
[3528.00s -> 3536.00s]  So it's that that causes me to claim that sleep and wake up are a little more general.
[3536.00s -> 3548.00s]  All right, so with sleep and wake up under our belts, I want to talk about one more kind of challenge that xv6 faces that's actually related to sleep and wake up.
[3548.00s -> 3551.00s]  And that's how to shut down threads.
[3551.00s -> 3558.00s]  Every threading system, you know, the threads eventually need to exit and we need to clean up their state, free their stack.
[3558.00s -> 3573.00s]  On xv6, when a process exits, we need to free its user memory and free its page table and free its trap frame and mark the process, the slot in the process table as reusable.
[3573.00s -> 3584.00s]  So this is sort of typical cleanup requirement, which is a bunch of stuff that has to be freed when threads exit or are killed.
[3584.00s -> 3589.00s]  So there's two big problems that arise here with thread exit or killing threads.
[3589.00s -> 3597.00s]  One is that we can't just reach out, we can't usually just reach out and unilaterally destroy another thread.
[3597.00s -> 3607.00s]  The problem is that that other thread may actually be currently executing on another core and using its stack and maybe about to save its registers and its struct context or whatever.
[3607.00s -> 3611.00s]  The other thread, if it's in the kernel, may be holding locks.
[3611.00s -> 3615.00s]  It may be in the middle of some complicated update to a kernel data structure.
[3615.00s -> 3629.00s]  And if we simply somehow shoot down the thread and stop it dead in its tracks, then it may have gotten halfway through a delicate update to some kernel data, but we shot it down before it completed.
[3629.00s -> 3635.00s]  And so we can't afford any of those things to happen.
[3636.00s -> 3648.00s]  Another problem is that even if a thread calls exit and has sort of decided for its, it's not killed, but decided for itself that it wants to quit, it has resources that it uses while it executes.
[3648.00s -> 3652.00s]  Like its stack, for example, and its slot in the process table.
[3652.00s -> 3660.00s]  And while it's still executing, it may not be able to free up the resources that it's still using.
[3660.00s -> 3672.00s]  So we need a way for threads to, for those last few resources that are critical to execution to somehow be freed, even though the thread needs them, even just execute any code at all.
[3672.00s -> 3675.00s]  Okay, so keep these two problems in mind.
[3675.00s -> 3683.00s]  xv6 actually has two things that are related to shutting down threads or processes.
[3683.00s -> 3687.00s]  One is exit and the other is kill. So let's look at exit first.
[3687.00s -> 3691.00s]  I'm going to look at the code for exit in proc.c.
[3691.00s -> 3698.00s]  This is what the exit system calls.
[3698.00s -> 3707.00s]  And, you know, what exit has to do in the end, we know sort of from the outside, from the interface, that it's got to free up the process memory and page table, it's got to close its open files.
[3707.00s -> 3717.00s]  And we also know that there's this wait call that the parent may be making and that exit has to eventually cause the parent to be woken up as well.
[3717.00s -> 3722.00s]  And so we're going to look for all these things in the exit code.
[3723.00s -> 3728.00s]  So you can see some of this stuff, like exit, specifically closes the open files.
[3728.00s -> 3737.00s]  And this might actually be quite complex because the files are, you know, file system files, closing them actually involves things like reference counting.
[3737.00s -> 3741.00s]  We haven't gotten there yet, but we'll see that this takes a fair amount of work.
[3741.00s -> 3747.00s]  But a process goes ahead and closes when you call exit, closes its own files.
[3747.00s -> 3760.00s]  And it also does something similar. It has a record of the current working directory, which is what's changed when you call CD and it needs to sort of release that reference into the file system.
[3760.00s -> 3771.00s]  Then there's some other horrible stuff that happens that's related to the fact that if a process exits, but it has children of its own,
[3771.00s -> 3780.00s]  those children are inherited by the init process. Because as it turns out, we'll see in a few minutes that every process that exits,
[3780.00s -> 3787.00s]  there has to be a corresponding wait from a parent that actually finishes up some of the steps in exiting.
[3787.00s -> 3794.00s]  And so if I exit, my children, they need to be waited for. I was their parent, I'm not going to wait for them because I've exited.
[3794.00s -> 3805.00s]  And so there's a stretch of code here in exit that is re-parenting the exiting process's children so that they're parents of init, which is process ID one.
[3805.00s -> 3820.00s]  And then finally, a process wakes up its own parent, which might be sleeping in wait, and sets its state to the zombie state.
[3820.00s -> 3828.00s]  It turns out we haven't, we'll see in a moment, but the process hasn't completely finished releasing all of its resources.
[3828.00s -> 3841.00s]  So it's not quite ready to be reused. We want to end up in a position where the process can be, and all its state can be reused by a fork, by some other fork that's unrelated.
[3841.00s -> 3848.00s]  But we're not quite there yet. And we'll see why in a moment. We set the state to zombie.
[3848.00s -> 3863.00s]  And then we're not done yet, right? We haven't freed the process. We'll just jump into the scheduler without having completely finished freeing all resources.
[3863.00s -> 3872.00s]  Okay. So the story here continues. At this point, a zombie process won't be run. The scheduler only runs runnable processes.
[3872.00s -> 3879.00s]  So this process isn't quite free, because that would be state equals unused. But it's definitely not going to run again, because it's in state zombie.
[3879.00s -> 3885.00s]  So we switch into the scheduler. The scheduler now runs something else.
[3885.00s -> 3896.00s]  We know from the description of exit and wait in Unix that if a process exits, then if its parent calls wait,
[3896.00s -> 3908.00s]  the wait, that wait is going to return to signal to the parent that one of its children has exited. So we can look for the implementation of wait.
[3908.00s -> 3922.00s]  Also here is a big loop, this implementation of wait. But really what's going on is that when a process calls wait, it scans the process table,
[3922.00s -> 3935.00s]  looking for processes whose parent is the current process, and in particular looking for processes whose parent is the current process and are in state zombie.
[3935.00s -> 3943.00s]  That is, they've gotten that far in exit, or almost finished exiting.
[3943.00s -> 3950.00s]  So now we found this call to wait, the wait system calls found a child process that has exited.
[3951.00s -> 3961.00s]  And I don't know if you remember, exit can return this 32-bit exit status to the parents, so the next bunch of code collects that.
[3961.00s -> 3969.00s]  And then it's the parent that calls free proc, which does the final steps in freeing a process's resources.
[3969.00s -> 3979.00s]  So we'll look at free proc. And this is the final shutdown of stuff that would be quite awkward if the exiting process itself freed while it was executing.
[3979.00s -> 3993.00s]  So it frees its trap frame, it frees the user page table, and if we freed kernel stacks, the processes exiting processes, kernel stack would be freed here also.
[3993.00s -> 4005.00s]  But because of the stack guard, kernel stack stack guard pages, we don't actually ever, turns out we don't free, do we never free the kernel stacks.
[4005.00s -> 4014.00s]  But all the stuff that would be a sort of potentially a pain to free in the exit, while the exiting process is running, is freed by the parent.
[4014.00s -> 4025.00s]  One thing to notice here is that wait, wait is not just for the convenience of parents that want to know when their children have exited.
[4026.00s -> 4037.00s]  Wait is actually a critical piece of the exit process, and you really, in Unix, it's just a requirement that there be a wait that corresponds to every exiting process.
[4037.00s -> 4047.00s]  And that's really the reason why when a process exits, its children are sort of given away to init, they're turned into init's children.
[4047.00s -> 4058.00s]  What init does is just calls wait in the loop, because every process has to be waited for so that its parent can call free proc and finish freeing up its resources.
[4058.00s -> 4072.00s]  And then when it's completely done, it sets, when the parent's done freeing all the exited processes resources, it sets that child state to unused, now fork.
[4072.00s -> 4079.00s]  And, you know, some future call to fork can reuse that process a lot.
[4079.00s -> 4084.00s]  Any questions?
[4084.00s -> 4087.00s]  Oh, I have a question about sleep.
[4087.00s -> 4104.00s]  So in sleep, where we are, yeah, so when we are, oh sorry, not sleep, exit, I won't say exit, yeah.
[4104.00s -> 4116.00s]  Yeah, so why are we, why are we grabbing original parent before we reparent, is that necessary?
[4117.00s -> 4131.00s]  This is grim code that's wrestling with the possibility that a process and its parent may exit at the same time.
[4131.00s -> 4142.00s]  And there's some, you know, even though ordinarily there's like nothing interesting going on, process exits, its parent waits for it, everything's fine.
[4142.00s -> 4147.00s]  But it could be that a parent, that a process exits, and its parent process exits at the same time.
[4147.00s -> 4155.00s]  And so while we're trying to like wake up our parent to tell it we've exited, that parent is itself exiting.
[4155.00s -> 4170.00s]  And a lot of this code here, which I feel I kind of understood a year ago, but don't any longer understand, is about taking care of this rare case of concurrent exits of a parent and child.
[4170.00s -> 4181.00s]  And if it weren't for that, it would all be extremely straightforward, a parent, the process would have a parent, and it would just wake up its parent at this point.
[4181.00s -> 4190.00s]  And we wouldn't, if it weren't for concurrent exits of parent and child, the child could just wake up its parent, period.
[4190.00s -> 4192.00s]  Okay, I see, thank you.
[4192.00s -> 4195.00s]  Sorry, sorry to not really be explaining here.
[4196.00s -> 4206.00s]  I have a quick question. So why are we setting the process state to zombie after we wake up the parent? Wouldn't we want to do that before?
[4206.00s -> 4208.00s]  Oh, yeah.
[4208.00s -> 4220.00s]  It turns out because we've acquired the exiting process, had acquired its own process lock, the parent can't look at this process.
[4220.00s -> 4230.00s]  We've acquired our own lock here, and then we're going to call sched. The parent's wait acquires the child's lock, which is prlock.
[4230.00s -> 4244.00s]  And so that means that between this acquire and when after we call sched and the scheduler thread releases this prlock, the parent can't look at this process in this block of code.
[4244.00s -> 4245.00s]  Okay.
[4245.00s -> 4262.00s]  So the order of this stuff doesn't matter, and indeed, if we didn't have the lock on, it's possible some other order, well, in most situations, no order would work if we didn't hold the lock.
[4262.00s -> 4267.00s]  Anyway, yeah, because we hold the lock, the order sort of doesn't matter because the parent can't look.
[4267.00s -> 4268.00s]  That makes sense.
[4268.00s -> 4275.00s]  Yeah.
[4275.00s -> 4278.00s]  Okay.
[4278.00s -> 4285.00s]  Okay, so the trick here is, the trick I wanted to emphasize was that
[4285.00s -> 4304.00s]  to a great extent, actually, the child doesn't, in the end, the child doesn't free all its resources because it can't because it's still using them while it executes, and instead, some other thread, namely the parent, does the freeing of the delicate resources that are required for execution.
[4304.00s -> 4312.00s]  So that's sort of a trick to allow us to greatly simplify exit.
[4312.00s -> 4314.00s]  Okay.
[4314.00s -> 4317.00s]  A last thing I want to look at is kill.
[4317.00s -> 4334.00s]  So the, you know, the kill system call, one process in Unix can make the kill system call and pass it the process ID of a different process, and the goal is that that should cause that other process, the target process, to stop executing.
[4334.00s -> 4342.00s]  And if we're not careful, you know, this risks, especially if that other process is executing in the kernel,
[4342.00s -> 4353.00s]  this risks this problem I mentioned a few minutes ago where, gosh, that, you know, the kernel thread of the process we're trying to kill might be in the middle of updating something, you know, updating the file system, creating a file, for example.
[4353.00s -> 4362.00s]  And we can't just, like, kill it dead on the spot because that would leave some delicate multi-step operation only halfway completed.
[4362.00s -> 4369.00s]  So we know that kill can't really just stop the target process.
[4369.00s -> 4377.00s]  And indeed, an xv6 and other Unixes as well, kill does almost absolutely nothing.
[4377.00s -> 4388.00s]  It scans the process table looking for the target process ID and just sets this flag in that process's process structure.
[4388.00s -> 4393.00s]  And also if it was sleeping, causes it to be runnable so it'll wake up from the sleep.
[4393.00s -> 4402.00s]  But all it does is set this flag. It doesn't stop the other process from executing or anything like it.
[4402.00s -> 4408.00s]  So kill itself is very gentle.
[4408.00s -> 4417.00s]  And the game is that the target process, at points in the kernel code where it would be safe to stop executing,
[4417.00s -> 4421.00s]  the other process checks its own killed flag.
[4421.00s -> 4428.00s]  And if it's set, the other process sort of voluntarily exits, you know, calls this exit function.
[4428.00s -> 4437.00s]  And you can see some of those points in trap.c. In fact, you can see all the points in trap.c.
[4437.00s -> 4442.00s]  So if we're in user trap in a system call, before actually executing the system call,
[4442.00s -> 4451.00s]  if the process has already been killed, or if kill has been called for this process, then the process calls exit and goes away.
[4451.00s -> 4456.00s]  And this is a point in the kernel where it's not holding any locks. It's not in the middle of doing anything.
[4456.00s -> 4463.00s]  And so it's completely safe for the process to just quit and call exit.
[4463.00s -> 4469.00s]  And there's a similar check at the end of user trap.
[4469.00s -> 4475.00s]  So after a system call, the process also checks if it's being killed.
[4475.00s -> 4483.00s]  And indeed, this code here executes even if the process is interrupted by an interrupt.
[4483.00s -> 4495.00s]  So for example, if a timer interrupt goes off, then this code will execute and we'll see that the process has been killed and then the process will exit.
[4495.00s -> 4505.00s]  And so what that means is that what kill means, the meaning of kill or the effect of kill is not exactly stop the other process right now.
[4505.00s -> 4516.00s]  It's much more like, well, you know, if the other process is in user space, then the next time it makes a system call, it will exit.
[4516.00s -> 4522.00s]  Or the next time a timer interrupt goes off while executing user code in the target process,
[4522.00s -> 4527.00s]  if it's interrupted by a timer interrupt or some other interrupt, then it will also exit.
[4527.00s -> 4535.00s]  So there might be a significant delay between when one process calls kill and when the other process actually exits.
[4535.00s -> 4540.00s]  And that's just the way it is.
[4540.00s -> 4553.00s]  There is a sort of intermediate question, though, of if the process is not in its own user space, but is in the middle of a system call and it's killed, do we need to do anything special?
[4553.00s -> 4559.00s]  The reason why this may come up is suppose the process is reading from the console, right?
[4559.00s -> 4564.00s]  You know, reading for the next character you type. Well, you might not type another character until tomorrow.
[4564.00s -> 4571.00s]  And it would be nice if when you killed the process, it actually went away before tomorrow.
[4571.00s -> 4587.00s]  And for that reason, in a number of points in XV6 in which a process is sleeping, XV6 actually arranges that if it's killed while sleeping in the kernel, it will actually exit.
[4587.00s -> 4590.00s]  So let me show you the machinery for that.
[4591.00s -> 4595.00s]  The first thing to look at is in kill itself.
[4595.00s -> 4602.00s]  You can see that if the target process is sleeping, then kill will set its state to runnable.
[4602.00s -> 4609.00s]  And that'll mean that even if it had called sleep, the scheduler will now run it and it will simply return from sleep.
[4609.00s -> 4615.00s]  And so let's look at a place where that actually matters in the pipe code.
[4615.00s -> 4623.00s]  If a process is in sleep waiting to read a pipe and it's killed, kill will set it to runnable.
[4623.00s -> 4627.00s]  It'll return from sleep. It'll go back to the top of this loop.
